,time,open,high,low,close,volume
0,2009-09-24,8.55,8.55,8.55,8.55,5380
1,2009-09-25,8.96,8.96,8.96,8.96,12090
2,2009-09-28,9.38,9.38,9.38,9.38,9150
3,2009-09-29,9.85,9.85,9.85,9.85,11530
4,2009-09-30,10.31,10.31,10.31,10.31,29680
5,2009-10-01,10.78,10.78,10.78,10.78,122120
6,2009-10-02,11.25,11.25,11.16,11.25,501150
7,2009-10-05,11.82,11.82,11.82,11.82,157030
8,2009-10-06,12.19,12.19,11.72,11.82,257710
9,2009-10-07,11.25,11.63,11.25,11.35,301400
10,2009-10-08,11.44,11.63,11.16,11.63,160400
11,2009-10-09,12.0,12.19,11.91,12.19,325400
12,2009-10-12,12.75,12.75,12.57,12.75,715800
13,2009-10-13,12.47,12.75,12.28,12.28,189110
14,2009-10-14,12.47,12.85,12.28,12.66,274300
15,2009-10-15,13.03,13.03,12.57,12.75,238120
16,2009-10-16,12.57,12.75,12.47,12.47,289690
17,2009-10-19,12.19,12.75,12.19,12.75,263230
18,2009-10-20,13.03,13.32,12.94,13.13,352230
19,2009-10-21,13.13,13.13,12.94,13.03,177890
20,2009-10-22,13.03,13.13,12.94,13.03,331220
21,2009-10-23,13.6,13.6,12.66,12.66,398230
22,2009-10-26,12.85,12.94,12.38,12.57,297030
23,2009-10-27,12.19,12.38,12.1,12.19,223410
24,2009-10-28,12.19,12.57,11.91,12.47,300800
25,2009-10-29,11.91,12.28,11.91,12.19,234480
26,2009-10-30,12.38,12.38,11.82,11.91,192520
27,2009-11-02,11.35,11.91,11.35,11.63,262530
28,2009-11-03,11.29,12.05,11.05,11.05,135010
29,2009-11-04,10.76,11.55,10.76,10.9,125350
30,2009-11-05,11.29,11.29,10.92,11.05,130670
31,2009-11-06,11.45,11.45,10.79,10.79,83820
32,2009-11-09,10.76,10.76,10.27,10.27,185240
33,2009-11-10,10.06,10.63,10.0,10.0,56290
34,2009-11-11,9.98,10.5,9.98,10.5,85170
35,2009-11-12,10.5,10.97,10.5,10.9,94630
36,2009-11-13,10.5,11.08,10.42,10.97,98430
37,2009-11-16,10.76,11.03,10.66,10.66,44630
38,2009-11-17,10.76,10.76,10.37,10.37,48810
39,2009-11-18,10.37,10.37,10.24,10.27,23580
40,2009-11-19,10.55,10.76,10.29,10.5,189960
41,2009-11-20,10.58,10.61,10.45,10.45,83200
42,2009-11-23,9.98,10.42,9.95,9.98,188310
43,2009-11-24,10.03,10.11,9.95,9.98,40720
44,2009-11-25,9.69,9.71,9.48,9.48,64490
45,2009-11-26,9.01,9.01,9.01,9.01,27900
46,2009-11-27,8.56,9.45,8.56,9.06,100780
47,2009-11-30,8.85,9.32,8.85,8.85,23100
48,2009-12-01,8.93,9.27,8.93,9.19,93080
49,2009-12-02,9.19,9.19,8.74,8.74,35310
50,2009-12-03,8.45,8.93,8.45,8.74,35560
51,2009-12-04,8.9,8.9,8.72,8.8,37360
52,2009-12-07,8.93,8.93,8.66,8.8,24130
53,2009-12-08,8.9,8.9,8.59,8.77,27280
54,2009-12-09,8.38,8.77,8.35,8.35,33690
55,2009-12-10,7.98,8.64,7.96,7.96,117480
56,2009-12-11,7.96,7.98,7.56,7.56,80730
57,2009-12-14,7.35,7.93,7.35,7.93,43990
58,2009-12-15,7.93,7.93,7.75,7.88,13840
59,2009-12-16,7.75,7.85,7.48,7.56,52390
60,2009-12-17,7.56,7.56,7.22,7.56,19590
61,2009-12-18,7.61,7.93,7.61,7.93,66970
62,2009-12-21,8.27,8.27,8.14,8.27,48480
63,2009-12-22,8.09,8.27,7.93,8.14,98320
64,2009-12-23,7.96,8.09,7.75,7.88,56690
65,2009-12-24,7.64,7.96,7.64,7.93,143490
66,2009-12-25,8.01,8.32,8.01,8.32,280640
67,2009-12-28,8.32,8.66,8.22,8.4,222740
68,2009-12-29,8.4,8.53,8.24,8.4,77950
69,2009-12-30,8.45,8.82,8.38,8.82,181150
70,2009-12-31,9.14,9.14,8.4,8.43,152230
71,2010-01-04,8.66,8.85,8.66,8.85,161260
72,2010-01-05,9.27,9.27,8.66,9.06,197140
73,2010-01-06,8.82,9.14,8.74,8.93,114920
74,2010-01-07,9.16,9.37,9.16,9.37,292740
75,2010-01-08,9.82,9.82,9.37,9.37,587420
76,2010-01-11,9.37,9.48,9.19,9.32,184670
77,2010-01-12,9.32,9.37,8.93,8.93,131620
78,2010-01-13,8.93,9.06,8.48,8.93,231820
79,2010-01-14,8.93,9.11,8.66,9.01,71960
80,2010-01-15,9.14,9.14,8.77,9.06,187690
81,2010-01-18,8.98,8.98,8.61,8.61,135250
82,2010-01-19,8.48,9.01,8.48,8.9,78080
83,2010-01-20,8.66,8.93,8.66,8.69,41500
84,2010-01-21,8.45,8.69,8.45,8.48,119630
85,2010-01-22,8.27,8.61,8.27,8.48,50420
86,2010-01-25,8.48,8.66,8.4,8.56,19960
87,2010-01-26,8.9,8.9,8.8,8.9,132960
88,2010-01-27,8.9,8.9,8.61,8.87,80350
89,2010-01-28,8.87,8.87,8.53,8.77,54510
90,2010-01-29,8.82,8.82,8.45,8.53,11760
91,2010-02-01,8.82,8.82,8.61,8.66,43470
92,2010-02-02,8.66,8.8,8.66,8.8,58440
93,2010-02-03,8.69,8.8,8.66,8.8,36080
94,2010-02-04,8.87,8.87,8.66,8.82,28130
95,2010-02-05,8.69,8.69,8.45,8.45,69600
96,2010-02-08,8.45,8.66,8.45,8.66,27300
97,2010-02-09,8.66,8.66,8.43,8.43,27190
98,2010-02-10,8.64,8.77,8.53,8.64,23250
99,2010-02-11,8.64,8.66,8.64,8.66,26120
100,2010-02-12,8.66,8.87,8.64,8.69,78490
101,2010-02-22,8.95,8.95,8.69,8.8,28190
102,2010-02-23,8.43,8.69,8.43,8.53,16340
103,2010-02-24,8.77,8.77,8.51,8.53,4660
104,2010-02-25,8.8,8.8,8.51,8.56,5280
105,2010-02-26,8.56,8.56,8.45,8.56,7210
106,2010-03-01,8.61,8.66,8.56,8.61,11760
107,2010-03-02,8.72,8.72,8.53,8.64,18320
108,2010-03-03,8.72,8.72,8.51,8.72,35390
109,2010-03-04,8.8,8.8,8.66,8.72,80200
110,2010-03-05,8.61,8.74,8.61,8.72,34200
111,2010-03-08,8.72,9.06,8.72,9.06,144360
112,2010-03-09,9.32,9.5,9.22,9.5,494830
113,2010-03-10,9.82,9.82,9.58,9.69,209930
114,2010-03-11,9.58,9.69,9.45,9.58,71390
115,2010-03-12,9.69,9.69,9.45,9.66,325040
116,2010-03-15,9.74,9.77,9.53,9.53,277040
117,2010-03-16,9.53,9.53,9.22,9.27,103060
118,2010-03-17,9.27,9.27,9.14,9.19,83340
119,2010-03-18,9.11,9.32,9.08,9.32,136470
120,2010-03-19,9.32,9.32,9.16,9.19,150950
121,2010-03-22,9.19,9.29,9.16,9.16,71250
122,2010-03-23,9.11,9.11,8.93,8.93,179150
123,2010-03-24,9.19,9.19,8.9,9.06,37630
124,2010-03-25,8.93,8.93,8.77,8.8,128310
125,2010-03-26,8.93,8.93,8.53,8.77,58850
126,2010-03-29,8.93,8.93,8.66,8.93,62700
127,2010-03-30,9.11,9.11,8.66,8.8,36810
128,2010-03-31,8.9,8.9,8.77,8.77,92000
129,2010-04-01,8.77,9.08,8.66,8.77,93070
130,2010-04-02,8.9,8.9,8.74,8.74,9700
131,2010-04-05,8.87,8.87,8.72,8.74,36150
132,2010-04-06,8.72,8.74,8.72,8.74,75640
133,2010-04-07,9.06,9.06,8.74,8.82,228050
134,2010-04-08,8.82,9.01,8.82,8.9,154180
135,2010-04-09,8.93,9.01,8.93,8.98,56330
136,2010-04-12,9.06,9.06,8.93,8.93,57620
137,2010-04-13,8.93,8.93,8.8,8.85,39770
138,2010-04-14,9.07,9.07,8.82,8.9,85290
139,2010-04-15,8.88,8.96,8.79,8.82,54750
140,2010-04-16,8.99,8.99,8.82,8.85,71580
141,2010-04-19,8.85,8.99,8.77,8.99,98030
142,2010-04-20,9.04,9.07,8.99,9.07,121880
143,2010-04-21,9.07,9.21,9.07,9.21,153830
144,2010-04-22,9.21,9.34,9.15,9.18,69800
145,2010-04-26,9.18,9.29,9.18,9.18,126220
146,2010-04-27,9.1,9.18,9.1,9.18,46660
