,time,open,high,low,close,volume
0,2011-06-30,3.18,3.18,2.79,2.79,14130
1,2011-07-01,2.89,2.9,2.68,2.79,8440
2,2011-07-04,2.92,2.92,2.89,2.9,44210
3,2011-07-05,3.01,3.01,2.9,2.98,15690
4,2011-07-06,3.0,3.0,2.91,2.97,3520
5,2011-07-07,2.84,3.01,2.84,2.88,14270
6,2011-07-08,2.98,2.98,2.88,2.88,6760
7,2011-07-11,2.88,2.89,2.8,2.8,8610
8,2011-07-12,2.83,2.83,2.73,2.8,16740
9,2011-07-13,2.67,2.9,2.67,2.82,1210
10,2011-07-14,2.82,2.82,2.82,2.82,100
11,2011-07-15,2.92,2.92,2.81,2.81,1010
12,2011-07-18,2.85,2.85,2.68,2.68,360
13,2011-07-19,2.67,2.67,2.55,2.63,52200
14,2011-07-20,2.59,2.59,2.5,2.58,5900
15,2011-07-21,2.46,2.47,2.46,2.46,37190
16,2011-07-22,2.35,2.35,2.35,2.35,17220
17,2011-07-25,2.24,2.24,2.23,2.23,13620
18,2011-07-26,2.2,2.33,2.2,2.27,27460
19,2011-07-27,2.37,2.37,2.36,2.36,1010
20,2011-07-28,2.45,2.45,2.24,2.42,220
21,2011-07-29,2.42,2.45,2.31,2.31,230
22,2011-08-01,2.22,2.27,2.22,2.23,480
23,2011-08-02,2.27,2.27,2.14,2.14,18970
24,2011-08-03,2.2,2.2,2.14,2.14,310
25,2011-08-04,2.14,2.24,2.14,2.24,11310
26,2011-08-05,2.24,2.24,2.24,2.24,950
27,2011-08-08,2.24,2.24,2.2,2.24,3410
28,2011-08-09,2.2,2.2,2.14,2.14,34360
29,2011-08-10,2.24,2.24,2.03,2.03,26810
30,2011-08-11,2.03,2.03,1.94,1.96,26650
31,2011-08-12,2.01,2.01,2.01,2.01,400
32,2011-08-15,1.94,2.1,1.94,2.1,9190
33,2011-08-16,2.11,2.2,2.11,2.14,2660
34,2011-08-17,2.14,2.18,2.14,2.15,1600
35,2011-08-18,2.25,2.25,2.09,2.23,660
36,2011-08-19,2.12,2.2,2.12,2.2,570
37,2011-08-22,2.31,2.31,2.2,2.27,3590
38,2011-08-23,2.33,2.33,2.28,2.28,260
39,2011-08-24,2.28,2.28,2.28,2.28,0
40,2011-08-25,2.28,2.28,2.28,2.28,500
41,2011-08-26,2.28,2.28,2.28,2.28,0
42,2011-08-29,2.27,2.27,2.27,2.27,4660
43,2011-08-30,2.32,2.32,2.19,2.19,2010
44,2011-08-31,2.23,2.25,2.23,2.25,3600
45,2011-09-01,2.31,2.33,2.31,2.33,7230
46,2011-09-05,2.27,2.33,2.27,2.33,12290
47,2011-09-06,2.33,2.33,2.33,2.33,2000
48,2011-09-07,2.4,2.4,2.33,2.4,16400
49,2011-09-08,2.44,2.49,2.44,2.46,1220
50,2011-09-09,2.35,2.46,2.35,2.46,6290
51,2011-09-12,2.49,2.49,2.49,2.49,40
52,2011-09-13,2.54,2.54,2.53,2.53,2350
53,2011-09-14,2.59,2.59,2.42,2.42,2810
54,2011-09-15,2.45,2.45,2.31,2.4,4980
55,2011-09-16,2.45,2.45,2.38,2.4,8060
56,2011-09-19,2.4,2.4,2.38,2.38,450
57,2011-09-20,2.31,2.38,2.31,2.31,8230
58,2011-09-21,2.29,2.38,2.24,2.38,10220
59,2011-09-22,2.33,2.33,2.33,2.33,30
60,2011-09-23,2.33,2.33,2.33,2.33,4680
61,2011-09-26,2.33,2.33,2.33,2.33,200
62,2011-09-27,2.24,2.33,2.24,2.33,250
63,2011-09-28,2.37,2.45,2.37,2.4,9790
64,2011-09-29,2.51,2.51,2.51,2.51,10
65,2011-09-30,2.4,2.47,2.4,2.47,2200
66,2011-10-03,2.36,2.36,2.36,2.36,1000
67,2011-10-04,2.36,2.46,2.36,2.46,130
68,2011-10-05,2.57,2.57,2.57,2.57,10
69,2011-10-06,2.57,2.67,2.47,2.47,1050
70,2011-10-07,2.53,2.53,2.4,2.51,1900
71,2011-10-10,2.53,2.54,2.41,2.41,860
72,2011-10-11,2.29,2.46,2.29,2.29,230
73,2011-10-12,2.4,2.4,2.2,2.23,7740
74,2011-10-13,2.14,2.14,2.14,2.14,100
75,2011-10-14,2.07,2.24,2.07,2.15,100
76,2011-10-17,2.07,2.25,2.07,2.09,140
77,2011-10-18,2.07,2.09,2.07,2.07,1170
78,2011-10-19,2.18,2.18,2.06,2.06,6640
79,2011-10-20,2.02,2.15,2.02,2.03,10740
80,2011-10-21,2.12,2.12,2.01,2.01,1290
