,time,open,high,low,close,volume
0,2009-11-10,0.0,0.0,0.0,0.0,0
1,2009-11-11,6.79,6.79,6.79,6.79,10
2,2009-11-12,6.79,6.79,6.79,6.79,0
3,2009-11-13,6.79,6.79,6.79,6.79,145
4,2009-11-16,7.47,7.47,7.47,7.47,10
5,2009-11-17,7.2,7.47,7.47,7.47,0
6,2009-11-18,7.2,7.47,7.47,7.47,0
7,2009-11-23,6.49,6.49,6.49,6.49,0
8,2009-11-26,6.49,0.0,0.0,0.0,0
9,2009-11-30,5.7,5.7,5.7,5.7,11000
10,2009-12-02,5.7,5.7,5.7,5.7,0
11,2009-12-09,5.7,5.7,5.7,5.7,0
12,2009-12-15,5.7,5.7,5.7,5.7,0
13,2009-12-23,5.7,5.7,5.7,5.7,0
14,2010-01-05,5.13,5.13,5.13,5.13,4000
15,2010-01-11,4.67,4.67,4.07,4.07,1020
16,2010-01-13,4.51,4.51,4.1,4.1,25000
17,2010-01-14,4.21,4.21,4.21,4.21,618
18,2010-01-26,4.21,4.21,4.21,4.21,0
19,2010-01-27,4.21,4.21,4.21,4.21,0
20,2010-02-05,4.07,4.07,3.67,3.67,140
21,2010-03-01,4.35,4.48,4.35,4.48,4000
22,2010-03-02,4.13,4.13,4.13,4.13,550
23,2010-03-03,4.48,4.48,4.48,4.48,2000
24,2010-03-04,4.48,4.48,4.48,4.48,0
25,2010-03-05,4.62,4.62,4.62,4.62,3000
26,2010-03-08,5.0,5.0,5.0,5.0,20
27,2010-03-09,5.0,5.0,5.0,5.0,0
28,2010-03-10,4.75,4.75,4.75,4.75,3000
29,2010-03-11,4.62,4.62,4.62,4.62,3000
30,2010-03-12,5.03,5.03,5.03,5.03,10
31,2010-03-15,5.43,5.43,5.43,5.43,10
32,2010-03-16,4.89,4.89,4.89,4.89,3000
33,2010-03-17,5.16,5.16,5.03,5.03,132
34,2010-03-18,4.89,4.89,4.89,4.89,500
35,2010-03-19,4.89,4.89,4.89,4.89,0
36,2010-03-22,4.89,4.89,4.89,4.89,0
37,2010-03-23,5.38,5.38,5.38,5.38,100
38,2010-03-24,5.38,5.38,5.38,5.38,0
39,2010-03-26,5.84,5.84,5.84,5.84,10
40,2010-03-29,5.84,5.84,5.84,5.84,0
41,2010-03-30,5.27,5.27,5.27,0.0,100
42,2010-03-31,5.27,5.27,5.27,5.27,0
43,2010-04-01,4.75,4.75,4.75,4.75,10
44,2010-04-02,4.75,4.75,4.75,4.75,0
45,2010-04-05,4.29,4.54,4.29,4.54,2392
46,2010-04-06,3.99,3.99,3.99,3.99,40
47,2010-04-07,4.37,4.37,4.35,4.37,5990
48,2010-04-08,4.37,4.37,4.37,4.37,0
49,2010-04-09,4.37,4.37,4.37,4.37,1214
50,2010-04-12,4.37,4.37,4.37,4.37,0
51,2010-04-13,4.75,4.75,4.65,4.65,4000
52,2010-04-14,4.75,4.75,4.62,0.0,4457
53,2010-04-15,4.89,5.22,4.75,5.22,29205
54,2010-04-16,5.03,5.03,5.03,5.22,3600
55,2010-04-19,5.08,5.16,5.03,5.03,1610
56,2010-04-20,5.13,5.03,5.03,5.03,0
57,2010-04-21,5.13,5.03,5.03,5.03,0
58,2010-04-22,5.13,5.03,5.03,5.03,0
59,2010-04-26,5.13,5.03,5.03,5.03,0
60,2010-04-27,5.13,5.03,5.03,5.03,0
61,2010-04-28,5.03,5.03,5.03,5.03,590
62,2010-04-29,5.3,5.3,5.3,5.3,2000
63,2010-05-04,5.43,5.43,5.43,5.43,1302
64,2010-05-05,5.73,5.76,5.73,5.76,2000
65,2010-05-06,5.7,5.84,5.7,5.84,8160
66,2010-05-07,5.7,5.7,5.7,5.7,1632
67,2010-05-10,6.28,6.28,6.28,6.28,10
68,2010-05-11,5.65,5.7,5.65,5.65,5000
69,2010-05-12,5.11,5.11,5.11,5.11,500
70,2010-05-13,5.6,5.6,5.6,5.6,12
71,2010-05-14,5.6,5.6,5.6,5.6,0
72,2010-05-17,5.6,5.6,5.6,5.6,0
73,2010-05-18,5.6,0.0,0.0,0.0,0
74,2010-05-19,5.32,5.6,5.6,5.6,0
75,2010-05-20,5.32,5.6,5.6,5.6,0
76,2010-05-21,5.32,5.6,5.6,5.6,0
77,2010-05-25,5.32,5.6,5.6,5.6,0
78,2010-05-26,5.32,5.6,5.6,5.6,0
79,2010-05-27,5.32,5.6,5.6,5.6,0
80,2010-05-28,5.32,5.6,5.6,5.6,0
81,2010-05-31,5.32,5.6,5.6,5.6,0
82,2010-06-01,5.32,5.6,5.6,5.6,0
83,2010-06-02,5.03,5.03,5.03,5.03,200
84,2010-06-03,5.03,5.03,5.03,5.03,0
85,2010-06-07,5.03,5.03,5.03,5.03,0
86,2010-06-08,5.03,5.03,5.03,5.03,0
87,2010-06-10,5.43,5.51,5.51,5.51,0
88,2010-06-14,4.89,4.89,4.89,4.89,0
89,2010-06-15,4.89,4.89,4.89,4.89,10
90,2010-06-16,4.89,0.0,0.0,0.0,0
