,time,open,high,low,close,volume
0,2018-01-10,7.04,8.96,7.04,8.96,30400
1,2018-01-11,7.61,7.61,7.61,7.61,0
2,2018-01-12,7.61,7.61,7.61,7.61,0
3,2018-01-15,7.61,7.61,7.61,7.61,0
4,2018-01-16,7.61,7.61,7.61,7.61,0
5,2018-01-17,8.7,8.7,8.7,8.7,100
6,2018-01-18,8.7,8.7,8.7,8.7,33
7,2018-01-19,8.7,8.7,8.7,8.7,0
8,2018-01-22,7.87,8.19,7.61,7.61,20000
9,2018-01-23,7.8,7.8,7.8,7.8,0
10,2018-01-24,7.8,7.8,7.8,7.8,0
11,2018-01-25,7.8,7.8,7.8,7.8,0
12,2018-01-26,7.8,7.8,7.8,7.8,0
13,2018-01-29,8.64,8.64,8.64,8.64,1000
14,2018-01-30,7.68,7.68,7.68,7.68,1020
15,2018-01-31,7.68,7.68,7.68,7.68,0
16,2018-02-01,7.68,7.68,7.68,7.68,0
17,2018-02-02,7.68,7.68,7.68,7.68,0
18,2018-02-05,7.68,7.68,7.68,7.68,0
19,2018-02-06,7.68,7.68,7.68,7.68,0
20,2018-02-07,7.68,7.68,7.68,7.68,0
21,2018-02-08,7.68,7.68,7.68,7.68,0
22,2018-02-09,7.68,7.68,7.68,7.68,0
23,2018-02-12,7.68,7.68,7.68,7.68,0
24,2018-02-13,7.68,7.68,7.68,7.68,0
25,2018-02-21,7.68,7.68,7.68,7.68,0
26,2018-02-22,7.68,7.68,7.68,7.68,0
27,2018-02-23,7.68,7.68,7.68,7.68,0
28,2018-02-26,7.68,7.68,7.68,7.68,0
29,2018-02-27,7.68,7.68,7.68,7.68,0
30,2018-02-28,7.68,7.68,7.68,7.68,0
31,2018-03-01,7.68,7.68,7.68,7.68,1
32,2018-03-02,7.68,7.68,7.68,7.68,0
33,2018-03-05,7.68,7.68,7.68,7.68,0
34,2018-03-06,7.68,7.68,7.68,7.68,0
35,2018-03-07,7.68,7.68,7.68,7.68,0
36,2018-03-08,7.68,7.68,7.68,7.68,0
37,2018-03-09,7.68,7.68,7.68,7.68,0
38,2018-03-12,7.68,7.68,7.68,7.68,0
39,2018-03-13,7.68,7.68,7.68,7.68,0
40,2018-03-14,7.68,7.68,7.68,7.68,0
41,2018-03-15,7.68,7.68,7.68,7.68,0
42,2018-03-16,7.68,7.68,7.68,7.68,0
43,2018-03-19,7.68,7.68,7.68,7.68,0
44,2018-03-20,7.68,7.68,7.68,7.68,0
45,2018-03-21,7.68,7.68,7.68,7.68,0
46,2018-03-22,7.68,7.68,7.68,7.68,0
47,2018-03-23,7.68,7.68,7.68,7.68,0
