,time,open,high,low,close,volume
0,2010-04-19,15.18,15.36,13.5,13.78,1000600
1,2010-04-20,13.41,13.96,13.03,13.22,592300
2,2010-04-21,13.22,13.5,12.94,13.31,358200
3,2010-04-22,13.59,14.06,13.41,14.06,931700
4,2010-04-26,14.24,14.34,13.69,13.69,459400
5,2010-04-27,13.87,14.15,13.69,14.15,462100
6,2010-04-28,14.34,14.8,14.06,14.8,547200
7,2010-04-29,15.73,15.73,15.73,15.73,421800
8,2010-05-04,16.76,16.76,16.76,16.76,313800
9,2010-05-05,17.78,17.88,16.01,17.32,2100000
10,2010-05-06,17.32,18.06,17.04,18.06,617800
11,2010-05-07,19.18,19.18,17.22,19.18,1976500
12,2010-05-10,20.39,20.39,19.09,19.74,1132900
13,2010-05-11,20.02,21.41,18.62,19.55,1651000
14,2010-05-12,19.36,20.3,17.69,17.69,987900
15,2010-05-13,17.97,18.15,16.85,16.85,1003500
16,2010-05-14,17.22,17.69,16.76,17.6,547200
17,2010-05-17,17.5,18.25,17.5,17.97,657200
18,2010-05-18,18.34,18.62,17.04,17.32,249000
19,2010-05-19,17.6,17.6,16.2,16.2,387600
20,2010-05-20,15.73,17.13,15.45,16.57,1231100
21,2010-05-21,15.83,15.83,14.9,14.9,401100
22,2010-05-24,14.9,15.92,14.71,15.92,772200
23,2010-05-25,15.92,16.39,15.45,16.01,561800
24,2010-05-26,16.11,16.76,15.83,16.39,801900
25,2010-05-27,16.57,16.57,15.83,16.29,584000
26,2010-05-28,16.94,17.41,16.85,17.41,734200
27,2010-05-31,18.53,18.53,16.2,16.76,526100
28,2010-06-01,17.22,17.22,16.29,16.76,562000
29,2010-06-02,16.29,16.76,16.01,16.66,345000
30,2010-06-03,16.94,17.69,16.85,17.13,477500
31,2010-06-04,17.32,18.25,17.04,18.15,1865700
32,2010-06-07,17.69,18.62,16.76,16.76,612000
33,2010-06-08,16.66,17.32,16.57,17.22,380300
34,2010-06-09,17.22,17.97,17.22,17.69,743800
35,2010-06-10,18.15,18.15,17.13,17.32,368300
36,2010-06-11,18.62,18.62,17.22,17.78,683900
37,2010-06-14,18.34,18.34,17.6,17.97,591800
38,2010-06-15,17.97,17.97,16.94,17.04,442100
39,2010-06-16,17.22,18.34,16.76,18.34,1817300
40,2010-06-17,19.18,19.18,18.62,19.09,1264200
41,2010-06-18,19.55,19.55,18.25,18.43,518800
42,2010-06-21,18.62,18.9,18.06,18.06,364200
43,2010-06-22,18.15,18.34,17.5,17.6,778700
44,2010-06-23,17.32,17.78,17.13,17.6,371200
45,2010-06-24,17.32,17.78,17.32,17.5,386400
46,2010-06-25,17.5,17.5,16.76,17.04,482700
47,2010-06-28,17.22,17.6,16.94,17.41,266900
48,2010-06-29,17.41,17.69,17.22,17.32,221500
49,2010-06-30,16.76,17.13,16.48,16.94,375700
50,2010-07-01,16.76,16.85,16.48,16.66,296100
51,2010-07-02,16.57,16.85,16.57,16.66,166200
52,2010-07-05,16.76,16.76,16.48,16.48,175700
53,2010-07-06,16.76,16.76,15.83,16.01,375600
54,2010-07-07,16.29,16.48,16.01,16.11,160300
55,2010-07-08,16.48,16.94,16.01,16.11,163000
56,2010-07-09,16.29,16.29,15.92,16.11,150800
57,2010-07-12,16.29,16.85,16.11,16.76,271200
58,2010-07-13,16.85,17.6,16.85,17.6,378900
59,2010-07-14,18.81,18.81,17.6,17.97,802500
60,2010-07-15,17.88,18.25,17.22,17.41,502200
61,2010-07-16,17.5,17.69,17.22,17.6,548700
62,2010-07-19,17.13,17.5,17.13,17.41,537700
63,2010-07-20,17.41,18.15,17.41,17.78,1141100
64,2010-07-21,17.88,18.25,17.5,17.6,611300
65,2010-07-22,17.88,17.88,17.22,17.5,655400
66,2010-07-23,17.88,18.15,17.32,17.5,320100
67,2010-07-26,17.69,17.69,17.04,17.32,445800
68,2010-07-27,16.94,18.34,16.94,17.97,1727600
69,2010-07-28,18.06,18.06,17.41,17.69,406000
70,2010-07-29,17.69,17.97,17.5,17.78,567700
71,2010-07-30,17.69,18.06,17.6,17.78,582800
72,2010-08-02,17.97,18.25,17.41,17.41,542600
73,2010-08-03,17.88,18.06,16.94,17.41,451100
74,2010-08-04,17.6,17.69,16.57,16.76,564900
75,2010-08-05,16.94,17.5,16.48,16.48,302000
76,2010-08-06,17.13,17.13,16.29,16.29,283200
77,2010-08-09,16.85,16.85,15.73,15.92,284200
78,2010-08-10,16.2,16.2,15.08,15.45,336700
79,2010-08-11,15.55,16.01,15.27,16.01,302300
80,2010-08-12,15.64,15.73,14.71,14.71,322200
81,2010-08-13,14.71,15.08,13.96,14.71,240800
82,2010-08-16,14.8,15.36,14.71,15.36,564100
83,2010-08-17,15.83,16.2,14.9,15.27,218700
84,2010-08-18,15.45,15.73,14.71,14.71,178200
85,2010-08-19,14.8,14.9,14.24,14.24,129500
86,2010-08-20,14.43,14.8,14.06,14.62,161700
87,2010-08-23,14.8,14.8,13.78,13.96,109000
88,2010-08-24,13.96,14.06,13.22,13.22,244800
89,2010-08-25,13.22,13.22,12.38,12.38,159500
90,2010-08-26,12.38,13.22,11.64,12.38,268100
91,2010-08-27,12.1,12.1,11.36,11.73,193400
92,2010-08-30,11.64,12.38,11.64,12.38,120900
93,2010-08-31,13.22,13.22,12.57,13.22,275000
94,2010-09-01,13.96,13.96,13.31,13.96,452400
95,2010-09-06,14.71,14.8,14.62,14.8,119400
96,2010-09-07,15.83,15.83,15.08,15.45,726000
97,2010-09-08,16.01,16.01,14.52,14.62,610100
98,2010-09-09,14.71,15.45,14.62,15.36,231200
99,2010-09-10,15.36,15.55,14.06,14.06,316300
100,2010-09-13,13.96,13.96,13.5,13.5,340300
101,2010-09-14,13.59,14.24,12.66,13.41,399400
102,2010-09-15,13.03,13.22,12.66,13.03,301700
103,2010-09-16,13.03,13.31,12.85,13.31,103100
104,2010-09-17,13.41,13.96,13.41,13.96,292000
105,2010-09-20,14.62,14.71,13.69,13.87,288500
106,2010-09-21,13.22,14.15,13.22,13.69,242900
107,2010-09-22,13.41,13.96,13.41,13.59,107700
108,2010-09-23,13.41,13.59,13.22,13.5,191100
109,2010-09-24,13.59,14.06,13.22,13.96,261300
110,2010-09-27,13.69,14.06,13.41,13.87,124200
111,2010-09-28,13.96,14.34,13.78,13.78,152200
112,2010-09-29,13.5,13.59,13.03,13.03,157400
113,2010-09-30,13.41,13.41,13.03,13.13,184500
114,2010-10-01,13.69,13.69,12.85,13.03,175600
115,2010-10-04,12.57,12.75,12.38,12.38,287800
116,2010-10-05,12.48,13.03,11.92,12.75,221200
117,2010-10-06,13.03,13.41,12.66,13.22,204700
118,2010-10-07,13.41,13.69,12.57,12.57,119500
119,2010-10-08,12.66,12.75,12.1,12.29,158800
120,2010-10-11,12.1,12.48,12.01,12.2,69200
121,2010-10-12,12.38,12.38,11.82,11.92,90700
122,2010-10-13,11.17,12.01,11.17,11.82,104800
123,2010-10-14,11.36,12.2,11.17,11.82,191100
124,2010-10-15,11.82,11.82,11.64,11.82,66300
125,2010-10-18,11.73,11.92,11.73,11.73,95700
126,2010-10-19,11.64,11.82,11.27,11.45,103800
127,2010-10-20,11.36,11.36,10.71,10.89,163300
128,2010-10-21,10.99,11.36,10.71,10.89,100800
129,2010-10-22,10.99,11.17,10.89,10.99,138200
130,2010-10-25,10.99,11.27,10.61,11.27,105500
131,2010-10-26,11.17,11.82,11.17,11.82,213100
132,2010-10-27,12.38,12.57,11.64,11.82,145200
133,2010-10-28,11.73,11.92,11.54,11.64,60100
134,2010-10-29,11.36,11.73,11.17,11.64,77000
