,time,open,high,low,close,volume
0,2016-08-22,11.5,12.4,11.5,12.4,27020
1,2016-08-23,12.4,12.5,12.4,12.5,6530
2,2016-08-24,12.5,12.5,12.5,12.5,2000
3,2016-08-25,12.4,12.4,12.4,12.4,1500
4,2016-08-26,12.3,12.3,12.2,12.2,1800
5,2016-08-29,12.3,12.3,12.0,12.0,2550
6,2016-08-30,12.2,12.2,12.2,12.2,400
7,2016-08-31,12.3,12.3,12.1,12.3,310
8,2016-09-01,12.3,12.3,12.3,12.3,0
9,2016-09-05,12.2,12.5,12.1,12.2,11720
10,2016-09-06,12.3,12.5,12.2,12.4,23610
11,2016-09-07,12.4,12.8,12.2,12.4,31690
12,2016-09-08,12.4,12.8,12.1,12.7,54000
13,2016-09-09,12.9,13.3,12.6,12.8,90250
14,2016-09-12,12.8,12.8,12.3,12.5,143360
15,2016-09-13,11.9,12.5,11.9,12.5,163050
16,2016-09-14,12.5,12.9,12.4,12.55,231800
17,2016-09-15,12.55,12.6,12.1,12.5,154490
18,2016-09-16,12.6,13.0,12.4,12.4,215600
19,2016-09-19,12.3,12.7,12.3,12.3,218810
20,2016-09-20,12.4,13.15,12.1,13.15,278010
21,2016-09-21,13.0,13.9,12.6,13.9,253990
22,2016-09-22,14.1,14.75,13.75,14.7,326500
23,2016-09-23,14.7,15.3,14.15,15.3,326090
24,2016-09-26,15.2,16.0,15.2,15.2,294820
25,2016-09-27,15.0,15.5,15.0,15.4,247600
26,2016-09-28,15.2,15.9,15.2,15.5,317650
27,2016-09-29,15.1,15.3,15.0,15.3,216100
28,2016-09-30,15.3,15.5,15.0,15.4,399670
29,2016-10-03,15.4,15.4,15.0,15.1,277820
30,2016-10-04,15.1,15.3,15.0,15.2,265850
31,2016-10-05,15.15,15.2,15.0,15.0,231420
32,2016-10-06,15.0,15.3,15.0,15.2,234800
33,2016-10-07,15.1,15.25,15.1,15.25,439930
34,2016-10-10,15.15,15.4,15.1,15.1,300430
35,2016-10-11,15.1,15.5,15.0,15.05,293820
36,2016-10-12,15.1,15.2,15.0,15.2,192060
37,2016-10-13,15.1,15.2,15.0,15.0,152820
38,2016-10-14,15.0,15.2,14.75,14.75,126490
39,2016-10-17,14.7,14.7,14.3,14.4,153920
40,2016-10-18,14.3,14.3,13.9,13.9,178040
41,2016-10-19,13.9,14.2,13.9,14.1,219880
42,2016-10-20,14.0,14.2,13.5,14.05,311520
43,2016-10-21,14.0,14.05,13.6,13.9,324570
44,2016-10-24,13.7,13.7,13.4,13.7,186430
45,2016-10-25,13.6,13.75,13.5,13.7,181530
46,2016-10-26,13.7,13.9,13.6,13.75,169180
47,2016-10-27,13.7,14.0,13.65,13.8,162980
48,2016-10-28,13.7,14.1,13.65,13.65,158300
49,2016-10-31,13.65,13.65,13.4,13.4,349720
50,2016-11-01,13.4,13.4,13.1,13.35,277670
51,2016-11-02,13.3,13.3,13.1,13.1,163060
52,2016-11-03,13.0,13.2,13.0,13.2,148410
53,2016-11-04,13.0,13.2,13.0,13.2,160090
54,2016-11-07,13.2,13.3,13.0,13.3,219780
55,2016-11-08,13.2,13.3,12.95,13.2,343520
56,2016-11-09,13.2,13.2,13.0,13.05,160360
57,2016-11-10,13.05,13.3,13.05,13.1,214260
58,2016-11-11,13.0,13.2,13.0,13.1,359800
59,2016-11-14,13.1,13.5,13.1,13.3,305380
60,2016-11-15,13.2,13.4,13.0,13.2,250120
61,2016-11-16,13.1,13.2,13.0,13.2,258590
62,2016-11-17,13.2,13.2,12.8,12.85,174360
63,2016-11-18,12.9,13.0,12.8,13.0,386610
64,2016-11-21,13.0,13.3,12.9,13.3,479720
65,2016-11-22,13.2,13.5,13.1,13.4,429410
66,2016-11-23,13.3,13.6,13.1,13.1,356550
67,2016-11-24,13.1,13.2,12.9,13.2,237650
68,2016-11-25,13.2,13.3,13.1,13.3,244520
69,2016-11-28,13.3,13.3,12.9,13.1,152460
70,2016-11-29,13.1,13.3,12.7,13.1,316130
71,2016-11-30,13.1,13.2,12.95,13.1,255500
72,2016-12-01,13.1,13.2,12.9,13.0,361320
73,2016-12-02,13.0,13.1,12.95,13.1,275900
74,2016-12-05,13.1,13.1,12.7,12.8,231600
75,2016-12-06,12.8,13.2,12.7,12.75,194410
76,2016-12-07,12.7,13.3,12.6,13.3,242220
77,2016-12-08,13.2,13.4,13.0,13.0,184200
78,2016-12-09,13.0,13.1,12.8,12.95,174310
79,2016-12-12,12.95,13.1,12.6,12.85,191400
80,2016-12-13,12.85,12.85,12.7,12.75,195000
81,2016-12-14,12.75,12.75,11.9,12.45,238510
82,2016-12-15,12.45,12.5,11.6,11.6,115440
83,2016-12-16,10.8,10.8,10.8,10.8,1700
84,2016-12-19,10.05,10.05,10.05,10.05,3950
85,2016-12-20,9.35,9.35,9.35,9.35,10
86,2016-12-21,8.7,9.3,8.7,8.7,13240
87,2016-12-22,8.1,8.1,8.1,8.1,110
88,2016-12-23,7.54,7.54,7.54,7.54,910
89,2016-12-26,7.02,7.02,7.02,7.02,10
90,2016-12-27,6.53,6.53,6.53,6.53,10
91,2016-12-28,6.08,6.08,6.08,6.08,1050
92,2016-12-29,5.66,5.66,5.66,5.66,10550
93,2016-12-30,5.27,5.27,5.27,5.27,1760
94,2017-01-03,4.91,4.91,4.91,4.91,20
95,2017-01-04,4.57,4.57,4.57,4.57,50
96,2017-01-05,4.26,4.26,4.26,4.26,520
97,2017-01-06,3.97,3.97,3.97,3.97,120
98,2017-01-09,3.7,3.7,3.7,3.7,330
99,2017-01-10,3.45,3.45,3.45,3.45,20
100,2017-01-11,3.21,3.21,3.21,3.21,190
101,2017-01-12,3.1,3.1,2.99,2.99,26570
102,2017-01-13,2.79,2.79,2.79,2.79,210
103,2017-01-16,2.6,2.6,2.6,2.6,560
104,2017-01-17,2.42,2.42,2.42,2.42,2060
105,2017-01-18,2.26,2.26,2.26,2.26,60
106,2017-01-19,2.11,2.11,2.11,2.11,270
107,2017-01-20,1.97,1.97,1.97,1.97,280
