,time,open,high,low,close,volume
0,2020-03-16,14.47,14.47,14.47,14.47,0
1,2020-03-17,14.47,14.47,14.47,14.47,0
2,2020-03-18,18.79,18.79,18.79,18.79,100
3,2020-03-19,18.79,18.79,18.79,18.79,0
4,2020-03-20,20.64,20.64,20.64,20.64,100
5,2020-03-23,22.69,22.69,22.69,22.69,100
6,2020-03-24,22.69,22.69,22.69,22.69,5
7,2020-03-25,22.69,22.69,22.69,22.69,0
8,2020-03-26,23.55,23.55,23.55,23.55,100
9,2020-03-27,23.55,23.55,23.55,23.55,0
10,2020-03-30,23.55,23.55,23.55,23.55,0
11,2020-03-31,23.55,23.55,23.55,23.55,0
12,2020-04-01,23.55,23.55,23.55,23.55,0
13,2020-04-03,23.55,23.55,23.55,23.55,0
14,2020-04-06,23.55,23.55,23.55,23.55,0
15,2020-04-07,24.83,24.83,24.83,24.83,100
16,2020-04-08,24.83,24.83,24.83,24.83,100
17,2020-04-09,24.4,24.83,23.55,23.55,2800
18,2020-04-10,23.55,23.55,23.55,23.55,0
19,2020-04-13,23.55,23.55,23.55,23.55,0
20,2020-04-14,23.55,23.55,23.55,23.55,0
21,2020-04-15,23.55,23.55,23.55,23.55,0
22,2020-04-16,23.55,23.55,23.55,23.55,200
23,2020-04-17,23.55,23.55,23.55,23.55,0
24,2020-04-20,23.55,23.97,23.55,23.55,1500
25,2020-04-21,23.55,23.55,23.55,23.55,0
26,2020-04-22,23.55,23.55,23.55,23.55,0
27,2020-04-23,23.55,23.55,23.55,23.55,500
28,2020-04-24,23.55,23.55,23.55,23.55,0
29,2020-04-27,23.55,23.55,23.55,23.55,0
30,2020-04-28,23.55,23.55,23.55,23.55,0
31,2020-04-29,23.55,23.55,23.55,23.55,0
32,2020-05-04,23.55,23.55,23.55,23.55,0
33,2020-05-05,23.55,23.55,23.55,23.55,0
34,2020-05-06,23.55,23.55,23.55,23.55,0
35,2020-05-07,23.55,23.55,23.55,23.55,0
36,2020-05-08,23.55,23.55,23.55,23.55,0
37,2020-05-11,23.55,23.55,23.55,23.55,0
38,2020-05-12,23.55,23.55,23.55,23.55,0
39,2020-05-13,23.55,23.55,23.55,23.55,0
