,time,open,high,low,close,volume
0,2015-09-14,8.5,0.0,0.0,0.0,0
1,2015-09-15,8.19,8.19,8.19,8.19,500
2,2015-09-16,6.98,6.98,6.98,6.98,2500
3,2015-09-17,5.96,5.96,5.96,5.96,1100
4,2015-09-18,6.28,6.28,6.28,6.28,1000
5,2015-09-21,6.28,6.28,6.28,6.28,0
6,2015-09-22,6.28,6.28,6.28,6.28,0
7,2015-09-23,6.28,6.28,6.28,6.28,0
8,2015-09-24,6.28,6.28,6.28,6.28,500
9,2015-09-25,6.28,6.28,6.28,6.28,0
10,2015-09-28,6.28,6.28,6.28,6.28,0
11,2015-09-29,6.28,6.28,6.28,6.28,0
12,2015-09-30,6.28,6.28,6.28,6.28,0
13,2015-10-01,6.28,6.28,6.28,6.28,0
14,2015-10-02,6.28,6.28,6.28,6.28,0
15,2015-10-05,6.28,6.28,6.28,6.28,0
16,2015-10-06,6.28,6.28,6.28,6.28,0
17,2015-10-07,6.28,6.28,6.28,6.28,0
18,2015-10-08,6.28,6.28,6.28,6.28,0
19,2015-10-09,6.35,6.35,6.35,6.35,1000
20,2015-10-12,6.35,6.35,6.35,6.35,100
21,2015-10-13,6.35,6.35,6.35,6.35,0
22,2015-10-14,6.35,6.35,6.35,6.35,0
23,2015-10-15,6.35,6.35,6.35,6.35,0
24,2015-10-16,6.35,6.35,6.35,6.35,0
25,2015-10-19,6.35,6.35,6.35,6.35,0
26,2015-10-20,6.98,6.98,6.98,6.98,10000
27,2015-10-21,6.98,6.98,6.98,6.98,0
28,2015-10-22,6.98,6.98,6.98,6.98,0
29,2015-10-23,6.98,6.98,6.98,6.98,0
30,2015-10-26,6.98,6.98,6.98,6.98,0
31,2015-10-27,6.98,6.98,6.98,6.98,0
32,2015-10-28,6.98,6.98,6.98,6.98,0
33,2015-10-29,6.98,6.98,6.98,6.98,0
34,2015-10-30,6.98,6.98,6.98,6.98,0
35,2015-11-02,6.98,6.98,6.98,6.98,0
36,2015-11-03,6.98,6.98,6.98,6.98,0
37,2015-11-04,6.98,6.98,6.98,6.98,0
38,2015-11-05,6.98,6.98,6.98,6.98,0
39,2015-11-06,6.98,6.98,6.98,6.98,0
40,2015-11-09,6.98,6.98,6.98,6.98,0
41,2015-11-10,6.98,6.98,6.98,6.98,0
42,2015-11-11,5.96,5.96,5.96,5.96,200
43,2015-11-12,5.96,5.96,5.96,5.96,0
