,time,open,high,low,close,volume
0,2016-04-06,4.5,0.0,0.0,0.0,0
1,2016-04-07,4.5,0.0,0.0,0.0,0
2,2016-04-08,4.5,0.0,0.0,0.0,0
3,2016-04-11,2.7,2.7,2.7,2.7,900
4,2016-04-12,2.7,2.7,2.7,2.7,0
5,2016-04-13,2.7,2.7,2.7,2.7,0
6,2016-04-14,3.09,3.09,3.09,3.09,100
7,2016-04-15,3.09,3.09,3.09,3.09,0
8,2016-04-19,3.4,3.4,3.4,3.4,400
9,2016-04-20,3.4,3.4,3.4,3.4,300
10,2016-04-21,3.62,3.62,3.62,3.62,200
11,2016-04-22,3.62,3.62,3.62,3.62,0
12,2016-04-25,3.51,3.51,3.51,3.51,200
13,2016-04-26,3.49,3.49,3.29,3.29,3300
14,2016-04-27,3.29,3.31,3.29,3.31,1700
15,2016-04-28,3.31,3.31,3.31,3.31,0
16,2016-04-29,3.51,3.77,3.51,3.77,1600
17,2016-05-04,4.21,4.21,4.21,4.21,700
18,2016-05-05,4.21,4.21,4.21,4.21,0
19,2016-05-06,4.21,4.21,4.21,4.21,0
20,2016-05-09,4.83,4.83,4.83,4.83,100
21,2016-05-10,4.83,4.83,4.83,4.83,0
22,2016-05-11,4.83,4.85,4.83,4.83,3100
23,2016-05-12,4.85,4.85,4.83,4.83,1700
24,2016-05-13,4.94,5.05,4.94,5.05,3800
25,2016-05-16,5.16,5.6,5.16,5.6,14300
26,2016-05-17,5.71,5.71,5.71,5.71,6700
27,2016-05-18,5.71,5.71,5.71,5.71,1300
28,2016-05-19,5.71,5.71,5.71,5.71,1400
29,2016-05-20,5.71,5.82,5.71,5.82,500
30,2016-05-23,5.71,5.71,5.71,5.71,2200
31,2016-05-24,5.71,5.71,5.71,5.71,2400
32,2016-05-25,5.71,5.71,5.71,5.71,0
33,2016-05-26,5.71,5.82,5.71,5.71,6700
34,2016-05-27,5.82,5.82,5.82,5.82,2500
35,2016-05-30,5.82,5.82,5.82,5.82,0
36,2016-05-31,5.82,5.82,5.82,5.82,0
37,2016-06-01,5.75,5.75,5.75,5.75,700
38,2016-06-02,5.75,5.75,5.75,5.75,0
39,2016-06-03,5.73,5.73,5.73,5.73,1700
40,2016-06-06,5.82,5.82,5.82,5.82,2700
41,2016-06-07,5.82,5.82,5.82,5.82,0
42,2016-06-08,5.82,5.82,5.82,5.82,0
43,2016-06-09,5.75,5.75,5.75,5.75,100
44,2016-06-10,5.75,5.75,5.75,5.75,0
45,2016-06-13,5.73,5.73,5.73,5.73,600
46,2016-06-14,5.73,5.73,5.73,5.73,0
47,2016-06-15,5.73,5.73,5.73,5.73,0
48,2016-06-16,5.73,5.73,5.73,5.73,0
49,2016-06-17,5.95,5.95,5.95,5.95,500
50,2016-06-20,5.95,5.95,5.95,5.95,0
51,2016-06-21,5.95,5.95,5.95,5.95,0
52,2016-06-22,5.82,5.82,5.82,5.82,100
53,2016-06-23,5.93,5.93,5.93,5.93,2200
54,2016-06-24,5.05,5.05,5.05,5.05,300
55,2016-06-27,5.79,5.79,5.79,5.79,100
56,2016-06-28,5.93,5.93,5.93,5.93,200
57,2016-06-29,5.93,5.93,5.93,5.93,0
58,2016-06-30,5.93,5.93,5.93,5.93,0
59,2016-07-01,5.93,5.93,5.93,5.93,0
60,2016-07-04,5.93,5.93,5.93,5.93,0
61,2016-07-05,5.93,5.93,5.93,5.93,0
62,2016-07-06,5.93,5.93,5.93,5.93,0
63,2016-07-07,5.99,5.99,5.99,5.99,300
64,2016-07-08,5.99,5.99,5.99,5.99,0
65,2016-07-11,5.99,5.99,5.99,5.99,0
66,2016-07-12,5.99,5.99,5.99,5.99,0
67,2016-07-13,5.99,5.99,5.99,5.99,0
68,2016-07-14,5.99,5.99,5.99,5.99,1900
69,2016-07-15,5.93,5.93,5.93,5.93,400
70,2016-07-18,5.93,5.93,5.93,5.93,0
71,2016-07-19,5.93,5.93,5.93,5.93,0
72,2016-07-20,5.93,5.93,5.93,5.93,0
73,2016-07-21,6.14,6.8,6.14,6.8,7900
74,2016-07-22,6.8,6.8,6.8,6.8,100
75,2016-07-25,6.8,7.13,6.8,7.13,2000
76,2016-07-26,7.02,7.02,6.93,6.93,14500
77,2016-07-27,6.8,7.13,6.8,7.13,2500
78,2016-07-28,7.13,7.13,7.13,7.13,0
79,2016-07-29,7.13,7.13,7.13,7.13,0
80,2016-08-01,7.13,7.13,7.13,7.13,0
81,2016-08-02,7.13,7.35,7.13,7.35,1500
82,2016-08-03,7.68,7.68,7.68,7.68,100
83,2016-08-04,7.68,7.68,7.68,7.68,0
84,2016-08-05,7.68,7.68,7.68,7.68,0
