,time,open,high,low,close,volume
0,2018-08-30,8.76,0.0,0.0,0.0,0
1,2018-08-31,8.76,8.76,8.76,8.76,0
2,2018-09-04,8.76,8.76,8.76,8.76,0
3,2018-09-05,8.76,8.76,8.76,8.76,0
4,2018-09-06,8.76,8.76,8.76,8.76,0
5,2018-09-07,8.76,8.76,8.76,8.76,0
6,2018-09-10,8.76,8.76,8.76,8.76,0
7,2018-09-11,8.76,8.76,8.76,8.76,0
8,2018-09-12,8.76,8.76,8.76,8.76,0
9,2018-09-13,8.76,8.76,8.76,8.76,0
10,2018-09-14,8.76,8.76,8.76,8.76,0
11,2018-09-17,8.76,8.76,8.76,8.76,0
12,2018-09-18,8.76,8.76,8.76,8.76,0
13,2018-09-19,8.76,8.76,8.76,8.76,0
14,2018-09-20,8.76,8.76,8.76,8.76,0
15,2018-09-21,8.76,8.76,8.76,8.76,0
16,2018-09-24,8.76,8.76,8.76,8.76,0
17,2018-09-25,8.76,8.76,8.76,8.76,0
18,2018-09-26,8.76,8.76,8.76,8.76,0
19,2018-09-27,8.76,8.76,8.76,8.76,0
20,2018-09-28,8.76,8.76,8.76,8.76,0
21,2018-10-01,8.76,8.76,8.76,8.76,0
22,2018-10-02,8.76,8.76,8.76,8.76,0
23,2018-10-03,8.76,8.76,8.76,8.76,0
24,2018-10-04,8.76,8.76,8.76,8.76,0
25,2018-10-05,8.76,8.76,8.76,8.76,0
26,2018-10-08,8.76,8.76,8.76,8.76,0
27,2018-10-09,8.76,8.76,8.76,8.76,0
28,2018-10-10,8.76,8.76,8.76,8.76,0
29,2018-10-11,8.76,8.76,8.76,8.76,0
30,2018-10-12,8.76,8.76,8.76,8.76,0
31,2018-10-15,8.76,8.76,8.76,8.76,0
32,2018-10-16,8.76,8.76,8.76,8.76,0
33,2018-10-17,8.76,8.76,8.76,8.76,0
34,2018-10-18,8.76,8.76,8.76,8.76,0
35,2018-10-19,8.76,8.76,8.76,8.76,0
36,2018-10-22,8.76,8.76,8.76,8.76,0
37,2018-10-23,8.76,8.76,8.76,8.76,0
38,2018-10-24,8.76,8.76,8.76,8.76,0
39,2018-10-25,8.76,8.76,8.76,8.76,0
40,2018-10-26,8.76,8.76,8.76,8.76,0
41,2018-10-29,8.76,8.76,8.76,8.76,0
42,2018-10-30,8.76,8.76,8.76,8.76,0
43,2018-10-31,8.76,8.76,8.76,8.76,0
44,2018-11-01,8.76,8.76,8.76,8.76,0
45,2018-11-02,8.76,8.76,8.76,8.76,0
46,2018-11-05,8.76,8.76,8.76,8.76,0
47,2018-11-06,8.76,8.76,8.76,8.76,0
48,2018-11-07,8.76,8.76,8.76,8.76,0
49,2018-11-08,8.76,8.76,8.76,8.76,0
50,2018-11-09,8.76,8.76,8.76,8.76,0
51,2018-11-12,8.76,8.76,8.76,8.76,0
52,2018-11-13,8.76,8.76,8.76,8.76,0
53,2018-11-14,8.76,8.76,8.76,8.76,0
54,2018-11-15,8.76,8.76,8.76,8.76,0
55,2018-11-16,8.76,8.76,8.76,8.76,0
56,2018-11-19,8.76,8.76,8.76,8.76,0
57,2018-11-20,8.76,8.76,8.76,8.76,0
58,2018-11-21,8.76,8.76,8.76,8.76,0
59,2018-11-22,8.76,8.76,8.76,8.76,0
60,2018-11-23,8.76,8.76,8.76,8.76,0
61,2018-11-26,8.76,8.76,8.76,8.76,0
62,2018-11-27,8.76,8.76,8.76,8.76,0
63,2018-11-28,8.76,8.76,8.76,8.76,0
64,2018-11-29,8.76,8.76,8.76,8.76,0
65,2018-11-30,8.76,8.76,8.76,8.76,0
66,2018-12-03,8.76,8.76,8.76,8.76,0
67,2018-12-04,8.76,8.76,8.76,8.76,0
68,2018-12-05,8.76,8.76,8.76,8.76,0
69,2018-12-06,8.76,8.76,8.76,8.76,0
70,2018-12-07,8.76,8.76,8.76,8.76,0
71,2018-12-10,8.76,8.76,8.76,8.76,0
72,2018-12-11,8.76,8.76,8.76,8.76,0
73,2018-12-12,8.76,8.76,8.76,8.76,0
74,2018-12-13,8.76,8.76,8.76,8.76,0
75,2018-12-14,8.76,8.76,8.76,8.76,0
76,2018-12-17,8.76,8.76,8.76,8.76,0
77,2018-12-18,8.76,8.76,8.76,8.76,0
78,2018-12-19,8.76,8.76,8.76,8.76,0
79,2018-12-20,8.76,8.76,8.76,8.76,0
80,2018-12-21,8.76,8.76,8.76,8.76,0
81,2018-12-24,8.76,8.76,8.76,8.76,0
82,2018-12-25,8.76,8.76,8.76,8.76,0
83,2018-12-26,8.76,8.76,8.76,8.76,0
84,2018-12-27,8.76,8.76,8.76,8.76,0
85,2018-12-28,8.76,8.76,8.76,8.76,0
86,2019-01-02,8.76,8.76,8.76,8.76,0
87,2019-01-03,8.76,8.76,8.76,8.76,0
88,2019-01-04,8.76,8.76,8.76,8.76,0
89,2019-01-07,8.76,8.76,8.76,8.76,0
90,2019-01-08,8.76,8.76,8.76,8.76,0
91,2019-01-09,8.76,8.76,8.76,8.76,0
92,2019-01-10,8.76,8.76,8.76,8.76,0
93,2019-01-11,8.76,8.76,8.76,8.76,0
94,2019-01-14,8.76,8.76,8.76,8.76,0
95,2019-01-15,8.76,8.76,8.76,8.76,0
96,2019-01-16,8.76,8.76,8.76,8.76,0
97,2019-01-17,8.76,8.76,8.76,8.76,0
98,2019-01-18,8.76,8.76,8.76,8.76,0
99,2019-01-21,8.76,8.76,8.76,8.76,0
100,2019-01-22,8.76,8.76,8.76,8.76,0
101,2019-01-23,8.76,8.76,8.76,8.76,0
102,2019-01-24,8.76,8.76,8.76,8.76,0
103,2019-01-25,8.76,8.76,8.76,8.76,0
104,2019-01-28,8.76,8.76,8.76,8.76,0
105,2019-01-29,8.76,8.76,8.76,8.76,0
106,2019-01-30,8.76,8.76,8.76,8.76,0
107,2019-01-31,8.76,8.76,8.76,8.76,0
108,2019-02-01,8.76,8.76,8.76,8.76,0
109,2019-02-11,8.76,8.76,8.76,8.76,0
110,2019-02-12,8.76,8.76,8.76,8.76,0
111,2019-02-13,8.76,8.76,8.76,8.76,0
112,2019-02-14,8.76,8.76,8.76,8.76,0
113,2019-02-15,8.76,8.76,8.76,8.76,0
114,2019-02-18,8.76,8.76,8.76,8.76,0
115,2019-02-19,8.76,8.76,8.76,8.76,0
116,2019-02-20,8.76,8.76,8.76,8.76,0
117,2019-02-21,8.76,8.76,8.76,8.76,0
118,2019-02-22,8.76,8.76,8.76,8.76,0
119,2019-02-25,8.76,8.76,8.76,8.76,0
120,2019-02-26,8.76,8.76,8.76,8.76,0
121,2019-02-27,8.76,8.76,8.76,8.76,0
122,2019-02-28,8.76,8.76,8.76,8.76,0
123,2019-03-01,8.76,8.76,8.76,8.76,0
124,2019-03-04,8.76,8.76,8.76,8.76,0
125,2019-03-05,8.76,8.76,8.76,8.76,0
126,2019-03-06,8.76,8.76,8.76,8.76,0
127,2019-03-07,8.76,8.76,8.76,8.76,0
128,2019-03-08,8.76,8.76,8.76,8.76,0
129,2019-03-11,8.76,8.76,8.76,8.76,0
130,2019-03-12,8.76,8.76,8.76,8.76,0
131,2019-03-13,8.76,8.76,8.76,8.76,0
132,2019-03-14,8.76,8.76,8.76,8.76,0
133,2019-03-15,8.76,8.76,8.76,8.76,0
134,2019-03-18,8.76,8.76,8.76,8.76,0
135,2019-03-19,8.76,8.76,8.76,8.76,0
136,2019-03-20,8.76,8.76,8.76,8.76,0
137,2019-03-21,8.76,8.76,8.76,8.76,0
138,2019-03-22,8.76,8.76,8.76,8.76,0
139,2019-03-25,8.76,8.76,8.76,8.76,0
140,2019-03-26,8.76,8.76,8.76,8.76,0
141,2019-03-27,8.76,8.76,8.76,8.76,0
142,2019-03-28,8.76,8.76,8.76,8.76,0
143,2019-03-29,8.76,8.76,8.76,8.76,0
144,2019-04-01,8.76,8.76,8.76,8.76,0
145,2019-04-02,8.76,8.76,8.76,8.76,0
146,2019-04-03,8.76,8.76,8.76,8.76,0
147,2019-04-04,8.76,8.76,8.76,8.76,0
148,2019-04-05,8.76,8.76,8.76,8.76,0
149,2019-04-08,8.76,8.76,8.76,8.76,0
150,2019-04-09,8.76,8.76,8.76,8.76,0
151,2019-04-10,8.76,8.76,8.76,8.76,0
152,2019-04-11,8.76,8.76,8.76,8.76,0
153,2019-04-12,8.76,8.76,8.76,8.76,0
154,2019-04-16,8.76,8.76,8.76,8.76,0
155,2019-04-17,8.76,8.76,8.76,8.76,0
156,2019-04-18,8.76,8.76,8.76,8.76,0
157,2019-04-19,8.76,8.76,8.76,8.76,0
158,2019-04-22,8.76,8.76,8.76,8.76,0
159,2019-04-23,8.76,8.76,8.76,8.76,0
160,2019-04-24,8.76,8.76,8.76,8.76,0
161,2019-04-25,8.76,8.76,8.76,8.76,0
162,2019-04-26,8.76,8.76,8.76,8.76,0
163,2019-05-02,8.76,8.76,8.76,8.76,0
164,2019-05-03,8.76,8.76,8.76,8.76,0
165,2019-05-06,8.76,8.76,8.76,8.76,0
166,2019-05-07,8.76,8.76,8.76,8.76,0
167,2019-05-08,8.76,8.76,8.76,8.76,0
168,2019-05-09,8.76,8.76,8.76,8.76,0
169,2019-05-10,8.76,8.76,8.76,8.76,0
170,2019-05-13,8.76,8.76,8.76,8.76,0
171,2019-05-14,8.76,8.76,8.76,8.76,0
172,2019-05-15,8.76,8.76,8.76,8.76,0
173,2019-05-16,8.76,8.76,8.76,8.76,0
174,2019-05-17,8.76,8.76,8.76,8.76,0
175,2019-05-20,8.76,8.76,8.76,8.76,0
176,2019-05-21,8.76,8.76,8.76,8.76,0
177,2019-05-22,8.76,8.76,8.76,8.76,0
178,2019-05-23,8.76,8.76,8.76,8.76,0
179,2019-05-24,8.76,8.76,8.76,8.76,0
180,2019-05-27,8.76,8.76,8.76,8.76,0
181,2019-05-28,8.76,8.76,8.76,8.76,0
182,2019-05-29,8.76,8.76,8.76,8.76,0
183,2019-05-30,8.76,8.76,8.76,8.76,0
184,2019-05-31,8.76,8.76,8.76,8.76,0
185,2019-06-03,8.76,8.76,8.76,8.76,0
186,2019-06-04,8.76,8.76,8.76,8.76,0
187,2019-06-05,8.76,8.76,8.76,8.76,0
188,2019-06-06,8.76,8.76,8.76,8.76,0
189,2019-06-07,8.76,8.76,8.76,8.76,0
190,2019-06-10,8.76,8.76,8.76,8.76,0
191,2019-06-11,8.76,8.76,8.76,8.76,0
192,2019-06-12,8.76,8.76,8.76,8.76,0
193,2019-06-13,8.76,8.76,8.76,8.76,0
194,2019-06-14,8.76,8.76,8.76,8.76,0
195,2019-06-17,8.76,8.76,8.76,8.76,0
196,2019-06-18,8.76,8.76,8.76,8.76,0
197,2019-06-19,8.76,8.76,8.76,8.76,0
198,2019-06-20,8.76,8.76,8.76,8.76,0
199,2019-06-21,8.76,8.76,8.76,8.76,0
200,2019-06-24,8.76,8.76,8.76,8.76,0
201,2019-06-25,8.76,8.76,8.76,8.76,0
202,2019-06-26,8.76,8.76,8.76,8.76,0
203,2019-06-27,8.76,8.76,8.76,8.76,0
204,2019-06-28,8.76,8.76,8.76,8.76,0
205,2019-07-01,8.76,8.76,8.76,8.76,0
206,2019-07-02,8.76,8.76,8.76,8.76,0
207,2019-07-03,8.76,8.76,8.76,8.76,0
208,2019-07-04,8.76,8.76,8.76,8.76,0
209,2019-07-05,8.76,8.76,8.76,8.76,0
210,2019-07-08,8.76,8.76,8.76,8.76,0
211,2019-07-09,8.76,8.76,8.76,8.76,0
212,2019-07-10,8.76,8.76,8.76,8.76,0
213,2019-07-11,8.76,8.76,8.76,8.76,0
214,2019-07-12,8.76,8.76,8.76,8.76,0
215,2019-07-15,8.76,8.76,8.76,8.76,0
216,2019-07-16,8.76,8.76,8.76,8.76,0
217,2019-07-17,8.76,8.76,8.76,8.76,0
218,2019-07-18,8.76,8.76,8.76,8.76,0
219,2019-07-19,8.76,8.76,8.76,8.76,0
220,2019-07-22,8.76,8.76,8.76,8.76,0
221,2019-07-23,8.76,8.76,8.76,8.76,0
222,2019-07-24,8.76,8.76,8.76,8.76,0
223,2019-07-25,8.76,8.76,8.76,8.76,0
224,2019-07-26,8.76,8.76,8.76,8.76,0
225,2019-07-29,8.76,8.76,8.76,8.76,0
226,2019-07-30,8.76,8.76,8.76,8.76,0
227,2019-07-31,8.76,8.76,8.76,8.76,0
228,2019-08-01,8.76,8.76,8.76,8.76,0
229,2019-08-02,8.76,8.76,8.76,8.76,0
230,2019-08-05,8.76,8.76,8.76,8.76,0
231,2019-08-06,8.76,8.76,8.76,8.76,0
232,2019-08-07,8.76,8.76,8.76,8.76,0
233,2019-08-08,8.76,8.76,8.76,8.76,0
234,2019-08-09,8.76,8.76,8.76,8.76,0
235,2019-08-12,8.76,8.76,8.76,8.76,0
236,2019-08-13,8.76,8.76,8.76,8.76,0
237,2019-08-14,8.76,8.76,8.76,8.76,0
238,2019-08-15,8.76,8.76,8.76,8.76,0
239,2019-08-16,8.76,8.76,8.76,8.76,0
240,2019-08-19,8.76,8.76,8.76,8.76,0
241,2019-08-20,8.76,8.76,8.76,8.76,0
242,2019-08-21,8.76,8.76,8.76,8.76,0
243,2019-08-22,8.76,8.76,8.76,8.76,0
244,2019-08-23,8.76,8.76,8.76,8.76,0
245,2019-08-26,8.76,8.76,8.76,8.76,0
246,2019-08-27,8.76,8.76,8.76,8.76,0
247,2019-08-28,8.76,8.76,8.76,8.76,0
248,2019-08-29,8.76,8.76,8.76,8.76,0
249,2019-08-30,8.76,8.76,8.76,8.76,0
250,2019-09-03,8.76,8.76,8.76,8.76,0
251,2019-09-04,8.76,8.76,8.76,8.76,0
252,2019-09-05,8.76,8.76,8.76,8.76,0
