,time,open,high,low,close,volume
0,2009-08-18,29.5,29.5,24.13,25.74,53100
1,2009-08-19,26.01,26.01,24.13,24.13,19600
2,2009-08-20,25.74,25.74,23.87,23.87,22400
3,2009-08-21,24.67,24.67,23.01,23.01,27000
4,2009-08-24,21.77,21.77,21.61,21.61,17800
5,2009-08-25,20.11,23.12,20.11,23.12,447600
6,2009-08-26,22.69,22.69,22.69,22.69,100
7,2009-08-27,24.24,24.24,24.24,24.24,5500
8,2009-08-28,25.9,25.9,24.94,25.9,193400
9,2009-08-31,27.62,27.62,26.82,27.62,124900
10,2009-09-01,29.39,29.39,27.08,28.16,137000
11,2009-09-03,26.82,27.62,26.71,27.14,102700
12,2009-09-04,25.21,26.28,25.21,25.21,79300
13,2009-09-07,25.21,25.21,23.54,25.21,53300
14,2009-09-08,26.01,26.12,25.74,26.12,28100
15,2009-09-09,27.67,27.67,26.82,27.67,133600
16,2009-09-10,28.0,28.42,27.57,27.89,31800
17,2009-09-11,27.89,27.89,26.55,26.82,37400
18,2009-09-14,27.08,28.1,26.82,27.62,42700
19,2009-09-15,28.37,28.42,27.62,28.32,89600
20,2009-09-16,29.5,30.03,28.69,30.03,84700
21,2009-09-17,31.64,31.75,31.37,31.75,86800
22,2009-09-18,33.73,33.73,30.09,30.89,20600
23,2009-09-21,33.2,33.2,30.09,30.84,48700
24,2009-09-22,30.3,30.46,29.5,29.5,47700
25,2009-09-23,30.3,30.57,29.5,30.03,68600
26,2009-09-24,30.03,30.57,29.77,30.03,16700
27,2009-09-25,30.03,31.11,30.03,31.11,34600
28,2009-09-28,31.11,31.37,30.84,31.05,26700
29,2009-09-29,32.18,32.72,31.21,32.02,23200
30,2009-09-30,32.45,32.45,30.03,30.3,25200
31,2009-10-01,30.03,31.05,29.77,30.03,26200
32,2009-10-02,28.1,29.18,28.05,29.18,29200
33,2009-10-05,29.5,29.5,27.62,27.89,13000
34,2009-10-06,26.82,27.08,26.01,26.28,50700
35,2009-10-07,26.6,28.42,26.6,28.42,184100
36,2009-10-08,30.25,30.25,28.96,30.25,140400
37,2009-10-09,31.64,32.29,31.64,32.29,116100
38,2009-10-12,34.32,34.43,32.18,32.18,164000
39,2009-10-13,32.18,32.18,30.68,30.68,150200
40,2009-10-14,33.2,33.2,33.2,33.2,404900
41,2009-10-15,35.5,35.5,35.5,35.5,156500
42,2009-10-16,37.97,37.97,36.2,37.54,457800
43,2009-10-19,37.81,37.81,35.18,35.4,251800
44,2009-10-20,35.93,35.93,34.86,35.93,400300
45,2009-10-21,37.6,37.6,35.93,36.2,421700
46,2009-10-22,37.54,38.94,36.47,38.94,450100
47,2009-10-23,41.19,41.46,37.6,39.69,437800
48,2009-10-26,38.35,41.3,38.29,38.29,195800
49,2009-10-27,41.02,41.02,36.7,38.86,366900
50,2009-10-28,39.72,40.15,36.79,36.96,120500
51,2009-10-29,35.23,36.27,35.23,35.58,94800
52,2009-10-30,37.65,37.65,34.54,36.18,59700
53,2009-11-02,37.91,37.91,33.76,33.76,54900
54,2009-11-03,34.11,34.11,31.69,31.69,40400
55,2009-11-04,29.79,33.94,29.62,31.78,540000
56,2009-11-05,33.24,33.42,32.81,33.42,267700
57,2009-11-06,35.75,35.75,33.85,34.8,200700
58,2009-11-09,34.54,35.32,32.9,32.9,65900
59,2009-11-10,31.17,32.81,30.83,31.09,321800
60,2009-11-11,31.09,31.95,29.1,31.09,87900
61,2009-11-12,31.09,31.52,30.22,31.09,92900
62,2009-11-13,29.62,31.0,29.45,30.83,34300
63,2009-11-16,30.22,31.09,29.45,30.22,45700
64,2009-11-17,30.48,31.09,29.45,30.22,76700
65,2009-11-18,29.62,30.91,29.19,30.74,89700
66,2009-11-19,31.09,32.12,31.09,32.12,394900
67,2009-11-20,33.33,33.33,31.78,32.29,154600
68,2009-11-23,32.81,32.81,30.48,30.65,65100
69,2009-11-24,30.91,31.17,29.19,29.7,85000
70,2009-11-25,28.67,28.67,27.89,27.89,96100
71,2009-11-26,26.08,26.34,26.08,26.08,75500
72,2009-11-27,24.26,26.25,24.26,24.26,139900
73,2009-11-30,24.35,25.9,24.18,25.9,63000
74,2009-12-01,25.9,26.68,25.04,26.68,102400
75,2009-12-02,26.77,26.77,24.7,24.7,42400
76,2009-12-03,24.78,25.04,23.75,24.01,47800
77,2009-12-04,25.04,25.04,23.92,24.61,42200
78,2009-12-07,24.52,25.39,24.52,24.96,23100
79,2009-12-08,24.61,25.3,23.57,23.57,18700
80,2009-12-09,22.45,22.54,22.11,22.11,58200
81,2009-12-10,22.19,22.62,20.72,20.9,60700
82,2009-12-11,19.86,19.86,19.52,19.52,55400
83,2009-12-14,18.22,20.81,18.22,19.43,90800
84,2009-12-15,18.82,19.0,17.53,17.53,59500
85,2009-12-16,17.1,17.27,17.01,17.01,55900
86,2009-12-17,16.32,17.7,15.89,16.84,58300
87,2009-12-18,17.27,17.36,17.27,17.36,85800
88,2009-12-21,18.48,18.57,18.13,18.57,35400
89,2009-12-22,19.69,19.69,19.69,19.69,59700
90,2009-12-23,20.98,20.98,20.72,20.98,76600
91,2009-12-24,22.45,22.45,22.45,22.45,13000
92,2009-12-25,24.01,24.01,24.01,24.01,12900
93,2009-12-28,25.65,25.65,25.65,25.65,107800
94,2009-12-29,27.37,27.37,26.16,27.37,340900
95,2009-12-30,29.19,29.19,28.06,29.19,162000
96,2009-12-31,31.17,31.17,30.22,31.09,111300
97,2010-01-04,32.81,33.33,31.95,33.33,87000
98,2010-01-05,35.32,35.32,34.54,35.14,268000
99,2010-01-06,33.68,34.54,32.9,32.9,180300
100,2010-01-07,31.09,31.09,31.09,31.09,56600
101,2010-01-08,28.93,33.24,28.93,31.52,424200
102,2010-01-11,31.09,32.47,30.22,31.52,76000
103,2010-01-12,31.26,31.26,28.93,28.93,82000
104,2010-01-13,27.37,31.09,27.37,30.22,161000
105,2010-01-14,29.79,30.05,29.36,30.05,143500
106,2010-01-15,31.95,32.04,29.36,29.79,29900
107,2010-01-18,28.5,28.5,28.06,28.06,56500
108,2010-01-19,28.06,28.15,26.42,27.63,82400
109,2010-01-20,28.5,28.5,25.82,25.82,123400
110,2010-01-21,25.47,25.9,24.7,24.7,97600
111,2010-01-22,24.18,24.78,23.06,24.78,62400
112,2010-01-25,25.04,25.47,24.87,25.47,58700
113,2010-01-26,27.11,27.11,27.11,27.11,14100
114,2010-01-27,28.93,28.93,26.85,27.63,153200
115,2010-01-28,26.51,27.29,26.51,26.51,78700
116,2010-01-29,25.04,27.63,24.78,26.42,131300
117,2010-02-01,26.77,27.55,25.9,27.55,69300
118,2010-02-02,27.29,27.37,26.51,26.77,31100
119,2010-02-03,26.85,27.46,26.42,27.03,24900
120,2010-02-04,27.11,27.63,26.25,27.2,51900
121,2010-02-05,25.99,27.37,25.47,25.9,70900
122,2010-02-08,25.04,25.47,24.78,25.04,41800
123,2010-02-09,24.18,25.47,23.83,23.83,65400
124,2010-02-10,24.18,25.82,24.18,25.82,58800
125,2010-02-11,26.08,27.11,26.08,27.11,85000
126,2010-02-12,28.75,28.75,27.03,27.2,47700
127,2010-02-22,29.36,29.36,27.29,27.29,17900
128,2010-02-23,27.63,27.63,25.73,25.9,67900
129,2010-02-24,25.04,27.2,25.04,27.03,47500
130,2010-02-25,27.63,27.63,26.34,26.68,36100
131,2010-02-26,26.6,26.77,26.34,26.6,27700
132,2010-03-01,26.34,28.41,26.34,28.41,126800
133,2010-03-02,29.7,29.7,28.93,29.7,327400
134,2010-03-03,31.52,31.6,29.36,29.79,55600
135,2010-03-04,30.22,31.86,29.96,30.22,132600
136,2010-03-05,30.22,32.38,30.14,32.12,132200
137,2010-03-08,31.95,32.64,31.78,31.95,141200
138,2010-03-09,30.22,31.95,30.22,31.09,114100
139,2010-03-10,30.65,31.17,30.05,30.22,94000
140,2010-03-11,30.4,31.09,30.31,30.4,78500
141,2010-03-12,30.65,31.09,30.22,31.09,126900
142,2010-03-15,31.52,32.73,31.52,31.78,136200
143,2010-03-16,31.78,31.95,29.88,29.96,105200
144,2010-03-17,30.65,30.65,28.58,29.36,61200
145,2010-03-18,30.22,31.09,29.19,30.22,59200
146,2010-03-19,30.4,30.57,29.45,29.79,60900
147,2010-03-22,29.36,30.22,28.5,28.5,88900
148,2010-03-23,29.53,29.53,28.06,28.84,67900
149,2010-03-24,29.27,30.57,28.67,30.22,62400
150,2010-03-25,29.36,29.36,28.32,28.5,45400
151,2010-03-26,28.67,29.36,28.32,29.19,59000
152,2010-03-29,29.36,30.05,29.19,29.62,65800
153,2010-03-30,29.79,31.86,29.79,31.86,522400
154,2010-03-31,33.59,33.68,31.0,31.95,185100
155,2010-04-01,32.64,32.64,30.4,30.4,97200
156,2010-04-02,32.38,32.38,30.22,31.78,140400
157,2010-04-05,31.78,33.16,31.78,33.16,342700
158,2010-04-06,35.23,35.23,32.55,32.64,285000
159,2010-04-07,32.99,34.19,32.9,33.85,262100
160,2010-04-08,33.59,35.4,32.81,33.94,181700
161,2010-04-09,34.02,34.8,32.38,32.73,172400
162,2010-04-12,32.99,33.16,31.09,31.69,122100
163,2010-04-13,32.04,32.04,30.83,31.26,107700
164,2010-04-14,31.09,33.42,30.65,32.47,167600
165,2010-04-15,33.24,33.24,31.6,32.21,105500
166,2010-04-16,31.95,32.38,31.09,31.09,135000
167,2010-04-19,31.69,31.95,31.09,31.43,110300
168,2010-04-20,31.95,32.47,31.35,32.38,210600
169,2010-04-21,32.9,34.11,32.21,34.11,348600
170,2010-04-22,34.54,35.06,32.38,32.47,98000
171,2010-04-26,31.95,32.38,31.78,31.95,47100
172,2010-04-27,32.04,32.81,31.6,32.29,80600
173,2010-04-28,31.95,32.12,31.52,31.86,132500
174,2010-04-29,32.12,32.12,31.6,31.78,127900
175,2010-05-04,31.78,32.81,31.52,31.95,104600
176,2010-05-05,31.86,31.86,31.09,31.26,79700
177,2010-05-06,31.95,32.81,31.52,32.55,158700
178,2010-05-07,31.95,31.95,30.31,31.0,132800
179,2010-05-10,31.0,32.38,31.0,32.29,193300
180,2010-05-11,32.81,33.42,31.78,31.78,97400
181,2010-05-12,32.55,32.64,30.14,30.4,162100
182,2010-05-13,30.91,31.09,30.22,30.91,80300
183,2010-05-14,28.58,31.09,28.58,29.79,84300
184,2010-05-17,30.14,30.22,28.67,28.84,67500
185,2010-05-18,28.93,29.27,28.32,28.32,59100
186,2010-05-19,27.89,27.89,26.51,26.51,154500
187,2010-05-20,25.04,27.2,24.87,26.42,95500
188,2010-05-21,24.18,24.61,23.75,23.75,130000
189,2010-05-24,24.87,25.47,23.31,25.3,53200
190,2010-05-25,25.65,25.65,24.87,24.87,53000
191,2010-05-26,25.39,26.85,24.87,26.68,104200
192,2010-05-27,25.99,26.34,25.47,26.08,32100
193,2010-05-28,27.89,27.89,27.46,27.89,135200
194,2010-05-31,27.63,28.41,27.29,27.37,47200
195,2010-06-01,26.85,27.46,26.51,26.94,55700
196,2010-06-02,26.77,27.11,26.16,26.51,47400
197,2010-06-03,27.63,27.8,25.9,26.77,94700
198,2010-06-04,25.99,27.03,25.99,26.16,43100
199,2010-06-07,25.9,25.9,24.35,24.44,105200
200,2010-06-08,24.01,25.47,24.01,25.21,66500
