,time,open,high,low,close,volume
0,2020-12-31,11.43,11.43,11.43,11.43,5000
1,2021-01-04,11.43,12.21,11.43,12.21,10600
2,2021-01-05,13.03,13.03,13.03,13.03,192500
3,2021-01-06,13.94,13.94,13.81,13.94,647500
4,2021-01-07,14.89,14.89,12.99,14.8,889400
5,2021-01-08,14.98,15.15,13.81,14.28,357000
6,2021-01-11,13.59,13.85,13.29,13.29,102500
7,2021-01-12,12.38,12.38,12.38,12.38,107500
8,2021-01-13,11.51,12.38,11.51,11.95,787000
9,2021-01-14,12.12,12.38,11.12,11.6,400600
10,2021-01-15,11.77,12.03,11.6,11.77,187600
11,2021-01-18,11.77,11.77,11.04,11.08,350100
12,2021-01-19,10.99,11.04,10.35,10.65,355900
13,2021-01-20,10.22,10.39,10.0,10.35,107200
14,2021-01-21,10.39,10.74,10.22,10.65,148700
15,2021-01-22,10.78,10.82,10.39,10.48,167900
16,2021-01-25,10.3,10.48,10.13,10.3,160000
17,2021-01-26,10.22,10.39,10.04,10.22,128500
18,2021-01-27,10.09,10.3,9.87,10.22,177600
19,2021-01-28,9.96,10.04,9.65,10.04,308300
20,2021-01-29,9.96,10.56,9.96,10.48,169200
21,2021-02-01,10.56,10.86,10.48,10.65,348100
22,2021-02-02,10.74,10.74,10.39,10.48,1019200
23,2021-02-03,10.3,10.61,10.3,10.56,965700
24,2021-02-04,10.61,10.61,10.35,10.35,163300
25,2021-02-05,10.26,10.35,10.17,10.22,359200
26,2021-02-08,10.17,10.22,9.96,9.96,146500
27,2021-02-09,9.96,10.13,9.87,10.04,132600
28,2021-02-17,10.22,10.22,9.96,10.13,114100
29,2021-02-18,10.22,10.22,10.04,10.04,259200
30,2021-02-19,9.96,10.0,9.91,9.96,135400
31,2021-02-22,9.96,10.04,9.91,10.04,584600
32,2021-02-23,10.09,10.26,10.09,10.13,203100
33,2021-02-24,10.13,10.13,10.04,10.09,166700
34,2021-02-25,10.04,10.13,10.0,10.0,852700
35,2021-02-26,9.87,10.0,9.87,9.91,92600
36,2021-03-01,9.96,10.04,9.96,10.0,74400
37,2021-03-02,10.0,10.0,9.96,10.0,328300
38,2021-03-03,10.04,10.13,9.96,10.13,142000
39,2021-03-04,10.26,10.48,10.13,10.43,787300
40,2021-03-05,10.43,10.74,10.43,10.56,392400
41,2021-03-08,10.78,10.78,10.48,10.48,41100
42,2021-03-09,10.48,10.48,9.96,10.22,189500
43,2021-03-10,10.04,10.22,9.91,10.13,161800
44,2021-03-11,10.04,10.04,9.91,9.96,384700
45,2021-03-12,9.96,9.96,9.74,9.83,180700
46,2021-03-15,9.78,9.87,9.57,9.83,384600
47,2021-03-16,9.87,9.96,9.52,9.74,337900
48,2021-03-17,9.74,9.74,9.48,9.57,239500
49,2021-03-18,9.57,9.7,9.48,9.7,108900
50,2021-03-19,9.7,9.7,9.48,9.61,123500
51,2021-03-22,9.61,9.61,9.44,9.52,224700
52,2021-03-23,9.48,9.83,9.44,9.74,567000
53,2021-03-24,9.52,9.87,9.52,9.57,184200
54,2021-03-25,9.57,9.78,9.44,9.48,226700
55,2021-03-26,9.48,9.52,9.39,9.48,161000
56,2021-03-29,9.52,9.7,9.44,9.61,221200
57,2021-03-30,9.78,10.13,9.57,10.13,1065100
58,2021-03-31,10.13,10.3,10.09,10.13,564900
59,2021-04-01,10.13,10.17,9.7,9.7,301700
60,2021-04-02,9.7,9.7,9.48,9.7,380700
61,2021-04-05,9.7,9.78,9.48,9.61,197000
62,2021-04-06,9.61,9.7,9.48,9.52,187100
63,2021-04-07,9.52,9.52,9.39,9.52,220100
64,2021-04-08,9.61,9.65,9.44,9.61,154000
65,2021-04-09,9.83,10.0,9.48,9.83,571100
66,2021-04-12,9.87,9.91,9.7,9.78,250300
67,2021-04-13,9.74,9.83,9.44,9.48,250900
68,2021-04-14,9.44,9.7,9.35,9.61,216800
69,2021-04-15,9.61,9.7,9.44,9.52,736300
70,2021-04-16,9.52,9.61,9.35,9.48,146200
71,2021-04-19,9.48,9.52,9.35,9.52,185300
72,2021-04-20,9.48,9.52,9.39,9.48,172000
73,2021-04-22,9.48,9.48,9.18,9.18,180400
74,2021-04-23,9.13,9.18,8.87,9.09,96700
75,2021-04-26,9.09,9.18,8.61,8.66,248800
76,2021-04-27,8.66,8.92,8.61,8.7,235100
77,2021-04-28,8.7,8.74,8.61,8.74,104500
78,2021-04-29,8.74,8.79,8.66,8.66,135800
79,2021-05-04,8.57,8.83,8.57,8.7,153100
80,2021-05-05,8.74,8.83,8.66,8.7,143400
81,2021-05-06,8.7,8.7,8.63,8.7,118000
82,2021-05-07,8.66,8.74,8.63,8.66,116800
83,2021-05-10,8.66,8.7,8.59,8.66,109800
84,2021-05-11,8.66,8.96,8.61,8.83,130200
85,2021-05-12,8.66,8.92,8.63,8.66,68700
86,2021-05-13,8.66,8.74,8.62,8.74,84300
87,2021-05-14,8.66,8.74,8.63,8.7,68800
88,2021-05-17,8.7,8.7,8.66,8.7,103800
89,2021-05-18,8.66,8.7,8.66,8.66,101800
90,2021-05-19,8.87,8.87,8.65,8.7,83500
91,2021-05-20,8.92,9.09,8.66,9.09,440200
92,2021-05-21,9.18,9.39,9.09,9.31,291500
93,2021-05-24,9.39,9.44,9.26,9.31,218000
94,2021-05-25,9.31,9.35,9.05,9.31,211700
95,2021-05-26,9.31,9.61,9.26,9.57,489300
96,2021-05-27,9.7,9.96,9.57,9.57,392700
97,2021-05-28,9.74,9.78,9.52,9.61,135900
98,2021-05-31,9.61,9.61,9.18,9.44,188700
99,2021-06-01,9.57,9.57,9.22,9.22,133300
100,2021-06-02,9.31,9.57,9.13,9.57,374000
101,2021-06-03,9.7,10.04,9.57,9.96,542700
102,2021-06-04,10.04,10.17,9.91,10.04,383800
103,2021-06-07,9.96,10.22,9.91,10.04,275900
104,2021-06-08,9.91,10.13,9.78,9.78,145900
105,2021-06-09,9.74,9.78,9.52,9.65,139700
106,2021-06-10,9.57,9.65,9.35,9.44,132700
107,2021-06-11,9.52,9.78,9.44,9.7,280300
108,2021-06-14,9.7,9.78,9.61,9.7,148100
109,2021-06-15,9.7,10.35,9.57,10.35,1432000
110,2021-06-16,10.39,10.78,10.39,10.65,854000
111,2021-06-17,10.56,10.65,10.22,10.26,169000
112,2021-06-18,10.26,10.35,9.78,9.96,591800
113,2021-06-21,9.87,9.96,9.61,9.61,424700
114,2021-06-22,9.65,10.04,9.44,9.96,387400
115,2021-06-23,10.0,10.04,9.44,9.7,437400
116,2021-06-24,9.7,9.83,9.39,9.7,139700
117,2021-06-25,9.52,9.78,9.48,9.65,82200
118,2021-06-28,9.7,9.78,9.39,9.44,162500
119,2021-06-29,9.52,9.78,9.48,9.78,789400
120,2021-06-30,9.61,9.61,9.44,9.48,140900
121,2021-07-01,9.52,9.7,9.0,9.26,308900
122,2021-07-02,9.0,9.18,8.74,8.83,578900
123,2021-07-05,8.79,9.13,8.74,9.0,302600
124,2021-07-06,9.0,9.09,8.66,8.66,354200
125,2021-07-07,8.7,8.83,8.4,8.66,264000
126,2021-07-08,8.45,8.83,8.45,8.66,128700
127,2021-07-09,8.66,8.66,8.48,8.66,149200
128,2021-07-12,8.66,8.83,8.05,8.74,441300
129,2021-07-13,8.74,8.74,8.48,8.66,99900
130,2021-07-14,8.57,8.74,8.42,8.66,113800
131,2021-07-15,8.66,8.83,8.64,8.83,216700
132,2021-07-16,8.83,8.83,8.66,8.66,126000
133,2021-07-19,8.48,8.66,8.41,8.66,185900
134,2021-07-20,8.7,8.74,8.4,8.74,224900
135,2021-07-21,8.79,8.79,8.66,8.66,177300
136,2021-07-22,8.66,8.96,8.66,8.96,390000
137,2021-07-23,9.0,9.0,8.87,8.87,168500
138,2021-07-26,8.87,9.0,8.74,8.92,159500
139,2021-07-27,9.0,9.13,8.87,9.0,268400
140,2021-07-28,9.0,9.05,8.74,8.83,388200
141,2021-07-29,8.74,8.92,8.66,8.74,82400
142,2021-07-30,8.74,8.83,8.7,8.79,97600
143,2021-08-02,8.74,8.79,8.61,8.74,136600
144,2021-08-03,8.66,8.83,8.66,8.74,130700
145,2021-08-04,8.66,9.35,8.66,9.35,568200
146,2021-08-05,9.44,9.61,9.35,9.44,404500
147,2021-08-06,9.44,9.52,9.31,9.35,192400
148,2021-08-09,9.26,9.35,9.09,9.26,115000
149,2021-08-10,9.35,9.35,9.18,9.18,122900
150,2021-08-11,9.26,9.61,9.18,9.52,502900
151,2021-08-12,9.61,9.7,9.26,9.44,278600
152,2021-08-13,9.35,9.52,9.22,9.44,116400
153,2021-08-16,9.35,9.7,9.26,9.61,261000
154,2021-08-17,9.78,10.04,9.61,10.04,882800
155,2021-08-18,10.04,10.13,9.91,9.96,321600
156,2021-08-19,10.0,10.13,9.87,10.0,162700
157,2021-08-20,9.87,10.39,9.78,10.3,716100
158,2021-08-23,10.3,10.48,10.22,10.35,242800
159,2021-08-24,10.35,10.48,10.22,10.39,220200
160,2021-08-25,10.35,11.08,10.17,11.08,1247000
161,2021-08-26,11.34,11.69,11.17,11.43,996000
162,2021-08-27,11.73,11.73,10.82,11.08,364100
163,2021-08-30,11.17,11.64,10.69,11.6,1010300
164,2021-08-31,11.6,11.9,10.91,11.08,329600
165,2021-09-01,10.91,11.25,10.35,11.08,1267400
166,2021-09-06,11.17,11.25,10.35,10.39,1269500
167,2021-09-07,10.39,10.39,9.7,9.74,884700
168,2021-09-08,9.44,9.87,9.13,9.83,632600
169,2021-09-09,9.7,10.04,9.7,9.91,301600
170,2021-09-10,9.91,10.04,9.61,9.96,377400
171,2021-09-13,10.04,10.3,9.26,9.65,2699500
172,2021-09-14,9.65,9.65,9.0,9.0,1705700
173,2021-09-15,8.92,9.18,8.4,9.09,1198500
174,2021-09-16,9.0,9.09,8.74,9.09,787600
175,2021-09-17,9.0,9.44,8.83,9.31,831600
176,2021-09-20,9.35,9.48,8.66,8.96,3607900
177,2021-09-21,8.83,9.18,8.56,9.13,2711800
178,2021-09-22,9.18,9.48,8.65,9.48,5293500
179,2021-09-23,9.61,10.13,9.57,9.91,3345800
180,2021-09-24,9.57,9.7,9.31,9.35,1394000
181,2021-09-27,9.18,9.18,8.74,8.79,1937600
182,2021-09-28,8.7,8.92,8.61,8.87,1116300
183,2021-09-29,8.87,9.0,8.74,8.83,457200
184,2021-09-30,8.74,8.96,8.74,8.83,656500
185,2021-10-01,8.7,8.92,8.7,8.7,853700
186,2021-10-04,8.87,8.87,8.66,8.74,585500
187,2021-10-05,8.74,8.83,8.74,8.79,600100
188,2021-10-06,8.92,8.92,8.74,8.79,580400
189,2021-10-07,8.83,9.09,8.74,9.09,1320100
190,2021-10-08,9.09,9.09,8.92,8.96,691100
191,2021-10-11,9.05,9.05,8.83,8.87,700600
192,2021-10-12,8.92,8.92,8.79,8.79,760700
193,2021-10-13,8.83,8.96,8.79,8.92,732700
194,2021-10-14,8.92,9.26,8.92,9.18,1556200
195,2021-10-15,9.18,9.22,9.0,9.05,868600
196,2021-10-18,9.05,9.09,8.92,8.92,614300
197,2021-10-19,8.92,9.09,8.83,9.0,723000
198,2021-10-20,9.05,9.18,8.87,9.05,1093500
199,2021-10-21,8.92,9.09,8.92,9.0,496800
200,2021-10-22,8.96,9.44,8.96,9.31,2236000
201,2021-10-25,9.31,9.39,9.26,9.31,1354600
202,2021-10-26,9.31,9.31,9.05,9.22,630000
203,2021-10-27,9.22,9.35,9.13,9.31,1154100
204,2021-10-28,9.39,9.39,9.22,9.31,1168300
205,2021-10-29,9.48,9.96,9.31,9.96,3218900
206,2021-11-01,10.13,10.35,10.0,10.13,1900200
207,2021-11-02,10.04,10.39,9.87,10.3,1635300
208,2021-11-03,10.35,10.39,9.61,9.61,2870500
209,2021-11-04,9.31,9.61,9.26,9.52,1527000
210,2021-11-05,9.61,9.83,9.35,9.83,812000
211,2021-11-08,9.96,10.04,9.7,9.83,1296900
212,2021-11-09,9.78,9.78,9.57,9.7,1234400
213,2021-11-10,9.7,10.35,9.7,10.35,2779000
214,2021-11-11,10.82,10.82,10.17,10.52,2090800
215,2021-11-12,10.56,11.17,10.26,10.86,2328400
216,2021-11-15,11.08,11.56,10.86,11.17,2400900
217,2021-11-16,11.21,11.21,10.65,10.82,1784200
218,2021-11-17,10.82,10.86,10.61,10.74,1465500
219,2021-11-18,10.69,11.25,10.69,11.12,1631900
220,2021-11-19,11.47,11.47,10.39,10.65,1819500
221,2021-11-22,10.13,10.65,9.91,9.91,1618800
222,2021-11-23,9.39,10.26,9.39,10.17,888800
223,2021-11-24,10.17,10.56,10.04,10.52,1359800
224,2021-11-25,10.52,10.61,10.22,10.35,594500
225,2021-11-26,10.35,10.39,9.91,10.39,1182500
226,2021-11-29,10.04,10.39,10.04,10.22,632000
227,2021-11-30,10.39,10.91,10.22,10.91,1998400
228,2021-12-01,11.17,11.6,10.95,11.21,1545900
229,2021-12-02,11.25,11.51,10.99,11.04,1059000
230,2021-12-03,11.04,11.04,10.56,10.56,1096200
231,2021-12-06,10.39,10.56,9.83,9.91,1164700
232,2021-12-07,10.3,10.61,9.91,10.61,726100
233,2021-12-08,10.91,10.91,10.39,10.61,493200
234,2021-12-09,10.65,10.82,10.35,10.69,561000
235,2021-12-10,10.65,10.78,10.61,10.74,715500
236,2021-12-13,10.78,11.34,10.78,10.86,1358200
237,2021-12-14,10.95,11.12,10.61,10.99,847600
238,2021-12-15,11.17,11.6,11.08,11.47,2381400
239,2021-12-16,11.47,12.25,11.47,12.25,2101800
240,2021-12-17,12.55,12.55,11.95,11.99,1515300
241,2021-12-20,11.95,11.95,11.6,11.77,1156500
242,2021-12-21,11.69,12.47,11.56,12.21,1344200
243,2021-12-22,12.55,12.55,11.73,12.12,1375000
244,2021-12-23,12.12,12.12,11.3,11.47,1814700
245,2021-12-24,11.47,11.64,11.12,11.12,1267800
246,2021-12-27,11.17,11.34,10.74,11.08,1392900
247,2021-12-28,11.12,11.6,11.08,11.34,1157200
248,2021-12-29,11.51,11.51,11.17,11.34,699200
249,2021-12-30,11.34,11.34,11.12,11.12,474200
250,2021-12-31,11.08,11.38,10.74,11.25,1263300
251,2022-01-04,11.25,11.51,11.25,11.3,582900
252,2022-01-05,11.6,11.6,11.08,11.12,804600
253,2022-01-06,11.04,11.08,10.86,10.95,1123000
254,2022-01-07,10.82,11.38,10.69,11.34,1727300
255,2022-01-10,11.34,11.82,11.21,11.34,1754600
256,2022-01-11,11.25,11.34,10.82,11.08,799300
257,2022-01-12,10.91,11.04,10.35,10.61,1033800
258,2022-01-13,10.56,10.74,9.87,9.87,2014300
259,2022-01-14,9.52,10.43,9.26,10.09,661800
260,2022-01-17,10.22,10.3,9.39,9.39,984100
261,2022-01-18,9.09,9.18,8.74,8.74,935400
262,2022-01-19,8.74,9.09,8.66,9.09,550700
263,2022-01-20,9.09,9.48,8.96,9.35,428200
264,2022-01-21,9.48,9.48,9.13,9.18,586400
265,2022-01-24,9.13,9.13,8.66,8.66,680100
266,2022-01-25,8.66,8.92,8.4,8.87,471900
267,2022-01-26,8.87,9.18,8.7,8.7,597200
268,2022-01-27,8.83,8.92,8.7,8.83,212600
269,2022-01-28,8.87,8.96,8.7,8.83,315800
270,2022-02-07,8.96,9.35,8.96,9.18,357900
271,2022-02-08,9.18,9.31,9.05,9.31,364500
272,2022-02-09,9.35,9.39,9.22,9.35,325100
273,2022-02-10,9.35,9.48,9.26,9.35,443600
274,2022-02-11,9.87,9.87,9.26,9.39,311000
275,2022-02-14,9.35,9.35,9.13,9.13,428500
276,2022-02-15,9.13,9.26,9.09,9.18,216600
277,2022-02-16,9.18,9.39,9.18,9.35,271900
278,2022-02-17,9.35,9.83,9.35,9.57,610500
279,2022-02-18,9.39,9.65,9.39,9.57,348400
280,2022-02-21,9.57,9.7,9.52,9.65,392100
281,2022-02-22,9.65,9.65,9.22,9.44,604600
282,2022-02-23,9.48,9.65,9.44,9.44,437200
283,2022-02-24,9.44,9.44,8.79,9.18,956000
284,2022-02-25,9.31,9.31,9.13,9.26,413800
285,2022-02-28,9.31,9.39,9.18,9.26,438200
286,2022-03-01,9.35,9.61,9.22,9.52,889400
287,2022-03-02,9.52,9.61,9.39,9.44,565800
288,2022-03-03,9.48,9.57,9.44,9.52,586800
289,2022-03-04,9.52,9.87,9.48,9.74,1233300
290,2022-03-07,9.91,9.91,9.7,9.74,771500
291,2022-03-08,9.7,9.78,9.52,9.65,611200
292,2022-03-09,9.61,9.61,9.35,9.52,571400
293,2022-03-10,9.52,9.78,9.52,9.7,599100
294,2022-03-11,9.7,10.35,9.7,10.3,3165200
295,2022-03-14,10.39,10.74,9.91,10.22,1611100
296,2022-03-15,10.26,10.26,9.87,10.0,459300
297,2022-03-16,10.0,10.13,9.78,10.0,726500
298,2022-03-17,10.0,10.3,10.0,10.17,874100
299,2022-03-18,10.3,10.3,10.0,10.09,611500
300,2022-03-21,10.04,10.13,9.91,10.09,874300
301,2022-03-22,10.04,10.13,9.96,10.13,891300
302,2022-03-23,10.13,10.22,10.04,10.04,542300
303,2022-03-24,10.13,10.43,10.04,10.26,1002200
304,2022-03-25,10.3,10.3,10.13,10.22,490200
305,2022-03-28,10.22,10.22,9.78,9.87,779500
306,2022-03-29,9.87,10.09,9.87,10.0,673500
307,2022-03-30,9.96,10.13,9.52,9.65,674200
308,2022-03-31,9.65,9.83,9.35,9.7,504300
309,2022-04-01,9.52,9.78,9.39,9.61,541600
310,2022-04-04,9.65,9.87,9.65,9.7,261600
311,2022-04-05,9.7,9.7,9.61,9.61,335100
312,2022-04-06,9.57,9.74,9.52,9.65,333400
313,2022-04-07,9.65,9.65,9.44,9.44,392700
314,2022-04-08,9.44,9.48,9.18,9.18,432700
315,2022-04-12,9.09,9.18,8.83,8.83,593700
316,2022-04-13,8.83,9.09,8.74,9.09,425600
317,2022-04-14,8.92,9.18,8.92,9.0,125100
318,2022-04-15,9.0,9.0,8.83,8.92,226900
319,2022-04-18,8.92,8.96,8.66,8.92,400800
320,2022-04-19,8.92,9.05,8.57,8.57,334100
321,2022-04-20,8.57,8.64,7.97,7.97,386000
322,2022-04-21,7.45,7.69,7.42,7.42,571900
323,2022-04-22,7.36,7.69,7.27,7.45,338500
324,2022-04-25,7.45,7.62,6.93,6.93,321700
325,2022-04-26,6.68,7.06,6.46,7.06,202700
326,2022-04-27,6.89,7.25,6.67,7.25,150500
327,2022-04-28,7.36,7.51,7.27,7.41,187300
328,2022-04-29,7.53,7.69,7.45,7.68,204300
329,2022-05-04,7.78,7.78,7.49,7.54,161500
330,2022-05-05,7.54,7.62,7.27,7.45,170700
331,2022-05-06,7.36,7.36,7.1,7.1,135400
332,2022-05-09,7.1,7.1,6.61,6.61,255700
333,2022-05-10,6.19,6.58,6.16,6.5,172700
334,2022-05-11,6.75,6.75,6.49,6.58,169100
335,2022-05-12,6.51,6.58,6.12,6.12,276300
336,2022-05-13,5.92,6.09,5.7,5.7,264500
337,2022-05-16,5.72,6.06,5.55,5.55,153900
338,2022-05-17,5.55,5.93,5.55,5.93,235700
339,2022-05-18,5.93,6.23,5.93,6.1,208900
340,2022-05-19,5.8,6.15,5.8,6.06,151800
341,2022-05-20,6.06,6.16,5.9,6.09,140900
342,2022-05-23,6.15,6.25,5.91,6.06,91100
343,2022-05-24,6.06,6.06,5.77,5.89,98100
344,2022-05-25,5.89,6.04,5.89,6.03,95000
345,2022-05-26,6.1,6.2,6.06,6.15,201700
346,2022-05-27,6.15,6.19,6.08,6.19,203900
347,2022-05-30,6.19,6.41,6.19,6.41,123700
348,2022-05-31,6.41,6.44,6.23,6.32,125500
349,2022-06-01,6.32,6.39,6.15,6.23,149800
350,2022-06-02,6.16,6.29,6.1,6.15,184800
351,2022-06-03,6.15,6.15,6.05,6.12,126400
352,2022-06-06,6.07,6.15,5.96,5.97,168400
353,2022-06-07,5.97,6.06,5.8,5.84,112400
354,2022-06-08,5.84,6.05,5.84,5.97,122300
355,2022-06-09,6.31,6.31,6.01,6.03,68800
356,2022-06-10,5.97,5.99,5.92,5.94,93200
357,2022-06-13,5.85,5.85,5.52,5.52,262400
358,2022-06-14,5.45,5.54,5.28,5.28,151400
359,2022-06-15,5.37,5.37,4.92,4.92,282900
360,2022-06-16,4.92,5.1,4.67,4.67,215100
361,2022-06-17,4.65,4.65,4.35,4.36,276700
362,2022-06-20,4.66,4.66,4.07,4.08,199900
363,2022-06-21,4.07,4.35,4.07,4.35,151700
364,2022-06-22,4.43,4.66,4.43,4.66,150800
365,2022-06-23,4.93,4.93,4.67,4.76,190800
366,2022-06-24,4.55,4.81,4.55,4.63,125600
367,2022-06-27,4.63,4.85,4.63,4.82,100000
368,2022-06-28,4.85,4.93,4.76,4.89,102700
369,2022-06-29,4.89,4.91,4.72,4.75,121800
370,2022-06-30,4.75,4.91,4.73,4.74,103700
371,2022-07-01,4.74,4.76,4.46,4.76,162100
372,2022-07-04,4.76,4.84,4.76,4.77,42900
373,2022-07-05,4.76,4.83,4.75,4.75,123800
374,2022-07-06,4.6,4.74,4.6,4.63,79100
375,2022-07-07,4.63,4.8,4.5,4.66,54600
376,2022-07-08,4.66,4.76,4.66,4.73,76700
377,2022-07-11,4.74,4.85,4.7,4.73,115800
378,2022-07-12,4.89,4.89,4.68,4.84,67200
379,2022-07-13,4.85,4.93,4.82,4.87,63400
380,2022-07-14,4.64,4.89,4.64,4.85,51200
381,2022-07-15,4.86,5.02,4.8,4.87,153900
382,2022-07-18,4.89,5.14,4.89,5.06,113700
383,2022-07-19,4.89,5.11,4.89,5.1,93200
384,2022-07-20,5.11,5.32,5.11,5.28,113800
385,2022-07-21,5.3,5.3,5.14,5.19,173200
386,2022-07-22,5.14,5.24,5.14,5.24,62700
387,2022-07-25,5.24,5.24,5.11,5.12,83500
388,2022-07-26,5.11,5.19,5.05,5.06,159500
389,2022-07-27,5.06,5.17,4.93,5.08,209400
390,2022-07-28,5.09,5.19,5.09,5.15,118800
391,2022-07-29,5.15,5.19,5.12,5.12,129000
392,2022-08-01,5.11,5.37,5.1,5.37,325600
393,2022-08-02,5.37,5.64,5.37,5.6,209800
394,2022-08-03,5.6,5.66,5.5,5.56,108300
395,2022-08-04,5.56,5.82,5.53,5.8,272700
396,2022-08-05,5.87,5.93,5.71,5.76,272400
397,2022-08-08,5.76,5.96,5.76,5.82,189000
398,2022-08-09,5.89,5.93,5.8,5.84,213600
399,2022-08-10,5.84,5.96,5.84,5.96,183000
400,2022-08-11,6.06,6.15,5.89,5.95,218300
401,2022-08-12,5.81,5.96,5.81,5.87,146800
402,2022-08-15,5.87,5.91,5.81,5.88,181000
403,2022-08-16,5.87,5.87,5.72,5.81,160900
404,2022-08-17,5.81,5.81,5.67,5.71,159500
405,2022-08-18,5.79,5.79,5.64,5.64,106300
406,2022-08-19,5.59,5.71,5.55,5.55,146600
407,2022-08-22,5.56,5.58,5.37,5.51,140100
408,2022-08-23,5.54,5.57,5.37,5.57,93000
409,2022-08-24,5.54,5.71,5.54,5.67,83800
410,2022-08-25,5.67,5.72,5.67,5.71,143200
411,2022-08-26,5.76,5.79,5.64,5.64,95400
412,2022-08-29,5.43,5.54,5.37,5.43,95900
413,2022-08-30,5.44,5.71,5.44,5.5,87800
414,2022-08-31,5.5,5.54,5.38,5.38,104300
415,2022-09-05,5.47,5.48,5.38,5.45,126800
416,2022-09-06,5.43,5.45,5.42,5.45,51100
417,2022-09-07,5.38,5.39,5.28,5.3,150500
418,2022-09-08,5.3,5.35,5.25,5.25,189100
419,2022-09-09,5.25,5.37,5.2,5.21,159500
420,2022-09-12,5.24,5.37,5.24,5.34,77600
421,2022-09-13,5.37,5.37,5.25,5.28,65930
422,2022-09-14,5.28,5.28,5.19,5.28,66401
423,2022-09-15,5.28,5.37,5.19,5.31,39200
424,2022-09-16,5.21,5.31,5.16,5.22,213300
425,2022-09-19,5.24,5.24,5.06,5.11,105000
426,2022-09-20,5.12,5.12,5.02,5.12,29100
427,2022-09-21,5.12,5.15,4.98,5.13,160500
428,2022-09-22,5.11,5.15,5.04,5.13,164800
429,2022-09-23,5.06,5.19,5.06,5.13,75802
430,2022-09-26,5.15,5.16,4.79,5.05,195400
431,2022-09-27,5.04,5.05,4.98,5.05,69708
432,2022-09-28,5.11,5.19,4.99,5.11,74100
433,2022-09-29,5.11,5.19,5.07,5.19,67700
434,2022-09-30,5.11,5.19,4.96,5.19,133300
