,time,open,high,low,close,volume
0,2015-12-11,7.1,0.0,0.0,0.0,0
1,2015-12-14,7.1,0.0,0.0,0.0,0
2,2015-12-15,7.1,0.0,0.0,0.0,0
3,2015-12-16,7.1,0.0,0.0,0.0,0
4,2015-12-17,7.1,0.0,0.0,0.0,0
5,2015-12-18,7.1,0.0,0.0,0.0,0
6,2015-12-21,7.1,0.0,0.0,0.0,0
7,2015-12-22,7.1,0.0,0.0,0.0,0
8,2015-12-23,7.1,0.0,0.0,0.0,0
9,2015-12-24,7.1,0.0,0.0,0.0,0
10,2015-12-25,7.1,0.0,0.0,0.0,0
11,2015-12-28,5.91,5.91,5.91,5.91,3000
12,2015-12-29,5.91,5.91,5.91,5.91,0
13,2015-12-30,5.91,5.91,5.91,5.91,0
14,2015-12-31,5.91,5.91,5.91,5.91,0
15,2016-01-04,5.91,5.91,5.91,5.91,0
16,2016-01-05,5.91,5.91,5.91,5.91,0
17,2016-01-06,5.91,5.91,5.91,5.91,0
18,2016-01-07,5.91,5.91,5.91,5.91,0
19,2016-01-08,5.91,5.91,5.91,5.91,0
20,2016-01-11,5.91,5.91,5.91,5.91,0
21,2016-01-12,5.26,5.26,5.26,5.26,100
22,2016-01-13,5.26,5.26,5.26,5.26,0
23,2016-01-14,5.26,5.26,5.26,5.26,0
24,2016-01-15,4.47,4.47,4.47,4.47,5000
25,2016-01-18,3.88,3.88,3.81,3.81,6100
26,2016-01-19,4.27,4.27,3.29,3.29,200
27,2016-01-20,3.29,3.29,3.29,3.29,0
28,2016-01-21,4.27,4.27,4.27,4.27,100
29,2016-01-22,4.8,4.8,4.8,4.8,100
30,2016-01-25,4.8,4.8,4.8,4.8,0
31,2016-01-26,4.8,4.8,4.8,4.8,0
32,2016-01-27,4.8,4.8,4.8,4.8,0
33,2016-01-28,4.8,4.8,4.8,4.8,0
34,2016-01-29,4.8,4.8,4.8,4.8,0
35,2016-02-01,4.21,4.21,4.21,4.21,100
36,2016-02-02,4.21,4.21,4.21,4.21,0
37,2016-02-03,4.21,4.21,4.21,4.21,0
38,2016-02-04,4.6,4.6,3.61,3.61,600
39,2016-02-05,3.61,3.61,3.61,3.61,0
40,2016-02-15,3.61,3.61,3.61,3.61,0
41,2016-02-16,3.61,3.61,3.61,3.61,0
42,2016-02-17,4.27,4.27,4.27,4.27,100
43,2016-02-18,4.27,4.27,4.27,4.27,0
44,2016-02-19,4.27,4.27,4.27,4.27,0
45,2016-02-22,4.27,4.27,4.27,4.27,0
46,2016-02-23,3.75,3.75,3.75,3.75,2400
47,2016-02-24,3.75,3.75,3.75,3.75,0
48,2016-02-25,3.75,3.75,3.75,3.75,0
49,2016-02-26,3.75,3.75,3.75,3.75,0
50,2016-02-29,3.35,3.35,3.35,3.35,3600
51,2016-03-01,3.42,3.42,3.42,3.42,1000
52,2016-03-02,3.61,3.88,3.61,3.88,200
53,2016-03-03,4.27,4.27,4.27,4.27,200
54,2016-03-04,4.4,4.8,3.94,4.8,400
55,2016-03-07,4.8,4.8,4.8,4.8,0
56,2016-03-08,4.8,4.8,4.8,4.8,0
57,2016-03-09,4.01,4.34,4.01,4.34,200
58,2016-03-10,4.01,4.01,3.81,4.01,9100
59,2016-03-11,3.94,3.94,3.94,3.94,2000
60,2016-03-14,4.47,4.47,4.47,4.47,100
61,2016-03-15,3.88,4.47,3.88,4.47,300
62,2016-03-16,4.14,4.27,4.14,4.27,2600
63,2016-03-17,4.21,4.27,4.21,4.27,1300
64,2016-03-18,4.27,4.27,4.27,4.27,0
65,2016-03-21,4.27,4.27,4.27,4.27,200
66,2016-03-22,4.27,4.27,4.27,4.27,1070
67,2016-03-23,4.67,4.67,4.27,4.27,3500
68,2016-03-24,4.21,4.27,4.21,4.27,4100
69,2016-03-25,4.67,4.67,4.27,4.34,2300
70,2016-03-28,4.34,4.6,4.34,4.6,3200
71,2016-03-29,4.53,4.6,4.53,4.6,700
72,2016-03-30,4.6,4.73,4.6,4.73,9700
73,2016-03-31,4.6,5.13,4.6,4.73,8400
74,2016-04-01,5.19,5.19,5.19,5.19,1500
75,2016-04-04,5.85,5.85,5.26,5.32,5200
76,2016-04-05,4.86,4.86,4.6,4.6,6000
77,2016-04-06,4.6,4.6,4.27,4.27,10800
78,2016-04-07,4.86,4.86,4.27,4.27,1900
79,2016-04-08,4.34,4.86,4.27,4.27,1600
80,2016-04-11,4.34,4.34,4.34,4.34,2600
81,2016-04-12,4.34,4.4,4.27,4.4,6800
82,2016-04-13,4.4,4.53,4.4,4.4,7700
83,2016-04-14,4.67,4.73,4.34,4.47,27700
84,2016-04-15,4.47,4.47,4.47,4.47,0
85,2016-04-19,4.47,4.47,4.47,4.47,0
86,2016-04-20,4.6,4.6,4.6,4.6,100
87,2016-04-21,4.01,4.01,4.01,4.01,700
88,2016-04-22,4.6,4.6,4.01,4.01,2400
89,2016-04-25,4.07,4.21,4.01,4.01,4400
90,2016-04-26,4.21,4.21,4.21,4.21,100
91,2016-04-27,4.21,4.21,4.01,4.01,2140
92,2016-04-28,4.21,4.67,4.21,4.67,10200
93,2016-04-29,4.73,4.8,4.73,4.8,8700
94,2016-05-04,4.53,4.8,4.53,4.8,1540
95,2016-05-05,4.86,4.86,4.86,4.86,900
96,2016-05-06,4.8,4.8,4.8,4.8,200
97,2016-05-09,5.19,5.19,4.47,4.47,3500
98,2016-05-10,4.47,4.47,4.47,4.47,0
99,2016-05-11,4.47,4.47,4.27,4.27,5400
100,2016-05-12,4.21,4.6,4.14,4.6,2600
101,2016-05-13,4.6,4.6,4.6,4.6,100
102,2016-05-16,4.86,4.86,4.86,4.86,1000
103,2016-05-17,4.73,4.73,4.73,4.73,100
104,2016-05-18,4.67,4.67,4.53,4.53,2100
105,2016-05-19,4.53,4.53,4.53,4.53,0
106,2016-05-20,4.6,4.93,4.53,4.93,2500
107,2016-05-23,4.93,4.93,4.93,4.93,0
108,2016-05-24,4.93,4.93,4.93,4.93,0
109,2016-05-25,4.93,4.93,4.93,4.93,0
