,time,open,high,low,close,volume
0,2017-07-10,17.06,17.06,16.85,16.85,1200
1,2017-07-11,16.9,16.9,16.9,16.9,0
2,2017-07-12,14.38,14.38,14.38,14.38,2000
3,2017-07-13,15.43,15.43,14.21,14.42,3200
4,2017-07-14,14.99,14.99,14.99,14.99,0
5,2017-07-17,14.99,14.99,14.99,14.99,0
6,2017-07-18,14.99,14.99,14.99,14.99,0
7,2017-07-19,14.99,14.99,14.99,14.99,0
8,2017-07-20,14.99,14.99,14.99,14.99,0
9,2017-07-21,14.99,14.99,14.99,14.99,0
10,2017-07-24,14.99,14.99,14.99,14.99,0
11,2017-07-25,14.99,14.99,14.99,14.99,0
12,2017-07-26,14.99,14.99,14.99,14.99,0
13,2017-07-27,14.99,14.99,14.99,14.99,0
14,2017-07-28,14.99,14.99,14.99,14.99,0
15,2017-07-31,14.99,14.99,14.99,14.99,0
16,2017-08-01,14.99,14.99,14.99,14.99,0
17,2017-08-02,13.0,13.0,13.0,13.0,2000
18,2017-08-03,13.0,13.0,13.0,13.0,0
19,2017-08-04,13.0,13.0,13.0,13.0,0
20,2017-08-07,13.0,13.0,13.0,13.0,0
21,2017-08-08,13.0,13.0,13.0,13.0,0
22,2017-08-09,13.0,13.0,13.0,13.0,0
23,2017-08-10,13.0,13.0,13.0,13.0,3000
24,2017-08-11,13.0,13.0,13.0,13.0,0
25,2017-08-14,13.0,13.0,13.0,13.0,0
26,2017-08-15,13.0,13.0,13.0,13.0,0
27,2017-08-16,13.0,13.0,13.0,13.0,0
28,2017-08-17,13.0,13.0,13.0,13.0,0
29,2017-08-18,13.0,13.0,13.0,13.0,0
30,2017-08-21,13.0,13.0,13.0,13.0,0
31,2017-08-22,13.0,13.0,13.0,13.0,0
32,2017-08-23,13.0,13.0,13.0,13.0,0
33,2017-08-24,13.0,13.0,13.0,13.0,0
34,2017-08-25,13.0,13.0,13.0,13.0,0
35,2017-08-28,13.0,13.0,13.0,13.0,0
36,2017-08-29,13.0,13.0,13.0,13.0,0
37,2017-08-30,13.0,13.0,13.0,13.0,0
38,2017-08-31,13.0,13.0,13.0,13.0,0
39,2017-09-01,13.0,13.0,13.0,13.0,0
40,2017-09-05,13.0,13.0,13.0,13.0,0
41,2017-09-06,13.0,13.0,13.0,13.0,0
42,2017-09-07,13.0,13.0,13.0,13.0,0
43,2017-09-08,13.0,13.0,13.0,13.0,0
44,2017-09-11,13.0,13.0,13.0,13.0,0
45,2017-09-12,13.0,13.0,13.0,13.0,0
46,2017-09-13,13.0,13.0,13.0,13.0,0
47,2017-09-14,13.0,13.0,13.0,13.0,0
48,2017-09-15,13.0,13.0,13.0,13.0,0
49,2017-09-18,13.0,13.0,13.0,13.0,0
50,2017-09-19,13.0,13.0,13.0,13.0,0
51,2017-09-20,13.0,13.0,13.0,13.0,0
52,2017-09-21,13.0,13.0,13.0,13.0,0
53,2017-09-22,13.0,13.0,13.0,13.0,0
54,2017-09-25,13.0,13.0,13.0,13.0,0
55,2017-09-26,13.0,13.0,13.0,13.0,0
56,2017-09-27,13.0,13.0,13.0,13.0,0
57,2017-09-28,13.0,13.0,13.0,13.0,0
58,2017-09-29,13.0,13.0,13.0,13.0,0
59,2017-10-02,13.0,13.0,13.0,13.0,0
60,2017-10-03,13.0,13.0,13.0,13.0,0
61,2017-10-04,13.0,13.0,13.0,13.0,0
62,2017-10-05,13.0,13.0,13.0,13.0,0
63,2017-10-06,13.0,13.0,13.0,13.0,0
64,2017-10-09,13.0,13.0,13.0,13.0,0
65,2017-10-10,13.0,13.0,13.0,13.0,0
66,2017-10-11,13.0,13.0,13.0,13.0,0
67,2017-10-12,13.0,13.0,13.0,13.0,0
68,2017-10-13,13.0,13.0,13.0,13.0,0
69,2017-10-16,13.0,13.0,13.0,13.0,0
70,2017-10-17,13.0,13.0,13.0,13.0,0
71,2017-10-18,13.0,13.0,13.0,13.0,0
72,2017-10-19,13.0,13.0,13.0,13.0,0
73,2017-10-20,13.0,13.0,13.0,13.0,0
74,2017-10-23,13.0,13.0,13.0,13.0,0
75,2017-10-24,13.0,13.0,13.0,13.0,0
76,2017-10-25,13.0,13.0,13.0,13.0,0
77,2017-10-26,13.0,13.0,13.0,13.0,0
78,2017-10-27,13.0,13.0,13.0,13.0,0
79,2017-10-30,13.0,13.0,13.0,13.0,0
80,2017-10-31,13.0,13.0,13.0,13.0,0
81,2017-11-01,13.0,13.0,13.0,13.0,0
82,2017-11-02,13.0,13.0,13.0,13.0,0
83,2017-11-03,13.0,13.0,13.0,13.0,0
84,2017-11-06,13.0,13.0,13.0,13.0,0
85,2017-11-07,13.0,13.0,13.0,13.0,0
86,2017-11-08,13.0,13.0,13.0,13.0,0
87,2017-11-09,13.0,13.0,13.0,13.0,0
88,2017-11-10,13.0,13.0,13.0,13.0,0
89,2017-11-13,13.0,13.0,13.0,13.0,0
90,2017-11-14,13.0,13.0,13.0,13.0,0
91,2017-11-15,13.0,13.0,13.0,13.0,0
92,2017-11-16,13.0,13.0,13.0,13.0,0
93,2017-11-17,13.0,13.0,13.0,13.0,0
94,2017-11-20,13.0,13.0,13.0,13.0,0
95,2017-11-21,13.0,13.0,13.0,13.0,0
96,2017-11-22,13.0,13.0,13.0,13.0,0
97,2017-11-23,13.0,13.0,13.0,13.0,0
98,2017-11-24,13.0,13.0,13.0,13.0,0
99,2017-11-27,13.0,13.0,13.0,13.0,0
100,2017-11-28,13.0,13.0,13.0,13.0,0
101,2017-11-29,13.0,13.0,13.0,13.0,0
102,2017-11-30,13.0,13.0,13.0,13.0,0
103,2017-12-01,13.0,13.0,13.0,13.0,0
104,2017-12-04,13.0,13.0,13.0,13.0,0
105,2017-12-05,13.0,13.0,13.0,13.0,0
106,2017-12-06,13.0,13.0,13.0,13.0,0
107,2017-12-07,13.0,13.0,13.0,13.0,0
108,2017-12-08,13.0,13.0,13.0,13.0,0
109,2017-12-11,13.0,13.0,13.0,13.0,0
110,2017-12-12,13.0,13.0,13.0,13.0,0
111,2017-12-13,13.0,13.0,13.0,13.0,0
112,2017-12-14,13.0,13.0,13.0,13.0,0
113,2017-12-15,13.0,13.0,13.0,13.0,0
114,2017-12-18,13.0,13.0,13.0,13.0,0
115,2017-12-19,13.0,13.0,13.0,13.0,0
116,2017-12-20,13.0,13.0,13.0,13.0,0
117,2017-12-21,13.0,13.0,13.0,13.0,0
118,2017-12-22,13.0,13.0,13.0,13.0,0
119,2017-12-25,13.0,13.0,13.0,13.0,0
120,2017-12-26,13.0,13.0,13.0,13.0,0
121,2017-12-27,13.0,13.0,13.0,13.0,0
122,2017-12-28,13.0,13.0,13.0,13.0,0
123,2017-12-29,13.0,13.0,13.0,13.0,0
124,2018-01-02,13.0,13.0,13.0,13.0,0
125,2018-01-03,13.0,13.0,13.0,13.0,0
126,2018-01-04,13.0,13.0,13.0,13.0,0
127,2018-01-05,13.0,13.0,13.0,13.0,0
128,2018-01-08,13.0,13.0,13.0,13.0,0
129,2018-01-09,13.0,13.0,13.0,13.0,0
130,2018-01-10,13.0,13.0,13.0,13.0,0
131,2018-01-11,10.15,10.15,10.15,10.15,1000
132,2018-01-12,10.15,10.15,10.15,10.15,0
133,2018-01-15,10.15,10.15,10.15,10.15,0
134,2018-01-16,10.15,10.15,10.15,10.15,0
135,2018-01-17,10.15,10.15,10.15,10.15,0
136,2018-01-18,10.15,10.15,10.15,10.15,0
137,2018-01-19,10.15,10.15,10.15,10.15,0
138,2018-01-22,10.15,10.15,10.15,10.15,0
139,2018-01-23,10.15,10.15,10.15,10.15,0
140,2018-01-24,10.15,10.15,10.15,10.15,0
141,2018-01-25,10.15,10.15,10.15,10.15,0
142,2018-01-26,10.15,10.15,10.15,10.15,0
143,2018-01-29,10.15,10.15,10.15,10.15,0
144,2018-01-30,10.15,10.15,10.15,10.15,0
145,2018-01-31,10.15,10.15,10.15,10.15,4000
146,2018-02-01,10.15,10.15,10.15,10.15,1000
147,2018-02-02,10.15,10.15,10.15,10.15,0
148,2018-02-05,8.65,8.65,8.65,8.65,800
149,2018-02-06,8.65,8.65,8.65,8.65,0
150,2018-02-07,7.39,7.39,7.39,7.39,100
151,2018-02-08,7.39,7.39,7.39,7.39,0
152,2018-02-09,7.39,7.39,7.39,7.39,0
153,2018-02-12,6.3,6.3,6.3,6.3,100
154,2018-02-13,6.3,6.3,6.3,6.3,0
155,2018-02-21,5.36,5.36,5.36,5.36,100
156,2018-02-22,5.36,5.36,5.36,5.36,0
157,2018-02-23,6.13,6.13,6.13,6.13,100
158,2018-02-26,5.24,5.24,5.24,5.24,100
159,2018-02-27,5.24,5.24,5.24,5.24,0
160,2018-02-28,5.24,5.24,5.24,5.24,0
161,2018-03-01,5.24,5.24,5.24,5.24,0
162,2018-03-02,5.44,5.44,5.4,5.4,200
163,2018-03-05,6.25,6.25,6.25,6.25,100
164,2018-03-06,6.25,6.25,6.25,6.25,0
165,2018-03-07,6.25,6.25,6.25,6.25,0
166,2018-03-08,6.25,6.25,6.25,6.25,0
167,2018-03-09,6.25,6.25,6.25,6.25,0
168,2018-03-12,6.25,6.25,6.25,6.25,0
169,2018-03-13,6.25,6.25,6.25,6.25,0
170,2018-03-14,6.25,6.25,6.25,6.25,0
171,2018-03-15,6.25,6.25,6.25,6.25,0
172,2018-03-16,6.25,6.25,6.25,6.25,0
173,2018-03-19,6.25,6.25,6.25,6.25,0
174,2018-03-20,6.25,6.25,6.25,6.25,0
175,2018-03-21,6.25,6.25,6.25,6.25,0
176,2018-03-22,6.25,6.25,6.25,6.25,0
177,2018-03-23,6.25,6.25,6.25,6.25,0
178,2018-03-26,7.11,7.11,7.11,7.11,300
179,2018-03-27,7.11,7.11,7.11,7.11,0
180,2018-03-28,7.11,7.11,7.11,7.11,0
181,2018-03-29,8.16,8.16,8.16,8.16,100
182,2018-03-30,9.38,9.38,9.38,9.38,100
183,2018-04-02,10.76,10.76,10.76,10.76,300
184,2018-04-03,10.76,10.76,10.76,10.76,0
185,2018-04-04,9.18,9.18,9.18,9.18,100
186,2018-04-05,7.84,10.52,7.84,10.52,800
187,2018-04-06,10.03,10.03,10.03,10.03,0
188,2018-04-09,11.45,11.53,11.45,11.53,300
189,2018-04-10,11.49,11.49,11.49,11.49,0
190,2018-04-11,11.49,11.49,11.49,11.49,0
191,2018-04-12,11.49,11.49,11.49,11.49,0
192,2018-04-13,11.49,11.49,11.49,11.49,0
193,2018-04-16,11.49,11.49,11.49,11.49,0
194,2018-04-17,11.49,11.49,11.49,11.49,0
195,2018-04-18,11.49,11.49,11.49,11.49,0
196,2018-04-19,9.79,9.79,9.79,9.79,100
197,2018-04-20,8.37,8.37,8.37,8.37,100
198,2018-04-23,8.37,8.37,8.37,8.37,0
199,2018-04-24,9.58,9.58,9.58,9.58,100
200,2018-04-26,8.2,8.2,8.2,8.2,100
201,2018-04-27,9.42,9.42,9.42,9.42,1000
202,2018-05-02,10.76,10.8,10.76,10.8,200
203,2018-05-03,9.22,9.22,9.22,9.22,100
204,2018-05-04,10.6,10.6,10.56,10.56,1100
205,2018-05-07,10.56,10.56,10.56,10.56,0
206,2018-05-08,10.56,10.56,10.56,10.56,0
207,2018-05-09,10.56,10.56,10.56,10.56,0
208,2018-05-10,10.56,10.56,10.56,10.56,0
209,2018-05-11,10.56,10.56,10.56,10.56,0
210,2018-05-14,10.56,10.56,10.56,10.56,0
211,2018-05-15,10.56,10.56,10.56,10.56,0
212,2018-05-16,10.56,10.56,10.56,10.56,0
213,2018-05-17,10.56,10.56,10.56,10.56,0
214,2018-05-18,10.56,10.56,10.56,10.56,0
215,2018-05-21,10.56,10.56,10.56,10.56,0
216,2018-05-22,10.56,10.56,10.56,10.56,100
217,2018-05-23,10.56,10.56,10.56,10.56,0
218,2018-05-24,10.56,10.56,10.56,10.56,0
219,2018-05-25,10.56,10.56,10.56,10.56,0
220,2018-05-28,10.56,10.56,10.56,10.56,0
221,2018-05-29,10.56,10.56,10.56,10.56,0
222,2018-05-30,10.56,10.56,10.56,10.56,0
223,2018-05-31,10.56,10.56,10.56,10.56,0
224,2018-06-01,10.56,10.56,10.56,10.56,0
225,2018-06-04,10.56,10.56,10.56,10.56,0
226,2018-06-05,10.56,10.56,10.56,10.56,0
227,2018-06-06,10.56,10.56,10.56,10.56,0
228,2018-06-07,10.56,10.56,10.56,10.56,0
229,2018-06-08,10.56,10.56,10.56,10.56,0
230,2018-06-11,10.56,10.56,10.56,10.56,0
231,2018-06-12,10.56,10.56,10.56,10.56,0
232,2018-06-13,10.56,10.56,10.56,10.56,0
233,2018-06-14,10.56,10.56,10.56,10.56,0
234,2018-06-15,10.56,10.56,10.56,10.56,0
235,2018-06-18,10.56,10.56,10.56,10.56,0
236,2018-06-19,10.56,10.56,10.56,10.56,0
237,2018-06-20,10.56,10.56,10.56,10.56,0
238,2018-06-21,10.56,10.56,10.56,10.56,0
239,2018-06-22,10.56,10.56,10.56,10.56,0
240,2018-06-25,10.56,10.56,10.56,10.56,0
241,2018-06-26,10.56,10.56,10.56,10.56,0
242,2018-06-27,10.56,10.56,10.56,10.56,0
243,2018-06-28,10.56,10.56,10.56,10.56,0
244,2018-06-29,10.56,10.56,10.56,10.56,0
245,2018-07-02,10.56,10.56,10.56,10.56,0
246,2018-07-03,10.56,10.56,10.56,10.56,0
247,2018-07-04,10.56,10.56,10.56,10.56,0
248,2018-07-05,10.56,10.56,10.56,10.56,0
249,2018-07-06,10.56,10.56,10.56,10.56,0
250,2018-07-09,9.02,9.02,9.02,9.02,100
251,2018-07-10,7.79,7.79,7.79,7.79,100
252,2018-07-11,7.79,7.79,7.79,7.79,0
253,2018-07-12,7.79,7.79,7.79,7.79,0
254,2018-07-13,7.79,7.79,7.79,7.79,0
255,2018-07-16,7.79,7.79,7.79,7.79,0
256,2018-07-17,7.79,7.79,7.79,7.79,0
257,2018-07-18,7.79,7.79,7.79,7.79,0
258,2018-07-19,7.79,7.79,7.79,7.79,0
259,2018-07-20,7.79,7.79,7.79,7.79,0
260,2018-07-23,7.79,7.79,7.79,7.79,0
261,2018-07-24,7.79,7.79,7.79,7.79,0
262,2018-07-25,7.79,7.79,7.79,7.79,0
263,2018-07-26,7.79,7.79,7.79,7.79,0
264,2018-07-27,6.71,8.93,6.71,8.93,200
265,2018-07-30,7.84,7.84,7.84,7.84,0
266,2018-07-31,7.84,7.84,7.84,7.84,0
267,2018-08-01,7.84,7.84,7.84,7.84,0
268,2018-08-02,7.84,7.84,7.84,7.84,0
269,2018-08-03,7.84,7.84,7.84,7.84,0
270,2018-08-06,6.89,6.89,6.89,6.89,100
271,2018-08-07,6.89,6.89,6.89,6.89,0
272,2018-08-08,6.89,6.89,6.89,6.89,0
273,2018-08-09,6.89,6.89,6.89,6.89,0
274,2018-08-10,6.89,6.89,6.89,6.89,0
275,2018-08-13,6.89,6.89,6.89,6.89,0
276,2018-08-14,6.89,6.89,6.89,6.89,0
277,2018-08-15,6.89,6.89,6.89,6.89,0
278,2018-08-16,6.89,6.89,6.89,6.89,0
279,2018-08-17,6.89,6.89,6.89,6.89,0
280,2018-08-20,6.89,6.89,6.89,6.89,0
281,2018-08-21,6.89,6.89,6.89,6.89,0
282,2018-08-22,6.89,6.89,6.89,6.89,0
283,2018-08-23,6.89,6.89,6.89,6.89,0
284,2018-08-24,6.89,6.89,6.89,6.89,0
285,2018-08-27,6.89,6.89,6.89,6.89,0
286,2018-08-28,6.89,6.89,6.89,6.89,0
287,2018-08-29,6.89,6.89,6.89,6.89,0
288,2018-08-30,6.89,6.89,6.89,6.89,0
289,2018-08-31,6.89,6.89,6.89,6.89,0
290,2018-09-04,6.89,6.89,6.89,6.89,0
291,2018-09-05,6.89,6.89,6.89,6.89,0
292,2018-09-06,6.89,6.89,6.89,6.89,0
293,2018-09-07,6.89,6.89,6.89,6.89,0
294,2018-09-10,6.89,6.89,6.89,6.89,0
295,2018-09-11,6.89,6.89,6.89,6.89,0
296,2018-09-12,6.89,6.89,6.89,6.89,0
