,time,open,high,low,close,volume
0,2006-11-28,17.0,19.15,16.76,17.72,70400
1,2006-11-29,18.91,19.39,17.96,19.27,45500
2,2006-11-30,19.51,20.23,19.39,19.75,5800
3,2006-12-01,20.35,20.35,19.89,20.06,6600
4,2006-12-04,19.15,20.35,18.91,20.06,13700
5,2006-12-05,19.39,19.39,17.72,17.72,9600
6,2006-12-06,17.48,17.48,16.69,16.69,6600
7,2006-12-07,16.28,16.52,15.06,16.52,13500
8,2006-12-08,15.8,17.0,15.8,16.88,14200
9,2006-12-11,17.96,17.96,17.36,17.96,11900
10,2006-12-12,19.39,19.39,18.55,18.55,8700
11,2006-12-13,19.15,19.15,18.55,18.67,8000
12,2006-12-14,18.67,19.27,18.67,19.15,43000
13,2006-12-15,19.15,19.15,18.67,18.67,75300
14,2006-12-18,19.13,19.15,18.67,18.67,18400
15,2006-12-19,19.15,19.63,19.15,18.67,30200
16,2006-12-20,19.75,20.59,19.63,20.59,72800
17,2006-12-21,20.11,20.71,20.09,20.11,156800
18,2006-12-22,18.39,20.11,18.39,19.63,8800
19,2006-12-25,19.15,20.35,18.79,20.35,13300
20,2006-12-26,20.35,20.59,20.11,20.59,26900
21,2006-12-27,22.38,22.38,21.07,22.14,12500
22,2006-12-28,22.38,23.34,22.02,22.14,24400
23,2006-12-29,24.83,24.83,23.94,24.83,31000
24,2007-01-02,27.15,27.15,27.15,24.83,2800
25,2007-01-03,29.85,29.85,29.85,29.85,7800
26,2007-01-04,32.82,32.82,32.82,32.82,18300
27,2007-01-05,35.91,36.1,32.8,32.87,21500
28,2007-01-08,31.22,35.91,31.22,33.52,96900
29,2007-01-09,35.55,36.87,33.52,35.58,53100
30,2007-01-10,37.11,37.11,35.91,35.91,22900
31,2007-01-11,36.63,37.11,35.91,35.91,13000
32,2007-01-12,32.87,36.63,32.87,33.52,67500
33,2007-01-15,39.19,39.19,39.02,39.02,104400
34,2007-01-16,43.07,43.07,39.0,39.02,35500
35,2007-01-17,39.02,39.02,35.84,35.84,33500
36,2007-01-18,35.91,36.27,33.52,36.27,99700
37,2007-01-19,31.89,36.39,31.89,34.71,16600
38,2007-01-22,33.76,35.91,33.04,34.71,97000
39,2007-01-23,34.95,35.43,33.76,34.59,65500
40,2007-01-24,31.46,34.47,31.46,31.46,27700
41,2007-01-25,29.93,31.6,28.58,29.21,78300
42,2007-01-26,29.93,33.4,29.93,33.4,54700
43,2007-01-29,33.28,34.02,32.8,34.02,56000
44,2007-01-30,35.19,36.87,34.95,36.87,97600
45,2007-01-31,39.26,39.98,39.26,39.86,61500
46,2007-02-01,40.94,43.09,38.3,38.3,13600
47,2007-02-02,40.22,40.22,36.17,37.59,7900
48,2007-02-05,36.39,36.39,34.71,35.91,22300
49,2007-02-06,34.98,35.91,33.04,34.0,39700
50,2007-02-07,34.02,34.71,33.52,34.0,30900
51,2007-02-08,34.71,34.71,32.32,33.28,18200
52,2007-02-09,33.76,36.63,33.52,34.71,29100
53,2007-02-12,35.91,38.3,35.91,36.15,36800
54,2007-02-13,37.11,38.3,37.11,37.11,30300
55,2007-02-14,37.85,39.5,37.85,39.5,48000
56,2007-02-15,40.7,42.42,39.86,42.42,39800
57,2007-02-26,46.04,46.04,45.97,46.04,42700
58,2007-02-27,50.61,50.61,49.8,50.27,24600
