,time,open,high,low,close,volume
0,2011-12-13,4.52,4.52,4.52,4.52,2500
1,2011-12-14,4.29,4.29,4.29,4.29,50
2,2011-12-15,4.1,4.1,4.1,4.1,10
3,2011-12-16,3.91,3.91,3.91,3.91,10
4,2011-12-19,3.88,3.88,3.73,3.73,40
5,2011-12-20,3.73,3.73,3.73,3.73,0
6,2011-12-21,3.58,3.58,3.58,3.58,10
7,2011-12-22,3.43,3.43,3.43,3.43,10
8,2011-12-23,3.27,3.27,3.27,3.27,10
9,2011-12-26,3.12,3.12,3.12,3.12,5000
10,2011-12-27,2.97,2.97,2.97,2.97,5000
11,2011-12-28,2.86,2.86,2.86,2.86,10
12,2011-12-29,2.75,2.75,2.75,2.75,10
13,2011-12-30,2.63,2.63,2.63,2.63,100
14,2012-01-03,2.52,2.52,2.52,2.52,10
15,2012-01-04,2.41,2.41,2.41,2.41,100
16,2012-01-05,2.3,2.3,2.3,2.3,10
17,2012-01-06,2.18,2.18,2.18,2.18,5700
18,2012-01-09,2.11,2.26,2.11,2.15,69400
19,2012-01-10,2.07,2.22,2.07,2.22,40160
20,2012-01-11,2.26,2.26,2.22,2.26,37880
21,2012-01-12,2.37,2.37,2.26,2.37,28100
22,2012-01-13,2.48,2.48,2.48,2.48,6260
23,2012-01-16,2.6,2.6,2.6,2.6,18020
24,2012-01-17,2.71,2.71,2.71,2.71,28830
25,2012-01-18,2.82,2.82,2.82,2.82,5800
26,2012-01-19,2.94,2.94,2.94,2.94,10010
27,2012-01-20,3.05,3.05,3.05,3.05,11200
28,2012-01-30,3.2,3.2,3.2,3.2,880
29,2012-01-31,3.2,3.35,3.2,3.35,11840
30,2012-02-01,3.5,3.5,3.5,3.5,28910
31,2012-02-02,3.35,3.61,3.35,3.58,18490
32,2012-02-03,3.65,3.73,3.65,3.73,20500
33,2012-02-06,3.76,3.76,3.58,3.58,11200
34,2012-02-07,3.58,3.58,3.46,3.46,6000
35,2012-02-08,3.35,3.39,3.31,3.31,27470
36,2012-02-09,3.16,3.46,3.16,3.46,33190
37,2012-02-10,3.61,3.61,3.58,3.58,14200
38,2012-02-13,3.69,3.69,3.61,3.65,15920
39,2012-02-14,3.61,3.73,3.61,3.73,19370
40,2012-02-15,3.73,3.88,3.73,3.88,53990
41,2012-02-16,4.03,4.03,3.84,3.99,180
42,2012-02-17,3.99,4.1,3.99,4.1,50
43,2012-02-20,4.14,4.14,4.14,4.14,1200
44,2012-02-21,4.06,4.06,3.95,4.06,4430
45,2012-02-22,3.88,4.03,3.88,3.88,5080
46,2012-02-23,3.69,3.99,3.69,3.88,2730
47,2012-02-24,3.8,3.88,3.69,3.69,31430
48,2012-02-27,3.58,3.73,3.54,3.73,9570
49,2012-02-28,3.58,3.58,3.58,3.58,1350
50,2012-02-29,3.43,3.46,3.43,3.43,11020
51,2012-03-01,3.31,3.5,3.27,3.5,24700
52,2012-03-02,3.39,3.58,3.39,3.54,8770
53,2012-03-05,3.61,3.69,3.61,3.69,30050
54,2012-03-06,3.84,3.84,3.54,3.54,8220
55,2012-03-07,3.54,3.58,3.54,3.54,17830
56,2012-03-08,3.58,3.58,3.39,3.39,18040
57,2012-03-09,3.31,3.43,3.31,3.43,2330
58,2012-03-12,3.54,3.54,3.27,3.39,28160
59,2012-03-13,3.43,3.46,3.43,3.46,300
60,2012-03-14,3.35,3.46,3.31,3.31,16210
61,2012-03-15,3.2,3.35,3.16,3.35,18610
62,2012-03-16,3.31,3.31,3.24,3.24,19310
63,2012-03-19,3.31,3.39,3.24,3.39,24500
64,2012-03-20,3.54,3.54,3.54,3.54,12510
65,2012-03-21,3.69,3.69,3.69,3.69,50
66,2012-03-22,3.84,3.84,3.84,3.84,23420
67,2012-03-23,4.03,4.03,4.03,4.03,61240
68,2012-03-26,4.22,4.22,4.03,4.18,122980
69,2012-03-27,4.29,4.29,3.99,3.99,61130
70,2012-03-28,3.8,3.88,3.8,3.88,9370
71,2012-03-29,3.95,3.99,3.88,3.99,28980
72,2012-03-30,3.88,4.06,3.84,3.88,28090
73,2012-04-03,3.84,3.99,3.84,3.99,58220
74,2012-04-04,3.99,3.99,3.91,3.91,61280
75,2012-04-05,3.88,4.1,3.84,4.1,77980
76,2012-04-06,4.18,4.18,4.03,4.03,33520
