,time,open,high,low,close,volume
0,2017-06-16,13.66,13.66,13.66,13.66,10100
1,2017-06-19,15.66,15.66,15.66,15.66,23100
2,2017-06-20,17.98,17.98,15.66,15.66,9400
3,2017-06-21,17.36,17.36,17.36,17.36,1300
4,2017-06-22,14.81,14.81,14.81,14.81,2000
5,2017-06-23,12.65,12.65,12.65,12.65,200
6,2017-06-26,10.8,10.8,10.8,10.8,100
7,2017-06-27,9.26,12.42,9.26,12.42,9000
8,2017-06-28,12.34,12.34,9.34,12.11,2800
9,2017-06-29,11.42,11.42,11.19,11.19,3100
10,2017-06-30,12.58,12.58,12.58,12.58,100
11,2017-07-03,10.8,10.8,10.8,10.8,200
12,2017-07-04,9.26,11.03,9.18,10.42,3700
13,2017-07-05,10.8,10.8,10.8,10.8,100
14,2017-07-06,10.72,10.8,10.72,10.8,4200
15,2017-07-07,10.8,10.8,10.8,10.8,0
16,2017-07-10,10.42,10.72,10.03,10.72,900
17,2017-07-11,9.26,9.26,8.8,8.8,7900
18,2017-07-12,9.41,9.41,9.41,9.41,100
19,2017-07-13,10.03,10.03,9.88,9.88,300
20,2017-07-14,10.11,10.11,9.26,9.26,1100
21,2017-07-17,9.88,9.88,9.88,9.88,600
22,2017-07-18,9.88,9.88,9.88,9.88,0
23,2017-07-19,9.88,9.88,9.88,9.88,0
24,2017-07-20,9.88,9.88,9.88,9.88,0
25,2017-07-21,9.88,9.88,9.88,9.88,0
26,2017-07-24,9.88,9.88,9.88,9.88,0
27,2017-07-25,9.88,9.88,9.88,9.88,0
28,2017-07-26,9.88,9.88,9.88,9.88,0
29,2017-07-27,9.88,9.88,9.88,9.88,0
30,2017-07-28,9.88,9.88,9.88,9.88,0
31,2017-07-31,9.88,9.88,9.88,9.88,0
32,2017-08-01,8.49,8.49,8.41,8.49,2000
33,2017-08-02,8.87,8.87,8.87,8.87,100
34,2017-08-03,7.64,7.72,7.56,7.56,600
35,2017-08-04,8.64,8.72,8.49,8.72,2200
36,2017-08-07,8.56,8.56,8.56,8.56,0
37,2017-08-08,9.49,9.49,9.49,9.49,100
38,2017-08-09,9.34,9.34,9.26,9.26,2000
39,2017-08-10,9.49,9.49,9.49,9.49,100
40,2017-08-11,9.49,9.49,9.49,9.49,0
41,2017-08-14,9.41,9.49,9.41,9.49,3100
42,2017-08-15,9.49,9.49,9.49,9.49,0
43,2017-08-16,9.49,9.49,9.49,9.49,0
44,2017-08-17,8.1,8.1,8.1,8.1,150
45,2017-08-18,8.49,8.49,8.49,8.49,100
46,2017-08-21,8.49,8.49,8.49,8.49,100
47,2017-08-22,7.72,7.72,7.72,7.72,200
48,2017-08-23,8.87,8.87,8.87,8.87,100
49,2017-08-24,9.64,9.64,9.64,9.64,100
50,2017-08-25,9.64,9.64,9.64,9.64,0
51,2017-08-28,8.26,9.03,8.26,9.03,1600
52,2017-08-29,9.03,9.03,9.03,9.03,200
53,2017-08-30,10.03,10.03,10.03,10.03,100
54,2017-08-31,10.03,10.03,10.03,10.03,0
55,2017-09-01,10.03,10.03,10.03,10.03,0
56,2017-09-05,10.03,10.03,10.03,10.03,0
57,2017-09-06,10.03,10.03,10.03,10.03,0
58,2017-09-07,8.56,8.56,8.56,8.56,100
59,2017-09-08,9.49,9.49,7.72,7.72,1200
60,2017-09-11,8.49,8.49,8.49,8.49,100
61,2017-09-12,7.25,7.25,7.25,7.25,100
62,2017-09-13,7.25,7.25,7.25,7.25,700
63,2017-09-14,8.1,8.1,8.1,8.1,100
64,2017-09-15,8.1,8.1,8.1,8.1,200
65,2017-09-18,6.94,7.02,6.94,7.02,1000
66,2017-09-19,7.72,7.72,7.72,7.72,200
67,2017-09-20,8.33,8.33,8.33,8.33,100
68,2017-09-21,8.33,8.33,8.33,8.33,0
