,time,open,high,low,close,volume
0,2018-08-20,9.38,9.38,9.38,9.38,8000
1,2018-08-21,10.79,10.79,10.79,10.79,27000
2,2018-08-22,12.36,12.36,12.36,12.36,100
3,2018-08-23,10.52,10.52,10.52,10.52,1000
4,2018-08-24,10.52,10.52,10.52,10.52,2200
5,2018-08-27,9.3,9.3,9.3,9.3,100
6,2018-08-28,9.21,9.21,8.77,8.77,6700
7,2018-08-29,8.77,8.77,8.55,8.77,1900
8,2018-08-30,9.43,9.43,9.43,9.43,100
9,2018-08-31,9.87,9.87,9.21,9.21,7100
10,2018-09-04,10.48,10.48,9.21,9.21,3100
11,2018-09-05,9.25,9.25,9.21,9.21,4000
12,2018-09-06,9.25,9.25,9.25,9.25,0
13,2018-09-07,9.25,9.25,9.25,9.25,0
14,2018-09-10,9.25,9.25,9.25,9.25,2000
15,2018-09-11,9.25,9.25,9.25,9.25,8100
16,2018-09-12,9.25,9.25,9.25,9.25,0
17,2018-09-13,9.21,9.25,9.21,9.25,12400
18,2018-09-14,8.99,8.99,8.99,8.99,100
19,2018-09-17,8.99,8.99,8.99,8.99,0
20,2018-09-18,9.08,9.08,9.08,9.08,400
21,2018-09-19,9.08,9.08,9.08,9.08,0
22,2018-09-20,9.08,9.08,9.08,9.08,0
23,2018-09-21,9.08,9.08,9.08,9.08,0
24,2018-09-24,9.34,9.65,9.34,9.47,5400
25,2018-09-25,10.08,10.08,10.04,10.08,10600
26,2018-09-26,10.08,10.08,10.08,10.08,300
27,2018-09-27,10.08,10.08,9.51,9.51,7000
28,2018-09-28,9.78,9.78,9.78,9.78,0
29,2018-10-01,10.08,10.08,10.08,10.08,3000
30,2018-10-02,9.73,10.04,9.73,10.04,5100
31,2018-10-03,9.95,9.95,9.95,9.95,500
32,2018-10-04,9.95,9.95,9.95,9.95,0
33,2018-10-05,9.87,9.87,9.87,9.87,1000
34,2018-10-08,9.87,9.87,9.87,9.87,3000
35,2018-10-09,9.95,10.0,9.95,10.0,5000
36,2018-10-10,10.0,10.0,9.95,9.95,4800
37,2018-10-11,9.78,9.82,9.78,9.82,4100
38,2018-10-12,10.04,10.04,9.95,9.95,900
39,2018-10-15,9.95,9.95,9.95,9.95,2500
40,2018-10-16,10.04,10.04,10.04,10.04,500
41,2018-10-17,10.0,10.0,10.0,10.0,2100
42,2018-10-18,10.0,10.0,10.0,10.0,7600
43,2018-10-19,10.0,10.0,10.0,10.0,0
44,2018-10-22,10.0,10.08,10.0,10.08,22700
45,2018-10-23,10.0,10.04,10.0,10.04,5400
46,2018-10-24,10.0,10.0,10.0,10.0,0
47,2018-10-25,10.0,10.0,10.0,10.0,100
48,2018-10-26,10.26,10.26,10.04,10.04,1100
49,2018-10-29,9.87,9.87,9.87,9.87,2100
50,2018-10-30,9.87,9.87,9.87,9.87,0
51,2018-10-31,9.87,9.95,9.87,9.95,4900
52,2018-11-01,9.95,9.95,9.95,9.95,100
53,2018-11-02,9.95,9.95,9.95,9.95,0
54,2018-11-05,9.82,9.82,9.82,9.82,700
55,2018-11-06,9.82,9.82,9.82,9.82,0
56,2018-11-07,9.82,9.82,9.82,9.82,3400
57,2018-11-08,9.82,9.82,9.82,9.82,2400
58,2018-11-09,9.78,9.78,9.78,9.78,1400
59,2018-11-12,9.78,9.78,9.78,9.78,1900
60,2018-11-13,9.78,9.78,9.78,9.78,0
61,2018-11-14,9.43,9.65,9.43,9.65,1800
62,2018-11-15,9.65,9.65,9.21,9.43,7000
63,2018-11-16,9.47,9.47,8.33,8.33,14200
64,2018-11-19,9.78,9.78,9.78,9.78,100
65,2018-11-20,9.21,9.21,9.21,9.21,27900
66,2018-11-21,9.43,9.43,9.43,9.43,2600
67,2018-11-22,9.43,9.43,9.43,9.43,0
68,2018-11-23,9.51,9.6,9.51,9.51,13700
69,2018-11-26,9.51,9.51,9.51,9.51,8020
70,2018-11-27,9.51,9.56,9.47,9.47,15300
71,2018-11-28,9.47,9.47,9.47,9.47,100
72,2018-11-29,9.21,9.25,9.21,9.21,4000
73,2018-11-30,9.43,9.43,9.34,9.34,17000
74,2018-12-03,9.38,9.43,9.38,9.43,12493
75,2018-12-04,9.38,9.43,9.43,9.43,0
76,2018-12-05,9.38,9.47,9.38,9.47,5101
77,2018-12-06,9.47,9.56,9.47,9.47,10510
78,2018-12-07,9.03,9.6,9.03,9.51,5000
79,2018-12-10,9.38,9.51,9.51,9.51,0
80,2018-12-11,9.43,9.43,9.43,9.43,11100
81,2018-12-12,8.77,9.38,8.77,9.38,14503
82,2018-12-13,9.21,9.21,9.21,9.21,4000
83,2018-12-14,9.25,9.25,9.25,9.25,3900
84,2018-12-17,9.3,9.34,9.25,9.25,6500
85,2018-12-18,9.3,9.47,9.25,9.3,26700
86,2018-12-19,10.24,10.24,9.39,9.39,6600
87,2018-12-20,9.49,9.55,9.12,9.12,11400
88,2018-12-21,9.39,9.39,9.33,9.33,10260
89,2018-12-24,9.6,9.6,9.33,9.33,400
90,2018-12-25,9.06,9.06,8.69,8.85,11400
91,2018-12-26,9.01,9.01,8.58,8.8,10500
92,2018-12-27,8.85,8.85,8.8,8.8,7400
93,2018-12-28,8.8,9.12,8.8,9.12,2700
94,2019-01-02,9.22,9.22,8.85,8.85,2700
95,2019-01-03,8.85,8.85,8.74,8.74,4350
96,2019-01-04,8.74,8.74,8.74,8.74,2500
97,2019-01-07,8.85,8.85,8.74,8.74,4010
98,2019-01-08,8.74,8.85,8.74,8.85,6100
99,2019-01-09,8.9,8.9,8.9,8.9,300
100,2019-01-10,8.8,8.8,8.74,8.74,19000
101,2019-01-11,8.69,8.69,8.69,8.69,1000
102,2019-01-14,8.8,8.8,8.69,8.69,13000
103,2019-01-15,8.69,8.69,8.69,8.69,200
104,2019-01-16,8.69,8.69,8.69,8.69,0
105,2019-01-17,8.69,8.69,8.69,8.69,0
106,2019-01-18,8.58,8.63,8.58,8.58,8400
107,2019-01-21,8.63,8.58,8.58,8.58,0
108,2019-01-22,8.63,8.63,8.58,8.58,9000
109,2019-01-23,8.63,8.58,8.58,8.58,0
110,2019-01-24,8.63,8.58,8.58,8.58,0
111,2019-01-25,8.63,8.58,8.58,8.58,0
112,2019-01-28,8.69,8.69,8.58,8.58,7300
113,2019-01-29,8.58,8.58,8.58,8.58,2500
114,2019-01-30,8.58,8.58,8.53,8.53,7100
115,2019-01-31,8.58,8.63,8.53,8.63,20400
116,2019-02-01,8.58,8.58,8.58,8.58,14400
117,2019-02-11,9.33,9.33,8.58,8.58,12700
118,2019-02-12,8.58,8.69,8.58,8.63,19500
119,2019-02-13,8.85,8.85,8.85,8.85,17666
120,2019-02-14,9.01,9.01,8.85,8.85,6200
121,2019-02-15,8.96,8.96,8.9,8.9,1000
122,2019-02-18,8.96,8.9,8.9,8.9,0
123,2019-02-19,8.96,8.96,8.96,8.96,2566
124,2019-02-20,8.96,8.96,8.96,8.96,29500
125,2019-02-21,8.96,8.96,8.96,8.96,2200
126,2019-02-22,8.96,8.96,8.96,8.96,18300
