,time,open,high,low,close,volume
0,2017-01-12,11.0,0.0,0.0,0.0,0
1,2017-01-13,15.4,15.4,15.4,15.4,100
2,2017-01-16,15.4,15.4,15.4,15.4,0
3,2017-01-17,17.7,17.7,17.7,17.7,4200
4,2017-01-18,20.3,20.3,20.3,20.3,3500
5,2017-01-19,17.3,18.0,17.3,18.0,210
6,2017-01-20,15.1,16.0,15.1,16.0,600
7,2017-01-23,13.2,14.0,13.2,13.9,2900
8,2017-01-24,12.4,13.5,12.2,13.5,1100
9,2017-01-25,13.5,13.5,13.5,13.5,0
10,2017-02-02,13.2,13.3,13.2,13.3,810
11,2017-02-03,13.8,14.2,13.6,13.6,700
12,2017-02-06,14.4,14.4,14.4,14.4,1100
13,2017-02-07,14.4,14.4,14.4,14.4,0
14,2017-02-08,13.5,13.5,13.5,13.5,500
15,2017-02-09,13.5,13.5,13.5,13.5,0
16,2017-02-10,14.5,14.5,14.5,14.5,100
17,2017-02-13,15.0,15.0,15.0,15.0,100
18,2017-02-14,15.0,15.0,15.0,15.0,0
19,2017-02-15,15.0,15.0,15.0,15.0,0
20,2017-02-16,15.0,15.0,15.0,15.0,0
21,2017-02-17,15.0,15.0,15.0,15.0,0
22,2017-02-20,12.8,12.8,12.8,12.8,800
23,2017-02-21,12.0,12.0,12.0,12.0,200
24,2017-02-22,10.3,10.4,10.2,10.4,7700
25,2017-02-23,10.4,10.4,9.0,9.0,1400
26,2017-02-24,10.0,10.0,10.0,10.0,300
27,2017-02-27,10.0,10.0,10.0,10.0,300
28,2017-02-28,10.0,10.0,10.0,10.0,2000
29,2017-03-01,10.0,10.0,10.0,10.0,3000
30,2017-03-02,10.0,10.0,10.0,10.0,0
31,2017-03-03,10.0,10.0,10.0,10.0,0
32,2017-03-06,10.0,10.0,10.0,10.0,600
33,2017-03-07,10.0,10.0,10.0,10.0,0
34,2017-03-08,10.0,10.0,10.0,10.0,300
35,2017-03-09,9.5,9.5,9.5,9.5,100
36,2017-03-10,10.0,10.0,9.6,9.6,14800
37,2017-03-13,10.0,10.0,10.0,10.0,100
38,2017-03-14,10.0,10.0,10.0,10.0,200
