,time,open,high,low,close,volume
0,2017-03-02,13.31,13.31,10.75,10.9,20000
1,2017-03-03,13.82,13.82,13.82,13.82,100
2,2017-03-06,15.87,15.87,15.87,15.87,700
3,2017-03-07,13.51,13.51,13.51,13.51,1000
4,2017-03-08,11.52,11.52,11.52,11.52,100
5,2017-03-09,9.83,9.83,9.83,9.83,5100
6,2017-03-10,11.26,11.26,11.26,11.26,100
7,2017-03-13,11.52,11.77,11.52,11.77,900
8,2017-03-14,11.77,11.77,11.77,11.77,0
9,2017-03-15,9.98,9.98,9.98,9.98,1000
10,2017-03-16,8.7,8.7,8.55,8.7,5500
11,2017-03-17,9.83,9.83,9.31,9.83,15047
12,2017-03-20,9.83,9.83,9.83,9.83,0
13,2017-03-21,9.78,9.78,9.78,9.78,0
14,2017-03-22,9.83,9.83,9.78,9.78,738
15,2017-03-23,9.83,9.83,9.83,9.83,0
16,2017-03-24,9.83,9.83,9.83,9.83,1500
17,2017-03-27,9.83,9.83,9.83,9.83,0
18,2017-03-28,9.21,9.21,9.21,9.21,300
19,2017-03-29,9.26,9.26,9.26,9.26,200
20,2017-03-30,9.47,9.47,9.31,9.47,14000
21,2017-03-31,9.72,9.72,9.72,9.72,2000
22,2017-04-03,9.72,9.72,9.72,9.72,0
23,2017-04-04,9.57,9.57,9.57,9.57,3000
24,2017-04-05,9.52,9.52,9.52,9.52,100
25,2017-04-07,8.19,9.47,8.19,9.47,200
26,2017-04-10,8.91,9.21,8.91,9.21,2000
27,2017-04-11,9.52,9.52,9.52,9.52,1000
28,2017-04-12,9.52,9.98,9.52,9.83,19734
29,2017-04-13,9.83,9.98,9.67,9.67,9300
30,2017-04-14,9.57,9.57,9.57,9.57,1000
31,2017-04-17,9.67,9.98,9.67,9.93,19100
32,2017-04-18,9.78,9.78,9.78,9.78,265
33,2017-04-19,9.37,9.37,9.37,9.37,11100
34,2017-04-20,9.37,9.37,9.37,9.37,0
35,2017-04-21,9.26,9.37,9.26,9.37,6201
36,2017-04-24,9.37,9.47,9.26,9.31,3000
37,2017-04-25,9.21,9.21,9.21,9.21,1134
38,2017-04-26,9.16,9.21,9.11,9.16,11116
39,2017-04-27,9.01,9.06,9.01,9.06,2500
40,2017-04-28,9.01,9.01,8.96,8.96,1400
41,2017-05-03,9.01,9.01,9.01,9.01,0
42,2017-05-04,7.73,9.11,7.73,9.11,5300
43,2017-05-05,9.11,9.11,9.06,9.06,5100
44,2017-05-08,9.21,9.21,9.21,9.21,100
45,2017-05-09,7.93,9.21,7.93,9.21,3300
46,2017-05-10,9.47,9.47,7.32,9.06,500
47,2017-05-11,7.37,9.11,7.37,7.68,5400
48,2017-05-12,7.83,7.83,7.83,7.83,5000
49,2017-05-15,7.83,7.83,7.68,7.68,7000
50,2017-05-16,7.22,7.68,7.22,7.68,2700
51,2017-05-17,8.19,8.19,7.37,7.37,2400
52,2017-05-18,7.42,7.42,7.42,7.42,4400
