,time,open,high,low,close,volume
0,2008-01-04,33.12,33.12,26.34,27.13,19200
1,2008-01-07,27.13,27.13,27.13,27.13,0
2,2008-01-08,30.09,30.09,25.14,27.13,6400
3,2008-01-09,28.17,28.17,25.94,25.94,1600
4,2008-01-10,23.94,23.94,23.94,23.94,3700
5,2008-01-11,26.34,26.34,22.35,23.06,10700
6,2008-01-14,25.3,25.3,21.15,21.15,900
7,2008-01-15,20.35,22.35,20.27,20.27,5400
8,2008-01-16,22.19,22.35,22.19,22.19,3800
9,2008-01-17,24.42,24.42,20.43,20.43,4400
10,2008-01-18,22.35,22.35,19.95,20.51,13500
11,2008-01-21,22.27,22.51,22.27,22.51,4500
12,2008-01-22,22.51,22.51,22.51,22.51,0
13,2008-01-23,20.43,20.43,20.35,20.35,900
14,2008-01-24,20.67,20.67,19.95,19.95,6300
15,2008-01-25,19.47,20.11,19.47,19.95,500
16,2008-01-28,19.31,19.95,19.31,19.95,7800
17,2008-01-29,20.75,20.75,19.55,19.95,14000
18,2008-01-30,21.55,21.63,21.55,21.63,10500
19,2008-01-31,23.78,23.78,21.55,21.95,4000
20,2008-02-01,24.02,24.02,21.71,21.71,3600
21,2008-02-12,21.87,21.87,21.87,21.87,100
22,2008-02-13,18.99,21.47,18.99,21.47,1400
23,2008-02-14,19.55,19.71,19.31,19.47,3000
24,2008-02-15,19.47,20.75,19.15,20.75,4200
25,2008-02-19,19.23,21.15,19.23,21.15,8600
26,2008-02-20,22.98,22.98,19.95,19.95,3100
27,2008-02-21,18.2,18.2,18.12,18.12,6900
28,2008-02-22,16.76,18.12,16.76,17.96,5400
29,2008-02-25,15.72,19.07,15.72,19.07,4300
30,2008-02-26,19.15,19.15,18.67,18.67,15300
31,2008-02-27,17.56,19.15,17.56,17.96,9700
32,2008-02-28,17.96,17.96,17.96,17.96,0
33,2008-02-29,18.75,18.75,18.36,18.36,5000
34,2008-03-03,18.52,18.52,17.56,17.56,900
35,2008-03-04,16.36,16.36,16.2,16.2,1400
36,2008-03-05,14.76,15.48,14.76,15.48,9900
37,2008-03-06,16.44,16.44,16.44,16.44,100
38,2008-03-07,18.04,18.04,18.04,18.04,13900
39,2008-03-10,19.79,19.79,19.15,19.15,4700
40,2008-03-11,18.36,18.36,18.36,18.36,1500
41,2008-03-12,18.28,18.36,17.72,18.36,2900
