,time,open,high,low,close,volume
0,2010-04-14,10.0,10.0,10.0,10.0,300730
1,2010-04-15,10.47,10.47,9.64,9.9,115180
2,2010-04-16,9.9,9.9,9.77,9.9,40500
3,2010-04-19,9.98,10.0,9.9,9.98,65670
4,2010-04-20,10.16,10.16,10.03,10.16,257630
5,2010-04-21,10.16,10.19,10.11,10.11,115690
6,2010-04-22,10.11,10.61,10.11,10.29,304480
7,2010-04-26,10.43,10.8,10.29,10.8,418040
8,2010-04-27,11.3,11.32,11.09,11.32,211120
9,2010-04-28,11.88,11.88,11.85,11.88,125120
10,2010-04-29,12.46,12.46,12.43,12.46,265920
11,2010-05-04,12.99,13.06,12.67,13.06,498340
12,2010-05-05,12.93,13.59,12.93,13.59,316340
13,2010-05-06,14.12,14.12,13.33,13.59,219420
14,2010-05-07,12.96,13.46,12.93,12.93,165080
15,2010-05-10,12.35,12.41,12.3,12.3,285430
16,2010-05-11,11.88,12.14,11.69,11.69,261630
17,2010-05-12,11.14,11.56,11.11,11.11,150350
18,2010-05-13,10.93,11.67,10.87,11.51,283660
19,2010-05-14,11.98,11.98,11.61,11.85,25640
20,2010-05-17,11.85,11.85,11.27,11.27,74950
21,2010-05-18,11.35,11.35,10.72,10.72,154960
22,2010-05-19,10.29,10.72,10.19,10.19,154380
23,2010-05-20,9.74,10.69,9.69,10.69,71910
24,2010-05-21,10.16,10.16,10.16,10.16,48130
25,2010-05-24,9.82,10.21,9.66,10.21,89480
26,2010-05-25,10.21,10.29,9.77,9.77,25750
27,2010-05-26,9.77,10.19,9.77,10.19,72800
28,2010-05-27,9.98,10.4,9.98,9.98,17910
29,2010-05-28,10.45,10.45,10.4,10.45,160990
30,2010-05-31,10.82,10.95,10.29,10.95,162530
31,2010-06-01,10.98,11.09,10.56,10.95,126600
32,2010-06-02,10.93,11.06,10.56,11.06,80890
33,2010-06-03,11.09,11.35,11.06,11.09,121800
34,2010-06-04,10.82,11.03,10.58,11.03,165700
35,2010-06-07,10.53,11.03,10.53,10.56,60010
36,2010-06-08,10.19,10.69,10.19,10.27,13930
37,2010-06-09,10.74,10.74,10.27,10.29,142850
38,2010-06-10,10.56,10.66,10.21,10.66,40940
39,2010-06-11,10.77,10.95,10.74,10.8,91460
40,2010-06-14,10.61,11.09,10.61,10.82,90620
41,2010-06-15,10.82,10.85,10.77,10.85,66430
42,2010-06-16,10.85,11.01,10.85,10.85,55290
43,2010-06-17,10.87,10.93,10.56,10.93,52360
44,2010-06-18,10.93,11.06,10.82,11.06,134620
45,2010-06-21,11.06,11.27,10.95,11.06,169340
46,2010-06-22,10.85,11.09,10.82,10.85,17700
47,2010-06-23,10.82,10.95,10.61,10.82,27040
48,2010-06-24,10.74,10.82,10.74,10.82,108310
49,2010-06-25,10.48,10.77,10.43,10.77,145250
50,2010-06-28,10.77,10.77,10.45,10.56,33060
51,2010-06-29,10.77,10.77,10.56,10.56,43700
52,2010-06-30,10.19,10.29,10.03,10.03,91110
53,2010-07-01,10.48,10.48,10.16,10.29,15700
54,2010-07-02,10.4,10.4,10.19,10.19,17750
55,2010-07-05,10.29,10.29,10.16,10.27,22920
56,2010-07-06,10.03,10.24,10.03,10.24,39800
