,time,open,high,low,close,volume
0,2017-03-03,23.48,23.48,23.48,23.48,400
1,2017-03-06,27.0,27.0,27.0,27.0,21000
2,2017-03-07,30.98,30.98,30.98,30.98,2100
3,2017-03-08,35.58,35.58,34.32,34.32,7910
4,2017-03-09,34.95,34.95,30.25,30.25,3800
5,2017-03-10,26.37,26.37,26.37,26.37,3400
6,2017-03-13,22.58,22.58,22.58,22.58,4900
7,2017-03-14,23.48,23.48,23.48,23.48,100
8,2017-03-15,24.38,24.38,24.38,24.38,400
9,2017-03-16,21.31,21.4,21.31,21.31,600
10,2017-03-17,21.67,21.67,21.67,21.67,500
11,2017-03-20,21.67,21.67,19.96,20.32,1600
12,2017-03-21,22.4,23.93,21.67,23.93,7000
13,2017-03-22,23.48,23.48,23.48,23.48,100
14,2017-03-23,23.48,23.48,23.48,23.48,0
15,2017-03-24,23.48,23.48,23.48,23.48,300
16,2017-03-27,23.48,23.48,23.48,23.48,0
17,2017-03-28,23.48,23.48,23.48,23.48,0
18,2017-03-29,23.48,23.48,23.48,23.48,0
19,2017-03-30,19.96,19.96,19.96,19.96,200
20,2017-03-31,19.96,19.96,19.96,19.96,0
21,2017-04-03,19.96,19.96,19.96,19.96,0
22,2017-04-04,19.96,19.96,19.96,19.96,0
23,2017-04-05,19.96,19.96,19.96,19.96,0
24,2017-04-07,19.96,19.96,19.96,19.96,0
25,2017-04-10,19.96,19.96,19.96,19.96,0
26,2017-04-11,22.58,22.58,22.58,22.58,1500
27,2017-04-12,21.04,21.04,21.04,21.04,1000
28,2017-04-13,21.04,21.04,21.04,21.04,0
29,2017-04-14,21.04,21.04,21.04,21.04,0
30,2017-04-17,21.04,21.04,21.04,21.04,0
31,2017-04-18,21.04,21.04,21.04,21.04,0
32,2017-04-19,21.04,21.04,21.04,21.04,0
33,2017-04-20,21.04,21.04,21.04,21.04,0
34,2017-04-21,21.04,21.04,21.04,21.04,0
35,2017-04-24,21.04,21.04,21.04,21.04,0
36,2017-04-25,21.22,21.22,21.22,21.22,400
37,2017-04-26,21.22,21.22,21.22,21.22,500
38,2017-04-27,21.22,21.22,21.22,21.22,0
39,2017-04-28,22.58,22.58,22.58,22.58,200
40,2017-05-03,22.58,22.58,22.58,22.58,0
41,2017-05-04,22.58,22.58,22.58,22.58,0
