,time,open,high,low,close,volume
0,2021-06-11,12.38,12.38,12.38,12.38,2000
1,2021-06-14,14.17,14.17,14.17,14.17,2200
2,2021-06-15,16.22,16.22,16.22,16.22,3000
3,2021-06-16,18.61,18.61,18.61,18.61,2000
4,2021-06-17,21.34,21.34,21.34,21.34,4300
5,2021-06-18,24.49,24.49,24.49,24.49,5600
6,2021-06-21,28.16,28.16,28.16,28.16,20600
7,2021-06-22,32.35,32.35,32.26,32.26,60400
8,2021-06-23,32.35,37.13,32.35,36.78,28400
9,2021-06-24,38.41,38.41,31.32,33.71,20400
10,2021-06-25,27.74,27.74,27.74,27.74,8200
11,2021-06-28,23.64,23.64,23.64,23.64,9400
12,2021-06-29,20.14,20.14,20.14,20.14,8900
13,2021-06-30,17.15,23.13,17.15,23.13,15800
14,2021-07-01,21.42,21.42,21.42,21.42,3300
15,2021-07-02,24.58,24.58,24.58,24.58,4800
16,2021-07-05,28.25,28.25,21.34,24.24,12700
17,2021-07-06,20.48,23.81,20.48,20.57,1600
18,2021-07-07,19.97,20.14,19.97,20.06,700
19,2021-07-08,21.76,21.76,20.82,21.34,3400
20,2021-07-09,21.34,21.34,21.17,21.17,1200
21,2021-07-12,21.34,21.34,21.34,21.34,500
22,2021-07-13,21.25,21.25,18.18,18.18,2100
23,2021-07-14,17.07,21.0,17.07,20.48,4700
24,2021-07-15,19.63,20.48,18.09,20.48,2700
25,2021-07-16,18.78,21.59,18.78,21.34,3200
26,2021-07-19,18.18,20.23,18.09,20.23,600
27,2021-07-20,17.5,19.46,17.5,19.46,2000
28,2021-07-21,19.63,19.63,19.29,19.29,500
29,2021-07-22,19.46,20.48,19.2,20.48,2000
30,2021-07-23,19.63,20.4,19.63,20.4,2100
31,2021-07-26,19.54,19.63,19.54,19.63,500
32,2021-07-27,20.82,20.91,17.07,20.4,4400
33,2021-07-28,20.4,20.4,18.09,20.4,1400
34,2021-07-29,18.78,21.34,18.78,21.34,1700
35,2021-07-30,19.54,21.0,19.54,21.0,2800
36,2021-08-02,19.97,19.97,19.97,19.97,0
37,2021-08-03,19.97,21.0,21.0,21.0,0
38,2021-08-04,17.58,21.25,17.58,20.31,3200
39,2021-08-05,18.95,20.48,18.95,18.95,2100
40,2021-08-06,17.15,20.4,17.15,20.4,800
41,2021-08-09,18.52,18.61,18.52,18.52,600
42,2021-08-10,18.35,18.52,18.35,18.52,200
43,2021-08-11,20.31,20.4,20.31,20.4,300
44,2021-08-12,20.4,20.4,20.4,20.4,0
45,2021-08-13,19.8,19.8,18.69,18.95,700
46,2021-08-16,17.24,19.46,17.24,19.46,2600
47,2021-08-17,19.29,19.46,19.46,19.46,0
48,2021-08-18,19.29,19.46,19.46,19.46,0
49,2021-08-19,19.2,19.2,19.2,19.2,100
50,2021-08-20,17.5,17.58,17.24,17.58,1400
51,2021-08-23,15.53,19.63,15.45,19.46,1300
52,2021-08-24,19.46,19.46,19.46,19.46,1700
53,2021-08-25,19.46,19.46,19.46,19.46,0
54,2021-08-26,17.15,18.78,16.56,18.78,1800
55,2021-08-27,20.06,20.06,19.8,19.8,500
56,2021-08-30,18.78,19.8,17.92,19.8,500
57,2021-08-31,19.54,19.54,19.54,19.54,100
58,2021-09-01,19.54,19.54,19.54,19.54,0
59,2021-09-06,19.12,19.12,19.12,19.12,100
