,time,open,high,low,close,volume
0,2009-06-15,8.19,8.19,8.19,8.19,11200
1,2009-06-16,8.72,8.72,8.72,8.72,201300
2,2009-06-17,9.25,9.3,8.72,9.3,235200
3,2009-06-18,9.72,9.72,9.46,9.72,164100
4,2009-06-19,9.72,10.3,9.04,9.04,55300
5,2009-06-22,9.04,9.04,9.04,9.04,5000
6,2009-06-23,8.4,8.4,8.4,8.4,27700
7,2009-06-24,7.83,8.72,7.83,8.4,88000
8,2009-06-25,8.35,8.35,7.72,7.88,128600
9,2009-06-26,8.14,8.25,7.88,8.14,13200
10,2009-06-29,7.98,8.35,7.83,8.04,24200
11,2009-06-30,8.25,8.3,7.88,7.98,45300
12,2009-07-01,8.14,8.14,7.51,7.67,25600
13,2009-07-02,8.09,8.09,7.83,7.88,6400
14,2009-07-03,7.88,7.98,7.88,7.98,1100
15,2009-07-06,7.88,8.35,7.77,8.25,18700
16,2009-07-07,8.35,8.35,7.77,7.93,9800
17,2009-07-08,7.67,7.83,7.41,7.41,19400
18,2009-07-09,7.88,7.88,7.51,7.62,2900
19,2009-07-10,7.51,7.51,7.35,7.35,10500
20,2009-07-13,7.35,7.46,7.25,7.25,4600
21,2009-07-14,7.72,7.72,6.83,7.46,8400
22,2009-07-15,7.35,7.41,7.25,7.25,6200
23,2009-07-16,7.41,7.83,7.09,7.83,21000
24,2009-07-17,7.35,7.35,7.3,7.35,1500
25,2009-07-20,7.14,7.14,6.83,7.14,9600
26,2009-07-21,6.88,7.2,6.88,7.14,4200
27,2009-07-22,7.35,7.41,7.25,7.25,2000
28,2009-07-23,7.3,7.46,7.14,7.46,6500
29,2009-07-24,7.41,7.88,7.41,7.88,29900
30,2009-07-27,7.88,8.35,7.88,8.25,19700
31,2009-07-28,8.25,8.35,7.77,7.93,22200
32,2009-07-29,7.88,7.88,7.67,7.67,6500
33,2009-07-30,7.83,7.88,7.62,7.62,600
34,2009-07-31,7.88,7.88,7.72,7.77,3500
35,2009-08-03,7.51,7.67,7.51,7.51,20200
36,2009-08-04,7.88,7.88,7.62,7.72,16600
37,2009-08-05,7.62,7.67,7.62,7.62,7100
38,2009-08-06,7.62,7.67,7.62,7.62,11800
39,2009-08-07,7.62,7.67,7.62,7.62,9900
40,2009-08-10,7.35,7.88,7.35,7.83,6800
41,2009-08-11,7.56,7.62,7.56,7.62,1900
42,2009-08-12,7.72,7.72,7.67,7.67,900
43,2009-08-13,7.67,7.67,7.35,7.67,8500
44,2009-08-14,7.67,7.67,7.67,7.67,8500
45,2009-08-17,7.35,7.35,7.14,7.35,28700
46,2009-08-18,7.25,7.56,7.25,7.3,12300
47,2009-08-19,7.46,7.51,7.35,7.51,11700
48,2009-08-20,7.35,7.46,7.25,7.3,5000
49,2009-08-21,7.25,7.62,7.25,7.35,24700
50,2009-08-24,7.35,7.56,7.25,7.56,51000
51,2009-08-25,7.56,7.56,7.56,7.56,0
52,2009-08-26,7.62,7.67,7.51,7.67,34200
53,2009-08-27,7.62,7.88,7.62,7.88,15800
54,2009-08-28,7.88,8.14,7.72,8.04,43400
55,2009-08-31,8.4,8.51,7.88,8.19,31500
56,2009-09-01,8.09,8.09,7.98,7.98,11200
57,2009-09-03,7.98,7.98,7.77,7.83,2600
58,2009-09-04,7.62,7.88,7.62,7.62,12700
59,2009-09-07,7.62,8.19,7.62,8.19,64200
60,2009-09-08,8.46,8.46,8.3,8.46,87700
61,2009-09-09,8.93,9.04,8.46,9.04,90500
62,2009-09-10,9.35,9.35,8.67,8.72,25300
63,2009-09-11,8.67,8.82,8.3,8.4,29700
64,2009-09-14,8.4,8.67,8.4,8.4,54900
65,2009-09-15,8.4,8.61,8.4,8.61,69000
66,2009-09-16,8.46,8.72,8.4,8.72,32700
67,2009-09-17,9.25,9.25,8.77,8.82,45500
68,2009-09-18,8.93,8.93,8.56,8.67,16300
69,2009-09-21,8.4,8.61,8.4,8.51,19500
70,2009-09-22,8.4,8.4,8.19,8.35,21000
71,2009-09-23,8.25,8.82,8.14,8.67,93200
72,2009-09-24,8.67,8.67,8.25,8.51,9400
73,2009-09-25,8.3,8.51,8.3,8.51,16200
74,2009-09-28,8.4,8.51,8.35,8.35,17500
75,2009-09-29,8.3,8.35,8.25,8.3,20300
76,2009-09-30,8.19,8.3,8.14,8.3,15100
77,2009-10-01,8.14,8.3,8.09,8.19,11200
78,2009-10-02,8.3,8.3,7.67,7.88,40000
79,2009-10-05,8.14,8.19,7.88,8.04,11100
80,2009-10-06,8.14,8.14,7.88,7.98,9500
81,2009-10-07,7.98,8.4,7.98,8.3,12400
82,2009-10-08,8.51,8.51,8.04,8.04,13900
83,2009-10-09,8.09,8.19,7.98,8.14,36100
84,2009-10-12,8.04,8.56,8.04,8.51,143200
85,2009-10-13,9.04,9.09,8.67,8.93,91700
86,2009-10-14,8.93,9.14,8.72,9.14,92400
87,2009-10-15,9.3,9.46,9.04,9.19,127600
88,2009-10-16,9.46,9.46,8.72,8.93,94200
89,2009-10-19,9.04,9.04,8.67,8.82,69300
90,2009-10-20,9.3,9.46,9.3,9.46,160800
91,2009-10-21,10.09,10.09,9.98,10.09,148900
92,2009-10-22,10.77,10.77,10.51,10.77,236400
93,2009-10-23,11.5,11.5,11.03,11.29,314600
94,2009-10-26,11.03,12.08,10.66,10.87,266500
95,2009-10-27,10.87,10.87,10.77,10.77,9100
96,2009-10-28,10.03,10.51,10.03,10.09,108000
97,2009-10-29,9.51,9.61,9.51,9.51,84800
98,2009-10-30,9.51,9.98,9.51,9.82,38300
99,2009-11-02,9.51,9.51,9.19,9.19,21800
100,2009-11-03,9.25,9.3,8.56,8.56,41700
101,2009-11-04,8.14,8.88,8.14,8.88,43600
102,2009-11-05,8.98,9.04,8.93,9.04,32800
103,2009-11-06,9.67,9.67,9.46,9.67,66800
104,2009-11-09,9.19,9.19,8.98,8.98,24300
105,2009-11-10,8.72,8.93,8.56,8.93,5900
106,2009-11-11,9.14,9.25,8.93,9.25,25100
107,2009-11-12,9.72,9.72,9.19,9.56,13100
108,2009-11-13,9.46,9.46,8.98,9.4,6500
109,2009-11-16,9.56,9.56,8.67,8.67,55800
110,2009-11-17,9.19,9.19,8.93,8.98,4500
111,2009-11-18,8.93,8.93,8.56,8.93,24400
112,2009-11-19,9.3,9.3,8.67,8.93,20100
113,2009-11-20,9.19,9.19,8.93,8.93,32700
114,2009-11-23,9.04,9.04,8.67,8.82,19800
115,2009-11-24,8.93,8.93,8.46,8.61,13600
116,2009-11-25,8.4,8.4,7.98,7.98,53600
117,2009-11-26,7.98,7.98,7.51,7.51,60300
118,2009-11-27,6.99,8.04,6.99,7.93,41700
119,2009-11-30,7.98,8.4,7.98,8.4,11300
120,2009-12-01,8.4,8.51,8.3,8.51,45200
121,2009-12-02,8.35,8.35,7.77,7.88,29100
122,2009-12-03,7.51,7.67,7.51,7.62,52600
123,2009-12-04,7.67,7.67,7.56,7.62,55800
124,2009-12-07,7.77,7.77,7.62,7.62,14900
125,2009-12-08,7.67,7.67,7.46,7.51,14400
126,2009-12-09,7.35,7.35,7.2,7.3,37400
127,2009-12-10,7.35,7.46,7.2,7.25,21700
128,2009-12-11,7.35,7.35,7.09,7.14,22000
129,2009-12-14,7.35,7.56,7.2,7.56,10300
130,2009-12-15,7.62,7.62,7.35,7.56,5900
131,2009-12-16,7.35,7.35,7.25,7.3,41900
132,2009-12-17,6.93,7.14,6.93,7.09,7000
133,2009-12-18,7.46,7.51,7.35,7.51,10800
134,2009-12-21,7.62,7.93,7.62,7.93,10700
135,2009-12-22,7.98,7.98,7.62,7.72,5500
136,2009-12-23,7.62,7.93,7.62,7.88,7800
137,2009-12-24,7.93,8.09,7.93,8.09,6300
138,2009-12-25,8.09,8.25,8.04,8.14,21200
139,2009-12-28,7.88,8.09,7.62,7.98,6900
140,2009-12-29,7.72,7.72,7.51,7.51,7100
141,2009-12-30,7.35,7.88,7.25,7.25,11400
142,2009-12-31,7.77,7.77,7.35,7.35,52300
143,2010-01-04,7.83,7.83,7.83,7.83,6800
144,2010-01-05,8.35,8.35,8.25,8.3,15200
145,2010-01-06,7.77,8.19,7.77,8.14,18200
146,2010-01-07,8.09,8.09,7.88,7.88,30900
147,2010-01-08,8.25,8.46,8.04,8.09,33800
148,2010-01-11,8.04,8.04,7.77,7.88,14500
149,2010-01-12,8.14,8.14,7.56,7.56,5700
150,2010-01-13,7.83,7.88,7.35,7.88,10800
151,2010-01-14,8.09,8.09,7.88,7.88,2900
152,2010-01-15,7.67,7.88,7.67,7.88,1000
153,2010-01-18,7.35,7.41,7.3,7.35,22300
154,2010-01-19,7.72,7.72,7.41,7.46,4000
155,2010-01-20,7.51,7.51,7.41,7.41,8100
156,2010-01-21,7.35,7.35,7.14,7.25,7500
157,2010-01-22,7.25,7.25,7.25,7.25,400
158,2010-01-25,7.2,7.35,7.2,7.35,6100
159,2010-01-26,7.67,7.77,7.51,7.77,10200
160,2010-01-27,7.62,7.62,7.35,7.46,2900
161,2010-01-28,7.46,7.46,7.35,7.46,7900
162,2010-01-29,7.35,7.46,7.35,7.46,3600
163,2010-02-01,7.41,7.67,7.41,7.46,6500
164,2010-02-02,7.62,7.62,7.46,7.56,3500
165,2010-02-03,7.46,7.51,7.46,7.51,8500
166,2010-02-04,7.46,7.62,7.46,7.51,5600
167,2010-02-05,7.51,7.51,7.35,7.35,3500
168,2010-02-08,7.35,7.35,7.09,7.35,6600
169,2010-02-09,7.41,7.41,7.3,7.3,10100
170,2010-02-10,7.41,7.46,7.35,7.46,8400
171,2010-02-11,7.51,7.51,7.41,7.51,2300
172,2010-02-12,7.56,7.62,7.51,7.56,3800
173,2010-02-22,7.67,7.77,7.62,7.67,9100
174,2010-02-23,7.62,7.67,7.62,7.67,5600
175,2010-02-24,7.67,7.67,7.67,7.67,0
176,2010-02-25,7.62,7.67,7.56,7.56,16000
177,2010-02-26,7.56,7.77,7.56,7.77,7900
178,2010-03-01,7.72,7.72,7.72,7.72,1900
179,2010-03-02,7.62,7.67,7.62,7.67,1400
180,2010-03-03,7.67,7.77,7.67,7.77,6300
181,2010-03-04,7.93,7.93,7.77,7.77,5400
182,2010-03-05,7.62,7.88,7.62,7.77,7500
183,2010-03-08,7.88,8.04,7.88,8.04,14100
184,2010-03-09,7.98,8.14,7.98,8.09,7000
185,2010-03-10,8.14,8.19,7.88,7.88,11700
186,2010-03-11,7.77,7.93,7.77,7.88,7700
187,2010-03-12,8.04,8.14,7.88,8.14,19900
188,2010-03-15,8.4,8.4,8.19,8.25,5700
189,2010-03-16,7.98,8.09,7.72,7.72,11800
190,2010-03-17,7.83,7.83,7.77,7.83,2600
191,2010-03-18,7.83,7.93,7.83,7.93,5500
192,2010-03-19,7.88,8.09,7.88,7.88,6200
193,2010-03-22,7.98,7.98,7.83,7.83,600
194,2010-03-23,7.83,7.83,7.77,7.77,5400
195,2010-03-24,7.77,7.77,7.77,7.77,2000
196,2010-03-25,7.88,7.88,7.72,7.72,2400
197,2010-03-26,7.67,7.83,7.67,7.83,1500
198,2010-03-29,7.72,7.88,7.67,7.83,9500
199,2010-03-30,7.67,7.77,7.62,7.67,7500
200,2010-03-31,7.62,7.67,7.56,7.56,10700
201,2010-04-01,7.51,7.77,7.51,7.72,1200
202,2010-04-02,7.67,7.77,7.67,7.77,1400
203,2010-04-05,7.67,7.72,7.67,7.72,600
204,2010-04-06,7.72,7.77,7.72,7.77,2100
205,2010-04-07,7.72,7.72,7.67,7.72,700
206,2010-04-08,7.62,7.83,7.62,7.72,18300
207,2010-04-09,7.98,7.98,7.77,7.88,12900
208,2010-04-12,7.88,7.98,7.88,7.98,12900
209,2010-04-13,8.04,8.04,7.88,7.88,9800
210,2010-04-14,7.88,7.88,7.88,7.88,0
211,2010-04-15,7.98,7.98,7.77,7.77,10900
212,2010-04-16,7.98,8.04,7.88,8.04,13700
213,2010-04-19,7.98,7.98,7.88,7.98,11700
214,2010-04-20,7.93,8.25,7.93,8.14,12000
215,2010-04-21,8.14,8.61,8.14,8.61,53400
216,2010-04-22,8.93,9.09,8.4,8.46,34500
217,2010-04-26,8.82,8.82,8.4,8.4,15500
218,2010-04-27,8.4,8.51,8.4,8.46,14500
219,2010-04-28,8.4,8.51,8.4,8.51,9400
220,2010-04-29,8.51,8.77,8.4,8.51,14400
221,2010-05-04,8.51,9.09,8.51,9.09,75200
222,2010-05-05,8.98,9.09,8.77,8.93,33500
223,2010-05-06,8.93,9.46,8.88,9.46,102600
224,2010-05-07,9.72,9.93,9.51,9.93,145100
225,2010-05-10,10.51,10.51,9.19,9.61,55500
226,2010-05-11,8.98,9.72,8.98,9.72,49800
227,2010-05-12,9.72,9.72,8.93,9.04,42700
228,2010-05-13,8.56,9.35,8.51,8.67,89100
229,2010-05-14,8.82,9.19,8.67,9.19,136100
230,2010-05-17,9.3,9.46,9.04,9.04,78900
