,time,open,high,low,close,volume
0,2008-01-09,0.51,1.02,0.51,0.72,11800
1,2008-01-10,0.71,0.71,0.67,0.68,1200
2,2008-01-11,0.68,0.68,0.68,0.68,1300
3,2008-01-14,0.68,0.68,0.68,0.68,200
4,2008-01-15,0.68,0.68,0.68,0.68,100
5,2008-01-16,0.61,0.71,0.61,0.71,9500
6,2008-01-17,0.59,0.61,0.59,0.59,3100
7,2008-01-18,0.59,0.59,0.59,0.59,3000
8,2008-01-21,0.59,0.59,0.54,0.54,1700
9,2008-01-22,0.56,0.59,0.54,0.59,2900
10,2008-01-23,0.55,0.61,0.54,0.61,3200
11,2008-01-24,0.58,0.59,0.58,0.59,600
12,2008-01-25,0.58,0.59,0.58,0.58,2300
13,2008-01-28,0.54,0.54,0.53,0.54,900
14,2008-01-29,0.55,0.55,0.54,0.54,1200
15,2008-01-30,0.6,0.6,0.58,0.59,2200
16,2008-01-31,0.59,0.59,0.59,0.59,100
17,2008-02-01,0.62,0.62,0.62,0.62,100
18,2008-02-12,0.57,0.57,0.57,0.57,1000
19,2008-02-13,0.52,0.53,0.52,0.53,2600
20,2008-02-14,0.57,0.57,0.57,0.57,1800
21,2008-02-15,0.63,0.63,0.56,0.56,1000
22,2008-02-18,0.56,0.58,0.53,0.58,1200
23,2008-02-19,0.56,0.56,0.56,0.56,100
24,2008-02-20,0.59,0.59,0.54,0.54,600
25,2008-02-21,0.53,0.53,0.53,0.53,100
26,2008-02-22,0.53,0.53,0.53,0.53,100
27,2008-02-25,0.58,0.58,0.54,0.54,200
28,2008-02-26,0.54,0.54,0.54,0.54,0
29,2008-02-27,0.54,0.54,0.54,0.54,0
30,2008-02-28,0.54,0.54,0.54,0.54,0
31,2008-02-29,0.51,0.51,0.51,0.51,100
32,2008-03-03,0.51,0.51,0.51,0.51,1000
33,2008-03-04,0.49,0.49,0.49,0.49,100
34,2008-03-05,0.49,0.49,0.49,0.49,0
35,2008-03-06,0.52,0.53,0.52,0.53,6800
36,2008-03-07,0.58,0.58,0.58,0.58,9300
37,2008-03-10,0.64,0.64,0.63,0.63,2800
38,2008-03-11,0.63,0.63,0.63,0.63,0
39,2008-03-12,0.58,0.58,0.57,0.57,1400
40,2008-03-13,0.56,0.56,0.51,0.51,200
41,2008-03-14,0.59,0.59,0.49,0.49,2600
42,2008-03-17,0.45,0.45,0.45,0.45,1200
43,2008-03-18,0.4,0.4,0.4,0.4,2500
44,2008-03-19,0.41,0.41,0.36,0.36,1600
45,2008-03-20,0.39,0.39,0.36,0.38,1400
46,2008-03-21,0.39,0.39,0.34,0.34,2000
47,2008-03-24,0.32,0.32,0.32,0.32,1200
48,2008-03-25,0.29,0.29,0.29,0.29,2200
49,2008-03-26,0.27,0.27,0.27,0.27,200
50,2008-03-27,0.28,0.28,0.28,0.28,200
51,2008-03-28,0.28,0.28,0.28,0.28,400
52,2008-03-31,0.29,0.29,0.29,0.29,100
