,time,open,high,low,close,volume
0,2017-07-28,5.76,5.76,5.76,5.76,1000
1,2017-07-31,5.76,5.76,5.76,5.76,0
2,2017-08-01,6.55,6.55,6.55,6.55,9300
3,2017-08-02,6.55,6.55,6.55,6.55,0
4,2017-08-03,6.55,6.55,6.55,6.55,0
5,2017-08-04,6.55,6.55,6.55,6.55,0
6,2017-08-07,7.48,7.48,7.48,7.48,500
7,2017-08-08,7.48,7.48,7.48,7.48,0
8,2017-08-09,7.48,7.48,7.48,7.48,0
9,2017-08-10,7.48,7.48,7.48,7.48,0
10,2017-08-11,7.48,7.48,7.48,7.48,0
11,2017-08-14,7.48,7.48,7.48,7.48,0
12,2017-08-15,7.2,7.2,7.2,7.2,50000
13,2017-08-16,7.2,7.2,7.2,7.2,30000
14,2017-08-17,7.2,7.2,7.2,7.2,0
15,2017-08-18,7.2,7.2,7.2,7.2,20000
16,2017-08-21,7.2,7.2,7.2,7.2,20000
17,2017-08-22,7.2,7.2,7.2,7.2,20500
18,2017-08-23,7.2,7.2,7.2,7.2,0
19,2017-08-24,7.2,7.2,7.2,7.2,40000
20,2017-08-25,7.2,7.2,7.2,7.2,0
21,2017-08-28,7.2,7.2,7.2,7.2,0
22,2017-08-29,7.2,7.2,7.2,7.2,0
23,2017-08-30,7.2,7.2,7.2,7.2,0
24,2017-08-31,7.2,7.2,7.2,7.2,0
25,2017-09-01,7.2,7.2,7.2,7.2,0
26,2017-09-05,7.2,7.2,7.2,7.2,4700
27,2017-09-06,7.91,7.91,7.2,7.2,17000
28,2017-09-07,7.2,7.2,7.2,7.2,0
29,2017-09-08,7.2,7.2,7.2,7.2,0
30,2017-09-11,7.2,7.2,7.2,7.2,0
31,2017-09-12,6.48,7.2,6.48,7.2,1100
32,2017-09-13,6.19,6.19,6.19,6.19,100
33,2017-09-14,5.4,5.4,5.4,5.4,100
34,2017-09-15,4.82,4.82,4.82,4.82,100
35,2017-09-18,4.82,4.82,4.82,4.82,0
36,2017-09-19,4.82,4.82,4.82,4.82,0
37,2017-09-20,4.82,4.82,4.82,4.82,0
