,time,open,high,low,close,volume
0,2019-12-26,12.51,12.51,11.98,11.98,3000
1,2019-12-27,10.54,10.54,10.54,10.54,700
2,2019-12-30,10.54,10.54,10.54,10.54,0
3,2019-12-31,9.1,9.1,9.02,9.02,700
4,2020-01-02,7.74,7.74,7.74,7.74,1100
5,2020-01-03,6.83,6.83,6.6,6.6,2100
6,2020-01-06,5.69,5.69,5.69,5.69,1300
7,2020-01-07,4.85,4.85,4.85,4.85,2200
8,2020-01-08,4.17,4.17,4.17,4.17,2200
9,2020-01-09,3.79,3.79,3.56,3.72,14800
10,2020-01-10,3.64,3.72,3.72,3.72,0
11,2020-01-13,3.72,4.17,3.72,4.17,2500
12,2020-01-14,4.55,4.55,4.55,4.55,700
13,2020-01-15,4.63,4.63,3.87,4.55,25600
14,2020-01-16,4.4,4.4,4.4,4.4,100
15,2020-01-17,4.4,4.7,4.4,4.7,2400
16,2020-01-20,4.63,4.63,4.63,4.63,2100
17,2020-01-21,5.16,5.16,5.16,5.16,300
18,2020-01-22,5.92,5.92,5.69,5.69,300
19,2020-01-30,6.07,6.45,6.07,6.29,600
20,2020-01-31,7.05,7.05,7.05,7.05,100
21,2020-02-03,7.05,7.05,7.05,7.05,0
22,2020-02-04,7.66,7.66,7.66,7.66,100
23,2020-02-05,7.81,7.81,6.52,7.81,1300
24,2020-02-06,5.84,5.84,5.84,5.84,100
25,2020-02-07,5.01,5.01,5.01,5.01,100
26,2020-02-10,4.32,4.55,4.32,4.55,6900
27,2020-02-11,4.32,4.32,4.32,4.32,300
28,2020-02-12,4.32,4.32,4.32,4.32,0
29,2020-02-13,4.32,4.32,4.32,4.32,0
30,2020-02-14,3.72,3.79,3.72,3.79,2100
31,2020-02-17,3.79,3.79,3.79,3.79,0
32,2020-02-18,3.79,3.79,3.79,3.79,0
33,2020-02-19,3.79,3.79,3.79,3.79,0
34,2020-02-20,3.79,3.79,3.79,3.79,0
35,2020-02-21,4.32,4.32,4.32,4.32,1100
36,2020-02-24,4.32,4.32,4.32,4.32,0
37,2020-02-25,4.93,4.93,4.93,4.93,100
38,2020-02-26,5.61,5.61,5.61,5.61,800
39,2020-02-27,5.61,5.61,5.61,5.61,0
40,2020-02-28,6.22,6.22,6.22,6.22,500
41,2020-03-02,6.45,6.45,6.45,6.45,400
42,2020-03-03,5.54,6.83,5.54,6.83,2800
43,2020-03-04,6.07,6.52,6.07,6.45,10000
44,2020-03-05,6.83,7.2,6.83,7.2,1300
45,2020-03-06,6.98,7.58,6.98,7.58,3500
46,2020-03-09,7.2,7.58,6.14,6.45,3100
47,2020-03-10,6.45,7.58,6.45,7.58,4800
48,2020-03-11,6.45,6.45,6.45,6.45,500
49,2020-03-12,6.45,6.45,6.45,6.45,0
50,2020-03-13,6.45,6.45,6.45,6.45,0
51,2020-03-16,6.45,6.45,6.45,6.45,0
52,2020-03-17,6.07,6.07,6.07,6.07,1000
53,2020-03-18,6.07,6.07,6.07,6.07,1100
54,2020-03-19,6.98,6.98,6.6,6.6,7100
55,2020-03-20,6.07,6.83,6.07,6.83,4000
