,time,open,high,low,close,volume
0,2017-06-21,11.4,11.4,11.4,11.4,19000
1,2017-06-22,32.0,32.0,32.0,32.0,0
2,2017-06-23,13.1,13.1,13.1,13.1,100
3,2017-06-26,14.7,14.7,12.8,12.8,1200
4,2017-06-27,14.5,14.5,14.5,14.5,0
5,2017-06-28,12.4,12.4,12.4,12.4,100
6,2017-06-29,10.6,10.6,10.6,10.6,100
7,2017-06-30,9.1,9.1,9.1,9.1,100
8,2017-07-03,7.8,7.8,7.8,7.8,900
9,2017-07-04,6.7,6.7,6.7,6.7,10300
10,2017-07-05,5.7,5.7,5.7,5.7,100
11,2017-07-06,4.9,5.0,4.9,5.0,2350
12,2017-07-07,5.0,5.0,5.0,5.0,2000
13,2017-07-10,5.0,5.0,5.0,5.0,500
14,2017-07-11,5.0,5.0,5.0,5.0,2900
15,2017-07-12,4.3,4.3,4.3,4.3,3500
16,2017-07-13,3.8,4.3,3.8,4.3,20300
17,2017-07-14,4.0,4.0,3.5,3.5,21300
18,2017-07-17,3.9,3.9,3.9,3.9,1300
19,2017-07-18,3.9,4.0,3.9,3.9,3200
20,2017-07-19,3.9,3.9,3.9,3.9,2200
21,2017-07-20,3.8,3.8,3.7,3.7,4900
22,2017-07-21,3.8,3.8,3.8,3.8,19700
23,2017-07-24,3.8,3.8,3.6,3.6,12600
24,2017-07-25,3.5,3.6,3.4,3.6,14200
25,2017-07-26,3.5,3.7,3.5,3.7,5600
26,2017-07-27,3.5,3.5,3.5,3.5,0
27,2017-07-28,3.7,3.7,3.7,3.7,1000
28,2017-07-31,3.6,3.6,3.6,3.6,3080
29,2017-08-01,3.6,3.6,3.5,3.5,12200
30,2017-08-02,3.6,3.6,3.6,3.6,564
31,2017-08-03,3.5,3.5,3.5,3.5,5400
32,2017-08-04,3.5,3.5,3.4,3.4,1600
33,2017-08-07,3.5,3.5,3.5,3.5,0
34,2017-08-08,3.5,3.5,3.5,3.5,2000
35,2017-08-09,3.6,3.6,3.4,3.4,1120
36,2017-08-10,3.6,3.6,3.5,3.5,1100
37,2017-08-11,3.5,3.5,3.5,3.5,700
38,2017-08-14,3.3,3.5,3.3,3.5,2100
39,2017-08-15,3.5,3.5,3.4,3.4,3200
40,2017-08-16,3.4,3.4,3.4,3.4,110
41,2017-08-17,3.1,3.1,3.1,3.1,1060
42,2017-08-18,3.4,3.4,3.4,3.4,100
43,2017-08-21,3.4,3.4,3.4,3.4,100
44,2017-08-22,3.4,3.4,3.4,3.4,0
45,2017-08-23,3.4,3.4,3.4,3.4,0
46,2017-08-24,3.4,3.4,3.4,3.4,0
47,2017-08-25,3.4,3.4,3.4,3.4,0
48,2017-08-28,3.4,3.4,3.4,3.4,5000
49,2017-08-29,3.4,3.4,3.4,3.4,0
50,2017-08-30,3.1,3.4,3.1,3.4,9300
51,2017-08-31,3.3,3.3,3.3,3.3,1300
52,2017-09-01,3.3,3.3,3.2,3.2,3900
53,2017-09-05,3.4,3.4,3.4,3.4,130
54,2017-09-06,3.5,3.5,3.3,3.3,1100
55,2017-09-07,3.2,3.3,3.2,3.3,4600
56,2017-09-08,3.0,3.1,3.0,3.1,4300
57,2017-09-11,3.3,3.4,3.2,3.2,7200
58,2017-09-12,3.3,3.4,3.3,3.4,10010
59,2017-09-13,3.3,3.3,3.3,3.3,0
60,2017-09-14,3.1,3.1,3.1,3.1,4200
61,2017-09-15,3.1,3.1,3.1,3.1,700
62,2017-09-18,3.0,3.0,2.8,2.8,10134
63,2017-09-19,3.0,3.0,3.0,3.0,1500
64,2017-09-20,3.0,3.0,3.0,3.0,7500
65,2017-09-21,3.0,3.1,3.0,3.1,3100
66,2017-09-22,3.0,3.0,3.0,3.0,1500
67,2017-09-25,3.0,3.1,3.0,3.1,610
68,2017-09-26,3.1,3.1,3.1,3.1,200
69,2017-09-27,3.0,3.0,3.0,3.0,1800
70,2017-09-28,3.0,3.0,3.0,3.0,0
71,2017-09-29,2.9,2.9,2.8,2.8,6000
72,2017-10-02,2.8,2.8,2.8,2.8,10
73,2017-10-03,3.1,3.1,3.1,3.1,1110
74,2017-10-04,3.1,3.1,3.1,3.1,0
75,2017-10-05,3.1,3.1,3.1,3.1,0
76,2017-10-06,3.1,3.1,3.1,3.1,1100
77,2017-10-09,3.1,3.1,3.1,3.1,0
78,2017-10-10,3.1,3.1,3.1,3.1,0
79,2017-10-11,2.8,2.8,2.8,2.8,1000
80,2017-10-12,3.0,3.2,3.0,3.0,6000
81,2017-10-13,3.3,3.3,3.1,3.1,1200
82,2017-10-16,3.1,3.5,3.1,3.3,1200
83,2017-10-17,3.2,3.2,3.2,3.2,6600
84,2017-10-18,3.2,3.2,3.2,3.2,100
85,2017-10-19,3.0,3.0,2.9,3.0,5100
86,2017-10-20,3.0,3.0,3.0,3.0,310
87,2017-10-23,3.0,3.0,2.9,2.9,3610
88,2017-10-24,3.0,3.0,3.0,3.0,1250
89,2017-10-25,2.9,2.9,2.6,2.6,28900
90,2017-10-26,2.8,2.8,2.8,2.8,100
91,2017-10-27,2.6,2.6,2.4,2.6,37300
92,2017-10-30,2.2,2.4,2.1,2.4,3000
93,2017-10-31,2.2,2.3,2.2,2.3,400
94,2017-11-01,2.4,2.5,2.4,2.4,3400
95,2017-11-02,2.4,2.4,2.4,2.4,2000
96,2017-11-03,2.4,2.4,2.4,2.4,2000
97,2017-11-06,2.2,2.2,2.2,2.2,1000
98,2017-11-07,2.2,2.2,2.1,2.1,16000
99,2017-11-08,2.1,2.2,2.1,2.2,5700
100,2017-11-09,2.1,2.1,2.0,2.0,17200
101,2017-11-10,2.0,2.0,2.0,2.0,1000
102,2017-11-13,2.0,2.1,2.0,2.1,3100
103,2017-11-14,2.0,2.0,2.0,2.0,3200
104,2017-11-15,2.0,2.0,1.9,2.0,26800
105,2017-11-16,2.0,2.0,2.0,2.0,600
106,2017-11-17,2.0,2.0,2.0,2.0,0
107,2017-11-20,1.9,1.9,1.8,1.9,41400
108,2017-11-21,1.8,2.0,1.8,2.0,4200
109,2017-11-22,1.9,1.9,1.9,1.9,2300
110,2017-11-23,1.9,1.9,1.8,1.8,5500
111,2017-11-24,1.9,2.0,1.9,2.0,4200
112,2017-11-27,2.0,2.1,2.0,2.1,12110
113,2017-11-28,2.0,2.1,2.0,2.0,6400
114,2017-11-29,2.0,2.0,2.0,2.0,0
115,2017-11-30,1.9,1.9,1.9,1.9,3000
116,2017-12-01,1.9,1.9,1.9,1.9,3020
117,2017-12-04,1.9,2.0,1.9,2.0,7500
118,2017-12-05,2.0,2.0,2.0,2.0,3510
119,2017-12-06,2.0,2.0,2.0,2.0,0
120,2017-12-07,1.9,2.0,1.9,1.9,100
121,2017-12-08,1.9,2.0,1.9,2.0,4550
122,2017-12-11,2.0,2.0,1.9,1.9,3000
123,2017-12-12,1.9,1.9,1.9,1.9,6010
124,2017-12-13,1.8,1.9,1.8,1.9,10000
125,2017-12-14,1.8,2.0,1.8,2.0,6100
126,2017-12-15,2.0,2.1,2.0,2.1,7100
127,2017-12-18,2.1,2.1,2.1,2.1,400
128,2017-12-19,2.1,2.1,2.1,2.1,0
129,2017-12-20,2.1,2.1,2.1,2.1,0
130,2017-12-21,1.9,1.9,1.9,1.9,700
131,2017-12-22,1.9,1.9,1.9,1.9,0
132,2017-12-25,2.1,2.1,2.1,2.1,4100
133,2017-12-26,2.0,2.1,2.0,2.0,2900
