,time,open,high,low,close,volume
0,2006-05-18,9.54,9.54,9.54,9.54,275600
1,2006-05-19,9.07,9.07,9.07,9.07,443520
2,2006-05-22,8.63,8.63,8.63,8.63,64200
3,2006-05-23,8.21,8.21,8.21,8.21,12760
4,2006-05-24,7.81,7.81,7.81,7.81,46460
5,2006-05-25,7.43,7.43,7.43,7.43,156690
6,2006-05-26,7.06,7.06,7.06,7.06,40310
7,2006-05-29,6.72,6.72,6.72,6.72,65110
8,2006-05-30,6.39,6.39,6.39,6.39,19540
9,2006-05-31,6.09,6.09,6.09,6.09,31850
10,2006-06-01,5.8,6.38,5.8,6.38,359050
11,2006-06-02,6.68,6.68,6.68,6.68,192900
12,2006-06-05,7.01,7.01,7.01,7.01,102280
13,2006-06-06,7.35,7.35,7.25,7.25,304920
14,2006-06-07,6.89,6.89,6.89,6.89,240390
15,2006-06-08,7.06,7.14,7.06,7.14,170970
16,2006-06-09,7.14,7.18,7.14,7.18,202770
17,2006-06-12,7.16,7.16,7.04,7.04,66580
18,2006-06-13,7.04,7.04,7.04,7.04,100080
19,2006-06-14,7.04,7.04,6.97,6.91,39190
20,2006-06-15,6.91,6.91,6.91,6.91,43000
21,2006-06-16,6.87,6.87,6.8,6.87,31200
22,2006-06-19,6.87,6.87,6.78,6.83,34410
23,2006-06-20,6.68,6.68,6.51,6.51,90990
24,2006-06-21,6.22,6.39,6.22,6.39,79820
25,2006-06-22,6.39,6.7,6.39,6.7,52500
26,2006-06-23,6.89,6.89,6.68,6.68,111530
27,2006-06-26,6.59,6.59,6.36,6.36,85640
28,2006-06-27,6.36,6.36,6.13,6.3,84870
29,2006-06-28,6.3,6.3,6.3,6.3,54880
30,2006-06-29,6.3,6.3,6.28,6.3,64250
31,2006-06-30,6.3,6.55,6.3,6.55,140080
32,2006-07-03,6.49,6.49,6.45,6.45,33510
33,2006-07-04,6.39,6.45,6.39,6.45,55160
34,2006-07-05,6.45,6.45,6.43,6.43,12850
35,2006-07-06,6.39,6.49,6.39,6.47,25250
36,2006-07-07,6.49,6.68,6.43,6.68,142240
37,2006-07-10,6.68,6.68,6.53,6.53,8040
38,2006-07-11,6.53,6.53,6.47,6.47,25600
39,2006-07-12,6.49,6.49,6.47,6.47,20820
40,2006-07-13,6.39,6.39,6.39,6.39,30550
41,2006-07-14,6.36,6.39,6.36,6.38,57520
42,2006-07-17,6.36,6.36,6.3,6.3,25900
43,2006-07-18,6.15,6.28,6.15,6.28,35100
44,2006-07-19,6.2,6.2,6.2,6.2,77200
45,2006-07-20,5.96,6.49,5.96,6.49,53130
46,2006-07-21,6.17,6.3,6.17,6.2,12640
47,2006-07-24,6.11,6.17,5.92,5.92,34500
48,2006-07-25,5.75,5.75,5.73,5.73,92690
49,2006-07-26,5.63,5.63,5.61,5.61,53680
50,2006-07-27,5.63,5.73,5.61,5.73,63490
51,2006-07-28,5.73,5.73,5.61,5.61,29460
52,2006-07-31,5.54,5.54,5.42,5.42,45400
53,2006-08-01,5.42,5.42,5.19,5.19,20950
54,2006-08-02,4.94,5.0,4.94,5.0,68130
55,2006-08-03,5.21,5.25,5.21,5.25,26560
56,2006-08-04,5.5,5.5,5.5,5.5,9100
57,2006-08-07,5.76,5.76,5.76,5.76,82970
58,2006-08-08,5.76,5.92,5.76,5.92,64420
59,2006-08-09,5.92,5.92,5.92,5.92,75020
60,2006-08-10,5.92,5.96,5.92,5.96,36950
61,2006-08-11,5.99,6.11,5.99,6.11,100500
62,2006-08-14,6.41,6.41,6.41,6.41,89240
63,2006-08-15,6.62,6.62,6.41,6.41,149780
64,2006-08-16,6.49,6.66,6.49,6.66,148440
65,2006-08-17,6.81,6.81,6.72,6.72,211380
66,2006-08-18,6.72,6.72,6.68,6.68,178480
67,2006-08-21,6.68,6.68,6.59,6.59,71040
68,2006-08-22,6.39,6.39,6.38,6.38,104740
69,2006-08-23,6.3,6.49,6.3,6.49,81230
70,2006-08-24,6.49,6.49,6.47,6.47,64350
71,2006-08-25,6.39,6.41,6.39,6.41,54780
72,2006-08-28,6.49,6.53,6.49,6.53,101680
73,2006-08-29,6.49,6.68,6.49,6.68,140300
74,2006-08-30,6.68,6.7,6.68,6.68,276770
75,2006-08-31,6.59,6.64,6.59,6.62,128850
76,2006-09-01,6.62,6.68,6.6,6.68,213620
77,2006-09-05,6.68,6.97,6.68,6.97,195440
78,2006-09-06,7.06,7.06,6.87,6.87,90020
79,2006-09-07,6.87,6.87,6.81,6.85,153220
80,2006-09-08,6.95,6.97,6.95,6.97,127720
81,2006-09-11,6.97,6.97,6.93,6.93,52300
82,2006-09-12,6.79,6.87,6.79,6.85,137800
83,2006-09-13,6.81,6.93,6.81,6.89,89210
84,2006-09-14,6.89,6.89,6.89,6.89,99260
85,2006-09-15,6.89,6.91,6.89,6.91,60790
86,2006-09-18,6.91,6.91,6.91,6.91,56330
87,2006-09-19,6.91,6.91,6.91,6.91,55340
88,2006-09-20,6.91,6.91,6.91,6.91,76570
89,2006-09-21,6.91,6.91,6.85,6.91,67850
90,2006-09-22,6.91,6.95,6.91,6.95,61270
91,2006-09-25,6.95,6.95,6.93,6.93,35910
92,2006-09-26,6.99,6.99,6.99,6.99,121390
93,2006-09-27,6.99,7.07,6.99,7.05,67010
94,2006-09-28,7.09,7.2,7.09,7.2,104310
95,2006-09-29,7.3,7.3,7.28,7.28,129800
96,2006-10-02,7.36,7.47,7.36,7.47,144880
97,2006-10-03,7.76,7.84,7.76,7.84,151120
98,2006-10-04,8.23,8.23,8.06,8.06,226550
99,2006-10-05,7.86,7.86,7.67,7.67,162370
100,2006-10-06,7.67,7.75,7.67,7.67,63470
101,2006-10-09,7.51,7.57,7.51,7.55,77220
102,2006-10-10,7.47,7.47,7.28,7.28,63580
103,2006-10-11,7.28,7.28,7.22,7.22,107380
104,2006-10-12,7.26,7.38,7.26,7.38,70870
105,2006-10-13,7.38,7.38,7.3,7.3,52900
106,2006-10-16,7.38,7.38,7.3,7.3,44350
107,2006-10-17,7.3,7.3,7.28,7.3,81620
108,2006-10-18,7.26,7.26,7.2,7.24,49360
109,2006-10-19,7.26,7.28,7.26,7.28,70700
110,2006-10-20,7.36,7.36,7.24,7.24,73760
111,2006-10-23,7.24,7.24,7.18,7.18,47750
112,2006-10-24,7.26,7.26,7.18,7.18,35110
113,2006-10-25,7.18,7.22,7.18,7.22,62710
114,2006-10-26,7.2,7.2,7.2,7.2,30140
115,2006-10-27,7.2,7.22,7.2,7.2,101400
116,2006-10-30,7.14,7.14,7.09,7.09,43580
117,2006-10-31,7.09,7.09,7.03,7.09,66060
118,2006-11-01,7.18,7.2,7.18,7.2,25840
119,2006-11-02,7.22,7.22,7.12,7.12,16450
120,2006-11-03,7.18,7.18,7.09,7.09,9160
121,2006-11-06,7.18,7.32,7.18,7.32,66620
122,2006-11-07,7.36,7.38,7.34,7.34,98920
123,2006-11-08,7.38,7.57,7.38,7.57,122660
124,2006-11-09,7.67,7.67,7.61,7.67,118960
125,2006-11-10,7.67,7.67,7.47,7.47,48190
126,2006-11-13,7.65,7.65,7.57,7.57,101560
127,2006-11-14,7.76,7.76,7.76,7.76,150790
128,2006-11-15,7.96,7.96,7.61,7.61,133800
129,2006-11-16,7.61,7.67,7.61,7.67,444720
130,2006-11-17,7.76,7.76,7.67,7.67,314640
131,2006-11-20,7.96,7.96,7.76,7.76,347640
132,2006-11-21,7.86,7.9,7.73,7.73,160020
133,2006-11-22,7.86,7.86,7.82,7.82,172700
134,2006-11-23,8.0,8.0,7.96,7.98,202490
135,2006-11-24,8.37,8.37,8.37,8.37,199950
