,time,open,high,low,close,volume
0,2010-03-11,5.53,7.27,5.53,7.27,167500
1,2010-03-12,7.31,7.31,7.31,7.31,63900
2,2010-03-15,7.82,7.82,7.82,7.82,14500
3,2010-03-16,8.36,8.36,8.36,8.36,47200
4,2010-03-17,8.95,8.95,8.36,8.95,259300
5,2010-03-18,8.87,9.38,8.33,8.4,135800
6,2010-03-19,7.93,8.47,7.93,8.36,71300
7,2010-03-22,8.55,8.58,8.18,8.55,46300
8,2010-03-23,8.73,8.73,7.89,7.96,29100
9,2010-03-24,7.96,7.96,7.49,7.56,33000
10,2010-03-25,7.45,7.53,7.24,7.27,27400
11,2010-03-26,7.27,7.27,6.87,7.16,73700
12,2010-03-29,7.27,7.49,7.13,7.45,17800
13,2010-03-30,7.27,7.27,6.8,6.8,56300
14,2010-03-31,6.55,6.73,6.44,6.44,29600
15,2010-04-01,6.55,6.8,6.55,6.8,4200
16,2010-04-02,6.91,6.91,6.62,6.73,8400
17,2010-04-05,6.91,6.91,6.51,6.58,14900
18,2010-04-06,6.73,6.76,6.44,6.51,41100
19,2010-04-07,6.44,6.62,6.44,6.62,30300
20,2010-04-08,6.84,6.98,6.62,6.98,49100
21,2010-04-09,7.31,7.35,7.09,7.27,66600
22,2010-04-12,7.64,7.64,6.91,6.98,33300
23,2010-04-13,7.42,7.42,6.58,6.73,36700
24,2010-04-14,6.91,6.91,6.47,6.55,20800
25,2010-04-15,6.65,6.73,6.58,6.69,20200
26,2010-04-16,6.91,7.09,6.87,7.09,44700
27,2010-04-19,7.09,7.45,7.09,7.27,88600
28,2010-04-20,7.27,7.35,7.2,7.35,76600
29,2010-04-21,7.45,7.78,7.45,7.78,65400
30,2010-04-22,8.29,8.29,7.27,7.38,61400
31,2010-04-26,7.05,7.09,7.05,7.05,12200
32,2010-04-27,7.27,7.27,6.58,7.13,31900
33,2010-04-28,6.76,7.05,6.73,6.91,28000
34,2010-04-29,6.87,7.13,6.76,6.98,68500
35,2010-05-04,7.35,7.42,7.35,7.42,104500
36,2010-05-05,7.93,7.93,7.93,7.93,104300
37,2010-05-06,8.47,8.47,8.47,8.47,49500
38,2010-05-07,9.05,9.05,8.4,9.05,468500
39,2010-05-10,8.4,9.02,8.4,8.4,16600
40,2010-05-11,8.73,8.73,7.89,7.89,6000
41,2010-05-12,7.38,7.38,7.38,7.38,15700
42,2010-05-13,6.91,7.2,6.87,6.91,59500
43,2010-05-14,7.09,7.38,7.09,7.38,42900
44,2010-05-17,7.82,7.82,6.84,7.09,18700
45,2010-05-18,6.87,6.91,6.76,6.91,28700
46,2010-05-19,6.76,6.76,6.33,6.33,68300
47,2010-05-20,6.47,6.62,6.11,6.55,48900
48,2010-05-21,5.93,6.18,5.93,5.93,38800
49,2010-05-24,6.0,6.25,6.0,6.15,8900
50,2010-05-25,6.51,6.51,6.18,6.22,7400
51,2010-05-26,6.36,6.62,6.18,6.55,22600
52,2010-05-27,6.69,6.69,6.47,6.51,11100
53,2010-05-28,6.84,6.98,6.73,6.95,33900
54,2010-05-31,7.05,7.35,7.05,7.2,48500
55,2010-06-01,6.91,6.91,6.76,6.87,22100
56,2010-06-02,6.76,6.76,6.65,6.65,27500
57,2010-06-03,7.11,7.11,6.69,6.69,6100
58,2010-06-04,6.84,6.84,6.43,6.81,14600
59,2010-06-07,7.15,7.15,6.46,6.46,13200
60,2010-06-08,6.73,6.73,6.27,6.43,70600
61,2010-06-09,6.77,6.77,6.62,6.65,25900
62,2010-06-10,6.77,6.77,6.54,6.58,5900
63,2010-06-11,6.65,6.81,6.65,6.65,10500
64,2010-06-14,6.77,7.0,6.69,7.0,70200
65,2010-06-15,7.0,7.19,6.84,7.03,47600
66,2010-06-16,7.11,7.11,6.81,6.84,14600
67,2010-06-17,6.92,6.92,6.73,6.77,21600
68,2010-06-18,6.96,7.22,6.73,7.07,45400
69,2010-06-21,7.15,7.19,7.0,7.15,33600
70,2010-06-22,7.19,7.19,6.69,6.84,9000
71,2010-06-23,6.77,6.92,6.73,6.84,24000
72,2010-06-24,6.84,7.26,6.84,7.26,190200
73,2010-06-25,7.68,7.68,7.19,7.68,152000
74,2010-06-28,7.98,7.98,7.64,7.91,44800
75,2010-06-29,8.06,8.06,7.45,7.45,26900
76,2010-06-30,7.07,7.22,7.0,7.22,35800
77,2010-07-01,6.84,7.19,6.84,7.19,38300
78,2010-07-02,7.22,7.41,7.22,7.41,49600
79,2010-07-05,7.68,7.79,7.22,7.26,31400
80,2010-07-06,7.6,7.6,7.03,7.19,37900
81,2010-07-07,7.53,7.57,7.0,7.03,45700
82,2010-07-08,7.53,7.53,6.96,7.03,26800
83,2010-07-09,7.45,7.49,6.96,7.11,41100
84,2010-07-12,7.07,7.11,7.07,7.07,8100
85,2010-07-13,7.22,7.22,6.88,7.19,13400
86,2010-07-14,7.22,7.22,7.07,7.07,11300
87,2010-07-15,6.77,7.15,6.77,7.0,23100
88,2010-07-16,7.11,7.38,7.11,7.38,84100
89,2010-07-19,7.6,7.87,7.49,7.87,160500
90,2010-07-20,8.17,8.29,7.98,8.1,92700
91,2010-07-21,8.36,8.55,7.68,7.79,40700
92,2010-07-22,7.41,7.6,7.34,7.41,36800
93,2010-07-23,7.53,7.53,7.3,7.41,23100
94,2010-07-26,7.34,7.41,7.03,7.03,65900
95,2010-07-27,7.22,7.22,6.96,7.07,19800
96,2010-07-28,7.15,7.15,6.88,6.92,36100
97,2010-07-29,7.03,7.26,6.96,7.19,11800
98,2010-07-30,7.11,7.22,7.11,7.19,21500
99,2010-08-02,7.15,7.19,6.96,6.96,13500
100,2010-08-03,7.0,7.0,6.88,7.0,30900
101,2010-08-04,6.69,6.92,6.69,6.92,11100
102,2010-08-05,6.92,6.92,6.81,6.81,25000
103,2010-08-06,7.03,7.03,6.77,6.77,14800
104,2010-08-09,6.62,6.62,6.35,6.35,39600
105,2010-08-10,6.27,6.84,6.08,6.84,25100
106,2010-08-11,6.5,6.5,6.31,6.46,20500
107,2010-08-12,6.43,6.43,6.01,6.01,18500
108,2010-08-13,6.04,6.08,5.7,5.97,19500
109,2010-08-16,6.08,6.27,6.08,6.27,24400
110,2010-08-17,6.46,6.46,6.12,6.12,3700
111,2010-08-18,6.12,6.12,6.01,6.01,5500
112,2010-08-19,6.35,6.35,6.08,6.08,8600
113,2010-08-20,5.93,6.08,5.93,6.08,9200
114,2010-08-23,5.97,6.08,5.7,6.08,3400
115,2010-08-24,5.82,5.82,5.59,5.59,29300
116,2010-08-25,5.32,5.32,5.21,5.21,34600
