,time,open,high,low,close,volume
0,2011-01-11,4.08,4.08,4.08,4.08,20120
1,2011-01-12,3.88,3.88,3.88,3.88,2460
2,2011-01-13,3.71,3.71,3.71,3.71,2420
3,2011-01-14,3.55,3.55,3.55,3.55,1820
4,2011-01-17,3.47,3.55,3.39,3.55,9370
5,2011-01-18,3.47,3.47,3.39,3.39,36000
6,2011-01-19,3.26,3.39,3.26,3.39,16720
7,2011-01-20,3.47,3.47,3.22,3.35,22590
8,2011-01-21,3.39,3.39,3.26,3.35,6700
9,2011-01-24,3.26,3.26,3.18,3.18,6450
10,2011-01-25,3.26,3.26,3.1,3.1,2180
11,2011-01-26,3.18,3.22,3.18,3.22,6920
12,2011-01-27,3.35,3.35,3.26,3.26,3590
13,2011-01-28,3.26,3.39,3.26,3.39,770
14,2011-02-08,3.22,3.39,3.22,3.39,2990
15,2011-02-09,3.26,3.47,3.26,3.39,1120
16,2011-02-10,3.22,3.26,3.22,3.22,3670
17,2011-02-11,3.18,3.22,3.1,3.22,22600
18,2011-02-14,3.14,3.14,3.14,3.14,30
19,2011-02-15,3.14,3.14,3.02,3.14,6870
20,2011-02-16,3.06,3.06,3.02,3.02,2360
21,2011-02-17,3.02,3.02,2.94,3.02,1590
22,2011-02-18,3.02,3.02,2.98,3.02,8130
23,2011-02-21,2.98,2.98,2.9,2.98,4900
24,2011-02-22,2.86,2.86,2.86,2.86,4000
25,2011-02-23,2.94,2.98,2.82,2.94,10660
26,2011-02-24,2.86,2.94,2.82,2.94,520
27,2011-02-25,2.94,3.02,2.94,3.02,3020
28,2011-02-28,3.02,3.02,2.9,3.02,1110
29,2011-03-01,3.02,3.02,2.9,2.94,4110
30,2011-03-02,2.94,2.94,2.82,2.82,2600
31,2011-03-03,2.73,2.82,2.69,2.82,2110
32,2011-03-04,2.69,2.77,2.69,2.77,1600
33,2011-03-07,2.69,2.86,2.65,2.65,22150
34,2011-03-08,2.57,2.65,2.53,2.65,11570
35,2011-03-09,2.57,2.61,2.57,2.57,6690
36,2011-03-10,2.61,2.69,2.61,2.69,1270
37,2011-03-11,2.73,2.82,2.73,2.82,21510
38,2011-03-14,2.82,2.82,2.69,2.69,3010
39,2011-03-15,2.82,2.82,2.82,2.82,210
40,2011-03-16,2.82,2.9,2.82,2.9,530
41,2011-03-17,2.86,2.94,2.86,2.94,250
42,2011-03-18,2.94,2.94,2.94,2.94,40
43,2011-03-21,2.9,2.94,2.82,2.82,6430
44,2011-03-22,2.82,2.82,2.77,2.77,2150
45,2011-03-23,2.82,2.82,2.77,2.82,12280
46,2011-03-24,2.86,2.86,2.82,2.86,4330
47,2011-03-25,2.94,2.94,2.94,2.94,100
48,2011-03-28,2.94,2.94,2.82,2.94,1070
49,2011-03-29,2.82,2.82,2.82,2.82,8160
