,time,open,high,low,close,volume
0,2010-01-22,10.55,10.55,8.59,10.55,117370
1,2010-01-25,10.04,10.04,10.04,10.04,5280
2,2010-01-26,9.56,9.56,9.56,9.56,32860
3,2010-01-27,9.11,9.11,9.11,9.11,7740
4,2010-01-28,8.65,8.65,8.65,8.65,2490
5,2010-01-29,8.23,8.23,8.23,8.23,30530
6,2010-02-01,8.14,8.44,8.14,8.23,112910
7,2010-02-02,8.14,8.2,7.9,7.9,46370
8,2010-02-03,7.93,8.29,7.9,8.29,40270
9,2010-02-04,8.59,8.59,8.32,8.32,24700
10,2010-02-05,8.02,8.14,7.96,7.96,26520
11,2010-02-08,7.96,7.99,7.84,7.84,30380
12,2010-02-09,7.57,7.84,7.57,7.57,24180
13,2010-02-10,7.63,7.84,7.6,7.84,19310
14,2010-02-11,7.84,7.96,7.78,7.96,7710
15,2010-02-12,8.11,8.11,7.84,7.84,5570
16,2010-02-22,8.14,8.14,7.9,8.11,950
17,2010-02-23,7.83,8.33,7.8,8.14,7420
18,2010-02-24,8.14,8.33,7.86,8.33,21160
19,2010-02-25,8.02,8.33,7.99,7.99,5840
20,2010-02-26,7.67,8.14,7.61,7.67,24740
21,2010-03-01,7.7,7.89,7.67,7.7,11060
22,2010-03-02,7.83,7.83,7.58,7.83,25780
23,2010-03-03,7.83,7.83,7.67,7.83,18140
24,2010-03-04,7.96,7.96,7.52,7.83,13450
25,2010-03-05,7.8,7.8,7.61,7.7,36370
26,2010-03-08,7.7,7.77,7.67,7.74,66150
27,2010-03-09,7.77,7.96,7.67,7.77,49710
28,2010-03-10,7.77,7.77,7.45,7.7,43890
29,2010-03-11,7.61,7.7,7.55,7.55,32100
30,2010-03-12,7.74,7.74,7.52,7.58,25050
31,2010-03-15,7.58,7.8,7.58,7.58,30480
32,2010-03-16,7.55,7.58,7.36,7.49,39430
33,2010-03-17,7.49,7.49,7.3,7.3,45610
34,2010-03-18,7.3,7.64,7.3,7.64,93120
35,2010-03-19,7.64,7.67,7.58,7.58,94770
36,2010-03-22,7.52,7.58,7.36,7.36,28960
37,2010-03-23,7.11,7.36,7.08,7.08,45050
38,2010-03-24,7.08,7.2,6.89,6.89,80470
