,time,open,high,low,close,volume
0,2010-06-21,6.36,6.36,6.36,6.36,16000
1,2010-06-22,6.68,6.68,6.66,6.68,47650
2,2010-06-23,7.0,7.0,7.0,7.0,19410
3,2010-06-24,7.21,7.21,7.07,7.19,4000
4,2010-06-25,6.84,6.84,6.84,6.84,1010
5,2010-06-28,6.84,6.84,6.5,6.5,520
6,2010-06-29,6.18,6.18,6.18,6.18,6790
7,2010-06-30,5.88,6.18,5.88,5.88,19780
8,2010-07-01,6.13,6.17,6.01,6.17,29740
9,2010-07-02,6.25,6.25,6.09,6.25,8770
10,2010-07-05,6.32,6.5,6.01,6.32,3500
11,2010-07-06,6.02,6.18,6.02,6.18,12560
12,2010-07-07,6.11,6.24,6.11,6.11,130
13,2010-07-08,6.11,6.18,6.11,6.11,10600
14,2010-07-09,6.11,6.11,5.83,5.83,1150
15,2010-07-12,5.55,5.97,5.55,5.55,1750
16,2010-07-13,5.72,5.72,5.56,5.58,8460
17,2010-07-14,5.65,5.65,5.62,5.65,19100
18,2010-07-15,5.72,5.74,5.65,5.72,8810
19,2010-07-16,5.69,5.71,5.44,5.69,6370
20,2010-07-19,5.71,5.83,5.65,5.83,13250
21,2010-07-20,5.74,5.76,5.74,5.74,1000
22,2010-07-21,5.79,5.79,5.74,5.79,4060
23,2010-07-22,5.79,5.79,5.64,5.72,9210
24,2010-07-23,5.72,5.72,5.65,5.69,7860
25,2010-07-26,5.69,5.69,5.58,5.69,7000
26,2010-07-27,5.71,5.71,5.65,5.71,6480
27,2010-07-28,5.74,5.74,5.72,5.74,6630
28,2010-07-29,5.71,5.74,5.69,5.71,6220
29,2010-07-30,5.74,5.74,5.72,5.74,3370
30,2010-08-02,5.83,5.83,5.74,5.83,19080
31,2010-08-03,5.85,5.9,5.85,5.9,2430
32,2010-08-04,6.04,6.04,5.92,6.04,11010
33,2010-08-05,6.04,6.04,5.97,6.04,2200
34,2010-08-06,6.01,6.01,5.97,6.01,10010
35,2010-08-09,6.01,6.01,6.01,6.01,450
36,2010-08-10,5.92,5.92,5.92,5.92,100
37,2010-08-11,5.64,5.64,5.64,5.64,250
38,2010-08-12,5.55,5.56,5.55,5.55,10500
39,2010-08-13,5.55,5.55,5.48,5.55,10850
40,2010-08-16,5.48,5.65,5.48,5.65,5290
41,2010-08-17,5.65,5.67,5.65,5.65,8990
42,2010-08-18,5.67,5.67,5.65,5.67,2050
43,2010-08-19,5.74,5.74,5.69,5.74,1600
44,2010-08-20,5.76,5.76,5.76,5.76,2100
45,2010-08-23,6.04,6.04,6.04,6.04,22840
46,2010-08-24,6.34,6.34,6.09,6.18,17840
47,2010-08-25,6.36,6.39,6.2,6.36,6410
48,2010-08-26,6.04,6.34,6.04,6.34,14140
49,2010-08-27,6.34,6.34,6.17,6.27,9510
50,2010-08-30,6.36,6.38,6.36,6.36,21210
51,2010-08-31,6.49,6.49,6.49,6.49,200
52,2010-09-01,6.16,6.49,6.16,6.16,3970
53,2010-09-06,6.36,6.42,6.18,6.36,570
54,2010-09-07,6.27,6.27,6.21,6.27,400
55,2010-09-08,6.27,6.27,6.27,6.27,1510
56,2010-09-09,6.23,6.23,6.01,6.23,10210
57,2010-09-10,5.92,6.27,5.92,5.92,1740
58,2010-09-13,5.67,5.92,5.67,5.67,4030
59,2010-09-14,5.95,5.95,5.95,5.95,10
60,2010-09-15,5.71,6.16,5.71,6.16,500
61,2010-09-16,6.16,6.16,6.16,6.16,610
62,2010-09-17,5.95,6.16,5.95,5.95,640
63,2010-09-20,5.97,6.16,5.71,5.97,1100
