,time,open,high,low,close,volume
0,2010-10-01,27.64,27.64,22.37,23.02,133000
1,2010-10-04,22.19,22.28,22.0,22.0,27900
2,2010-10-05,20.71,20.8,20.62,20.8,59800
3,2010-10-06,21.36,21.36,19.51,20.8,17800
4,2010-10-07,20.52,20.8,19.51,20.34,14700
5,2010-10-08,20.34,21.54,20.34,21.54,128500
6,2010-10-11,22.65,22.74,22.65,22.74,149200
7,2010-10-12,23.11,23.11,21.17,22.1,92000
8,2010-10-13,22.56,22.56,21.36,21.36,28400
9,2010-10-14,21.54,21.73,20.15,20.89,17800
10,2010-10-15,21.26,21.26,19.41,19.88,14700
11,2010-10-18,19.97,19.97,18.77,18.95,22600
12,2010-10-19,19.14,19.14,17.84,17.84,60900
13,2010-10-20,18.3,18.3,16.64,16.64,30600
14,2010-10-21,15.99,16.18,15.99,16.18,159900
15,2010-10-22,16.92,16.92,14.88,14.98,75800
16,2010-10-25,15.07,15.99,14.79,15.72,81000
17,2010-10-26,16.46,16.46,16.36,16.46,116400
18,2010-10-27,17.47,17.57,15.81,16.18,41100
19,2010-10-28,16.18,16.27,15.9,15.9,12000
20,2010-10-29,15.72,16.55,15.35,15.35,21900
21,2010-11-01,16.36,16.36,15.16,15.25,28500
22,2010-11-02,15.07,15.72,15.07,15.07,23000
23,2010-11-03,14.7,15.72,14.33,14.33,46200
24,2010-11-04,14.42,14.42,13.5,13.87,131700
25,2010-11-05,13.87,14.24,13.77,14.24,32100
26,2010-11-08,13.59,13.59,13.04,13.04,72500
27,2010-11-09,12.39,12.48,12.3,12.3,141500
28,2010-11-10,12.02,12.3,11.46,11.93,67000
29,2010-11-11,12.02,12.3,12.02,12.3,57700
30,2010-11-12,12.48,12.48,11.37,11.93,53100
31,2010-11-15,12.48,12.48,11.74,12.3,27900
32,2010-11-16,12.02,12.2,11.83,11.93,28800
33,2010-11-17,12.76,12.85,11.93,12.39,24500
34,2010-11-18,13.04,13.04,12.11,12.48,36700
35,2010-11-19,12.39,12.39,11.93,11.93,37500
36,2010-11-22,11.37,11.83,11.28,11.83,21700
37,2010-11-23,12.02,12.11,12.02,12.11,51500
38,2010-11-24,11.56,12.39,11.56,11.74,32700
