,time,open,high,low,close,volume
0,2009-07-31,12.98,13.65,10.72,11.72,2779800
1,2009-08-03,11.69,11.98,11.46,11.65,1660200
2,2009-08-04,11.87,12.39,11.87,12.24,1322000
3,2009-08-05,12.17,12.24,12.06,12.24,1493900
4,2009-08-06,12.13,12.24,11.65,11.72,1294700
5,2009-08-07,11.57,11.87,11.31,11.43,871200
6,2009-08-10,11.69,11.87,11.31,11.69,770600
7,2009-08-11,11.61,11.61,11.31,11.5,693900
8,2009-08-12,11.5,11.69,11.31,11.46,901700
9,2009-08-13,11.87,12.21,11.46,11.57,679300
10,2009-08-14,11.57,11.72,11.28,11.46,450900
11,2009-08-17,11.43,11.43,11.06,11.24,586800
12,2009-08-18,10.94,11.06,10.72,10.94,748600
13,2009-08-19,10.94,11.28,10.8,10.98,599500
14,2009-08-20,10.98,10.98,10.65,10.76,673400
15,2009-08-21,10.91,11.54,10.91,11.54,1389000
16,2009-08-24,12.32,12.32,11.98,12.24,2087700
17,2009-08-25,12.21,12.8,11.76,11.91,1111900
18,2009-08-26,12.06,12.06,11.43,11.69,846300
19,2009-08-27,11.61,11.69,11.39,11.69,817100
20,2009-08-28,11.5,11.87,11.5,11.83,720600
21,2009-08-31,11.8,12.17,11.8,11.95,796300
22,2009-09-01,12.06,12.06,11.69,11.69,586100
23,2009-09-03,11.5,11.8,11.31,11.57,721200
24,2009-09-04,11.57,11.8,11.28,11.39,916700
25,2009-09-07,11.35,11.39,10.98,11.17,677300
26,2009-09-08,11.13,11.54,11.13,11.46,524800
27,2009-09-09,12.17,12.17,11.39,11.5,567700
28,2009-09-10,11.57,11.57,11.24,11.35,294400
29,2009-09-11,11.39,11.46,11.13,11.31,637600
30,2009-09-14,11.24,11.35,11.09,11.2,625800
31,2009-09-15,11.31,11.39,11.13,11.24,686800
32,2009-09-16,11.31,11.5,11.24,11.31,895000
33,2009-09-17,11.5,11.5,11.02,11.09,1007100
34,2009-09-18,11.17,11.17,10.76,10.98,1401900
35,2009-09-21,11.02,11.35,10.94,11.09,717900
36,2009-09-22,11.13,11.39,10.87,11.31,1289900
37,2009-09-23,11.69,11.95,11.31,11.43,1737100
38,2009-09-24,11.5,11.5,11.13,11.13,485400
39,2009-09-25,11.2,11.28,11.02,11.28,901300
40,2009-09-28,11.95,11.95,11.24,11.39,1105400
41,2009-09-29,11.69,11.69,11.17,11.17,793600
42,2009-09-30,11.2,11.39,10.87,11.02,702300
43,2009-10-01,10.91,10.94,10.65,10.65,705000
44,2009-10-02,10.39,10.57,10.02,10.24,1087100
45,2009-10-05,10.02,10.54,9.98,10.05,524400
46,2009-10-06,10.39,10.39,10.05,10.09,338600
47,2009-10-07,10.2,10.28,10.09,10.13,496100
48,2009-10-08,10.13,10.13,9.87,9.98,650300
49,2009-10-09,10.02,10.2,10.02,10.2,599200
50,2009-10-12,10.39,10.57,10.24,10.39,506300
51,2009-10-13,10.39,10.39,10.05,10.16,492700
52,2009-10-14,10.2,10.72,10.02,10.5,869600
53,2009-10-15,10.5,11.02,10.5,11.02,1471200
54,2009-10-16,11.57,11.69,10.76,10.98,916200
55,2009-10-19,10.35,11.02,10.35,10.57,352800
56,2009-10-20,10.76,11.06,10.5,10.61,577800
57,2009-10-21,10.65,10.65,10.2,10.35,678000
58,2009-10-22,10.31,10.76,10.24,10.46,744700
59,2009-10-23,10.76,10.76,10.13,10.28,641300
60,2009-10-26,11.09,11.09,10.05,10.16,271900
61,2009-10-27,10.28,10.28,9.68,9.91,434000
62,2009-10-28,9.83,10.09,9.65,9.91,313000
63,2009-10-29,9.65,9.65,9.24,9.35,583700
64,2009-10-30,9.76,9.94,9.39,9.46,399100
65,2009-11-02,9.46,9.46,8.9,8.9,351500
66,2009-11-03,8.53,9.09,8.35,8.35,334100
67,2009-11-04,8.53,8.72,8.38,8.5,462200
68,2009-11-05,8.53,8.79,8.46,8.79,371300
69,2009-11-06,8.9,9.2,8.61,8.61,477900
70,2009-11-09,8.72,8.72,8.31,8.31,172000
71,2009-11-10,8.46,8.61,7.79,8.05,270700
72,2009-11-11,8.16,8.31,7.9,8.24,312400
73,2009-11-12,8.46,8.53,8.24,8.35,310800
74,2009-11-13,8.42,8.42,8.09,8.24,190100
75,2009-11-16,8.27,8.31,7.86,8.09,166500
76,2009-11-17,8.16,8.24,7.98,8.09,173200
77,2009-11-18,8.09,8.16,7.9,8.12,236600
78,2009-11-19,8.16,8.42,8.05,8.42,400400
79,2009-11-20,8.35,8.46,8.16,8.24,241200
80,2009-11-23,8.24,8.27,7.9,7.94,179200
81,2009-11-24,8.01,8.05,7.64,7.72,223600
82,2009-11-25,7.79,7.79,7.31,7.31,186300
83,2009-11-26,7.05,7.05,6.86,6.86,99000
84,2009-11-27,6.42,7.27,6.42,6.75,486800
85,2009-11-30,6.83,7.23,6.79,7.23,423600
86,2009-12-01,7.42,7.53,7.23,7.53,247200
87,2009-12-02,8.01,8.01,7.2,7.46,442800
88,2009-12-03,7.09,7.61,7.09,7.35,195300
89,2009-12-04,7.35,7.42,7.23,7.31,144500
90,2009-12-07,7.27,7.46,7.2,7.27,124300
91,2009-12-08,7.31,7.31,6.86,6.97,116500
92,2009-12-09,6.68,6.68,6.49,6.49,308100
93,2009-12-10,6.68,6.68,6.23,6.38,215900
94,2009-12-11,6.38,6.42,5.97,5.97,381400
95,2009-12-14,6.01,6.46,6.01,6.46,270900
96,2009-12-15,6.83,6.83,6.27,6.27,125700
97,2009-12-16,6.23,6.23,5.94,5.97,232100
98,2009-12-17,5.68,6.08,5.68,6.01,229000
99,2009-12-18,6.12,6.31,6.08,6.31,360100
100,2009-12-21,6.71,6.71,6.38,6.71,438500
101,2009-12-22,7.05,7.05,6.6,6.64,434600
102,2009-12-23,6.49,7.05,6.38,6.86,433900
103,2009-12-24,6.94,7.12,6.53,7.05,638600
104,2009-12-25,6.97,7.42,6.97,7.42,733700
105,2009-12-28,7.61,7.79,6.97,7.05,343400
106,2009-12-29,7.05,7.05,6.68,6.68,376600
107,2009-12-30,6.75,7.05,6.68,6.94,215100
108,2009-12-31,7.23,7.35,6.94,7.01,455900
109,2010-01-04,7.23,7.64,7.09,7.64,521700
110,2010-01-05,8.09,8.09,7.86,8.09,818500
111,2010-01-06,8.16,8.53,7.72,8.05,953800
112,2010-01-07,8.12,8.27,7.79,7.83,501900
113,2010-01-08,8.09,8.35,7.72,7.86,443600
114,2010-01-11,8.01,8.01,7.53,7.57,259600
115,2010-01-12,7.61,7.61,7.16,7.16,462800
116,2010-01-13,7.05,7.61,6.83,7.38,501500
117,2010-01-14,7.46,7.68,7.38,7.61,317800
118,2010-01-15,7.64,7.64,7.27,7.35,198600
119,2010-01-18,7.16,7.16,6.9,6.9,253600
120,2010-01-19,7.05,7.16,6.79,7.01,175600
121,2010-01-20,7.12,7.12,6.75,6.75,164000
122,2010-01-21,6.64,6.83,6.46,6.53,233300
123,2010-01-22,6.31,6.75,6.23,6.64,183700
124,2010-01-25,6.6,6.75,6.49,6.71,98400
125,2010-01-26,6.68,7.05,6.68,7.05,233100
126,2010-01-27,7.12,7.12,6.57,6.64,199200
127,2010-01-28,6.53,6.68,6.49,6.68,141000
128,2010-01-29,6.64,6.68,6.49,6.6,81400
129,2010-02-01,6.68,6.71,6.6,6.68,71000
130,2010-02-02,6.79,6.79,6.53,6.6,58000
131,2010-02-03,6.64,6.68,6.53,6.64,84900
132,2010-02-04,6.64,6.79,6.49,6.68,112400
133,2010-02-05,6.6,6.6,6.49,6.53,108300
134,2010-02-08,6.53,6.53,6.46,6.49,52700
135,2010-02-09,6.49,6.49,6.31,6.38,118700
136,2010-02-10,6.53,6.53,6.38,6.46,45000
137,2010-02-11,6.53,6.64,6.46,6.57,75500
138,2010-02-12,6.68,6.68,6.53,6.64,42800
139,2010-02-22,6.86,6.86,6.68,6.75,81600
140,2010-02-23,6.75,6.75,6.49,6.57,67700
141,2010-02-24,6.42,6.64,6.42,6.6,111900
142,2010-02-25,6.6,6.68,6.53,6.6,61100
143,2010-02-26,6.6,6.6,6.53,6.57,126100
144,2010-03-01,6.6,6.71,6.6,6.68,126300
145,2010-03-02,6.86,6.86,6.6,6.64,81600
146,2010-03-03,6.68,7.01,6.68,6.97,387700
147,2010-03-04,7.05,7.16,6.86,6.9,141600
148,2010-03-05,6.9,7.16,6.79,6.97,269900
149,2010-03-08,7.2,7.38,7.2,7.38,605600
150,2010-03-09,7.79,7.83,7.27,7.46,442300
151,2010-03-10,7.46,7.46,7.05,7.12,252000
152,2010-03-11,7.27,7.42,7.05,7.09,162200
153,2010-03-12,7.16,7.23,7.09,7.16,242100
154,2010-03-15,7.2,7.31,7.05,7.05,277600
155,2010-03-16,7.09,7.09,6.68,6.83,243000
156,2010-03-17,6.9,7.05,6.68,6.79,173100
157,2010-03-18,6.94,7.01,6.75,6.97,165500
158,2010-03-19,7.05,7.05,6.79,6.83,409300
159,2010-03-22,6.79,6.9,6.75,6.86,138300
160,2010-03-23,6.75,6.83,6.6,6.68,262900
161,2010-03-24,6.83,6.83,6.71,6.79,106100
162,2010-03-25,6.75,6.79,6.53,6.64,160800
163,2010-03-26,6.6,6.71,6.46,6.6,181400
164,2010-03-29,6.64,6.64,6.38,6.49,264400
165,2010-03-30,6.49,6.57,6.38,6.46,186200
166,2010-03-31,6.38,6.49,6.31,6.31,133100
167,2010-04-01,6.38,6.57,6.27,6.42,117300
168,2010-04-02,6.49,6.49,6.38,6.46,91700
169,2010-04-05,6.49,6.68,6.49,6.64,270600
170,2010-04-06,6.6,6.68,6.46,6.49,102000
171,2010-04-07,6.6,6.6,6.42,6.46,144500
172,2010-04-08,6.46,6.53,6.42,6.49,179900
173,2010-04-09,6.53,6.6,6.46,6.49,168700
174,2010-04-12,6.57,6.64,6.49,6.53,196900
175,2010-04-13,6.49,6.6,6.42,6.46,154700
176,2010-04-14,6.49,6.53,6.38,6.53,181600
177,2010-04-15,6.57,6.57,6.46,6.49,149300
178,2010-04-16,6.53,6.53,6.38,6.46,202300
179,2010-04-19,6.49,6.49,6.31,6.34,137900
180,2010-04-20,6.31,6.49,6.27,6.34,226900
181,2010-04-21,6.34,6.42,6.27,6.42,217700
182,2010-04-22,6.34,6.75,6.34,6.68,602500
183,2010-04-26,6.86,6.94,6.64,6.68,265700
184,2010-04-27,6.71,6.75,6.49,6.57,178700
185,2010-04-28,6.49,6.57,6.46,6.46,177700
186,2010-04-29,6.49,6.57,6.46,6.53,305700
187,2010-05-04,6.6,6.75,6.6,6.68,427100
188,2010-05-05,6.68,6.71,6.42,6.57,158900
189,2010-05-06,6.53,7.01,6.46,7.01,970600
190,2010-05-07,7.05,7.23,6.79,7.23,2145700
191,2010-05-10,7.57,7.64,7.09,7.49,1339500
192,2010-05-11,7.72,7.98,7.01,7.12,541600
193,2010-05-12,7.05,7.05,6.79,6.79,457400
194,2010-05-13,6.49,6.9,6.49,6.6,638500
195,2010-05-14,6.64,6.68,6.49,6.64,325300
196,2010-05-17,6.6,6.68,6.31,6.34,382200
197,2010-05-18,6.34,6.42,6.27,6.31,392000
198,2010-05-19,6.31,6.31,5.97,6.05,476500
199,2010-05-20,5.94,6.49,5.79,6.27,672100
200,2010-05-21,6.35,6.35,5.77,5.92,567900
201,2010-05-24,5.88,6.27,5.88,6.27,446900
202,2010-05-25,6.19,6.35,6.11,6.19,164300
203,2010-05-26,6.19,6.35,6.19,6.31,190900
204,2010-05-27,6.23,6.27,6.08,6.19,157400
205,2010-05-28,6.38,6.61,6.38,6.46,466900
206,2010-05-31,6.35,6.46,6.19,6.27,122800
207,2010-06-01,6.27,6.31,6.15,6.27,146500
208,2010-06-02,6.19,6.31,6.15,6.27,98100
209,2010-06-03,6.35,6.46,6.23,6.31,184800
210,2010-06-04,6.19,6.31,6.19,6.19,183500
211,2010-06-07,6.15,6.15,5.88,6.0,239700
212,2010-06-08,6.0,6.11,5.92,6.08,151100
213,2010-06-09,6.15,6.15,5.96,6.0,95000
214,2010-06-10,6.08,6.08,5.96,6.04,73000
215,2010-06-11,6.15,6.15,6.04,6.04,133100
216,2010-06-14,6.15,6.19,6.04,6.08,99400
217,2010-06-15,6.08,6.08,6.0,6.04,81900
218,2010-06-16,6.15,6.27,6.0,6.15,203500
219,2010-06-17,6.15,6.15,6.08,6.08,101600
220,2010-06-18,6.04,6.11,6.04,6.11,145000
221,2010-06-21,6.11,6.15,6.0,6.15,128100
222,2010-06-22,6.08,6.15,6.0,6.0,142800
223,2010-06-23,6.04,6.04,5.92,5.96,88600
224,2010-06-24,6.0,6.08,5.96,6.0,59500
225,2010-06-25,5.92,5.96,5.88,5.92,136500
226,2010-06-28,5.96,5.96,5.85,5.92,92000
227,2010-06-29,5.96,6.0,5.88,5.96,115800
228,2010-06-30,5.77,5.85,5.77,5.85,128600
229,2010-07-01,5.81,5.81,5.73,5.73,179000
230,2010-07-02,5.77,5.81,5.73,5.73,60300
231,2010-07-05,5.77,5.81,5.69,5.73,74500
232,2010-07-06,5.73,5.73,5.54,5.61,95200
233,2010-07-07,5.61,5.77,5.61,5.69,102500
234,2010-07-08,5.77,5.96,5.73,5.73,83200
235,2010-07-09,5.73,5.77,5.69,5.69,48100
236,2010-07-12,5.81,5.81,5.69,5.73,50400
237,2010-07-13,5.77,6.11,5.77,6.11,781600
238,2010-07-14,6.15,6.35,5.92,6.08,235400
239,2010-07-15,6.04,6.04,5.85,5.88,64400
240,2010-07-16,5.92,5.92,5.81,5.85,121100
241,2010-07-19,5.73,5.85,5.69,5.77,154300
242,2010-07-20,5.85,5.85,5.69,5.73,88000
243,2010-07-21,5.65,5.65,5.46,5.5,288000
244,2010-07-22,5.46,5.58,5.38,5.5,131100
245,2010-07-23,5.46,5.58,5.38,5.54,88800
246,2010-07-26,5.5,5.5,5.38,5.38,93200
247,2010-07-27,5.38,5.5,5.35,5.38,62800
248,2010-07-28,5.38,5.42,5.23,5.27,58300
249,2010-07-29,5.27,5.35,5.19,5.31,60100
250,2010-07-30,5.27,5.35,5.23,5.35,94000
251,2010-08-02,5.38,5.38,5.23,5.27,25400
252,2010-08-03,5.38,5.38,5.19,5.23,90100
253,2010-08-04,5.23,5.23,5.08,5.11,77700
254,2010-08-05,5.15,5.19,5.0,5.04,93600
255,2010-08-06,5.08,5.08,4.92,5.0,80000
256,2010-08-09,4.96,4.96,4.65,4.65,87100
257,2010-08-10,4.61,4.73,4.5,4.58,149200
258,2010-08-11,4.61,4.81,4.61,4.77,154400
259,2010-08-12,4.77,4.77,4.38,4.46,170100
260,2010-08-13,4.23,4.54,4.15,4.5,66200
261,2010-08-16,4.61,4.73,4.54,4.73,210000
262,2010-08-17,5.0,5.0,4.61,4.61,69900
263,2010-08-18,4.65,4.65,4.46,4.54,89600
264,2010-08-19,4.46,4.58,4.42,4.46,66300
265,2010-08-20,4.5,4.54,4.42,4.5,65100
266,2010-08-23,4.5,4.5,4.38,4.38,32600
267,2010-08-24,4.31,4.38,4.11,4.11,126500
268,2010-08-25,4.15,4.15,3.92,3.92,210400
269,2010-08-26,3.92,4.15,3.88,4.0,79400
270,2010-08-27,3.96,4.0,3.88,4.0,81300
271,2010-08-30,4.15,4.23,4.15,4.23,97700
272,2010-08-31,4.5,4.5,4.15,4.5,216700
273,2010-09-01,4.61,4.69,4.27,4.46,172600
274,2010-09-06,4.61,4.77,4.58,4.77,249500
275,2010-09-07,4.69,4.73,4.58,4.61,204900
276,2010-09-08,4.46,4.5,4.35,4.42,118500
277,2010-09-09,4.5,4.61,4.46,4.5,98000
278,2010-09-10,4.5,4.54,4.27,4.31,194000
279,2010-09-13,4.38,4.38,4.11,4.11,86100
280,2010-09-14,4.23,4.27,4.11,4.23,73000
281,2010-09-15,4.23,4.23,4.15,4.19,75000
282,2010-09-16,4.23,4.27,4.19,4.19,34400
283,2010-09-17,4.27,4.46,4.11,4.42,144500
284,2010-09-20,4.5,4.58,4.35,4.35,67200
285,2010-09-21,4.46,4.46,4.23,4.27,63800
286,2010-09-22,4.23,4.35,4.19,4.23,33800
