,time,open,high,low,close,volume
0,2010-05-19,10.67,12.81,9.82,9.82,24700
1,2010-05-20,10.67,10.88,10.29,10.88,6100
2,2010-05-21,9.78,10.5,9.78,10.5,5400
3,2010-05-24,10.5,10.5,9.48,10.16,8100
4,2010-05-25,9.39,9.6,9.39,9.6,4900
5,2010-05-26,8.75,8.88,8.75,8.75,11200
6,2010-05-27,8.2,8.84,8.2,8.84,13200
7,2010-05-28,8.67,9.26,8.67,9.26,51000
8,2010-05-31,9.05,9.13,8.75,9.05,5600
9,2010-06-01,9.05,9.31,9.05,9.05,16800
10,2010-06-02,9.09,9.6,9.09,9.6,23900
11,2010-06-03,9.31,9.82,9.31,9.82,33800
12,2010-06-04,9.6,10.37,9.6,9.82,22500
13,2010-06-07,10.67,10.67,9.43,10.07,11900
14,2010-06-08,10.16,10.16,9.78,9.78,5500
15,2010-06-09,10.33,10.33,9.18,9.99,22500
16,2010-06-10,9.99,9.99,9.65,9.9,13900
17,2010-06-11,10.07,10.5,9.39,10.03,16600
18,2010-06-14,10.59,10.71,10.03,10.71,55600
19,2010-06-15,11.31,11.31,10.46,10.54,17000
20,2010-06-16,10.8,11.1,10.46,10.84,18600
21,2010-06-17,11.01,11.48,10.84,11.01,48900
22,2010-06-18,11.74,11.74,11.1,11.44,58500
23,2010-06-21,11.53,11.95,11.01,11.7,15200
24,2010-06-22,11.57,11.95,11.57,11.87,31300
25,2010-06-23,11.31,11.91,11.31,11.7,6500
26,2010-06-24,10.93,11.95,10.93,11.31,9400
27,2010-06-25,10.8,11.44,10.63,11.44,40200
28,2010-06-28,11.1,11.23,10.33,10.88,9600
29,2010-06-29,11.23,11.65,10.88,11.65,35900
30,2010-06-30,11.74,11.74,10.67,11.44,12900
31,2010-07-01,11.23,11.91,11.23,11.61,19800
32,2010-07-02,11.61,11.61,11.23,11.53,23200
33,2010-07-05,11.95,12.04,11.53,11.74,12300
34,2010-07-06,12.17,12.46,11.53,11.57,10900
35,2010-07-07,12.04,12.42,11.31,11.31,17400
36,2010-07-08,12.59,12.98,11.44,11.53,14000
37,2010-07-09,11.44,12.38,11.35,11.53,10900
38,2010-07-12,12.29,12.29,11.4,11.74,14300
39,2010-07-13,12.38,12.38,11.09,12.07,10800
40,2010-07-14,12.47,12.47,11.09,11.98,10100
41,2010-07-15,12.03,12.07,11.18,11.8,13200
42,2010-07-16,11.94,11.98,11.0,11.76,15400
43,2010-07-19,11.62,11.8,10.95,11.49,12700
44,2010-07-20,11.8,11.89,11.18,11.49,23500
45,2010-07-21,11.49,11.49,11.4,11.4,12000
46,2010-07-22,11.45,11.45,11.18,11.31,11600
47,2010-07-23,11.36,11.54,10.78,10.78,14500
48,2010-07-26,11.36,11.36,10.95,11.31,9600
49,2010-07-27,11.27,11.27,10.95,10.95,5900
50,2010-07-28,11.4,11.4,10.51,10.73,7000
51,2010-07-29,11.18,11.49,10.73,11.18,20700
52,2010-07-30,11.31,11.62,11.18,11.36,23200
53,2010-08-02,12.07,12.07,11.4,11.54,14000
54,2010-08-03,11.49,11.8,11.4,11.4,47500
55,2010-08-04,12.07,12.07,11.54,11.62,9000
56,2010-08-05,11.76,12.07,11.04,11.62,13200
57,2010-08-06,11.18,11.54,11.18,11.54,8000
58,2010-08-09,11.94,11.98,11.18,11.18,6200
59,2010-08-10,11.45,11.49,11.09,11.09,5500
60,2010-08-11,10.95,11.0,10.73,10.73,8700
61,2010-08-12,11.18,11.18,10.1,10.1,19100
62,2010-08-13,10.91,10.91,9.93,10.69,5500
63,2010-08-16,11.31,11.31,11.09,11.13,15700
64,2010-08-17,11.31,11.36,11.09,11.13,5800
65,2010-08-18,11.09,11.09,10.46,11.04,7500
66,2010-08-19,10.1,10.37,10.1,10.37,8300
67,2010-08-20,10.1,10.51,10.1,10.19,10500
68,2010-08-23,10.86,10.86,9.57,10.24,6500
69,2010-08-24,10.64,10.64,9.7,10.28,5900
70,2010-08-25,10.82,10.82,9.52,9.52,12700
71,2010-08-26,10.6,10.64,10.33,10.37,4400
72,2010-08-27,11.09,11.09,9.84,10.06,6800
73,2010-08-30,10.69,10.86,9.84,10.69,9400
74,2010-08-31,10.06,10.64,9.88,10.37,13600
75,2010-09-01,10.06,10.24,9.66,9.66,4200
76,2010-09-06,10.82,10.82,10.15,10.73,5700
77,2010-09-07,10.6,10.6,10.02,10.6,4800
78,2010-09-08,10.69,10.69,10.69,10.69,3000
79,2010-09-09,10.69,10.69,10.69,10.69,2500
80,2010-09-10,10.64,10.64,9.97,9.97,4800
81,2010-09-13,9.84,10.02,9.61,9.61,1100
82,2010-09-14,9.34,9.39,9.26,9.26,19700
83,2010-09-15,9.61,9.61,8.63,9.12,15900
84,2010-09-16,9.12,9.12,9.03,9.08,7100
85,2010-09-17,9.08,9.34,9.08,9.12,31900
86,2010-09-20,9.79,9.79,8.94,9.39,5600
87,2010-09-21,9.34,9.34,9.3,9.3,5500
88,2010-09-22,9.26,9.26,8.9,8.9,2500
89,2010-09-23,9.21,9.21,8.5,8.5,6000
90,2010-09-24,9.39,9.39,8.41,8.99,7100
91,2010-09-27,9.34,9.34,9.3,9.3,3000
92,2010-09-28,8.72,9.3,8.72,9.3,6900
93,2010-09-29,9.26,9.26,8.36,9.08,11400
94,2010-09-30,8.18,8.67,8.18,8.67,3300
95,2010-10-01,8.94,8.94,8.76,8.76,4600
96,2010-10-04,9.17,9.17,8.85,8.85,2600
97,2010-10-05,8.54,8.54,8.54,8.54,5100
98,2010-10-06,8.9,8.9,7.96,8.54,14100
99,2010-10-07,8.58,8.58,8.54,8.54,3800
100,2010-10-08,8.36,8.36,8.18,8.18,3000
101,2010-10-11,8.63,8.63,8.45,8.45,1800
102,2010-10-12,8.99,8.99,8.45,8.45,3300
103,2010-10-13,8.94,8.94,8.85,8.85,3100
104,2010-10-14,8.81,8.81,8.81,8.81,1500
105,2010-10-15,8.67,8.67,8.67,8.67,1500
106,2010-10-18,8.72,8.72,8.72,8.72,2500
107,2010-10-19,8.45,8.45,8.45,8.45,1500
108,2010-10-20,8.94,8.94,7.87,7.87,2700
109,2010-10-21,8.45,8.45,8.45,8.45,1700
110,2010-10-22,8.85,8.85,8.45,8.45,1700
111,2010-10-25,8.9,8.9,8.23,8.23,3800
112,2010-10-26,8.45,8.85,8.45,8.76,5100
113,2010-10-27,8.63,8.63,8.63,8.63,1300
114,2010-10-28,8.81,8.81,8.5,8.5,1500
115,2010-10-29,8.58,8.58,8.27,8.32,1300
116,2010-11-01,8.67,8.67,8.67,8.67,1000
117,2010-11-02,8.32,8.32,8.32,8.32,500
118,2010-11-03,8.45,8.45,8.27,8.27,1000
119,2010-11-04,8.32,8.32,8.32,8.32,700
120,2010-11-05,8.27,8.36,8.27,8.36,2200
121,2010-11-08,8.14,8.14,8.14,8.14,500
122,2010-11-09,8.09,8.09,8.05,8.05,700
123,2010-11-10,7.56,8.05,7.56,8.05,1700
124,2010-11-11,7.91,7.91,7.69,7.69,1500
125,2010-11-12,7.87,7.87,7.87,7.87,700
126,2010-11-15,7.82,8.0,7.82,7.82,2700
127,2010-11-16,7.91,7.91,7.69,7.69,1000
128,2010-11-17,7.6,7.6,7.29,7.29,1100
129,2010-11-18,7.56,7.56,7.56,7.56,600
130,2010-11-19,7.91,7.91,7.74,7.74,4200
131,2010-11-22,7.74,7.74,7.74,7.74,500
132,2010-11-23,7.56,7.56,7.56,7.56,400
133,2010-11-24,7.51,7.51,7.06,7.06,900
134,2010-11-25,7.6,7.69,7.6,7.69,1700
135,2010-11-26,7.51,7.56,7.15,7.56,14500
136,2010-11-29,7.65,7.65,7.65,7.65,2400
137,2010-11-30,8.05,8.09,8.05,8.09,2200
138,2010-12-01,8.05,8.05,8.05,8.05,400
139,2010-12-02,8.23,8.23,7.6,8.18,1700
140,2010-12-03,8.14,8.14,7.6,7.6,400
141,2010-12-06,8.27,8.27,7.2,7.96,4000
142,2010-12-07,7.82,7.82,7.6,7.6,200
143,2010-12-08,7.78,7.78,7.78,7.78,100
144,2010-12-09,7.78,7.78,7.78,7.78,100
145,2010-12-10,7.91,7.91,7.91,7.91,300
146,2010-12-13,8.36,8.36,7.38,8.32,3700
147,2010-12-14,7.6,7.82,7.6,7.82,1800
148,2010-12-15,7.82,7.82,7.82,7.82,300
149,2010-12-16,7.87,7.87,7.87,7.87,200
150,2010-12-17,7.82,8.05,7.82,8.0,500
151,2010-12-20,7.96,7.96,7.96,7.96,100
152,2010-12-21,7.78,7.78,7.78,7.78,100
153,2010-12-22,7.42,7.69,7.42,7.69,300
154,2010-12-23,7.51,7.51,7.51,7.51,100
155,2010-12-24,7.56,7.56,7.38,7.51,400
156,2010-12-27,7.6,7.69,7.6,7.69,400
157,2010-12-28,7.65,7.65,7.65,7.65,200
158,2010-12-29,7.65,7.65,7.65,7.65,100
159,2010-12-30,7.38,7.69,7.38,7.69,800
160,2010-12-31,7.38,7.65,7.38,7.65,500
161,2011-01-04,7.6,7.6,7.6,7.6,100
162,2011-01-05,7.65,7.65,7.65,7.65,100
163,2011-01-06,7.65,7.65,7.65,7.65,200
164,2011-01-07,8.14,8.14,7.69,7.69,200
165,2011-01-10,7.69,7.69,7.69,7.69,0
166,2011-01-11,7.87,7.87,7.87,7.87,100
167,2011-01-12,7.87,7.87,7.87,7.87,0
168,2011-01-13,7.78,7.78,7.78,7.78,100
169,2011-01-14,7.69,7.69,7.69,7.69,100
170,2011-01-17,8.05,8.05,8.05,8.05,100
171,2011-01-18,7.69,7.69,7.69,7.69,100
172,2011-01-19,7.56,7.56,7.56,7.56,100
173,2011-01-20,7.87,7.87,7.87,7.87,100
174,2011-01-21,7.78,7.78,7.78,7.78,100
175,2011-01-24,7.65,7.65,7.24,7.47,300
176,2011-01-25,7.38,7.38,7.38,7.38,100
177,2011-01-26,6.89,6.89,6.89,6.89,1600
178,2011-01-27,6.44,6.66,6.44,6.66,400
