,time,open,high,low,close,volume
0,2006-07-31,20.0,20.0,20.0,20.0,16530
1,2006-08-01,19.0,19.0,19.0,19.0,10550
2,2006-08-02,18.1,18.1,18.1,18.1,29300
3,2006-08-03,17.8,18.8,17.8,18.8,84000
4,2006-08-04,19.1,19.1,18.8,18.8,68590
5,2006-08-07,18.8,18.8,17.9,17.9,31050
6,2006-08-08,17.6,17.7,17.5,17.5,22490
7,2006-08-09,17.6,17.7,17.6,17.7,26080
8,2006-08-10,17.7,17.7,17.5,17.5,36080
9,2006-08-11,17.7,18.2,17.7,18.2,48520
10,2006-08-14,19.1,19.1,19.1,19.1,44050
11,2006-08-15,20.0,20.0,20.0,20.0,119230
12,2006-08-16,21.0,21.0,21.0,21.0,149800
13,2006-08-17,22.0,22.0,22.0,22.0,117700
14,2006-08-18,23.1,23.1,23.1,23.1,76550
15,2006-08-21,24.2,24.2,24.2,24.2,29430
16,2006-08-22,25.0,25.0,23.0,23.0,241880
17,2006-08-23,21.9,24.1,21.9,24.1,198860
18,2006-08-24,24.1,24.1,23.9,24.0,110120
19,2006-08-25,24.0,24.0,23.6,23.8,44110
20,2006-08-28,23.8,24.0,23.6,24.0,46920
21,2006-08-29,24.3,24.3,24.0,24.0,49410
22,2006-08-30,24.0,24.2,24.0,24.0,116920
23,2006-08-31,24.0,24.0,23.7,23.8,39600
24,2006-09-01,23.7,24.0,23.7,24.0,70460
25,2006-09-05,24.8,25.0,24.8,25.0,78350
26,2006-09-06,25.5,25.5,25.0,25.0,74300
27,2006-09-07,24.5,24.8,24.5,24.8,57950
28,2006-09-08,24.6,24.8,24.6,24.8,49570
29,2006-09-11,23.6,23.6,23.6,23.6,67330
30,2006-09-12,22.5,22.5,22.5,22.5,14000
31,2006-09-13,21.4,21.4,21.4,21.4,33790
32,2006-09-14,20.4,21.5,20.4,21.5,244680
33,2006-09-15,21.4,21.4,21.1,21.1,77120
34,2006-09-18,20.7,20.7,20.5,20.5,42580
35,2006-09-19,20.5,20.5,20.5,20.5,25580
36,2006-09-20,20.8,21.0,20.8,21.0,62170
37,2006-09-21,21.0,21.0,20.8,20.8,37330
38,2006-09-22,20.7,20.8,20.7,20.8,8950
39,2006-09-25,21.0,21.0,20.8,20.8,37540
40,2006-09-26,20.7,20.7,20.6,20.6,33760
41,2006-09-27,20.4,20.4,20.4,20.4,44840
42,2006-09-28,20.1,20.4,20.1,20.4,38400
43,2006-09-29,20.4,21.0,20.4,21.0,31120
44,2006-10-02,22.0,22.0,22.0,22.0,52720
45,2006-10-03,22.5,22.5,21.8,21.8,34810
46,2006-10-04,21.0,21.0,20.9,21.0,54910
47,2006-10-05,21.0,21.0,21.0,21.0,33000
48,2006-10-06,21.5,21.5,21.0,21.0,5520
49,2006-10-09,21.0,21.0,20.8,20.9,18930
50,2006-10-10,20.8,20.8,19.9,20.1,19710
51,2006-10-11,20.5,20.5,20.3,20.3,13770
52,2006-10-12,20.4,20.4,20.2,20.2,20640
53,2006-10-13,20.0,20.3,20.0,20.2,28400
54,2006-10-16,20.0,20.0,20.0,20.0,28480
55,2006-10-17,20.0,20.0,19.2,19.2,24340
56,2006-10-18,19.0,19.3,19.0,19.3,6760
57,2006-10-19,19.6,20.2,19.6,20.2,9180
58,2006-10-20,20.5,20.5,20.4,20.4,12520
59,2006-10-23,20.4,20.4,20.1,20.1,7110
60,2006-10-24,20.1,20.1,20.1,20.1,7100
61,2006-10-25,19.6,19.8,19.6,19.8,10950
62,2006-10-26,19.8,19.8,19.4,19.5,12640
63,2006-10-27,19.5,19.5,19.4,19.4,3750
64,2006-10-30,18.6,18.6,18.6,18.6,21560
65,2006-10-31,18.6,19.4,18.6,19.4,8390
66,2006-11-01,19.4,20.0,19.4,20.0,12960
67,2006-11-02,20.0,20.0,19.9,19.9,14770
68,2006-11-03,19.9,19.9,19.3,19.3,6720
69,2006-11-06,20.0,20.0,19.1,19.1,4710
70,2006-11-07,19.2,19.2,19.0,19.0,7550
71,2006-11-08,19.0,19.2,19.0,19.2,18970
72,2006-11-09,19.5,19.5,19.4,19.4,12510
73,2006-11-10,19.0,19.0,19.0,19.0,20410
74,2006-11-13,19.0,19.0,18.7,18.7,13630
75,2006-11-14,18.7,18.7,17.9,18.0,31370
76,2006-11-15,18.2,18.2,17.9,17.9,51580
77,2006-11-16,17.8,17.8,17.5,17.8,20150
78,2006-11-17,17.8,17.8,17.7,17.8,42870
79,2006-11-20,17.8,17.8,17.5,17.5,18020
80,2006-11-21,17.3,17.3,17.3,17.3,21140
81,2006-11-22,18.1,18.1,18.1,18.1,20480
82,2006-11-23,19.0,19.0,19.0,19.0,17300
83,2006-11-24,19.9,19.9,19.9,19.9,33690
84,2006-11-27,19.9,19.9,19.0,19.0,29530
85,2006-11-28,18.1,18.9,18.1,18.5,14050
86,2006-11-29,17.7,18.0,17.7,17.8,13120
87,2006-11-30,17.0,17.5,17.0,17.5,9310
88,2006-12-01,17.9,17.9,17.8,17.8,10250
89,2006-12-04,17.7,17.7,17.5,17.5,10550
90,2006-12-05,17.5,17.5,17.4,17.4,22270
91,2006-12-06,17.0,17.0,16.9,16.9,35330
92,2006-12-07,16.5,16.5,16.1,16.1,23290
93,2006-12-08,15.4,15.4,15.4,15.4,2300
94,2006-12-11,15.4,15.4,15.1,15.1,24460
95,2006-12-12,14.6,14.6,14.6,14.6,21710
96,2006-12-13,13.9,14.5,13.9,14.5,27180
97,2006-12-14,15.2,15.2,15.2,15.2,20870
98,2006-12-15,15.9,15.9,15.0,15.9,18600
99,2006-12-18,16.6,16.6,16.6,16.6,13100
100,2006-12-19,16.6,17.0,16.6,17.0,18060
101,2006-12-20,17.0,17.0,16.2,16.6,31290
102,2006-12-21,15.8,15.8,15.8,15.8,12430
103,2006-12-22,15.1,15.1,15.1,15.1,17280
104,2006-12-25,15.1,15.1,14.7,15.0,5600
105,2006-12-26,15.7,15.7,15.1,15.1,10610
106,2006-12-27,15.0,15.0,15.0,15.0,9260
107,2006-12-28,15.1,15.1,15.0,15.0,13520
108,2006-12-29,15.0,15.0,15.0,15.0,8860
109,2007-01-02,15.0,15.1,15.0,15.1,5040
110,2007-01-03,15.0,15.0,15.0,15.0,8360
111,2007-01-04,15.0,15.1,15.0,15.1,10510
112,2007-01-05,14.5,15.8,14.5,15.8,16640
113,2007-01-08,15.8,15.8,15.5,15.5,15650
114,2007-01-09,15.1,15.2,15.0,15.0,8980
115,2007-01-10,15.0,15.0,14.9,15.0,6730
116,2007-01-11,14.5,15.0,14.5,15.0,15700
117,2007-01-12,15.0,15.0,14.5,15.0,12480
118,2007-01-15,14.9,15.0,14.9,14.9,33510
119,2007-01-16,14.9,15.0,14.9,15.0,17950
120,2007-01-17,14.9,15.0,14.9,15.0,23600
121,2007-01-18,15.1,15.2,15.0,15.2,18990
122,2007-01-19,15.4,15.5,15.4,15.4,25740
123,2007-01-22,15.5,16.1,15.5,15.7,15800
124,2007-01-23,15.8,15.8,15.5,15.5,11670
125,2007-01-24,15.4,15.4,15.0,15.0,14620
126,2007-01-25,15.0,15.0,15.0,15.0,17470
127,2007-01-26,15.0,15.0,15.0,15.0,10260
128,2007-01-29,14.5,15.2,14.5,15.2,11310
129,2007-01-30,15.0,15.0,15.0,15.0,21010
130,2007-01-31,15.0,15.0,15.0,15.0,13390
131,2007-02-01,14.3,14.3,14.3,14.3,39410
132,2007-02-02,13.6,13.6,13.6,13.6,10200
133,2007-02-05,14.1,14.2,14.1,14.2,11400
134,2007-02-06,14.5,14.9,14.5,14.7,19750
135,2007-02-07,15.0,15.4,15.0,15.4,35950
136,2007-02-08,15.9,16.1,15.4,15.4,46130
137,2007-02-09,15.5,15.5,15.0,15.0,23230
138,2007-02-12,15.0,15.0,14.6,14.9,19570
139,2007-02-13,15.0,15.0,14.8,14.9,19940
