,time,open,high,low,close,volume
0,2006-09-20,14.95,14.95,14.95,14.95,100
1,2006-09-21,16.45,16.45,16.45,16.45,200
2,2006-09-22,18.03,18.03,18.03,18.03,700
3,2006-09-25,19.79,19.79,19.79,19.79,1100
4,2006-09-26,21.72,21.72,20.76,20.76,1100
5,2006-09-27,21.37,21.37,21.37,21.37,1000
6,2006-09-28,21.37,21.37,21.37,21.37,600
7,2006-09-29,21.37,21.37,21.37,21.37,0
8,2006-10-02,19.79,19.79,19.79,19.79,1000
9,2006-10-03,19.7,19.79,19.44,19.79,1900
10,2006-10-04,19.79,19.79,19.79,19.79,0
11,2006-10-05,19.79,19.79,19.79,19.79,0
12,2006-10-06,17.68,17.68,17.68,17.68,1000
13,2006-10-09,15.92,17.59,15.92,17.59,1800
14,2006-10-10,17.59,17.59,17.59,17.59,0
15,2006-10-11,16.1,16.1,16.1,16.1,1500
16,2006-10-12,16.1,16.1,16.1,16.1,0
17,2006-10-13,16.1,16.1,16.1,16.1,0
18,2006-10-16,16.1,16.1,16.1,16.1,0
19,2006-10-17,16.1,16.1,16.1,16.1,2000
20,2006-10-18,16.1,16.1,16.1,16.1,0
21,2006-10-19,16.1,16.1,16.1,16.1,0
22,2006-10-20,16.01,16.01,16.01,16.01,300
23,2006-10-23,16.01,16.01,16.01,16.01,0
24,2006-10-24,16.01,16.01,16.01,16.01,0
25,2006-10-25,16.01,16.01,16.01,16.01,0
26,2006-10-26,16.01,16.01,16.01,16.01,100
27,2006-10-27,16.01,16.01,16.01,16.01,0
28,2006-10-30,16.01,16.01,16.01,16.01,0
29,2006-10-31,16.01,16.01,16.01,16.01,0
30,2006-11-01,16.01,16.01,16.01,16.01,0
31,2006-11-02,16.01,16.01,16.01,16.01,0
32,2006-11-03,16.01,16.01,16.01,16.01,0
33,2006-11-06,16.01,16.01,16.01,16.01,0
34,2006-11-07,16.01,16.01,16.01,16.01,0
35,2006-11-08,16.01,16.01,16.01,16.01,0
36,2006-11-09,16.01,16.01,16.01,16.01,0
37,2006-11-10,14.95,14.95,14.95,14.95,100
38,2006-11-13,14.95,14.95,14.95,14.95,0
39,2006-11-14,14.95,14.95,14.95,14.95,0
40,2006-11-15,14.95,14.95,14.95,14.95,0
41,2006-11-16,15.83,15.83,15.83,15.83,100
42,2006-11-17,15.83,15.83,15.83,15.83,0
43,2006-11-20,15.83,15.83,15.83,15.83,100
44,2006-11-21,15.83,15.83,15.83,15.83,0
45,2006-11-22,14.51,14.51,14.51,14.51,200
46,2006-11-23,14.95,14.95,14.95,14.95,200
47,2006-11-24,14.95,14.95,14.95,14.95,200
48,2006-11-27,14.95,14.95,14.95,14.95,0
49,2006-11-28,14.95,14.95,14.95,14.95,0
50,2006-11-29,14.95,14.95,14.95,14.95,0
51,2006-11-30,14.95,14.95,14.95,14.95,0
52,2006-12-01,14.95,14.95,14.95,14.95,0
53,2006-12-04,14.95,14.95,14.95,14.95,0
54,2006-12-05,14.95,14.95,14.95,14.95,0
55,2006-12-06,14.95,14.95,14.95,14.95,0
56,2006-12-07,14.95,14.95,14.95,14.95,0
57,2006-12-08,13.46,13.46,13.46,13.46,100
58,2006-12-11,13.46,13.46,13.46,13.46,0
59,2006-12-12,13.46,13.46,13.46,13.46,0
60,2006-12-13,13.46,13.46,13.46,13.46,0
61,2006-12-14,14.07,14.07,14.07,14.07,100
62,2006-12-15,14.07,14.07,14.07,14.07,0
63,2006-12-18,14.07,14.07,14.07,14.07,0
64,2006-12-19,13.19,13.19,13.19,14.07,100
65,2006-12-20,14.07,14.07,14.07,14.07,0
66,2006-12-21,13.19,13.19,13.19,13.19,2200
67,2006-12-22,13.19,13.19,13.19,13.19,500
68,2006-12-25,13.19,13.19,13.19,13.19,500
69,2006-12-26,13.19,13.19,13.19,13.19,0
70,2006-12-27,13.19,13.19,13.19,13.19,0
71,2006-12-28,13.19,13.19,13.19,13.19,0
72,2006-12-29,13.19,13.19,13.19,13.19,0
73,2007-01-02,13.19,13.19,13.19,13.19,0
74,2007-01-03,13.19,13.19,13.19,13.19,0
75,2007-01-04,13.19,13.19,13.19,13.19,0
76,2007-01-05,13.19,13.19,13.19,13.19,0
77,2007-01-08,13.19,13.19,13.19,13.19,0
78,2007-01-09,13.19,13.19,13.19,13.19,0
79,2007-01-10,13.19,13.19,13.19,13.19,0
80,2007-01-11,13.19,13.19,13.19,13.19,0
81,2007-01-12,13.19,13.19,13.19,13.19,0
82,2007-01-15,12.75,12.84,12.75,12.75,400
83,2007-01-16,13.98,13.98,13.98,13.98,1000
84,2007-01-17,15.3,15.3,15.3,15.3,400
85,2007-01-18,16.71,16.8,16.71,16.71,2700
86,2007-01-19,18.03,18.03,17.59,18.03,2100
87,2007-01-22,18.03,18.03,18.03,18.03,0
88,2007-01-23,18.47,18.47,18.47,18.47,100
89,2007-01-24,18.47,18.47,18.03,18.03,2000
90,2007-01-25,17.59,17.59,17.59,17.59,100
91,2007-01-26,16.71,17.59,16.71,17.59,300
92,2007-01-29,17.59,17.59,17.59,17.59,0
93,2007-01-30,18.03,18.03,18.03,18.03,500
94,2007-01-31,17.68,18.03,17.68,18.03,400
95,2007-02-01,17.59,17.59,17.59,17.59,500
96,2007-02-02,16.27,16.27,16.27,16.27,500
97,2007-02-05,14.69,14.69,14.69,14.69,100
98,2007-02-06,15.92,15.92,15.83,15.83,1100
99,2007-02-07,16.71,16.71,16.71,16.71,600
100,2007-02-08,16.71,16.71,16.71,16.71,1500
101,2007-02-09,16.71,16.71,15.83,15.83,5000
102,2007-02-12,17.59,17.59,17.59,17.59,200
103,2007-02-13,18.47,19.35,18.47,19.35,5600
104,2007-02-14,21.02,21.11,19.35,19.35,5500
105,2007-02-15,20.93,22.96,20.93,22.96,3200
106,2007-02-26,24.27,24.27,20.23,24.27,13400
107,2007-02-27,26.3,26.3,25.51,25.86,18300
108,2007-02-28,25.51,27.35,25.51,26.83,10700
109,2007-03-01,28.85,28.85,25.86,27.27,9000
110,2007-03-02,26.39,27.27,25.95,27.27,12100
111,2007-03-05,26.91,27.27,26.39,26.39,14300
112,2007-03-06,26.39,26.83,26.39,26.83,32700
113,2007-03-07,29.2,29.2,27.09,29.2,16100
114,2007-03-08,31.75,31.75,31.75,31.75,8700
115,2007-03-09,34.92,34.92,34.92,34.92,3800
116,2007-03-12,38.35,38.35,38.35,38.35,9600
117,2007-03-13,42.13,42.13,42.13,42.13,40300
118,2007-03-14,46.26,46.26,38.0,42.13,20400
119,2007-03-15,38.26,42.22,38.26,38.26,5400
120,2007-03-16,35.8,35.97,35.8,35.97,24200
121,2007-03-19,38.7,38.7,34.3,37.82,24300
122,2007-03-20,38.7,38.7,37.82,37.82,14800
123,2007-03-21,36.94,36.94,35.18,35.18,6900
124,2007-03-22,32.72,32.72,32.72,32.72,13600
125,2007-03-23,35.97,35.97,32.54,32.98,14800
126,2007-03-26,31.75,32.54,30.78,32.98,7900
127,2007-03-27,30.17,30.17,29.46,32.98,900
128,2007-03-28,26.91,27.71,26.91,27.27,8400
129,2007-03-29,29.73,29.73,28.14,29.46,23600
130,2007-03-30,31.75,31.75,31.75,29.46,4700
131,2007-04-02,34.92,34.92,29.46,32.98,3500
132,2007-04-03,31.66,31.75,31.22,31.22,5200
133,2007-04-04,30.34,31.57,30.34,31.57,2700
134,2007-04-05,28.14,28.14,28.14,28.14,1100
135,2007-04-06,29.9,30.96,29.46,29.46,2100
136,2007-04-09,29.46,29.46,28.14,29.29,2000
137,2007-04-10,27.71,27.71,27.71,27.71,200
138,2007-04-11,26.47,27.71,26.39,27.62,4300
139,2007-04-12,26.39,27.27,26.39,27.09,2600
140,2007-04-13,26.39,26.39,24.63,25.51,800
141,2007-04-16,24.27,24.63,24.19,24.27,1700
142,2007-04-17,22.87,22.87,22.6,22.6,200
143,2007-04-18,24.98,24.98,24.98,24.98,700
144,2007-04-19,27.44,27.44,27.27,27.27,10800
145,2007-04-20,27.27,27.27,24.71,25.68,2300
146,2007-04-23,22.43,22.52,22.43,22.43,1000
147,2007-04-24,21.28,21.99,20.23,21.99,1100
148,2007-04-25,22.6,22.6,22.6,22.6,100
149,2007-05-02,24.63,24.63,22.43,22.87,1100
150,2007-05-03,22.87,23.75,21.99,22.43,700
151,2007-05-04,22.87,22.87,22.87,22.87,100
152,2007-05-07,21.99,25.15,21.99,25.07,5100
153,2007-05-08,25.51,25.95,24.71,25.95,3800
154,2007-05-09,25.51,25.51,24.71,24.71,600
155,2007-05-10,23.75,23.75,23.48,23.48,3000
156,2007-05-11,23.75,23.75,22.87,22.96,3400
157,2007-05-14,23.04,23.31,22.87,23.31,3800
158,2007-05-15,22.96,24.45,22.96,23.75,2900
159,2007-05-16,24.19,24.19,24.19,24.19,200
160,2007-05-17,21.99,21.99,21.99,21.99,300
161,2007-05-18,24.19,24.19,22.6,22.6,2000
162,2007-05-21,24.19,24.19,24.19,24.19,400
163,2007-05-22,23.75,23.75,23.75,23.75,1500
164,2007-05-23,23.75,24.19,23.75,24.19,3800
165,2007-05-24,23.75,23.75,23.66,23.75,800
166,2007-05-25,23.75,23.75,23.75,23.75,0
167,2007-05-28,22.08,22.08,21.99,21.99,2300
168,2007-05-29,21.99,21.99,21.99,21.99,1500
169,2007-05-30,21.55,21.99,21.55,21.99,1100
170,2007-05-31,21.99,21.99,21.99,21.99,0
171,2007-06-01,21.99,21.99,21.99,21.99,0
172,2007-06-04,20.23,20.67,20.23,20.67,6100
173,2007-06-05,21.99,22.34,20.67,20.67,1200
174,2007-06-06,20.67,20.67,20.67,20.67,100
175,2007-06-07,20.84,20.84,20.67,20.84,1400
176,2007-06-08,21.11,21.11,21.11,21.11,200
177,2007-06-11,21.11,21.11,21.11,21.11,0
178,2007-06-12,19.26,19.26,19.26,19.26,100
179,2007-06-13,21.11,21.11,21.11,21.11,200
180,2007-06-14,21.11,21.11,21.11,21.11,400
181,2007-06-15,20.23,20.23,20.23,20.23,200
182,2007-06-18,19.35,19.35,18.47,18.47,500
183,2007-06-19,17.59,17.59,17.59,17.59,1500
184,2007-06-20,19.35,19.35,19.35,19.35,1000
185,2007-06-21,18.47,21.11,18.47,20.23,1400
186,2007-06-22,20.23,20.23,20.23,20.23,0
187,2007-06-25,20.23,20.23,20.23,20.23,0
188,2007-06-26,18.12,18.12,18.12,18.12,100
189,2007-06-27,16.71,16.71,16.71,16.71,300
190,2007-06-28,17.59,17.59,17.59,17.59,100
191,2007-06-29,17.59,17.59,17.59,17.59,300
192,2007-07-02,16.71,16.71,15.83,15.83,500
