,time,open,high,low,close,volume
0,2014-09-25,4.58,0.0,0.0,0.0,0
1,2014-09-26,4.58,0.0,0.0,0.0,0
2,2014-09-29,4.58,0.0,0.0,0.0,0
3,2014-09-30,4.58,0.0,0.0,0.0,0
4,2014-10-01,4.58,0.0,0.0,0.0,0
5,2014-10-02,4.58,0.0,0.0,0.0,0
6,2014-10-03,4.58,0.0,0.0,0.0,0
7,2014-10-06,4.58,0.0,0.0,0.0,0
8,2014-10-07,4.58,0.0,0.0,0.0,0
9,2014-10-08,4.58,0.0,0.0,0.0,0
10,2014-10-09,4.58,0.0,0.0,0.0,0
11,2014-10-10,2.75,2.75,2.75,2.75,150100
12,2014-10-13,2.75,2.75,2.75,2.75,0
13,2014-10-14,2.75,2.75,2.75,2.75,0
14,2014-10-15,2.75,2.75,2.75,2.75,0
15,2014-10-16,2.75,2.75,2.75,2.75,0
16,2014-10-17,2.75,2.75,2.75,2.75,0
17,2014-10-20,2.75,2.75,2.75,2.75,0
18,2014-10-21,2.75,2.75,2.75,2.75,0
19,2014-10-22,2.75,2.75,2.75,2.75,0
20,2014-10-23,2.75,2.75,2.75,2.75,0
21,2014-10-24,2.75,2.75,2.75,2.75,0
22,2014-10-27,2.75,2.75,2.75,2.75,0
23,2014-10-28,2.75,2.75,2.75,2.75,0
24,2014-10-29,2.75,2.75,2.75,2.75,0
25,2014-10-30,2.75,2.75,2.75,2.75,0
26,2014-10-31,2.75,2.75,2.75,2.75,0
27,2014-11-03,2.75,2.75,2.75,2.75,0
28,2014-11-04,2.75,2.75,2.75,2.75,0
29,2014-11-05,2.75,2.75,2.75,2.75,0
30,2014-11-06,2.75,2.75,2.75,2.75,0
31,2014-11-07,2.75,2.75,2.75,2.75,0
32,2014-11-10,2.75,2.75,2.75,2.75,0
33,2014-11-11,2.75,2.75,2.75,2.75,0
34,2014-11-12,2.75,2.75,2.75,2.75,0
35,2014-11-13,2.75,2.75,2.75,2.75,0
36,2014-11-14,2.75,2.75,2.75,2.75,0
37,2014-11-17,2.75,2.75,2.75,2.75,0
38,2014-11-18,2.75,2.75,2.75,2.75,0
39,2014-11-19,2.75,2.75,2.75,2.75,0
40,2014-11-20,2.75,2.75,2.75,2.75,0
41,2014-11-21,2.75,2.75,2.75,2.75,0
42,2014-11-24,2.75,2.75,2.75,2.75,0
43,2014-11-25,2.75,2.75,2.75,2.75,0
44,2014-11-26,2.75,2.75,2.75,2.75,0
45,2014-11-27,2.75,2.75,2.75,2.75,0
46,2014-11-28,2.75,2.75,2.75,2.75,0
47,2014-12-01,2.75,2.75,2.75,2.75,0
48,2014-12-02,2.75,2.75,2.75,2.75,0
49,2014-12-03,2.75,2.75,2.75,2.75,0
50,2014-12-04,2.75,2.75,2.75,2.75,0
51,2014-12-05,2.75,2.75,2.75,2.75,0
52,2014-12-08,2.75,2.75,2.75,2.75,0
53,2014-12-09,2.75,2.75,2.75,2.75,0
54,2014-12-10,2.75,2.75,2.75,2.75,0
55,2014-12-11,2.75,2.75,2.75,2.75,0
56,2014-12-12,2.75,2.75,2.75,2.75,0
57,2014-12-15,2.75,2.75,2.75,2.75,0
58,2014-12-16,2.75,2.75,2.75,2.75,0
59,2014-12-17,2.75,2.75,2.75,2.75,0
60,2014-12-18,2.75,2.75,2.75,2.75,0
61,2014-12-19,2.75,2.75,2.75,2.75,0
62,2014-12-22,2.75,2.75,2.75,2.75,0
63,2014-12-23,2.75,2.75,2.75,2.75,0
64,2014-12-24,2.75,2.75,2.75,2.75,0
65,2014-12-25,2.75,2.75,2.75,2.75,0
66,2014-12-26,2.75,2.75,2.75,2.75,0
67,2014-12-29,2.75,2.75,2.75,2.75,0
68,2014-12-30,2.75,2.75,2.75,2.75,0
69,2014-12-31,2.75,2.75,2.75,2.75,0
70,2015-01-05,2.75,2.75,2.75,2.75,0
71,2015-01-06,2.75,2.75,2.75,2.75,0
72,2015-01-07,2.75,2.75,2.75,2.75,0
73,2015-01-08,2.75,2.75,2.75,2.75,0
74,2015-01-09,2.75,2.75,2.75,2.75,0
75,2015-01-12,2.75,2.75,2.75,2.75,0
76,2015-01-13,2.75,2.75,2.75,2.75,0
77,2015-01-14,2.75,2.75,2.75,2.75,0
78,2015-01-15,2.75,2.75,2.75,2.75,0
79,2015-01-16,2.75,2.75,2.75,2.75,0
80,2015-01-19,2.75,2.75,2.75,2.75,0
81,2015-01-20,2.75,2.75,2.75,2.75,0
82,2015-01-21,2.75,2.75,2.75,2.75,0
83,2015-01-22,2.75,2.75,2.75,2.75,0
84,2015-01-23,2.75,2.75,2.75,2.75,0
85,2015-01-26,2.75,2.75,2.75,2.75,0
86,2015-01-27,2.75,2.75,2.75,2.75,0
87,2015-01-28,2.75,2.75,2.75,2.75,0
88,2015-01-29,2.75,2.75,2.75,2.75,0
89,2015-01-30,2.75,2.75,2.75,2.75,0
90,2015-02-02,2.75,2.75,2.75,2.75,0
91,2015-02-03,2.75,2.75,2.75,2.75,0
92,2015-02-04,2.75,2.75,2.75,2.75,0
93,2015-02-05,2.75,2.75,2.75,2.75,0
94,2015-02-06,2.75,2.75,2.75,2.75,0
95,2015-02-09,2.75,2.75,2.75,2.75,0
96,2015-02-10,2.75,2.75,2.75,2.75,0
97,2015-02-11,2.75,2.75,2.75,2.75,0
98,2015-02-12,2.75,2.75,2.75,2.75,0
99,2015-02-13,2.75,2.75,2.75,2.75,0
100,2015-02-24,2.75,2.75,2.75,2.75,0
101,2015-02-25,2.75,2.75,2.75,2.75,0
102,2015-02-26,2.75,2.75,2.75,2.75,0
103,2015-02-27,2.75,2.75,2.75,2.75,0
104,2015-03-02,2.75,2.75,2.75,2.75,0
105,2015-03-03,2.75,2.75,2.75,2.75,0
106,2015-03-04,2.75,2.75,2.75,2.75,0
107,2015-03-05,2.75,2.75,2.75,2.75,0
