,time,open,high,low,close,volume
0,2015-11-05,8.59,8.59,8.59,8.59,27900
1,2015-11-06,9.14,9.14,9.14,9.14,110
2,2015-11-09,9.74,9.74,9.74,9.74,94040
3,2015-11-10,10.4,10.4,10.07,10.07,115370
4,2015-11-11,10.73,10.73,9.91,9.96,31980
5,2015-11-12,9.96,10.51,9.85,9.96,10980
6,2015-11-13,10.13,10.13,9.74,9.91,29830
7,2015-11-16,9.91,10.02,9.85,9.96,20050
8,2015-11-17,9.96,10.02,9.96,9.96,32150
9,2015-11-18,9.96,10.02,9.8,10.02,37360
10,2015-11-19,9.96,10.18,9.96,10.13,25310
11,2015-11-20,10.13,10.24,10.13,10.18,35200
12,2015-11-23,10.24,10.84,10.18,10.84,75120
13,2015-11-24,11.01,11.56,11.01,11.56,21250
14,2015-11-25,11.56,12.33,11.39,12.33,21120
15,2015-11-26,13.15,13.15,12.44,13.1,6680
16,2015-11-27,12.93,13.76,12.82,12.82,43610
17,2015-11-30,12.66,12.88,12.6,12.6,49430
18,2015-12-01,12.6,12.77,12.6,12.66,26970
19,2015-12-02,12.66,13.54,12.33,13.54,47220
20,2015-12-03,13.7,14.47,13.37,14.47,47470
21,2015-12-04,14.53,14.86,14.42,14.69,51060
22,2015-12-07,14.75,14.75,14.58,14.69,35320
23,2015-12-08,14.75,15.69,14.53,15.69,29550
24,2015-12-09,16.73,16.73,16.57,16.62,39860
25,2015-12-10,17.61,17.78,16.68,17.56,54160
26,2015-12-11,18.55,18.77,17.56,18.77,32580
27,2015-12-14,19.81,20.03,19.32,20.03,24550
28,2015-12-15,21.41,21.41,21.41,21.41,4230
29,2015-12-16,22.9,22.9,22.9,22.9,4100
30,2015-12-17,24.49,24.49,21.57,23.23,73820
31,2015-12-18,24.82,24.82,23.67,24.49,25310
32,2015-12-21,24.49,26.2,24.49,26.2,16470
33,2015-12-22,26.2,27.35,26.2,26.75,24110
34,2015-12-23,26.42,27.24,25.87,26.03,35030
35,2015-12-24,25.87,25.98,25.21,25.87,30300
36,2015-12-25,25.87,25.87,24.77,25.87,38380
37,2015-12-28,25.87,26.42,25.76,26.42,31400
38,2015-12-29,26.47,28.07,26.42,28.07,18930
39,2015-12-30,29.99,29.99,29.72,29.99,16910
40,2015-12-31,31.92,31.92,30.27,30.27,3550
41,2016-01-04,28.34,31.92,28.34,28.34,480
42,2016-01-05,26.36,26.69,26.36,26.42,19240
43,2016-01-06,26.42,26.42,24.82,24.99,25880
44,2016-01-07,24.99,24.99,23.28,23.34,32740
45,2016-01-08,23.34,23.45,23.28,23.34,38400
46,2016-01-11,23.34,23.45,23.28,23.39,13660
47,2016-01-12,23.45,23.89,23.39,23.89,31520
48,2016-01-13,23.89,24.0,23.83,23.89,33330
49,2016-01-14,23.89,23.89,23.67,23.67,25470
50,2016-01-15,23.61,23.67,23.34,23.5,30190
51,2016-01-18,23.45,23.45,23.39,23.45,17240
52,2016-01-19,23.45,23.89,23.45,23.89,42010
53,2016-01-20,23.94,23.94,23.83,23.89,16310
54,2016-01-21,23.78,23.94,23.67,23.83,32360
55,2016-01-22,23.83,23.94,23.61,23.94,36870
56,2016-01-25,23.94,24.22,23.94,24.22,12800
57,2016-01-26,24.22,24.22,23.5,23.61,37250
58,2016-01-27,23.39,23.72,23.01,23.01,12290
59,2016-01-28,23.01,23.39,23.01,23.39,33470
60,2016-01-29,23.56,23.56,23.39,23.45,14770
61,2016-02-01,23.5,23.67,23.5,23.56,20260
62,2016-02-02,23.56,23.61,23.28,23.39,22910
63,2016-02-03,23.39,23.5,23.28,23.5,22310
64,2016-02-04,23.56,23.83,23.56,23.78,24730
65,2016-02-05,23.78,23.94,23.72,23.89,39600
66,2016-02-15,23.89,23.94,23.72,23.94,31320
67,2016-02-16,23.89,24.27,23.89,24.22,29540
68,2016-02-17,24.27,24.33,24.22,24.27,29920
69,2016-02-18,24.27,24.27,24.11,24.22,31080
70,2016-02-19,24.22,24.27,24.05,24.05,27380
71,2016-02-22,24.0,24.11,23.94,24.0,22160
72,2016-02-23,24.0,24.16,23.72,24.16,31870
73,2016-02-24,24.16,24.27,24.11,24.27,30470
74,2016-02-25,24.22,24.33,24.16,24.16,6210
75,2016-02-26,24.22,24.27,24.16,24.22,18080
76,2016-02-29,24.22,24.27,24.05,24.05,16830
77,2016-03-01,24.05,24.16,24.05,24.16,22430
78,2016-03-02,24.22,24.49,24.22,24.38,22850
79,2016-03-03,24.44,24.55,24.38,24.49,22110
80,2016-03-04,24.55,24.55,24.27,24.33,11240
81,2016-03-07,24.38,24.49,24.27,24.38,17690
82,2016-03-08,24.38,24.38,24.22,24.27,11210
83,2016-03-09,24.27,24.27,24.05,24.11,8940
84,2016-03-10,24.05,24.22,24.05,24.16,11640
85,2016-03-11,24.16,24.22,24.0,24.22,11130
86,2016-03-14,24.16,24.27,24.11,24.22,14850
87,2016-03-15,24.16,24.27,24.16,24.22,7150
88,2016-03-16,24.27,24.38,24.16,24.33,15940
89,2016-03-17,24.38,24.6,24.33,24.55,20350
90,2016-03-18,24.66,24.66,24.44,24.49,11090
91,2016-03-21,24.49,24.49,24.33,24.33,12120
92,2016-03-22,24.27,24.38,24.27,24.33,15430
93,2016-03-23,24.33,24.44,24.33,24.44,7790
94,2016-03-24,24.49,24.55,24.38,24.44,18460
95,2016-03-25,24.44,24.55,24.33,24.38,20090
96,2016-03-28,24.38,24.44,24.27,24.33,12300
97,2016-03-29,24.27,24.27,24.0,24.05,16250
98,2016-03-30,24.0,24.11,23.94,23.94,11850
99,2016-03-31,23.94,23.94,23.78,23.78,7940
100,2016-04-01,23.78,23.83,23.61,23.78,17920
101,2016-04-04,23.78,23.83,23.72,23.72,9210
102,2016-04-05,23.72,23.83,23.67,23.67,15410
103,2016-04-06,23.61,23.72,23.56,23.61,12030
104,2016-04-07,23.56,23.67,23.56,23.67,8580
105,2016-04-08,23.67,23.67,23.45,23.45,18450
106,2016-04-11,23.39,23.45,23.28,23.28,16140
107,2016-04-12,23.12,23.23,21.68,21.68,16070
108,2016-04-13,21.68,21.68,21.35,21.35,14180
109,2016-04-14,21.3,21.52,21.3,21.41,11720
110,2016-04-15,21.41,21.52,21.35,21.35,10870
111,2016-04-19,21.35,21.35,19.87,19.87,18240
112,2016-04-20,19.87,19.87,18.49,18.49,14440
113,2016-04-21,18.55,18.66,18.55,18.66,11710
114,2016-04-22,18.66,18.88,18.6,18.88,17080
115,2016-04-25,18.88,18.93,18.6,18.6,20390
116,2016-04-26,18.66,18.66,18.44,18.44,10250
117,2016-04-27,18.44,18.49,18.05,18.05,17020
118,2016-04-28,18.05,18.05,17.83,17.94,29550
119,2016-04-29,17.94,18.05,17.94,18.05,14170
120,2016-05-04,18.05,18.11,17.94,17.94,15860
121,2016-05-05,17.94,18.0,17.78,17.78,18890
122,2016-05-06,17.78,17.78,17.61,17.61,12760
123,2016-05-09,17.61,17.89,17.5,17.89,21930
