,time,open,high,low,close,volume
0,2008-03-18,3.55,3.55,2.13,2.64,192000
1,2008-03-19,2.69,2.69,2.69,2.69,69000
2,2008-03-20,2.96,2.96,2.94,2.96,88100
3,2008-03-21,3.24,3.24,2.67,2.67,90500
4,2008-03-24,2.64,2.64,2.64,2.64,18500
5,2008-03-25,2.38,2.38,2.38,2.38,19900
6,2008-03-26,2.15,2.6,2.15,2.5,290200
7,2008-03-27,2.47,2.47,2.47,2.47,1000
8,2008-03-28,2.51,2.51,2.51,2.51,10400
9,2008-03-31,2.55,2.55,2.55,2.55,10500
10,2008-04-01,2.6,2.6,2.6,2.6,2300
11,2008-04-02,2.65,2.65,2.65,2.65,31000
12,2008-04-03,2.7,2.7,2.7,2.7,20400
13,2008-04-04,2.76,2.76,2.76,2.76,1300
14,2008-04-07,2.84,2.84,2.84,2.84,100
15,2008-04-08,2.92,2.92,2.76,2.92,410400
16,2008-04-09,2.94,2.95,2.79,2.79,118400
17,2008-04-10,2.74,2.74,2.73,2.73,5200
18,2008-04-11,2.64,2.79,2.64,2.71,71600
19,2008-04-16,2.75,2.75,2.63,2.75,171900
20,2008-04-17,2.81,2.81,2.81,2.81,34600
21,2008-04-18,2.89,2.89,2.73,2.89,268000
22,2008-04-21,2.95,2.95,2.84,2.89,117400
23,2008-04-22,2.96,2.96,2.83,2.83,185900
24,2008-04-23,2.84,2.84,2.78,2.78,171700
25,2008-04-24,2.71,2.87,2.7,2.76,126800
26,2008-04-25,2.7,2.86,2.7,2.86,83000
27,2008-04-28,2.9,2.9,2.88,2.9,194500
28,2008-04-29,2.98,2.98,2.92,2.98,327400
29,2008-05-05,3.03,3.06,2.92,2.94,118700
30,2008-05-06,2.9,2.92,2.9,2.9,47500
31,2008-05-07,2.82,2.82,2.82,2.82,17300
32,2008-05-08,2.74,2.74,2.74,2.74,3300
33,2008-05-09,2.65,2.65,2.65,2.65,8800
34,2008-05-12,2.58,2.58,2.58,2.58,10200
35,2008-05-13,2.51,2.51,2.51,2.51,2100
36,2008-05-14,2.44,2.44,2.44,2.44,100
37,2008-05-15,2.37,2.37,2.37,2.37,5600
38,2008-05-16,2.3,2.44,2.3,2.3,291600
39,2008-05-19,2.27,2.27,2.25,2.25,17000
40,2008-05-20,2.19,2.19,2.19,2.19,500
41,2008-05-21,2.13,2.13,2.13,2.13,400
42,2008-05-22,2.07,2.07,2.07,2.07,100
43,2008-05-23,2.01,2.01,2.01,2.01,1000
44,2008-05-26,1.96,1.96,1.96,1.96,100
45,2008-05-27,1.9,1.9,1.9,1.9,200
46,2008-05-28,1.85,1.85,1.85,1.85,18900
47,2008-05-29,1.8,1.8,1.8,1.8,15900
48,2008-05-30,1.75,1.75,1.75,1.75,6400
49,2008-06-02,1.7,1.7,1.7,1.7,1200
50,2008-06-03,1.65,1.65,1.65,1.65,600
51,2008-06-04,1.61,1.61,1.61,1.61,600
52,2008-06-05,1.57,1.57,1.57,1.57,500
53,2008-06-06,1.53,1.53,1.53,1.53,900
54,2008-06-09,1.49,1.49,1.49,1.49,700
55,2008-06-10,1.45,1.45,1.45,1.45,1600
56,2008-06-11,1.41,1.49,1.41,1.49,175000
57,2008-06-12,1.48,1.48,1.47,1.48,74100
58,2008-06-13,1.52,1.52,1.52,1.52,23700
59,2008-06-16,1.56,1.56,1.56,1.56,1000
60,2008-06-17,1.6,1.6,1.6,1.6,1100
61,2008-06-18,1.64,1.64,1.56,1.56,84100
62,2008-06-19,1.55,1.55,1.55,1.55,500
63,2008-06-20,1.49,1.49,1.49,1.49,2500
64,2008-06-23,1.44,1.54,1.44,1.52,185100
65,2008-06-24,1.53,1.53,1.48,1.53,74700
66,2008-06-25,1.56,1.58,1.52,1.58,108500
67,2008-06-26,1.63,1.63,1.51,1.6,144500
68,2008-06-27,1.52,1.61,1.51,1.57,135700
69,2008-06-30,1.54,1.59,1.49,1.56,175300
70,2008-07-01,1.61,1.61,1.55,1.61,80300
71,2008-07-02,1.67,1.67,1.58,1.67,281700
72,2008-07-03,1.71,1.71,1.71,1.71,19000
73,2008-07-04,1.77,1.77,1.77,1.77,67900
74,2008-07-07,1.84,1.84,1.7,1.84,490400
75,2008-07-08,1.88,1.88,1.74,1.88,303500
76,2008-07-09,1.88,1.88,1.88,1.88,700
77,2008-07-10,1.96,1.96,1.96,1.96,2800
78,2008-07-11,2.03,2.03,2.03,2.03,9300
79,2008-07-14,2.11,2.11,2.11,2.11,1400
80,2008-07-15,2.19,2.19,2.19,2.19,9300
81,2008-07-16,2.27,2.27,2.11,2.27,450900
82,2008-07-17,2.32,2.32,2.32,2.32,100
83,2008-07-18,2.41,2.41,2.32,2.41,400500
84,2008-07-21,2.48,2.49,2.31,2.31,131800
85,2008-07-22,2.23,2.23,2.23,2.23,600
86,2008-07-23,2.15,2.28,2.15,2.23,351300
87,2008-07-24,2.08,2.24,2.08,2.09,453000
88,2008-07-25,2.1,2.24,2.09,2.09,146400
89,2008-07-28,2.08,2.19,2.08,2.19,65500
90,2008-07-29,2.26,2.26,2.19,2.26,152100
91,2008-07-30,2.33,2.33,2.17,2.29,252600
92,2008-07-31,2.29,2.32,2.19,2.24,170800
93,2008-08-01,2.31,2.31,2.15,2.16,159300
94,2008-08-04,2.1,2.13,2.09,2.09,80100
95,2008-08-05,2.02,2.02,2.02,2.02,47100
96,2008-08-06,1.95,2.09,1.95,2.09,254600
97,2008-08-07,2.11,2.11,2.04,2.11,171800
98,2008-08-08,2.16,2.18,2.1,2.18,147300
99,2008-08-11,2.23,2.24,2.23,2.24,21800
100,2008-08-12,2.32,2.32,2.25,2.32,270500
101,2008-08-13,2.41,2.41,2.27,2.41,320100
102,2008-08-14,2.48,2.48,2.48,2.48,89800
103,2008-08-15,2.57,2.57,2.57,2.57,6800
104,2008-08-18,2.75,2.75,2.69,2.75,199600
105,2008-08-19,2.93,2.93,2.75,2.93,601500
106,2008-08-20,2.91,3.11,2.7,2.89,373800
107,2008-08-21,2.97,3.17,2.85,3.17,291900
108,2008-08-22,3.29,3.3,3.19,3.3,274200
109,2008-08-25,3.53,3.53,3.53,3.53,30400
110,2008-08-26,3.77,3.77,3.77,3.77,24200
111,2008-08-27,4.03,4.03,4.03,4.03,178200
112,2008-08-28,4.31,4.31,3.76,3.76,757800
113,2008-08-29,3.84,4.13,3.63,4.13,643800
114,2008-09-03,4.18,4.18,4.18,4.18,64300
115,2008-09-04,4.47,4.47,3.98,4.47,536900
116,2008-09-05,4.55,4.55,4.15,4.2,283500
117,2008-09-08,4.1,4.2,4.02,4.02,411200
118,2008-09-09,3.95,4.25,3.77,3.82,255500
119,2008-09-10,4.23,4.23,3.7,3.87,263600
120,2008-09-11,3.7,3.95,3.64,3.64,310600
121,2008-09-12,3.46,3.62,3.42,3.42,186800
122,2008-09-15,3.2,3.67,3.2,3.63,253100
123,2008-09-16,3.29,3.55,3.29,3.29,149500
124,2008-09-17,3.1,3.16,3.1,3.1,228700
125,2008-09-18,2.89,2.89,2.89,2.89,27700
126,2008-09-19,2.69,3.08,2.69,3.08,133400
127,2008-09-22,3.16,3.16,3.16,3.16,5600
128,2008-09-23,3.13,3.35,2.95,3.15,408400
129,2008-09-24,3.19,3.29,3.1,3.14,128500
130,2008-09-25,3.14,3.41,3.14,3.41,179300
131,2008-09-26,3.55,3.55,3.32,3.46,176900
132,2008-09-29,3.6,3.6,3.3,3.38,149200
133,2008-09-30,3.15,3.15,3.15,3.15,3200
134,2008-10-01,3.36,3.36,3.04,3.21,277600
135,2008-10-02,3.41,3.41,3.29,3.41,450600
136,2008-10-03,3.65,3.65,3.41,3.65,454800
137,2008-10-06,3.84,3.85,3.37,3.48,171600
138,2008-10-07,3.25,3.25,3.25,3.25,47700
139,2008-10-08,3.03,3.13,3.03,3.04,337300
140,2008-10-09,3.04,3.26,2.89,3.17,262400
141,2008-10-10,2.92,2.95,2.92,2.92,131500
