,time,open,high,low,close,volume
0,2017-01-16,15.74,15.74,15.74,15.74,100
1,2017-01-17,18.08,18.08,17.54,18.08,207498
2,2017-01-18,18.89,18.89,18.03,18.21,67500
3,2017-01-19,18.3,18.3,17.54,17.54,19500
4,2017-01-20,17.09,17.99,16.64,17.54,18305
5,2017-01-23,17.49,17.54,16.64,17.45,21920
6,2017-01-24,17.13,17.54,16.68,17.54,39950
7,2017-01-25,17.99,17.99,17.76,17.99,34000
8,2017-02-02,17.99,19.7,17.99,18.26,45210
9,2017-02-03,18.71,19.79,18.71,18.89,9924
10,2017-02-06,18.98,19.7,18.44,18.66,18316
11,2017-02-07,18.48,18.89,18.48,18.89,2600
12,2017-02-08,18.44,19.16,18.44,18.53,15260
13,2017-02-09,18.75,18.75,18.53,18.53,13700
14,2017-02-10,18.44,18.44,17.54,17.58,25200
15,2017-02-13,18.66,18.66,17.54,17.76,12320
16,2017-02-14,17.58,17.63,17.58,17.63,1500
17,2017-02-15,18.44,18.44,17.58,17.67,14484
18,2017-02-16,17.72,18.03,17.72,18.03,6435
19,2017-02-17,17.81,17.85,17.81,17.85,1200
20,2017-02-20,17.85,17.85,17.85,17.85,0
21,2017-02-21,17.13,17.76,17.13,17.54,6400
22,2017-02-22,17.31,17.36,17.27,17.36,8600
23,2017-02-23,17.54,17.54,17.36,17.36,9220
24,2017-02-24,17.45,17.63,17.45,17.54,13820
25,2017-02-27,17.54,18.24,17.54,17.54,3700
26,2017-02-28,17.54,18.19,17.54,18.01,8500
27,2017-03-01,16.37,17.77,16.37,17.77,18120
28,2017-03-02,17.44,17.73,17.4,17.73,11000
29,2017-03-03,17.58,17.73,17.58,17.73,31400
30,2017-03-06,17.77,17.77,17.58,17.58,800
31,2017-03-07,17.73,17.73,17.54,17.63,3500
32,2017-03-08,17.3,17.3,16.84,16.93,15100
33,2017-03-09,16.84,17.16,16.84,17.12,10400
34,2017-03-10,17.12,17.12,17.12,17.12,11
35,2017-03-13,17.12,17.21,17.07,17.07,8864
36,2017-03-14,17.07,17.35,16.98,17.35,33150
37,2017-03-15,17.3,17.54,17.3,17.35,7030
38,2017-03-16,17.54,17.54,17.54,17.54,19518
39,2017-03-17,17.54,17.54,17.49,17.49,1500
40,2017-03-20,17.3,17.54,17.3,17.3,7670
41,2017-03-21,17.49,20.11,14.87,17.4,900
42,2017-03-22,17.77,17.77,17.44,17.44,8600
43,2017-03-23,17.73,17.73,17.44,17.49,8900
44,2017-03-24,17.44,17.44,14.92,16.51,12900
45,2017-03-27,18.19,18.19,17.3,17.63,27200
46,2017-03-28,17.44,17.44,17.4,17.44,6400
47,2017-03-29,17.12,17.4,17.12,17.3,13500
48,2017-03-30,17.73,17.73,14.78,17.58,40800
49,2017-03-31,17.44,17.44,17.16,17.3,7000
50,2017-04-03,17.35,17.58,17.3,17.35,18700
51,2017-04-04,17.35,17.58,17.3,17.58,17172
52,2017-04-05,17.49,17.49,17.49,17.49,2800
53,2017-04-07,17.35,17.54,14.97,17.54,23400
54,2017-04-10,17.54,17.54,17.49,17.54,8150
55,2017-04-11,17.54,17.58,17.49,17.49,16100
56,2017-04-12,17.49,17.58,17.49,17.58,25728
57,2017-04-13,17.63,17.63,17.54,17.58,30420
58,2017-04-14,17.68,17.68,17.54,17.58,24900
59,2017-04-17,17.58,17.58,17.49,17.49,17200
60,2017-04-18,17.4,17.54,17.4,17.54,19064
61,2017-04-19,17.58,17.58,17.58,17.58,500
62,2017-04-20,17.54,17.58,17.54,17.58,7600
63,2017-04-21,17.54,17.54,17.54,17.54,6214
64,2017-04-24,17.49,17.49,17.49,17.49,14800
65,2017-04-25,17.49,17.63,17.49,17.58,22814
66,2017-04-26,17.63,17.63,17.58,17.58,12800
67,2017-04-27,17.58,17.58,17.58,17.58,9000
68,2017-04-28,17.54,17.58,17.54,17.54,14500
69,2017-05-03,17.54,17.54,15.9,17.54,19800
70,2017-05-04,17.49,17.54,17.49,17.49,7700
71,2017-05-05,17.49,17.54,17.49,17.49,10800
72,2017-05-08,17.49,17.49,17.44,17.44,7700
73,2017-05-09,17.44,17.49,17.44,17.44,7100
74,2017-05-10,17.44,17.49,17.44,17.44,12100
75,2017-05-11,17.44,17.49,17.44,17.49,5800
76,2017-05-12,17.44,17.49,17.4,17.44,4200
77,2017-05-15,17.4,17.44,17.4,17.44,13200
78,2017-05-16,17.49,17.49,17.4,17.4,12600
79,2017-05-17,17.35,17.35,17.3,17.35,21200
80,2017-05-18,17.4,17.4,17.3,17.3,11300
81,2017-05-19,17.3,17.3,17.3,17.3,5400
82,2017-05-22,17.3,17.3,17.21,17.21,7100
83,2017-05-23,17.26,17.26,17.07,17.07,7000
84,2017-05-24,17.12,17.12,17.07,17.07,34100
85,2017-05-25,17.07,17.54,17.07,17.49,34100
86,2017-05-26,17.44,18.1,17.44,18.01,57759
87,2017-05-29,18.47,18.47,18.19,18.24,9605
88,2017-05-30,18.1,18.1,17.77,17.77,14300
89,2017-05-31,17.77,17.77,17.58,17.73,16256
90,2017-06-01,17.91,18.24,17.82,17.82,8890
91,2017-06-02,17.96,18.01,17.77,18.01,14000
92,2017-06-05,17.77,17.87,17.77,17.77,30477
93,2017-06-06,17.58,17.77,17.58,17.73,9104
94,2017-06-07,17.63,17.82,17.63,17.77,17706
95,2017-06-08,17.82,17.82,17.68,17.73,13119
96,2017-06-09,17.77,17.77,17.58,17.77,11800
97,2017-06-12,17.63,17.63,17.35,17.63,26401
98,2017-06-13,17.54,17.73,17.44,17.73,33400
99,2017-06-14,17.63,17.82,17.58,17.82,64900
100,2017-06-15,17.82,18.01,17.77,17.77,54800
101,2017-06-16,17.82,17.87,17.77,17.82,7000
102,2017-06-19,17.77,17.82,17.63,17.77,45441
103,2017-06-20,17.73,17.87,17.73,17.82,19100
104,2017-06-21,17.63,17.82,17.63,17.82,21600
105,2017-06-22,17.4,17.91,17.4,17.87,36800
106,2017-06-23,17.73,17.91,17.73,17.87,35100
107,2017-06-26,17.87,18.38,17.87,18.38,83400
108,2017-06-27,18.43,18.47,18.15,18.24,21515
109,2017-06-28,18.71,19.41,18.71,18.75,59800
110,2017-06-29,18.94,18.99,18.75,18.99,34220
111,2017-06-30,18.89,19.78,18.89,19.74,106900
112,2017-07-03,20.11,20.58,19.64,20.53,37900
113,2017-07-04,20.34,20.34,19.6,19.88,21400
114,2017-07-05,19.03,19.64,18.99,19.41,19000
115,2017-07-06,19.27,19.92,19.27,19.88,18000
116,2017-07-07,20.06,20.58,19.88,19.88,45900
117,2017-07-10,20.06,20.06,19.88,19.88,22000
118,2017-07-11,20.11,20.25,19.64,19.64,32320
119,2017-07-12,19.88,20.02,19.64,19.64,4100
120,2017-07-13,19.83,19.83,19.64,19.64,18100
121,2017-07-14,19.69,20.58,19.69,20.25,48100
122,2017-07-17,20.11,20.11,19.74,20.11,26100
123,2017-07-18,19.78,20.72,19.74,20.72,74940
124,2017-07-19,20.58,21.05,20.58,21.05,54467
125,2017-07-20,22.21,22.21,21.75,21.75,38920
126,2017-07-21,21.75,21.75,21.33,21.33,29730
127,2017-07-24,21.33,21.51,21.0,21.05,46040
128,2017-07-25,20.67,21.14,20.67,21.0,37300
129,2017-07-26,21.05,21.98,21.05,21.98,148137
130,2017-07-27,22.07,22.45,21.98,21.98,29700
131,2017-07-28,22.17,22.17,21.98,22.17,7810
132,2017-07-31,21.98,22.4,21.98,22.03,16041
133,2017-08-01,21.98,22.12,21.84,21.93,22700
134,2017-08-02,21.84,21.98,21.84,21.93,8300
135,2017-08-03,21.89,22.03,21.75,22.03,28920
136,2017-08-04,21.98,22.54,21.93,22.4,92300
137,2017-08-07,22.4,22.64,22.4,22.4,28007
138,2017-08-08,22.31,22.4,22.26,22.31,12000
139,2017-08-09,22.36,22.36,21.98,22.17,22100
140,2017-08-10,21.98,22.12,21.75,22.12,13802
141,2017-08-11,21.98,21.98,21.89,21.98,6000
142,2017-08-14,21.98,21.98,21.75,21.89,9400
143,2017-08-15,21.75,22.17,18.61,22.17,143600
144,2017-08-16,21.51,21.93,18.99,21.05,115900
145,2017-08-17,21.14,21.33,21.09,21.28,62400
146,2017-08-18,21.28,21.51,18.15,20.86,160100
147,2017-08-21,20.11,21.51,19.64,21.05,48600
148,2017-08-22,20.11,21.28,19.41,21.28,104310
149,2017-08-23,21.05,21.51,21.05,21.51,51012
150,2017-08-24,21.51,24.32,21.51,22.36,314190
151,2017-08-25,22.21,27.03,22.21,23.38,378671
152,2017-08-28,24.32,28.06,23.38,23.85,98427
153,2017-08-29,24.74,25.49,23.66,23.66,29455
154,2017-08-30,23.48,23.85,23.38,23.85,30600
155,2017-08-31,24.09,24.09,23.62,23.66,18000
156,2017-09-01,23.66,24.09,23.66,23.85,34447
157,2017-09-05,23.85,24.04,23.85,23.85,77209
158,2017-09-06,23.85,23.9,23.66,23.9,27101
159,2017-09-07,23.85,23.9,23.85,23.85,24312
160,2017-09-08,23.85,23.85,23.8,23.85,21001
161,2017-09-11,23.85,23.85,23.38,23.38,25451
162,2017-09-12,23.2,23.2,22.92,22.92,32800
163,2017-09-13,23.38,23.38,22.59,22.73,19408
164,2017-09-14,22.54,22.64,22.5,22.5,18917
165,2017-09-15,22.64,22.87,22.59,22.87,10600
166,2017-09-18,23.38,23.38,22.68,23.2,4200
167,2017-09-19,22.92,22.92,22.92,22.92,7450
168,2017-09-20,22.73,23.01,22.73,22.92,19200
169,2017-09-21,22.73,23.1,22.73,23.1,7900
170,2017-09-22,23.15,23.29,23.06,23.2,30180
171,2017-09-25,23.15,23.29,23.15,23.2,12302
172,2017-09-26,23.15,23.38,23.15,23.38,25800
173,2017-09-27,23.24,23.52,23.24,23.38,9000
174,2017-09-28,23.85,23.85,23.24,23.38,11300
175,2017-09-29,23.15,23.38,23.15,23.34,11500
176,2017-10-02,23.29,23.29,23.2,23.29,34100
177,2017-10-03,23.24,23.29,23.15,23.15,15500
178,2017-10-04,23.2,23.24,23.15,23.2,6600
179,2017-10-05,23.2,23.24,23.1,23.15,49400
180,2017-10-06,23.15,23.15,23.01,23.15,13600
181,2017-10-09,23.1,23.2,22.92,23.1,30340
182,2017-10-10,23.1,23.85,22.87,22.92,87860
183,2017-10-11,22.92,23.01,22.45,22.45,36680
184,2017-10-12,22.45,22.45,22.17,22.21,36000
185,2017-10-13,22.17,22.87,22.12,22.26,46114
186,2017-10-16,22.45,23.38,21.93,23.01,5307727
187,2017-10-17,23.15,23.15,22.78,22.92,79500
188,2017-10-18,22.92,22.92,22.68,22.68,13100
