,time,open,high,low,close,volume
0,2009-10-30,4.81,5.04,4.48,4.7,173500
1,2009-11-02,4.46,4.46,4.33,4.33,2200
2,2009-11-03,4.1,4.1,4.1,4.1,1000
3,2009-11-04,3.82,4.09,3.82,3.82,80800
4,2009-11-05,3.84,3.85,3.58,3.68,53800
5,2009-11-06,3.87,3.87,3.49,3.49,11000
6,2009-11-09,3.45,3.45,3.3,3.36,5300
7,2009-11-10,3.55,3.55,3.15,3.46,7700
8,2009-11-11,3.58,3.58,3.31,3.36,18800
9,2009-11-12,3.28,3.55,3.19,3.55,2500
10,2009-11-13,3.36,3.47,3.36,3.47,17200
11,2009-11-16,3.58,3.58,3.25,3.25,2000
12,2009-11-17,3.3,3.41,3.25,3.25,3800
13,2009-11-18,3.29,3.3,3.29,3.3,1500
14,2009-11-19,3.3,3.3,3.25,3.3,2100
15,2009-11-20,3.28,3.28,3.13,3.13,4900
16,2009-11-23,3.13,3.13,3.08,3.08,2100
17,2009-11-24,3.35,3.35,3.13,3.13,1500
18,2009-11-25,3.07,3.07,2.96,2.96,3000
19,2009-11-26,3.18,3.18,2.78,2.78,7600
20,2009-11-27,2.97,3.04,2.66,3.04,2600
21,2009-11-30,3.02,3.02,3.0,3.0,6100
22,2009-12-01,3.12,3.12,3.02,3.08,3400
23,2009-12-02,3.08,3.08,3.08,3.08,0
24,2009-12-03,3.02,3.02,2.97,3.0,1600
25,2009-12-04,2.96,2.96,2.8,2.8,3900
26,2009-12-07,2.8,2.87,2.69,2.82,31600
27,2009-12-08,2.8,2.8,2.73,2.8,6100
28,2009-12-09,2.8,2.8,2.74,2.74,5700
29,2009-12-10,2.93,2.93,2.93,2.93,1300
30,2009-12-11,2.93,2.93,2.73,2.73,1600
31,2009-12-14,2.96,2.96,2.9,2.96,34800
32,2009-12-15,2.91,2.91,2.91,2.91,115400
33,2009-12-16,2.98,2.99,2.98,2.99,1500
34,2009-12-17,2.81,3.02,2.81,3.02,3500
35,2009-12-18,3.08,3.12,2.97,3.12,1500
36,2009-12-21,3.13,3.21,3.08,3.21,8200
37,2009-12-22,3.29,3.29,3.27,3.28,4000
38,2009-12-23,3.28,3.45,3.21,3.21,4300
39,2009-12-24,3.32,3.34,3.25,3.26,39700
40,2009-12-25,3.32,3.32,3.26,3.3,134500
41,2009-12-28,3.47,3.52,3.41,3.44,14400
42,2009-12-29,3.66,3.66,3.66,3.66,1000
43,2009-12-30,3.58,3.66,3.41,3.5,13000
44,2009-12-31,3.66,3.68,3.47,3.53,126100
45,2010-01-04,3.69,3.7,3.69,3.7,2100
46,2010-01-05,3.63,3.63,3.44,3.44,21500
47,2010-01-06,3.46,3.46,3.28,3.28,8100
48,2010-01-07,3.31,3.35,3.19,3.19,101900
49,2010-01-08,3.24,3.24,3.11,3.11,41800
50,2010-01-11,2.99,3.07,2.99,3.03,2300
51,2010-01-12,3.27,3.27,3.06,3.07,7200
52,2010-01-13,3.06,3.06,2.95,2.95,6400
53,2010-01-14,2.91,3.06,2.91,3.0,7700
54,2010-01-15,3.11,3.11,2.89,2.89,4000
55,2010-01-18,2.8,2.81,2.74,2.77,4600
56,2010-01-19,2.66,2.97,2.66,2.97,103500
57,2010-01-20,3.07,3.1,3.0,3.06,8300
58,2010-01-21,3.1,3.1,3.02,3.04,4700
59,2010-01-22,3.06,3.06,3.0,3.0,2000
60,2010-01-25,3.21,3.22,2.95,2.95,169900
61,2010-01-26,2.95,2.95,2.95,2.95,0
62,2010-01-27,2.95,2.95,2.95,2.95,0
63,2010-01-28,3.29,3.29,3.2,3.2,200
64,2010-01-29,3.2,3.2,3.2,3.2,0
65,2010-02-01,3.12,3.18,3.1,3.1,3400
66,2010-02-02,3.12,3.12,2.91,2.91,2900
67,2010-02-03,2.83,3.12,2.77,3.0,134200
68,2010-02-04,3.0,3.0,3.0,3.0,0
69,2010-02-05,2.95,2.95,2.9,2.92,4100
70,2010-02-08,2.91,2.91,2.79,2.79,700
71,2010-02-09,2.8,2.81,2.77,2.77,4100
72,2010-02-10,2.79,2.97,2.79,2.83,2700
73,2010-02-11,2.98,2.98,2.98,2.98,200
74,2010-02-12,3.12,3.12,2.98,2.98,4500
75,2010-02-22,2.8,3.0,2.77,2.79,7400
76,2010-02-23,2.77,2.77,2.77,2.77,300
77,2010-02-24,2.81,2.81,2.81,2.81,1000
78,2010-02-25,2.83,2.83,2.72,2.72,7000
79,2010-02-26,2.76,2.76,2.76,2.76,5300
80,2010-03-01,2.76,2.76,2.76,2.76,5300
81,2010-03-02,2.58,2.7,2.58,2.7,71200
82,2010-03-03,2.7,2.76,2.7,2.76,20500
83,2010-03-04,2.88,2.88,2.76,2.76,9700
84,2010-03-05,2.83,2.83,2.77,2.82,22000
85,2010-03-08,2.89,2.89,2.66,2.66,11200
86,2010-03-09,2.88,2.88,2.66,2.76,27600
87,2010-03-10,2.76,2.92,2.74,2.92,57900
88,2010-03-11,2.9,2.9,2.83,2.83,10500
89,2010-03-12,2.89,2.97,2.89,2.9,6100
90,2010-03-15,2.89,3.09,2.89,3.09,43300
91,2010-03-16,3.09,3.13,2.9,3.12,61500
92,2010-03-17,3.25,3.25,3.24,3.25,54100
93,2010-03-18,3.47,3.47,3.44,3.47,66400
94,2010-03-19,3.7,3.71,3.22,3.71,84100
95,2010-03-22,3.58,3.71,3.58,3.71,142500
96,2010-03-23,3.69,3.74,3.49,3.49,88400
97,2010-03-24,3.7,3.94,3.47,3.64,90500
98,2010-03-25,3.4,3.64,3.39,3.58,129800
99,2010-03-26,3.41,3.46,3.24,3.31,30000
100,2010-03-29,3.19,3.19,3.12,3.13,7200
101,2010-03-30,3.18,3.34,3.18,3.34,36900
102,2010-03-31,3.52,3.54,3.31,3.4,43900
103,2010-04-01,3.21,3.4,3.21,3.35,13500
104,2010-04-02,3.35,3.35,3.12,3.17,18600
