,time,open,high,low,close,volume
0,2006-10-10,24.53,24.53,24.53,24.53,102930
1,2006-10-11,23.3,23.3,23.3,23.3,150550
2,2006-10-12,24.45,24.45,24.45,24.45,348060
3,2006-10-13,25.6,25.6,25.6,25.6,105900
4,2006-10-16,26.83,26.83,26.83,26.83,44550
5,2006-10-17,28.13,28.13,26.06,26.06,306880
6,2006-10-18,24.99,25.3,24.99,25.3,156080
7,2006-10-19,25.68,26.06,25.68,26.06,53240
8,2006-10-20,26.06,26.06,25.68,25.68,61210
9,2006-10-23,25.3,25.3,25.07,25.22,38340
10,2006-10-24,24.91,24.91,24.91,24.91,66830
11,2006-10-25,24.76,24.76,24.53,24.53,57370
12,2006-10-26,24.15,24.22,24.15,24.22,80720
13,2006-10-27,23.76,23.76,23.76,23.76,149400
14,2006-10-30,23.38,23.38,22.77,22.77,68570
15,2006-10-31,22.23,22.61,21.92,22.61,108970
16,2006-11-01,23.3,23.69,23.3,23.69,51520
17,2006-11-02,24.15,24.15,23.61,23.61,68230
18,2006-11-03,23.38,23.38,23.15,23.15,42450
19,2006-11-06,23.15,23.38,23.15,23.23,46580
20,2006-11-07,23.23,23.23,23.15,23.15,51770
21,2006-11-08,23.15,23.15,23.0,23.0,38750
22,2006-11-09,23.0,23.0,22.84,22.84,48450
23,2006-11-10,22.77,22.77,22.54,22.54,61640
24,2006-11-13,22.23,22.23,22.08,22.08,75540
25,2006-11-14,22.08,22.08,22.08,22.08,63810
26,2006-11-15,22.23,22.23,22.23,22.23,100920
27,2006-11-16,22.23,22.38,22.23,22.38,49860
28,2006-11-17,22.23,22.46,22.23,22.38,25290
29,2006-11-20,22.23,22.23,21.92,21.92,43300
30,2006-11-21,21.69,21.69,21.46,21.46,51810
31,2006-11-22,21.46,21.46,21.08,21.08,49430
32,2006-11-23,21.08,21.85,21.08,21.85,60650
33,2006-11-24,22.92,22.92,22.92,22.92,67910
34,2006-11-27,22.92,22.92,21.85,21.85,29270
35,2006-11-28,21.46,21.46,21.46,21.46,45030
36,2006-11-29,21.46,21.46,21.16,21.23,28450
37,2006-11-30,21.23,21.46,21.23,21.23,53960
38,2006-12-01,21.08,21.08,20.93,20.93,31960
39,2006-12-04,21.16,21.16,20.77,20.77,47780
40,2006-12-05,21.77,21.77,21.23,21.23,34100
41,2006-12-06,21.08,21.08,20.85,21.08,47210
42,2006-12-07,21.08,21.08,20.85,20.85,65140
43,2006-12-08,20.85,20.85,20.85,20.85,7370
44,2006-12-11,21.08,21.08,20.85,20.85,36450
45,2006-12-12,20.85,20.85,19.24,19.55,36730
46,2006-12-13,18.63,19.16,18.63,19.09,68270
47,2006-12-14,18.4,18.78,18.4,18.63,62220
48,2006-12-15,19.55,19.55,19.55,19.55,87910
49,2006-12-18,20.47,20.47,20.47,20.47,27500
50,2006-12-19,21.46,21.46,21.46,21.46,32620
51,2006-12-20,22.54,22.54,22.54,22.54,91580
52,2006-12-21,21.92,21.92,21.46,21.46,102250
53,2006-12-22,20.47,20.47,20.39,20.47,51980
54,2006-12-25,20.7,21.46,20.7,21.46,36280
55,2006-12-26,22.23,22.23,21.46,21.46,56650
56,2006-12-27,21.46,21.46,21.46,21.46,42640
57,2006-12-28,21.08,21.08,20.62,20.62,58300
58,2006-12-29,19.93,20.7,19.93,20.7,33630
59,2007-01-02,20.7,20.85,20.47,20.47,30200
60,2007-01-03,20.39,20.39,20.31,20.31,11530
61,2007-01-04,20.7,20.7,20.39,20.7,33800
62,2007-01-05,20.7,20.7,20.31,20.31,41750
63,2007-01-08,19.93,20.31,19.93,20.31,38680
64,2007-01-09,19.93,19.93,19.7,19.7,34050
65,2007-01-10,19.7,19.93,19.7,19.7,53310
66,2007-01-11,19.93,19.93,19.93,19.93,40600
67,2007-01-12,20.31,20.7,20.31,20.7,77930
68,2007-01-15,21.46,21.46,21.08,21.08,75240
69,2007-01-16,21.39,21.39,20.7,20.7,46780
