,time,open,high,low,close,volume
0,2004-04-14,6.13,6.13,6.13,6.13,11020
1,2004-04-15,6.1,6.1,6.1,6.1,28140
2,2004-04-16,6.08,6.08,6.08,6.08,10330
3,2004-04-19,5.78,5.78,5.78,5.78,18910
4,2004-04-20,5.52,5.52,5.52,5.52,33200
5,2004-04-21,5.79,5.79,5.79,5.79,3010
6,2004-04-22,5.79,5.79,5.79,5.79,8470
7,2004-04-23,5.78,5.78,5.78,5.78,3360
8,2004-04-26,5.67,5.67,5.67,5.67,14250
9,2004-04-27,5.65,5.65,5.65,5.65,16210
10,2004-04-28,5.65,5.65,5.65,5.65,14170
11,2004-04-29,5.73,5.73,5.73,5.73,810
12,2004-05-04,5.76,5.76,5.76,5.76,5320
13,2004-05-05,5.68,5.68,5.68,5.68,2440
14,2004-05-06,5.65,5.65,5.65,5.65,5110
15,2004-05-07,5.57,5.57,5.57,5.57,16210
16,2004-05-10,5.64,5.64,5.64,5.64,8020
17,2004-05-11,5.64,5.64,5.64,5.64,710
18,2004-05-12,5.65,5.65,5.65,5.65,8100
19,2004-05-13,5.65,5.65,5.65,5.65,2390
20,2004-05-14,5.6,5.6,5.6,5.6,3900
21,2004-05-17,5.6,5.6,5.6,5.6,6430
22,2004-05-18,5.57,5.57,5.57,5.57,7510
23,2004-05-19,5.57,5.57,5.57,5.57,8200
24,2004-05-20,5.59,5.59,5.59,5.59,3100
25,2004-05-21,5.6,5.6,5.6,5.6,3530
26,2004-05-24,5.57,5.57,5.57,5.57,11290
27,2004-05-25,5.57,5.57,5.57,5.57,4940
28,2004-05-26,5.57,5.57,5.57,5.57,1290
29,2004-05-27,5.57,5.57,5.57,5.57,800
30,2004-05-28,5.49,5.49,5.49,5.49,1000
31,2004-05-31,5.49,5.49,5.49,5.49,3350
32,2004-06-01,5.49,5.49,5.49,5.49,1610
33,2004-06-02,5.49,5.49,5.49,5.49,1690
34,2004-06-03,5.41,5.41,5.41,5.41,1100
35,2004-06-04,5.33,5.33,5.33,5.33,5170
36,2004-06-07,5.25,5.25,5.25,5.25,17630
37,2004-06-08,5.17,5.17,5.17,5.17,8340
38,2004-06-09,5.25,5.25,5.25,5.25,1220
39,2004-06-10,5.25,5.25,5.25,5.25,1710
40,2004-06-11,5.29,5.29,5.29,5.29,3500
41,2004-06-14,5.43,5.43,5.43,5.43,1100
42,2004-06-15,5.41,5.41,5.41,5.41,1120
43,2004-06-16,5.35,5.35,5.35,5.35,1500
44,2004-06-17,5.29,5.29,5.29,5.29,1390
45,2004-06-18,5.29,5.29,5.29,5.29,0
46,2004-06-21,5.22,5.22,5.22,5.22,1500
47,2004-06-22,5.19,5.19,5.19,5.19,2170
48,2004-06-23,5.21,5.21,5.21,5.21,1320
49,2004-06-24,5.3,5.3,5.3,5.3,60
50,2004-06-25,5.25,5.25,5.25,5.25,1290
51,2004-06-28,5.21,5.21,5.21,5.21,5540
52,2004-06-29,5.21,5.21,5.21,5.21,300
53,2004-06-30,5.21,5.21,5.21,5.21,2090
54,2004-07-01,5.22,5.22,5.22,5.22,100
55,2004-07-02,5.21,5.21,5.21,5.21,1030
56,2004-07-05,5.19,5.19,5.19,5.19,5950
57,2004-07-06,5.13,5.13,5.13,5.13,2350
58,2004-07-07,5.09,5.09,5.09,5.09,1500
59,2004-07-08,5.06,5.06,5.06,5.06,2160
60,2004-07-09,5.05,5.05,5.05,5.05,2640
61,2004-07-12,5.14,5.14,5.14,5.14,120
62,2004-07-13,5.05,5.05,5.05,5.05,670
63,2004-07-14,5.01,5.01,5.01,5.01,2600
64,2004-07-15,4.94,4.94,4.94,4.94,4680
65,2004-07-16,4.89,4.89,4.89,4.89,3310
66,2004-07-19,5.11,5.11,5.11,5.11,10
67,2004-07-20,4.94,4.94,4.94,4.94,2000
68,2004-07-21,4.94,4.94,4.94,4.94,2110
69,2004-07-22,4.89,4.89,4.89,4.89,1350
70,2004-07-23,4.94,4.94,4.94,4.94,7020
71,2004-07-26,4.92,4.92,4.92,4.92,900
72,2004-07-27,4.86,4.86,4.86,4.86,610
73,2004-07-28,4.86,4.86,4.86,4.86,2020
74,2004-07-29,4.78,4.78,4.78,4.78,4110
75,2004-07-30,4.78,4.78,4.78,4.78,3010
76,2004-08-02,4.74,4.74,4.74,4.74,2660
77,2004-08-03,4.66,4.66,4.66,4.66,2070
78,2004-08-04,4.62,4.62,4.62,4.62,5940
