,time,open,high,low,close,volume
0,2018-04-19,6.02,0.0,0.0,0.0,0
1,2018-04-20,6.02,6.02,6.02,6.02,0
2,2018-04-23,6.02,6.02,6.02,6.02,0
3,2018-04-24,6.02,6.02,6.02,6.02,0
4,2018-04-26,6.65,6.65,6.6,6.6,3500
5,2018-04-27,6.6,6.6,6.02,6.02,5210
6,2018-05-02,6.31,6.31,6.31,6.31,0
7,2018-05-03,6.31,6.31,6.31,6.31,0
8,2018-05-04,6.31,6.31,6.31,6.31,0
9,2018-05-07,6.31,6.31,6.31,6.31,2000
10,2018-05-08,6.31,6.31,6.31,6.31,0
11,2018-05-09,6.31,6.31,6.31,6.31,10
12,2018-05-10,5.74,5.74,5.74,5.74,300
13,2018-05-11,6.02,6.02,6.02,6.02,2000
14,2018-05-14,6.02,6.02,6.02,6.02,0
15,2018-05-15,6.14,6.14,6.14,6.14,3000
16,2018-05-16,6.14,6.14,6.14,6.14,0
17,2018-05-17,6.14,6.14,6.14,6.14,0
18,2018-05-18,5.91,5.91,5.91,5.91,3000
19,2018-05-21,5.91,5.91,5.91,5.91,0
20,2018-05-22,5.96,6.14,5.91,6.14,4000
21,2018-05-23,5.96,5.96,5.96,5.96,0
22,2018-05-24,5.79,5.79,5.79,5.79,300
23,2018-05-25,5.79,5.79,5.79,5.79,0
24,2018-05-28,5.79,5.79,5.79,5.79,0
25,2018-05-29,5.62,5.62,5.62,5.62,300
26,2018-05-30,5.62,5.62,5.62,5.62,0
27,2018-05-31,5.62,5.62,5.62,5.62,0
28,2018-06-01,6.14,6.19,6.14,6.14,1000
29,2018-06-04,6.25,6.25,6.25,6.25,100
30,2018-06-05,6.25,6.25,6.25,6.25,0
31,2018-06-06,6.25,6.25,6.25,6.25,0
32,2018-06-07,6.25,6.25,6.25,6.25,0
33,2018-06-08,6.25,6.25,6.25,6.25,0
34,2018-06-11,6.25,6.25,6.25,6.25,0
35,2018-06-12,6.42,6.42,6.42,6.42,1000
36,2018-06-13,6.42,6.42,6.42,6.42,0
37,2018-06-14,6.42,6.42,6.42,6.42,0
38,2018-06-15,6.6,6.6,6.6,6.6,1000
39,2018-06-18,6.6,6.6,6.6,6.6,1000
40,2018-06-19,5.62,5.62,5.62,5.62,100
41,2018-06-20,5.62,5.62,5.62,5.62,0
42,2018-06-21,5.62,5.62,5.62,5.62,0
43,2018-06-22,4.87,6.42,4.87,6.42,1200
44,2018-06-25,5.39,5.39,5.39,5.39,100
45,2018-06-26,4.93,4.93,4.93,4.93,100
46,2018-06-27,4.93,4.93,4.93,4.93,0
47,2018-06-28,4.93,4.93,4.93,4.93,0
48,2018-06-29,4.93,4.93,4.93,4.93,0
49,2018-07-02,4.93,4.93,4.93,4.93,0
50,2018-07-03,4.93,4.93,4.93,4.93,0
51,2018-07-04,4.93,4.93,4.93,4.93,0
52,2018-07-05,4.93,4.93,4.93,4.93,0
53,2018-07-06,4.93,4.93,4.93,4.93,0
54,2018-07-09,4.93,4.93,4.93,4.93,0
55,2018-07-10,4.93,4.93,4.93,4.93,0
56,2018-07-11,4.93,4.93,4.93,4.93,0
57,2018-07-12,4.93,4.93,4.93,4.93,0
58,2018-07-13,5.16,5.16,5.16,5.16,200
59,2018-07-16,5.16,5.16,5.16,5.16,100
60,2018-07-17,5.16,5.16,5.16,5.16,0
61,2018-07-18,5.16,5.16,5.16,5.16,0
62,2018-07-19,5.16,5.16,5.16,5.16,0
63,2018-07-20,5.16,5.16,5.16,5.16,0
64,2018-07-23,5.79,5.79,5.79,5.79,500
65,2018-07-24,6.13,6.13,6.13,6.13,0
66,2018-07-25,6.19,6.19,6.19,6.19,100
67,2018-07-26,6.19,6.26,6.19,6.26,500
68,2018-07-27,6.26,6.26,6.26,6.26,310
69,2018-07-30,6.26,6.26,6.26,6.26,0
70,2018-07-31,6.26,6.26,6.26,6.26,0
71,2018-08-01,6.32,6.32,6.32,6.32,500
72,2018-08-02,6.32,6.32,6.32,6.32,0
73,2018-08-03,6.26,6.26,6.26,6.26,300
74,2018-08-06,6.32,6.38,6.32,6.38,2000
75,2018-08-07,6.38,6.38,6.38,6.38,0
76,2018-08-08,6.38,6.38,6.38,6.38,0
77,2018-08-09,6.38,6.38,6.38,6.38,0
78,2018-08-10,6.38,6.38,6.38,6.38,0
79,2018-08-13,6.38,6.38,6.38,6.38,0
80,2018-08-14,6.38,6.38,6.38,6.38,0
81,2018-08-15,6.38,6.38,6.38,6.38,0
82,2018-08-16,6.38,6.38,6.38,6.38,0
83,2018-08-17,6.38,6.38,6.38,6.38,0
84,2018-08-20,6.38,6.38,6.38,6.38,0
85,2018-08-21,6.68,6.68,6.68,6.68,1000
86,2018-08-22,6.68,6.68,6.68,6.68,0
87,2018-08-23,6.68,6.68,6.68,6.68,0
88,2018-08-24,6.68,6.68,6.68,6.68,0
89,2018-08-27,6.68,6.68,6.68,6.68,0
90,2018-08-28,6.68,6.68,6.68,6.68,0
91,2018-08-29,6.56,6.56,6.56,6.56,2000
92,2018-08-30,6.56,6.56,6.56,6.56,0
93,2018-08-31,6.56,6.56,6.56,6.56,0
94,2018-09-04,6.56,6.56,6.56,6.56,0
95,2018-09-05,6.56,6.56,6.56,6.56,700
96,2018-09-06,6.56,6.56,6.56,6.56,2000
97,2018-09-07,6.56,6.56,6.56,6.56,0
98,2018-09-10,6.56,6.56,6.56,6.56,0
99,2018-09-11,6.56,6.56,6.56,6.56,0
100,2018-09-12,6.56,6.56,6.56,6.56,0
101,2018-09-13,6.56,6.56,6.56,6.56,0
102,2018-09-14,6.38,6.38,6.38,6.38,30000
103,2018-09-17,6.38,6.38,6.38,6.38,0
104,2018-09-18,6.38,6.38,6.38,6.38,0
105,2018-09-19,6.38,6.38,6.38,6.38,0
106,2018-09-20,6.38,6.38,6.38,6.38,0
107,2018-09-21,6.38,6.38,6.38,6.38,0
108,2018-09-24,7.29,7.29,6.38,6.38,30100
109,2018-09-25,6.38,6.38,6.38,6.38,10
110,2018-09-26,6.38,6.38,6.38,6.38,0
111,2018-09-27,6.38,6.38,6.38,6.38,0
112,2018-09-28,6.38,6.38,6.38,6.38,0
113,2018-10-01,6.38,6.38,6.38,6.38,0
114,2018-10-02,6.38,6.38,6.38,6.38,0
115,2018-10-03,6.38,6.38,6.38,6.38,0
116,2018-10-04,6.38,6.38,6.38,6.38,0
117,2018-10-05,6.38,6.38,6.38,6.38,0
118,2018-10-08,6.38,6.38,6.38,6.38,0
119,2018-10-09,6.38,6.38,6.38,6.38,0
120,2018-10-10,6.38,6.38,6.38,6.38,0
121,2018-10-11,6.38,6.38,6.38,6.38,0
122,2018-10-12,6.38,6.38,6.38,6.38,0
123,2018-10-15,6.38,6.38,6.38,6.38,0
124,2018-10-16,6.38,6.38,6.38,6.38,0
125,2018-10-17,6.38,6.38,6.38,6.38,0
126,2018-10-18,6.38,6.38,6.38,6.38,0
127,2018-10-19,6.38,6.38,6.38,6.38,0
128,2018-10-22,6.44,6.44,6.38,6.44,1300
129,2018-10-23,6.38,6.38,6.38,6.38,800
130,2018-10-24,6.38,6.44,6.38,6.44,1000
131,2018-10-25,6.44,6.44,6.44,6.44,500
132,2018-10-26,6.44,6.44,6.44,6.44,500
133,2018-10-29,6.44,6.44,6.44,6.44,0
134,2018-10-30,6.44,6.44,6.44,6.44,0
135,2018-10-31,6.44,6.44,6.44,6.44,0
136,2018-11-01,6.44,6.44,6.44,6.44,0
