,time,open,high,low,close,volume
0,2013-03-21,3.12,4.47,3.12,4.26,134000
1,2013-03-22,3.83,3.83,3.83,3.83,11700
2,2013-03-25,3.48,3.55,3.48,3.48,7600
3,2013-03-26,3.16,3.23,3.16,3.16,130200
4,2013-03-27,2.91,3.16,2.91,3.16,45000
5,2013-03-28,3.12,3.34,3.12,3.2,7200
6,2013-03-29,3.2,3.2,3.02,3.16,9100
7,2013-04-01,3.12,3.12,2.95,2.98,10500
8,2013-04-02,2.98,3.09,2.84,3.09,19500
9,2013-04-03,3.05,3.05,2.81,2.81,43600
10,2013-04-04,2.81,2.81,2.66,2.81,8200
11,2013-04-05,2.81,2.81,2.59,2.59,13500
12,2013-04-08,2.66,2.66,2.41,2.41,53200
13,2013-04-09,2.31,2.31,2.27,2.31,33300
14,2013-04-10,2.38,2.38,2.17,2.24,7600
15,2013-04-11,2.02,2.38,2.02,2.38,3900
16,2013-04-12,2.45,2.45,2.24,2.45,6900
17,2013-04-15,2.45,2.45,2.2,2.24,18500
18,2013-04-16,2.09,2.27,2.02,2.27,15200
19,2013-04-17,2.38,2.49,2.2,2.31,9400
20,2013-04-18,2.41,2.41,2.24,2.31,56700
21,2013-04-22,2.45,2.52,2.27,2.52,21200
22,2013-04-23,2.49,2.49,2.41,2.49,6800
23,2013-04-24,2.56,2.56,2.34,2.52,18500
24,2013-04-25,2.31,2.49,2.31,2.49,3100
25,2013-04-26,2.49,2.49,2.31,2.31,6400
26,2013-05-02,2.27,2.34,2.27,2.34,2700
27,2013-05-03,2.31,2.31,2.27,2.27,12400
28,2013-05-06,2.49,2.49,2.31,2.34,11000
29,2013-05-07,2.34,2.34,2.31,2.34,8800
30,2013-05-08,2.34,2.34,2.27,2.27,26500
31,2013-05-09,2.27,2.34,2.27,2.34,8000
32,2013-05-10,2.31,2.34,2.24,2.31,7800
33,2013-05-13,2.27,2.27,2.2,2.2,19200
34,2013-05-14,2.2,2.27,2.17,2.27,10900
35,2013-05-15,2.2,2.27,2.2,2.27,27900
36,2013-05-16,2.2,2.24,2.13,2.24,40800
37,2013-05-17,2.2,2.27,2.17,2.27,13400
38,2013-05-20,2.24,2.41,2.24,2.41,63800
39,2013-05-21,2.41,2.52,2.41,2.49,43400
40,2013-05-22,2.52,2.52,2.34,2.45,9700
41,2013-05-23,2.38,2.45,2.31,2.31,39500
42,2013-05-24,2.31,2.34,2.31,2.31,12600
43,2013-05-27,2.38,2.41,2.34,2.34,15000
44,2013-05-28,2.34,2.34,2.31,2.31,14800
45,2013-05-29,2.27,2.31,2.27,2.31,32600
46,2013-05-30,2.27,2.34,2.24,2.34,21900
47,2013-05-31,2.34,2.38,2.31,2.38,21600
48,2013-06-03,2.31,2.41,2.31,2.41,28800
49,2013-06-04,2.45,2.45,2.34,2.38,65100
50,2013-06-05,2.38,2.56,2.38,2.56,231400
51,2013-06-06,2.81,2.81,2.81,2.81,20600
52,2013-06-07,3.05,3.05,2.81,2.88,69000
53,2013-06-10,2.63,2.73,2.59,2.59,97000
54,2013-06-11,2.59,2.84,2.59,2.73,80400
55,2013-06-12,2.7,2.7,2.56,2.59,29600
56,2013-06-13,2.59,2.66,2.56,2.66,12500
57,2013-06-14,2.59,2.66,2.56,2.66,13200
58,2013-06-17,2.49,2.56,2.45,2.45,28100
59,2013-06-18,2.45,2.52,2.41,2.49,21700
60,2013-06-19,2.52,2.52,2.45,2.49,10200
61,2013-06-20,2.52,2.52,2.49,2.49,1800
62,2013-06-21,2.49,2.49,2.49,2.49,100
63,2013-06-24,2.49,2.49,2.41,2.45,13200
64,2013-06-25,2.49,2.49,2.34,2.45,30000
65,2013-06-26,2.41,2.45,2.41,2.45,4100
66,2013-06-27,2.41,2.45,2.38,2.45,16400
67,2013-06-28,2.45,2.63,2.45,2.56,34100
68,2013-07-01,2.49,2.52,2.49,2.52,9300
69,2013-07-02,2.52,2.56,2.49,2.52,10800
70,2013-07-03,2.52,2.52,2.41,2.41,22400
71,2013-07-04,2.41,2.52,2.41,2.52,15700
72,2013-07-05,2.63,2.77,2.45,2.52,2800
73,2013-07-08,2.52,2.59,2.49,2.52,15100
74,2013-07-09,2.45,2.52,2.45,2.52,23600
75,2013-07-10,2.49,2.52,2.49,2.52,4200
76,2013-07-11,2.45,2.49,2.45,2.49,7500
77,2013-07-12,2.49,2.52,2.49,2.52,12700
78,2013-07-15,2.45,2.49,2.45,2.49,2500
79,2013-07-16,2.49,2.49,2.41,2.41,25000
80,2013-07-17,2.41,2.41,2.41,2.41,10800
81,2013-07-18,2.41,2.45,2.41,2.45,10200
82,2013-07-19,2.38,2.45,2.38,2.45,1300
83,2013-07-22,2.41,2.45,2.41,2.45,1000
84,2013-07-23,2.41,2.41,2.41,2.41,1100
85,2013-07-24,2.38,2.38,2.38,2.38,3900
86,2013-07-25,2.49,2.49,2.49,2.49,100
87,2013-07-26,2.31,2.41,2.31,2.41,900
88,2013-07-29,2.34,2.38,2.34,2.34,1800
89,2013-07-30,2.56,2.56,2.56,2.56,151
90,2013-07-31,2.56,2.56,2.56,2.56,0
91,2013-08-01,2.31,2.38,2.31,2.38,22400
92,2013-08-02,2.41,2.41,2.41,2.41,1000
93,2013-08-05,2.41,2.41,2.41,2.41,1000
94,2013-08-06,2.41,2.41,2.41,2.41,500
95,2013-08-07,2.31,2.38,2.24,2.38,10600
96,2013-08-08,2.38,2.38,2.38,2.38,0
97,2013-08-09,2.49,2.49,2.38,2.38,14300
98,2013-08-12,2.38,2.38,2.38,2.38,0
99,2013-08-13,2.38,2.38,2.38,2.38,10000
100,2013-08-14,2.49,2.49,2.34,2.45,17500
101,2013-08-15,2.38,2.45,2.38,2.45,3200
102,2013-08-16,2.45,2.45,2.45,2.45,52000
103,2013-08-19,2.49,2.56,2.45,2.45,18200
104,2013-08-20,2.45,2.49,2.45,2.49,12300
105,2013-08-21,2.49,2.49,2.45,2.45,19500
106,2013-08-22,2.41,2.45,2.41,2.45,6000
107,2013-08-23,2.45,2.45,2.45,2.45,0
108,2013-08-26,2.45,2.45,2.45,2.45,0
109,2013-08-27,2.45,2.45,2.41,2.45,7100
110,2013-08-28,2.34,2.38,2.24,2.38,58000
111,2013-08-29,2.31,2.38,2.31,2.38,1100
112,2013-08-30,2.38,2.38,2.38,2.38,0
113,2013-09-03,2.24,2.34,2.24,2.34,9800
114,2013-09-04,2.24,2.31,2.24,2.24,3700
115,2013-09-05,2.31,2.31,2.31,2.31,2300
116,2013-09-06,2.24,2.31,2.24,2.31,12000
117,2013-09-09,2.31,2.31,2.31,2.31,0
118,2013-09-10,2.2,2.27,2.2,2.27,11800
119,2013-09-11,2.31,2.49,2.2,2.31,2100
120,2013-09-12,2.27,2.31,2.24,2.31,5900
121,2013-09-13,2.31,2.31,2.31,2.31,200
122,2013-09-16,2.24,2.27,2.24,2.24,10100
123,2013-09-17,2.2,2.24,2.2,2.24,8600
124,2013-09-18,2.2,2.2,2.2,2.2,2000
125,2013-09-19,2.31,2.31,2.31,2.31,100
126,2013-09-20,2.31,2.31,2.31,2.31,0
127,2013-09-23,2.24,2.27,2.24,2.27,6300
128,2013-09-24,2.27,2.31,2.24,2.24,12800
129,2013-09-25,2.24,2.31,2.24,2.31,34000
130,2013-09-26,2.31,2.31,2.31,2.31,10000
131,2013-09-27,2.31,2.31,2.31,2.31,8000
132,2013-09-30,2.31,2.34,2.31,2.34,5600
133,2013-10-01,2.31,2.34,2.31,2.34,6100
134,2013-10-02,2.34,2.34,2.31,2.31,8300
135,2013-10-03,2.31,2.34,2.31,2.34,1000
136,2013-10-04,2.38,2.38,2.31,2.31,5100
137,2013-10-07,2.45,2.45,2.45,2.45,100
138,2013-10-08,2.31,2.41,2.31,2.41,7600
139,2013-10-09,2.34,2.38,2.34,2.38,4100
140,2013-10-10,2.34,2.38,2.34,2.34,18200
141,2013-10-11,2.34,2.38,2.34,2.38,3000
142,2013-10-14,2.34,2.38,2.34,2.38,2400
143,2013-10-15,2.34,2.34,2.34,2.34,14100
144,2013-10-16,2.41,2.41,2.34,2.38,10600
