,time,open,high,low,close,volume
0,2009-12-10,10.03,10.03,9.8,9.8,10200
1,2009-12-11,9.27,9.27,9.27,9.27,5100
2,2009-12-14,8.64,8.64,8.64,8.64,7000
3,2009-12-15,9.22,9.22,8.07,8.07,4000
4,2009-12-16,9.58,9.58,8.33,8.33,4200
5,2009-12-17,9.36,9.36,9.36,9.36,800
6,2009-12-18,8.73,8.73,8.73,8.73,5100
7,2009-12-21,8.96,9.13,8.15,9.13,94700
8,2009-12-22,8.91,8.91,8.02,8.47,44900
9,2009-12-23,8.42,8.42,7.75,7.8,16200
10,2009-12-24,8.02,8.38,8.02,8.38,21400
11,2009-12-25,8.47,8.87,8.47,8.87,44700
12,2009-12-28,9.18,9.18,8.64,8.69,26500
13,2009-12-29,9.13,9.13,8.47,8.51,32000
14,2009-12-30,8.69,8.69,8.2,8.6,25300
15,2009-12-31,8.69,8.73,8.47,8.69,14700
16,2010-01-04,9.13,9.27,8.82,9.27,113500
17,2010-01-05,9.76,9.76,9.36,9.76,61500
18,2010-01-06,9.98,10.43,9.45,10.43,67000
19,2010-01-07,11.01,11.01,11.01,11.01,20400
20,2010-01-08,11.76,11.76,11.27,11.76,293900
21,2010-01-11,12.57,12.57,12.57,12.57,57400
22,2010-01-12,13.41,13.41,11.81,13.41,201000
23,2010-01-13,12.48,14.3,12.43,14.3,181300
24,2010-01-14,13.99,13.99,12.7,13.1,195000
25,2010-01-15,13.1,13.1,12.88,12.88,38600
26,2010-01-18,12.92,12.92,11.99,11.99,29100
27,2010-01-19,11.59,11.59,11.18,11.18,80200
28,2010-01-20,11.23,11.99,10.74,11.18,80800
29,2010-01-21,10.83,10.92,10.78,10.78,81700
30,2010-01-22,10.78,11.14,10.07,11.14,58200
31,2010-01-25,10.25,10.92,10.25,10.92,42700
32,2010-01-26,9.98,11.1,9.98,10.69,148400
33,2010-01-27,10.69,10.69,9.8,9.8,75800
34,2010-01-28,9.31,9.98,9.31,9.31,103500
35,2010-01-29,8.87,9.58,8.87,9.54,32500
36,2010-02-01,9.54,9.58,9.13,9.45,15200
37,2010-02-02,9.8,9.8,9.13,9.36,15900
38,2010-02-03,9.54,9.67,9.09,9.67,25900
39,2010-02-04,9.58,10.12,9.58,10.12,54800
40,2010-02-05,10.69,10.74,10.25,10.65,102900
41,2010-02-08,11.23,11.36,10.61,10.69,5100
42,2010-02-09,11.14,11.14,10.07,10.07,11000
43,2010-02-10,10.47,10.47,9.71,10.25,17000
44,2010-02-11,9.89,10.38,9.85,10.38,6400
45,2010-02-12,10.47,10.47,10.2,10.47,7400
46,2010-02-22,11.14,11.14,10.43,10.56,5900
47,2010-02-23,10.25,10.25,10.07,10.2,14000
48,2010-02-24,10.38,10.38,9.58,10.25,32500
49,2010-02-25,10.47,10.47,9.85,10.2,19700
50,2010-02-26,10.38,10.38,10.12,10.2,51600
51,2010-03-01,10.25,10.83,10.16,10.83,68900
52,2010-03-02,10.92,10.92,10.47,10.52,36700
53,2010-03-03,10.78,11.05,10.69,11.05,44000
54,2010-03-04,11.01,11.23,10.83,10.92,29800
55,2010-03-05,10.78,11.41,10.69,11.05,28200
56,2010-03-08,11.45,11.72,11.45,11.72,82800
57,2010-03-09,11.72,12.16,11.36,12.03,158200
58,2010-03-10,12.13,12.13,11.9,12.03,34300
59,2010-03-11,12.03,12.03,11.8,11.99,34300
60,2010-03-12,11.57,12.78,11.57,12.78,209000
61,2010-03-15,13.24,13.28,13.19,13.28,117700
62,2010-03-16,13.52,13.52,12.4,12.96,55900
63,2010-03-17,12.96,12.96,11.9,11.9,53500
64,2010-03-18,12.5,12.5,11.71,11.71,79500
65,2010-03-19,11.76,12.27,11.29,11.9,29800
66,2010-03-22,11.85,12.64,11.85,12.36,55700
67,2010-03-23,12.5,12.5,11.8,11.9,45200
68,2010-03-24,11.57,12.78,11.57,12.5,52400
69,2010-03-25,12.96,12.96,11.8,12.13,45700
70,2010-03-26,12.17,12.17,11.94,11.94,8200
71,2010-03-29,12.54,12.54,11.57,11.94,37100
72,2010-03-30,11.66,12.27,11.57,11.8,69600
73,2010-03-31,11.94,12.27,11.57,11.57,15100
74,2010-04-01,11.57,12.22,11.57,12.08,11200
75,2010-04-02,12.03,12.73,12.03,12.68,102200
76,2010-04-05,12.54,13.19,12.54,13.19,203300
77,2010-04-06,13.89,14.07,12.73,12.96,28300
78,2010-04-07,13.15,13.33,12.78,13.15,65200
79,2010-04-08,13.42,14.02,13.42,14.02,276900
80,2010-04-09,14.95,14.95,14.67,14.95,218000
81,2010-04-12,15.04,15.88,14.02,14.35,76100
82,2010-04-13,14.77,14.77,13.56,13.56,124500
83,2010-04-14,13.65,13.7,12.87,13.33,36100
84,2010-04-15,13.65,14.16,13.65,14.16,126900
85,2010-04-16,14.44,14.53,13.98,14.02,127400
86,2010-04-19,15.18,15.18,13.89,14.02,120900
87,2010-04-20,14.26,14.58,13.89,14.58,145800
