,time,open,high,low,close,volume
0,2020-07-14,1.79,1.79,1.79,1.79,0
1,2020-07-15,1.79,1.79,1.79,1.79,0
2,2020-07-16,1.79,1.79,1.79,1.79,0
3,2020-07-17,1.79,1.79,1.79,1.79,0
4,2020-07-20,1.79,1.79,1.79,1.79,0
5,2020-07-21,1.79,1.79,1.79,1.79,0
6,2020-07-22,1.79,1.79,1.79,1.79,0
7,2020-07-23,1.79,1.79,1.79,1.79,0
8,2020-07-24,1.79,1.79,1.79,1.79,0
9,2020-07-27,1.79,1.79,1.79,1.79,0
10,2020-07-28,1.79,1.79,1.79,1.79,0
11,2020-07-29,1.79,1.79,1.79,1.79,0
12,2020-07-30,1.79,1.79,1.79,1.79,0
13,2020-07-31,1.79,1.79,1.79,1.79,0
14,2020-08-03,1.79,1.79,1.79,1.79,0
15,2020-08-04,1.79,1.79,1.79,1.79,0
16,2020-08-05,1.79,1.79,1.79,1.79,0
17,2020-08-06,1.79,1.79,1.79,1.79,0
18,2020-08-07,1.79,1.79,1.79,1.79,0
19,2020-08-10,1.79,1.79,1.79,1.79,0
20,2020-08-11,1.79,1.79,1.79,1.79,0
21,2020-08-12,1.79,1.79,1.79,1.79,0
22,2020-08-13,1.79,1.79,1.79,1.79,0
23,2020-08-14,1.79,1.79,1.79,1.79,0
24,2020-08-17,1.79,1.79,1.79,1.79,0
25,2020-08-18,1.79,1.79,1.79,1.79,0
26,2020-08-19,1.79,1.79,1.79,1.79,0
27,2020-08-20,1.79,1.79,1.79,1.79,0
28,2020-08-21,1.79,1.79,1.79,1.79,0
29,2020-08-24,1.79,1.79,1.79,1.79,0
30,2020-08-25,1.79,1.79,1.79,1.79,0
31,2020-08-26,1.79,1.79,1.79,1.79,0
32,2020-08-27,1.79,1.79,1.79,1.79,0
33,2020-08-28,1.79,1.79,1.79,1.79,0
34,2020-08-31,1.79,1.79,1.79,1.79,0
35,2020-09-01,1.79,1.79,1.79,1.79,0
36,2020-09-03,1.79,1.79,1.79,1.79,0
37,2020-09-04,1.79,1.79,1.79,1.79,0
38,2020-09-07,1.79,1.79,1.79,1.79,0
39,2020-09-08,1.79,1.79,1.79,1.79,0
