,time,open,high,low,close,volume
0,2017-05-19,14.2,14.2,14.2,14.2,100
1,2017-05-22,14.2,14.2,14.2,14.2,0
2,2017-05-23,14.2,14.2,14.2,14.2,0
3,2017-05-24,16.3,16.3,16.3,16.3,100
4,2017-05-25,18.7,18.7,18.7,18.7,100
5,2017-05-26,21.5,21.5,21.5,21.5,100
6,2017-05-29,24.7,24.7,24.7,24.7,100
7,2017-05-30,28.4,28.4,28.4,28.4,5120
8,2017-05-31,32.6,32.6,32.6,32.6,1510
9,2017-06-01,37.4,37.4,34.7,37.4,3230
10,2017-06-02,30.7,35.0,30.7,35.0,220
11,2017-06-05,28.6,28.6,28.5,28.6,510
12,2017-06-06,25.0,28.5,24.4,28.5,12220
13,2017-06-07,24.0,24.0,22.0,22.0,3950
14,2017-06-08,20.0,26.0,20.0,26.0,1400
15,2017-06-09,24.7,25.0,24.7,25.0,9410
16,2017-06-12,25.0,25.0,24.8,24.8,4105
17,2017-06-13,24.8,24.8,24.8,24.8,0
18,2017-06-14,24.8,24.8,24.7,24.7,2400
19,2017-06-15,25.0,25.0,24.0,25.0,10270
20,2017-06-16,24.0,25.5,24.0,24.0,10775
21,2017-06-19,24.0,24.0,24.0,24.0,5955
22,2017-06-20,24.0,24.0,24.0,24.0,6850
23,2017-06-21,23.5,23.5,23.0,23.0,1300
24,2017-06-22,23.7,23.8,23.7,23.7,300
25,2017-06-23,23.0,23.0,23.0,23.0,4100
26,2017-06-26,22.5,22.5,22.5,22.5,2810
27,2017-06-27,22.5,22.5,21.5,21.5,4100
28,2017-06-28,21.1,21.5,21.0,21.1,9600
29,2017-06-29,20.7,20.7,20.5,20.5,2200
30,2017-06-30,19.1,19.1,18.5,18.5,2995
31,2017-07-03,18.7,18.7,18.5,18.5,12905
32,2017-07-04,18.6,18.6,18.6,18.6,300
33,2017-07-05,17.1,18.2,17.1,17.2,13510
34,2017-07-06,16.6,16.6,15.6,15.6,5860
35,2017-07-07,16.3,16.3,16.3,16.3,625
36,2017-07-10,16.2,16.2,16.0,16.0,400
37,2017-07-11,15.9,15.9,15.7,15.7,400
38,2017-07-12,15.0,15.0,15.0,15.0,150
39,2017-07-13,15.0,15.0,15.0,15.0,100
40,2017-07-14,15.6,17.2,15.6,17.2,600
41,2017-07-17,18.2,18.2,18.2,18.2,260
42,2017-07-18,18.2,18.2,18.2,18.2,0
43,2017-07-19,18.2,18.2,18.2,18.2,0
44,2017-07-20,18.2,18.2,18.2,18.2,0
45,2017-07-21,18.0,18.0,18.0,18.0,200
46,2017-07-24,18.0,18.0,18.0,18.0,0
47,2017-07-25,15.5,20.3,15.5,20.3,1600
48,2017-07-26,18.5,18.5,18.5,18.5,1000
49,2017-07-27,17.5,17.5,17.5,17.5,1000
50,2017-07-28,17.5,17.5,17.5,17.5,0
51,2017-07-31,16.0,16.0,16.0,16.0,523
52,2017-08-01,17.5,17.5,17.5,17.5,100
53,2017-08-02,17.5,17.5,17.5,17.5,100
54,2017-08-03,17.5,17.5,17.5,17.5,10
55,2017-08-04,17.5,17.5,17.5,17.5,0
56,2017-08-07,17.5,17.5,17.5,17.5,0
57,2017-08-08,16.0,16.0,16.0,16.0,1100
58,2017-08-09,15.0,16.0,15.0,16.0,1860
59,2017-08-10,15.3,15.3,15.3,15.3,0
60,2017-08-11,15.3,15.3,15.3,15.3,0
61,2017-08-14,16.0,16.0,16.0,16.0,500
62,2017-08-15,16.0,16.0,16.0,16.0,0
63,2017-08-16,15.0,15.0,14.5,15.0,2200
64,2017-08-17,14.8,14.8,14.8,15.0,20
65,2017-08-18,14.8,14.8,14.8,14.8,0
66,2017-08-21,14.8,14.8,14.8,14.8,0
67,2017-08-22,16.5,16.5,16.5,16.5,500
68,2017-08-23,16.5,16.5,16.5,16.5,0
69,2017-08-24,16.5,16.5,16.5,16.5,60
70,2017-08-25,16.5,16.5,16.5,16.5,1000
71,2017-08-28,16.5,16.5,16.5,16.5,200
72,2017-08-29,16.5,16.5,16.5,16.5,0
73,2017-08-30,16.5,16.5,16.5,16.5,0
74,2017-08-31,14.5,14.5,14.5,14.5,1000
75,2017-09-01,14.5,14.5,14.5,14.5,0
76,2017-09-05,14.0,14.0,14.0,14.0,1100
77,2017-09-06,14.0,14.0,14.0,14.0,0
78,2017-09-07,12.5,12.5,12.5,12.5,1000
79,2017-09-08,12.5,12.5,12.5,12.5,0
80,2017-09-11,11.1,11.1,10.7,11.0,4400
81,2017-09-12,12.4,12.4,12.4,12.4,100
82,2017-09-13,11.1,14.0,10.6,14.0,8000
83,2017-09-14,10.9,10.9,10.9,10.9,0
84,2017-09-15,10.9,10.9,10.9,10.9,0
85,2017-09-18,10.9,10.9,10.9,10.9,0
86,2017-09-19,12.5,12.5,12.5,12.5,100
