,time,open,high,low,close,volume
0,2009-06-10,8.85,8.85,8.85,8.85,13100
1,2009-06-11,9.45,9.45,9.45,9.45,600
2,2009-06-15,10.81,10.81,10.81,10.81,26300
3,2009-06-16,11.52,11.57,10.06,10.06,50900
4,2009-06-17,9.81,11.06,9.81,11.06,25400
5,2009-06-18,10.66,10.66,10.66,10.66,21200
6,2009-06-19,10.86,10.86,10.41,10.81,13100
7,2009-06-22,10.56,10.56,10.06,10.06,9500
8,2009-06-23,9.4,9.4,9.4,9.4,5400
9,2009-06-24,8.75,10.06,8.75,10.06,21400
10,2009-06-25,10.06,10.11,9.0,9.96,5000
11,2009-06-26,9.1,9.3,9.1,9.3,8300
12,2009-06-29,9.15,9.15,9.15,9.15,400
13,2009-06-30,8.55,8.55,8.55,8.55,6600
14,2009-07-01,8.55,8.55,8.55,8.55,0
15,2009-07-02,8.0,8.75,8.0,8.7,2400
16,2009-07-03,7.64,8.05,7.54,8.05,3100
17,2009-07-06,8.05,8.25,8.05,8.25,11100
18,2009-07-07,8.8,8.8,8.55,8.8,2800
19,2009-07-08,8.2,8.55,8.2,8.55,800
20,2009-07-09,8.55,8.8,8.55,8.8,200
21,2009-07-10,8.15,8.55,8.15,8.55,1500
22,2009-07-13,8.55,8.55,8.55,8.55,600
23,2009-07-14,8.7,8.7,8.3,8.55,3600
24,2009-07-15,8.8,8.8,8.8,8.8,100
25,2009-07-16,8.8,8.8,8.8,8.8,500
26,2009-07-17,8.55,8.55,8.3,8.3,1900
27,2009-07-20,8.05,8.55,7.95,8.55,5300
28,2009-07-21,8.2,8.2,8.2,8.2,1000
29,2009-07-22,8.45,8.55,8.2,8.2,3600
30,2009-07-23,8.3,8.65,8.3,8.65,2800
31,2009-07-24,9.0,9.0,8.8,9.0,13400
32,2009-07-27,9.55,9.61,9.3,9.3,7200
33,2009-07-28,8.85,9.5,8.85,9.5,4000
34,2009-07-29,8.45,9.0,8.4,9.0,4000
35,2009-07-30,8.1,9.3,8.1,9.05,9900
36,2009-07-31,9.05,9.05,8.95,9.0,2600
37,2009-08-03,9.3,9.3,8.85,8.85,7500
38,2009-08-04,8.55,9.05,8.55,9.05,200
39,2009-08-05,8.45,8.8,8.45,8.55,900
40,2009-08-06,8.3,8.6,8.3,8.6,1100
41,2009-08-07,8.3,8.55,8.3,8.3,700
42,2009-08-10,8.45,8.45,8.4,8.45,700
43,2009-08-11,8.45,8.45,8.45,8.45,4900
44,2009-08-12,8.45,8.55,8.15,8.15,4600
45,2009-08-13,8.15,8.6,8.15,8.6,6800
46,2009-08-14,8.55,8.75,8.55,8.65,6700
47,2009-08-17,8.8,8.85,8.55,8.85,3500
48,2009-08-18,8.8,8.95,8.8,8.95,11400
49,2009-08-19,8.85,9.3,8.85,9.3,16000
50,2009-08-20,8.65,8.65,8.65,8.65,100
51,2009-08-21,9.25,9.25,8.35,8.35,5000
52,2009-08-24,8.9,9.05,8.7,9.05,16400
53,2009-08-25,9.05,9.4,9.05,9.2,12500
54,2009-08-26,9.25,9.25,9.0,9.0,3000
55,2009-08-27,9.0,9.05,9.0,9.05,3100
56,2009-08-28,9.55,9.55,9.0,9.0,8800
57,2009-08-31,9.15,9.15,8.55,8.55,8500
58,2009-09-01,9.0,9.15,9.0,9.15,13100
59,2009-09-03,9.0,9.61,9.0,9.61,26700
60,2009-09-04,10.06,10.06,9.96,10.01,74000
61,2009-09-07,10.56,10.76,10.56,10.76,42000
62,2009-09-08,11.06,11.47,11.06,11.47,17300
63,2009-09-09,12.12,12.17,12.07,12.17,78400
64,2009-09-10,12.82,12.92,12.12,12.92,83100
65,2009-09-11,13.33,13.53,12.57,13.23,30400
66,2009-09-14,12.47,12.47,12.37,12.37,37100
67,2009-09-15,11.57,11.97,11.57,11.72,30800
68,2009-09-16,11.82,11.87,11.57,11.77,19600
69,2009-09-17,11.52,11.57,11.37,11.42,6700
70,2009-09-18,11.16,11.72,10.81,11.72,7400
71,2009-09-21,11.06,11.97,10.56,11.97,43200
72,2009-09-22,11.57,12.07,11.57,11.87,46200
73,2009-09-23,11.87,12.07,11.67,11.67,10100
74,2009-09-24,11.57,11.82,11.32,11.82,2500
75,2009-09-25,10.71,11.82,10.71,11.82,8600
76,2009-09-28,11.21,11.57,11.21,11.32,7000
77,2009-09-29,11.37,12.07,10.86,12.07,33400
78,2009-09-30,11.57,12.27,11.57,12.07,28600
79,2009-10-01,12.92,12.92,12.92,12.92,54000
80,2009-10-02,13.58,13.78,13.08,13.78,62400
81,2009-10-05,14.38,14.38,13.88,14.38,54000
82,2009-10-06,15.24,15.24,15.09,15.24,66100
83,2009-10-07,16.29,16.29,14.18,14.84,87300
84,2009-10-08,13.68,14.58,13.68,14.18,58900
85,2009-10-09,14.58,15.04,14.33,15.04,42100
86,2009-10-12,15.54,15.54,13.53,15.54,107100
87,2009-10-13,15.59,16.09,14.38,15.09,45000
88,2009-10-14,14.99,14.99,14.28,14.84,51800
89,2009-10-15,14.53,15.34,14.48,15.04,66500
90,2009-10-16,14.58,14.58,14.18,14.38,16300
91,2009-10-19,14.48,14.48,14.03,14.08,12000
92,2009-10-20,14.38,14.38,14.08,14.13,31100
93,2009-10-21,14.18,14.18,13.58,13.83,29000
94,2009-10-22,14.08,14.33,14.08,14.18,37800
