,time,open,high,low,close,volume
0,2008-02-21,55.36,55.36,55.36,55.36,1710
1,2008-02-22,52.73,52.73,52.73,52.73,10
2,2008-02-25,50.11,51.3,50.11,50.11,160540
3,2008-02-26,47.72,47.72,47.72,47.72,5390
4,2008-02-27,45.34,45.34,45.34,45.34,6150
5,2008-02-28,43.19,43.19,43.19,43.19,1390
6,2008-02-29,41.04,41.04,41.04,41.04,970
7,2008-03-03,39.13,39.13,39.13,39.13,230
8,2008-03-04,37.22,37.22,37.22,37.22,1020
9,2008-03-05,35.79,35.79,35.55,35.55,600
10,2008-03-06,37.22,37.22,35.79,37.22,400010
11,2008-03-07,38.42,38.89,37.22,38.89,256190
12,2008-03-10,40.32,40.56,36.98,36.98,121970
13,2008-03-11,35.31,35.31,35.31,35.31,6600
14,2008-03-12,33.64,35.55,33.64,33.64,271340
15,2008-03-13,33.64,33.88,32.21,32.21,193170
16,2008-03-14,32.21,32.21,30.78,32.21,241640
17,2008-03-17,31.02,31.02,30.78,30.78,132870
18,2008-03-18,29.35,29.35,29.35,29.35,5890
19,2008-03-19,27.92,28.39,27.92,27.92,296540
20,2008-03-20,26.72,26.72,26.72,26.72,17250
21,2008-03-21,25.53,25.53,25.53,25.53,6450
22,2008-03-24,24.34,24.34,24.34,24.34,6800
23,2008-03-25,23.14,23.14,23.14,23.14,1200
24,2008-03-26,22.07,22.07,22.07,22.07,73320
25,2008-03-27,21.95,22.19,21.95,22.19,136820
26,2008-03-28,22.31,22.31,22.31,22.31,75820
27,2008-03-31,22.43,22.43,22.43,22.43,6390
28,2008-04-01,22.55,22.55,22.55,22.55,5700
29,2008-04-02,22.67,22.67,22.67,22.67,5900
30,2008-04-03,22.79,22.79,22.79,22.79,2000
31,2008-04-04,22.91,22.91,22.91,22.91,1500
32,2008-04-07,23.26,23.26,22.91,23.26,268400
33,2008-04-08,23.26,23.26,22.91,22.91,142740
34,2008-04-09,22.55,22.55,22.55,22.55,37650
35,2008-04-10,22.19,22.19,22.19,22.19,6850
36,2008-04-11,21.83,21.83,21.83,21.83,11200
37,2008-04-16,21.47,21.47,21.47,21.47,1520
38,2008-04-17,21.12,21.83,21.12,21.12,122100
39,2008-04-18,20.76,20.76,20.76,20.76,42210
40,2008-04-21,20.4,20.4,20.4,20.4,10880
41,2008-04-22,20.04,20.04,20.04,20.04,240
42,2008-04-23,19.69,19.69,19.69,19.69,230
43,2008-04-24,19.33,19.33,19.33,19.33,4590
44,2008-04-25,18.97,18.97,18.97,18.97,3290
45,2008-04-28,18.61,18.61,18.61,18.61,80690
46,2008-04-29,18.25,18.61,18.25,18.25,108680
47,2008-05-05,18.13,18.61,18.13,18.61,48050
48,2008-05-06,18.97,18.97,18.97,18.97,6970
49,2008-05-07,19.33,19.33,18.61,18.61,256060
50,2008-05-08,18.25,18.25,18.25,18.25,10440
51,2008-05-09,17.9,17.9,17.9,17.9,8590
52,2008-05-12,17.54,17.54,17.54,17.54,3010
53,2008-05-13,17.3,17.3,17.3,17.3,100
54,2008-05-14,17.06,17.06,17.06,17.06,290
55,2008-05-15,16.82,16.82,16.82,16.82,1200
56,2008-05-16,16.58,16.58,16.58,16.58,690
57,2008-05-19,16.34,16.34,16.34,16.34,14210
58,2008-05-20,16.11,16.11,16.11,16.11,400
59,2008-05-21,15.87,15.87,15.87,15.87,31580
60,2008-05-22,15.63,15.63,15.63,15.63,15310
61,2008-05-23,15.39,15.39,15.39,15.39,2710
62,2008-05-26,15.15,15.15,15.15,15.15,10
63,2008-05-30,14.91,14.91,14.91,14.91,11040
64,2008-06-02,14.67,14.67,14.67,14.67,1220
65,2008-06-03,14.44,14.44,14.44,14.44,10
66,2008-06-04,14.2,14.2,14.2,14.2,20
67,2008-06-05,13.96,13.96,13.96,13.96,400
68,2008-06-06,13.72,13.72,13.72,13.72,20
69,2008-06-09,13.48,13.48,13.48,13.48,10
70,2008-06-10,13.24,13.24,13.24,13.24,10
71,2008-06-11,13.0,13.0,13.0,13.0,4100
72,2008-06-12,13.0,13.0,12.77,12.77,2210
73,2008-06-13,12.53,12.53,12.53,12.53,70490
74,2008-06-16,12.29,12.29,12.29,12.29,35760
75,2008-06-17,12.05,12.53,12.05,12.53,902020
76,2008-06-18,12.29,12.29,12.29,12.29,233360
77,2008-06-19,11.93,11.93,11.93,11.93,12490
78,2008-06-20,11.57,11.57,11.57,11.57,2810
79,2008-06-23,11.24,11.24,11.24,11.24,26540
80,2008-06-24,10.9,10.9,10.9,10.9,15320
81,2008-06-25,10.59,10.59,10.59,10.59,61300
82,2008-06-26,10.38,10.9,10.28,10.31,396640
83,2008-06-27,10.05,10.59,10.05,10.59,85790
84,2008-06-30,10.9,10.9,10.59,10.9,87750
85,2008-07-01,11.21,11.21,11.21,11.21,107450
86,2008-07-02,11.55,11.55,11.21,11.55,359220
87,2008-07-03,11.88,11.88,11.88,11.88,89760
88,2008-07-04,12.17,12.17,11.74,12.17,289400
89,2008-07-07,12.53,12.53,11.81,11.81,295120
90,2008-07-08,11.48,12.05,11.48,12.05,174780
91,2008-07-09,12.29,12.41,12.05,12.41,270060
92,2008-07-10,12.77,12.77,12.53,12.77,243730
93,2008-07-11,13.12,13.12,13.12,13.12,88920
94,2008-07-14,13.48,13.48,13.48,13.48,80010
95,2008-07-15,13.84,13.84,13.84,13.84,50280
96,2008-07-16,14.2,14.2,13.48,14.2,635600
97,2008-07-17,14.56,14.56,14.56,14.56,236120
98,2008-07-18,14.2,14.91,14.2,14.2,330400
99,2008-07-21,13.84,13.84,13.84,13.84,4490
100,2008-07-22,13.48,13.48,13.48,13.48,320
101,2008-07-23,13.12,13.12,13.12,13.12,200
102,2008-07-24,12.77,13.36,12.77,12.77,567490
103,2008-07-25,12.41,12.41,12.41,12.41,104060
104,2008-07-28,12.05,12.77,12.05,12.65,178290
105,2008-07-29,12.65,12.88,12.29,12.29,216310
106,2008-07-30,11.93,11.93,11.93,11.93,67000
107,2008-07-31,11.57,11.57,11.57,11.57,4900
108,2008-08-01,11.24,11.24,11.24,11.24,11680
109,2008-08-04,10.9,10.9,10.9,10.9,2510
110,2008-08-05,10.59,10.59,10.59,10.59,300
111,2008-08-06,10.28,10.28,10.28,10.28,14160
112,2008-08-07,10.0,10.0,10.0,10.0,23760
113,2008-08-08,9.71,9.71,9.71,9.71,8990
114,2008-08-11,10.0,10.0,9.69,9.74,1382790
115,2008-08-12,10.02,10.02,9.78,10.02,388970
116,2008-08-13,10.05,10.26,9.74,9.9,272030
117,2008-08-14,9.62,10.19,9.62,10.19,412480
118,2008-08-15,10.47,10.47,10.43,10.47,600060
119,2008-08-18,10.47,10.47,10.02,10.02,376660
120,2008-08-19,9.52,9.78,9.52,9.52,265440
121,2008-08-20,9.07,9.07,9.07,9.07,66410
122,2008-08-21,8.61,9.52,8.61,9.52,585640
123,2008-08-22,9.78,9.9,9.14,9.19,426540
124,2008-08-25,9.64,9.64,9.64,9.64,135490
125,2008-08-26,10.12,10.12,10.12,10.12,153610
126,2008-08-27,10.62,10.62,10.14,10.26,823840
127,2008-08-28,9.76,9.76,9.76,9.76,167100
128,2008-08-29,9.28,9.76,9.28,9.76,257860
129,2008-09-03,10.24,10.24,10.24,10.24,103460
130,2008-09-04,10.74,10.74,10.02,10.57,360590
131,2008-09-05,10.57,10.57,10.07,10.09,184020
132,2008-09-08,9.59,9.78,9.59,9.69,177290
133,2008-09-09,9.78,10.16,9.78,10.02,166260
134,2008-09-10,10.5,10.5,9.69,10.02,211380
135,2008-09-11,9.97,10.02,9.74,9.74,158580
