,time,open,high,low,close,volume
0,2018-01-05,6.48,6.48,6.48,6.48,100
1,2018-01-08,7.4,7.4,7.4,7.4,100
2,2018-01-09,7.4,7.4,7.4,7.4,0
3,2018-01-10,8.49,8.49,8.49,8.49,100
4,2018-01-11,9.75,9.75,9.75,9.75,100
5,2018-01-12,11.16,11.16,11.16,11.16,100
6,2018-01-15,11.16,11.16,11.16,11.16,0
7,2018-01-16,12.79,12.79,12.79,12.79,100
8,2018-01-17,14.7,14.7,14.1,14.1,8200
9,2018-01-18,16.5,16.5,13.61,14.32,6700
10,2018-01-19,13.88,15.73,13.07,13.61,27650
11,2018-01-22,13.67,14.16,13.61,14.16,93750
12,2018-01-23,13.67,14.7,13.61,14.7,54100
13,2018-01-24,13.94,14.7,13.83,14.7,67200
14,2018-01-25,14.97,15.03,14.92,14.92,13900
15,2018-01-26,15.03,15.08,14.7,14.7,10200
16,2018-01-29,14.81,14.81,14.37,14.43,4000
17,2018-01-30,15.24,15.24,14.97,14.97,300
18,2018-01-31,15.24,15.24,14.59,14.97,1400
19,2018-02-01,14.7,14.97,14.65,14.65,4400
20,2018-02-02,14.81,14.81,14.7,14.7,550
21,2018-02-05,14.7,14.7,14.7,14.7,9300
22,2018-02-06,14.16,14.7,13.61,14.7,13100
23,2018-02-07,16.28,16.28,14.7,14.7,1100
24,2018-02-08,15.52,15.52,14.16,14.16,750
25,2018-02-09,14.92,14.92,14.05,14.43,2700
26,2018-02-12,14.97,14.97,14.7,14.75,6300
27,2018-02-13,14.75,14.92,14.75,14.75,3500
28,2018-02-21,15.24,15.52,15.24,15.24,2900
29,2018-02-22,17.42,17.42,13.07,14.81,1700
30,2018-02-23,15.24,15.24,15.24,15.24,0
31,2018-02-26,15.35,15.79,15.19,15.19,6100
32,2018-02-27,14.75,14.81,14.7,14.7,7500
33,2018-02-28,14.81,14.97,14.7,14.7,12800
34,2018-03-01,12.69,17.04,12.69,17.04,33800
35,2018-03-02,18.51,18.57,16.99,17.42,85519
36,2018-03-05,17.8,17.8,17.26,17.75,22000
37,2018-03-06,17.53,18.51,17.48,17.91,43300
38,2018-03-07,18.73,20.58,18.24,20.58,21100
39,2018-03-08,19.06,20.14,19.06,20.14,4500
40,2018-03-09,19.6,21.67,19.6,20.14,11835
41,2018-03-12,21.78,23.68,21.78,23.68,32300
42,2018-03-13,26.68,27.06,26.13,27.06,19400
43,2018-03-14,29.94,29.94,25.21,26.13,22710
44,2018-03-15,25.59,27.11,25.59,26.95,12025
45,2018-03-16,28.26,28.86,26.68,27.49,26600
46,2018-03-19,29.89,31.74,29.89,30.22,13110
47,2018-03-20,30.22,32.12,30.22,32.12,28405
48,2018-03-21,31.85,32.94,31.03,32.94,7200
49,2018-03-22,32.67,37.02,32.29,36.97,16000
50,2018-03-23,35.39,35.39,34.3,34.57,8000
51,2018-03-26,35.17,38.11,35.17,38.11,4600
52,2018-03-27,40.23,43.28,36.48,43.28,5705
53,2018-03-28,41.76,43.56,39.74,39.74,2070
54,2018-03-29,41.38,44.37,41.38,44.37,3300
55,2018-03-30,44.64,46.28,44.54,45.19,8250
56,2018-04-02,49.82,49.82,44.64,44.64,2975
57,2018-04-03,46.01,46.01,42.47,44.05,3650
58,2018-04-04,43.07,44.92,43.07,44.64,45850
59,2018-04-05,44.7,45.08,44.59,45.08,34710
60,2018-04-06,44.97,45.19,44.1,44.1,31600
61,2018-04-09,43.56,43.56,42.47,42.47,15400
62,2018-04-10,43.83,44.05,42.52,42.52,2200
63,2018-04-11,41.92,41.92,39.74,40.83,8665
64,2018-04-12,39.25,39.69,37.57,38.44,7500
65,2018-04-13,35.12,40.83,35.12,38.38,5650
66,2018-04-16,38.66,40.02,38.66,39.47,9500
67,2018-04-17,40.29,42.03,40.29,42.03,66200
68,2018-04-18,41.92,42.14,41.92,42.14,20110
69,2018-04-19,40.83,40.83,39.8,40.78,1200
70,2018-04-20,39.74,41.11,39.74,41.11,10100
71,2018-04-23,40.94,41.21,39.74,40.07,30400
72,2018-04-24,40.78,40.89,39.74,40.89,34400
73,2018-04-26,40.83,41.43,40.83,41.38,108300
74,2018-04-27,41.92,47.37,41.92,47.37,58500
75,2018-05-02,44.92,46.01,44.92,46.01,2300
76,2018-05-03,46.01,46.01,45.19,45.19,2500
77,2018-05-04,51.99,51.99,46.55,46.55,200
78,2018-05-07,51.72,51.72,44.1,46.77,3300
79,2018-05-08,46.55,46.82,43.01,44.1,13700
80,2018-05-09,46.44,53.36,45.73,53.36,21700
81,2018-05-10,51.72,56.62,49.27,56.62,16910
82,2018-05-11,50.69,62.07,50.63,62.07,11165
83,2018-05-14,55.26,59.07,53.9,53.9,1250
84,2018-05-15,51.72,51.72,50.63,51.18,2800
85,2018-05-16,50.63,50.63,50.36,50.36,1700
86,2018-05-17,51.18,51.18,48.46,49.54,9815
87,2018-05-18,49.16,53.9,49.16,53.9,3300
88,2018-05-21,51.72,54.44,51.72,54.44,1060
89,2018-05-22,52.81,52.81,51.72,51.72,3700
90,2018-05-23,51.89,51.89,51.89,51.72,15
91,2018-05-24,51.72,52.27,51.72,51.72,700
92,2018-05-25,51.72,51.72,50.36,51.18,8250
93,2018-05-28,51.18,51.18,49.0,49.0,14900
94,2018-05-29,49.27,49.54,47.64,49.27,29621
95,2018-05-30,46.93,47.42,46.82,46.82,12110
96,2018-05-31,47.2,47.37,47.2,47.37,2530
97,2018-06-01,49.0,49.65,48.24,49.54,14000
98,2018-06-04,49.0,51.72,49.0,51.72,2880
99,2018-06-05,51.99,51.99,51.45,51.45,970
100,2018-06-06,51.72,51.99,51.72,51.72,2100
101,2018-06-07,51.18,51.72,51.18,51.72,6100
102,2018-06-08,51.61,52.81,51.61,52.81,1310
103,2018-06-11,49.54,49.54,49.54,49.54,1610
104,2018-06-12,49.54,49.54,49.54,49.54,0
105,2018-06-13,49.54,49.54,49.54,49.54,0
106,2018-06-14,49.54,49.54,49.54,49.54,0
107,2018-06-15,49.54,49.54,49.54,49.54,100
108,2018-06-18,51.18,51.72,48.46,48.46,1900
109,2018-06-19,47.64,47.64,46.82,46.82,6000
110,2018-06-20,47.37,47.37,45.19,45.19,5200
111,2018-06-21,46.28,47.31,46.28,46.28,5900
112,2018-06-22,46.28,47.8,46.28,47.37,5500
113,2018-06-25,46.28,46.28,46.28,46.28,1000
114,2018-06-26,46.28,49.54,45.73,49.54,33500
115,2018-06-27,49.16,49.6,49.0,49.6,7900
116,2018-06-28,47.58,47.58,46.28,46.28,4700
117,2018-06-29,44.37,44.64,43.28,43.28,10300
118,2018-07-02,40.4,40.4,37.57,37.57,12800
119,2018-07-03,33.21,33.27,33.21,33.27,1500
120,2018-07-04,37.51,37.51,37.46,37.51,1039
121,2018-07-05,38.11,38.11,33.76,37.02,2100
122,2018-07-06,34.14,34.14,33.48,34.03,5200
123,2018-07-09,33.92,33.92,29.4,31.58,12250
124,2018-07-10,34.52,34.52,30.76,31.58,9100
125,2018-07-11,29.18,34.79,29.18,33.65,2500
126,2018-07-12,30.76,32.29,29.94,32.23,900
127,2018-07-13,32.67,32.67,30.49,30.49,720
128,2018-07-16,28.58,29.4,26.46,29.4,25905
129,2018-07-17,31.52,31.52,29.4,29.4,45700
130,2018-07-18,29.4,33.48,27.77,33.48,13550
131,2018-07-19,35.33,35.33,29.67,34.3,3614
132,2018-07-20,34.3,37.02,32.88,37.02,4200
133,2018-07-23,37.02,37.02,34.84,34.84,450
134,2018-07-24,36.97,36.97,36.97,36.97,100
135,2018-07-25,36.97,36.97,36.97,36.97,0
136,2018-07-26,31.69,38.11,31.69,32.67,8160
137,2018-07-27,37.84,37.84,37.84,37.84,100
138,2018-07-30,32.18,37.78,32.18,32.67,850
139,2018-07-31,33.59,33.59,28.58,32.67,1409
140,2018-08-01,32.12,32.12,32.12,32.12,0
141,2018-08-02,31.58,36.31,31.58,36.31,4900
142,2018-08-03,31.41,31.69,31.41,31.63,650
143,2018-08-06,33.59,33.65,30.76,30.76,1300
144,2018-08-07,33.7,33.7,33.48,33.48,400
145,2018-08-08,33.54,33.54,33.54,33.54,0
146,2018-08-09,29.4,30.82,28.53,30.49,6700
147,2018-08-10,30.76,30.76,28.86,30.43,2000
148,2018-08-13,29.84,29.84,28.04,29.51,12000
149,2018-08-14,28.2,29.35,28.2,29.24,32500
150,2018-08-15,32.07,32.07,29.4,29.4,22200
151,2018-08-16,29.67,29.67,28.58,29.45,19800
152,2018-08-17,30.38,30.38,27.49,28.96,13800
153,2018-08-20,28.64,29.13,27.22,27.22,6420
154,2018-08-21,28.96,28.96,27.22,27.77,4400
155,2018-08-22,28.64,28.64,27.22,27.28,2200
156,2018-08-23,27.44,28.31,27.44,28.26,1050
157,2018-08-24,30.49,30.49,28.75,28.75,300
158,2018-08-27,28.31,28.86,28.31,28.31,17500
159,2018-08-28,28.53,28.69,28.53,28.53,897
160,2018-08-29,29.13,29.13,27.22,28.58,6559
161,2018-08-30,27.77,29.13,27.77,29.13,1100
162,2018-08-31,29.02,29.02,27.33,27.33,1630
163,2018-09-04,28.75,28.75,28.75,28.75,100
164,2018-09-05,28.69,28.86,27.22,27.28,500
165,2018-09-06,26.68,27.71,26.68,27.71,420
166,2018-09-07,27.22,27.71,26.68,26.68,7100
167,2018-09-10,26.57,26.62,26.13,26.13,800
168,2018-09-11,23.68,26.24,23.41,23.41,5110
169,2018-09-12,25.04,25.04,20.63,20.63,7620
170,2018-09-13,18.51,21.12,18.13,18.35,24460
171,2018-09-14,20.36,20.63,18.62,19.6,4116
172,2018-09-17,20.63,20.69,18.08,18.29,17900
173,2018-09-18,17.8,17.8,15.79,15.95,19210
174,2018-09-19,14.81,16.28,14.7,14.7,5800
175,2018-09-20,16.33,16.77,12.9,15.08,16630
176,2018-09-21,12.79,15.24,12.41,15.24,4200
177,2018-09-24,14.54,15.79,14.54,15.79,2329
178,2018-09-25,15.79,15.79,14.7,15.35,7550
179,2018-09-26,15.24,15.24,14.65,14.7,8000
180,2018-09-27,14.7,15.24,14.05,15.19,12450
181,2018-09-28,14.75,15.14,14.75,14.97,6500
182,2018-10-01,14.81,14.86,14.65,14.65,16201
183,2018-10-02,14.7,14.7,14.1,14.7,19900
184,2018-10-03,14.16,14.7,13.18,13.18,5210
185,2018-10-04,13.39,13.39,11.43,11.43,42800
186,2018-10-05,11.43,12.14,10.45,11.43,16880
187,2018-10-08,11.0,11.0,10.94,10.94,2600
188,2018-10-09,11.0,11.0,9.91,9.91,10510
189,2018-10-10,9.8,10.83,9.8,10.83,3100
190,2018-10-11,10.34,10.34,9.09,9.96,5400
191,2018-10-12,9.42,10.89,9.31,10.83,1630
