,time,open,high,low,close,volume
0,2010-07-16,26.32,27.99,25.9,27.15,160300
1,2010-07-19,26.32,26.32,25.82,25.82,94410
2,2010-07-20,26.9,26.9,25.9,26.74,85180
3,2010-07-21,27.91,27.91,27.15,27.24,44010
4,2010-07-22,26.48,26.74,25.98,26.65,45220
5,2010-07-23,27.4,27.4,25.48,25.48,42080
6,2010-07-26,26.32,26.32,24.23,25.15,41210
7,2010-07-27,25.15,25.15,23.98,23.98,13090
8,2010-07-28,22.89,22.89,22.81,22.81,69810
9,2010-07-29,22.73,23.39,22.56,23.39,50070
10,2010-07-30,23.39,23.81,23.39,23.81,38210
11,2010-08-02,23.81,24.23,23.81,23.81,43870
12,2010-08-03,24.06,24.06,22.98,22.98,16070
13,2010-08-04,22.98,22.98,22.06,22.56,3680
14,2010-08-05,22.56,22.56,21.97,21.97,8050
15,2010-08-06,22.56,22.56,20.97,21.14,16030
16,2010-08-09,21.89,21.89,20.72,21.39,23710
17,2010-08-10,21.39,21.39,20.39,20.89,15700
18,2010-08-11,20.89,20.89,20.47,20.89,11470
19,2010-08-12,20.89,20.89,19.88,20.05,3910
20,2010-08-13,19.05,19.22,19.05,19.05,1200
21,2010-08-16,19.88,19.97,19.05,19.97,21450
22,2010-08-17,20.89,20.89,20.47,20.89,55240
23,2010-08-18,21.89,21.89,21.72,21.89,150720
24,2010-08-19,22.06,22.06,20.8,21.72,82080
25,2010-08-20,21.47,21.47,21.3,21.47,22400
26,2010-08-23,20.89,21.56,20.72,20.89,23100
27,2010-08-24,19.88,19.88,19.88,19.88,8940
28,2010-08-25,18.97,18.97,18.97,18.97,50
29,2010-08-26,19.22,19.63,18.05,18.05,45730
30,2010-08-27,17.21,18.38,17.21,18.05,52870
31,2010-08-30,18.05,18.88,18.05,18.63,54010
32,2010-08-31,19.13,19.47,19.13,19.47,15100
33,2010-09-01,19.55,19.55,18.55,18.8,21540
34,2010-09-06,19.47,19.72,19.47,19.72,72000
35,2010-09-07,19.72,20.05,18.8,18.8,19720
36,2010-09-08,19.63,19.63,17.96,18.8,10590
37,2010-09-09,18.13,19.13,17.88,18.8,89020
38,2010-09-10,18.88,18.88,17.88,18.3,48160
39,2010-09-13,17.46,18.3,17.46,18.3,52780
40,2010-09-14,18.3,18.38,17.46,17.96,27500
41,2010-09-15,17.96,17.96,17.13,17.13,28630
42,2010-09-16,16.38,16.38,16.29,16.29,89860
43,2010-09-17,16.71,17.04,16.29,16.88,58740
44,2010-09-20,17.46,17.55,16.63,17.21,46440
45,2010-09-21,17.21,17.21,16.38,17.21,155270
46,2010-09-22,17.21,18.05,16.38,18.05,185180
47,2010-09-23,18.88,18.88,17.63,18.55,396090
48,2010-09-24,18.38,18.38,17.63,17.63,267480
49,2010-09-27,16.96,18.21,16.96,16.96,78560
50,2010-09-28,17.13,17.13,16.63,17.13,78620
51,2010-09-29,16.96,16.96,16.29,16.71,172050
52,2010-09-30,16.04,16.38,15.87,15.87,152030
53,2010-10-01,16.29,16.29,15.21,15.21,64230
54,2010-10-04,14.7,15.21,14.45,14.45,171280
55,2010-10-05,14.45,14.45,13.79,14.2,116860
56,2010-10-06,14.2,14.7,14.2,14.62,57360
57,2010-10-07,14.7,14.96,14.04,14.04,36140
58,2010-10-08,13.62,14.12,13.45,13.45,126750
59,2010-10-11,13.28,13.87,13.28,13.28,56380
60,2010-10-12,13.45,13.87,13.45,13.7,100420
61,2010-10-13,13.37,13.95,13.37,13.62,16920
62,2010-10-14,13.7,13.79,13.53,13.53,23770
63,2010-10-15,13.53,13.53,13.28,13.37,22990
64,2010-10-18,13.37,13.62,13.2,13.45,94190
65,2010-10-19,13.62,13.7,12.87,13.62,35310
66,2010-10-20,13.62,13.62,12.95,12.95,99390
67,2010-10-21,12.87,13.12,12.37,12.45,77780
68,2010-10-22,12.11,12.62,11.86,11.86,87470
69,2010-10-25,11.61,11.61,11.28,11.36,101350
70,2010-10-26,11.86,11.86,11.45,11.86,83310
71,2010-10-27,11.36,11.86,11.36,11.36,56170
72,2010-10-28,11.45,11.61,11.36,11.45,22540
73,2010-10-29,11.61,11.61,11.36,11.45,41440
74,2010-11-01,11.45,11.7,11.45,11.45,42870
75,2010-11-02,11.45,11.45,11.11,11.11,47470
76,2010-11-03,10.86,11.03,10.86,10.86,39040
77,2010-11-04,10.86,11.28,10.86,11.28,44580
78,2010-11-05,11.78,11.78,11.45,11.45,96030
79,2010-11-08,11.2,11.7,11.2,11.36,31710
80,2010-11-09,10.94,11.36,10.94,10.94,53690
81,2010-11-10,11.11,11.28,10.94,11.2,32810
82,2010-11-11,11.36,11.36,10.78,11.03,17730
83,2010-11-12,11.03,11.03,10.53,10.86,79050
84,2010-11-15,10.86,10.86,10.36,10.69,35430
85,2010-11-16,10.69,10.69,10.19,10.19,40060
86,2010-11-17,10.03,10.61,10.03,10.19,31070
87,2010-11-18,10.19,10.69,10.19,10.61,39840
88,2010-11-19,10.94,10.94,10.19,10.53,35650
89,2010-11-22,10.03,10.03,10.03,10.03,39870
90,2010-11-23,10.11,10.28,9.86,10.28,39630
91,2010-11-24,9.78,10.28,9.78,10.28,27330
92,2010-11-25,10.36,10.78,10.11,10.53,43260
93,2010-11-26,10.86,10.86,10.03,10.53,46850
94,2010-11-29,10.69,10.69,10.11,10.28,100370
95,2010-11-30,10.78,10.78,10.69,10.78,146210
96,2010-12-01,11.2,11.28,10.86,11.28,160740
97,2010-12-02,11.78,11.78,11.78,11.78,29200
98,2010-12-03,12.37,12.37,12.37,12.37,11050
99,2010-12-06,12.95,12.95,12.95,12.95,127630
100,2010-12-07,13.53,13.53,13.53,13.53,698010
101,2010-12-08,13.53,13.53,12.87,12.87,218380
102,2010-12-09,12.45,13.45,12.28,13.37,321490
103,2010-12-10,13.45,13.62,13.2,13.37,108500
104,2010-12-13,13.95,13.95,13.37,13.37,248550
105,2010-12-14,13.37,13.53,12.7,12.78,289420
106,2010-12-15,13.22,13.39,12.96,13.22,156180
107,2010-12-16,13.3,13.3,12.61,12.61,136440
108,2010-12-17,12.52,13.04,12.01,12.52,67770
109,2010-12-20,12.7,12.87,11.92,11.92,123870
110,2010-12-21,12.09,12.09,11.4,11.4,173090
111,2010-12-22,11.92,11.92,11.92,11.92,40940
112,2010-12-23,11.92,11.92,11.49,11.49,82670
113,2010-12-24,11.31,11.92,11.31,11.49,52820
114,2010-12-27,11.49,11.92,11.23,11.23,81040
115,2010-12-28,11.23,11.75,11.23,11.75,146510
116,2010-12-29,12.09,12.18,11.66,11.83,54950
117,2010-12-30,11.83,12.01,11.49,11.49,41040
118,2010-12-31,11.49,11.75,11.49,11.57,75700
119,2011-01-04,11.57,11.75,11.4,11.57,49310
120,2011-01-05,11.57,11.57,11.23,11.23,68460
121,2011-01-06,11.23,11.4,11.23,11.23,60790
122,2011-01-07,11.23,11.4,11.23,11.31,79220
123,2011-01-10,11.31,11.31,10.97,10.97,37470
124,2011-01-11,10.97,10.97,10.62,10.62,52020
125,2011-01-12,10.62,11.14,10.62,11.14,37080
126,2011-01-13,11.14,11.57,11.14,11.31,65400
127,2011-01-14,11.49,11.57,11.14,11.57,51540
128,2011-01-17,11.83,12.01,11.57,11.83,100500
129,2011-01-18,11.83,11.92,11.57,11.57,62830
130,2011-01-19,11.66,12.01,11.49,12.01,208050
131,2011-01-20,12.01,12.01,11.66,11.66,86410
132,2011-01-21,11.66,11.83,11.57,11.66,117060
133,2011-01-24,12.01,12.01,11.23,11.23,100500
134,2011-01-25,11.31,11.4,11.06,11.4,59520
135,2011-01-26,11.4,11.66,11.23,11.66,2020
