,time,open,high,low,close,volume
0,2020-06-18,17.18,17.18,17.18,17.18,0
1,2020-06-19,17.18,17.18,17.18,17.18,0
2,2020-06-22,17.18,17.18,17.18,17.18,0
3,2020-06-23,17.18,17.18,17.18,17.18,0
4,2020-06-24,17.18,17.18,17.18,17.18,0
5,2020-06-25,17.18,17.18,17.18,17.18,0
6,2020-06-26,17.18,17.18,17.18,17.18,0
7,2020-06-29,17.18,17.18,17.18,17.18,0
8,2020-06-30,17.18,17.18,17.18,17.18,0
9,2020-07-01,17.18,17.18,17.18,17.18,0
10,2020-07-02,17.18,17.18,17.18,17.18,0
11,2020-07-03,17.18,17.18,17.18,17.18,0
12,2020-07-06,17.18,17.18,17.18,17.18,0
13,2020-07-07,17.18,17.18,17.18,17.18,0
14,2020-07-08,17.18,17.18,17.18,17.18,0
15,2020-07-09,23.97,24.05,23.9,23.9,6000
16,2020-07-10,24.42,25.54,24.42,25.54,1100
17,2020-07-13,28.15,28.15,28.15,28.15,100
18,2020-07-14,32.34,32.34,32.34,32.34,3500
19,2020-07-15,36.59,36.67,36.44,36.44,1815
20,2020-07-16,36.67,36.67,36.67,36.67,900
21,2020-07-17,36.67,36.67,36.67,36.67,0
22,2020-07-20,31.22,31.22,31.22,31.22,100
23,2020-07-21,31.22,31.22,31.22,31.22,100
24,2020-07-22,31.22,31.22,31.22,31.22,0
25,2020-07-23,30.62,30.99,30.62,30.99,200
26,2020-07-24,26.89,26.89,26.29,26.51,1600
27,2020-07-27,26.66,26.51,26.51,26.51,0
28,2020-07-28,26.89,26.89,26.89,26.89,900
29,2020-07-29,29.87,29.87,29.87,29.87,100
30,2020-07-30,29.87,29.87,29.87,29.87,0
31,2020-07-31,29.8,29.8,29.8,29.8,200
32,2020-08-03,29.72,29.72,29.72,29.72,300
33,2020-08-04,29.72,29.72,29.72,29.72,0
34,2020-08-05,29.5,29.5,29.5,29.5,200
35,2020-08-06,29.5,29.5,29.5,29.5,0
36,2020-08-07,25.39,25.84,25.39,25.84,200
37,2020-08-10,25.62,25.62,25.62,25.62,100
38,2020-08-11,25.62,25.62,25.62,25.62,0
39,2020-08-12,25.62,25.62,25.62,25.62,0
40,2020-08-13,25.62,25.62,25.62,25.62,0
41,2020-08-14,23.9,24.64,23.9,24.64,200
42,2020-08-17,22.26,22.26,22.26,22.26,100
43,2020-08-18,22.7,22.7,22.7,22.7,100
44,2020-08-19,23.23,23.9,23.23,23.9,200
45,2020-08-20,22.55,22.55,22.55,22.55,100
46,2020-08-21,22.55,22.55,22.55,22.55,0
47,2020-08-24,22.55,22.55,22.55,22.55,0
48,2020-08-25,23.0,23.08,23.0,23.08,1400
49,2020-08-26,23.3,23.9,23.3,23.9,200
50,2020-08-27,20.09,27.11,20.09,22.85,700
51,2020-08-28,22.18,26.14,22.18,26.14,900
52,2020-08-31,26.14,26.14,26.14,26.14,200
53,2020-09-01,26.89,26.89,26.81,26.81,200
54,2020-09-03,26.89,26.89,26.81,26.81,200
55,2020-09-04,26.89,26.89,26.81,26.89,500
56,2020-09-07,24.64,25.02,24.64,24.64,2300
57,2020-09-08,24.64,24.64,24.64,24.64,200
58,2020-09-09,24.72,24.72,24.72,24.72,100
59,2020-09-10,25.02,25.39,24.79,25.39,3700
60,2020-09-11,24.87,25.39,24.87,25.39,2000
61,2020-09-14,25.47,25.47,25.47,25.47,100
62,2020-09-15,25.54,25.54,25.47,25.47,400
63,2020-09-16,25.54,25.54,25.47,25.47,900
64,2020-09-17,25.39,25.39,25.39,25.39,500
65,2020-09-18,25.39,25.39,25.32,25.32,1400
66,2020-09-21,25.02,25.32,24.87,25.32,3000
67,2020-09-22,25.24,25.39,25.24,25.39,3300
68,2020-09-23,25.09,25.09,25.09,25.09,200
69,2020-09-24,25.09,25.17,25.09,25.09,700
70,2020-09-25,25.09,25.09,25.09,25.09,0
71,2020-09-28,25.02,25.02,24.94,24.94,200
72,2020-09-29,25.02,24.94,24.94,24.94,0
73,2020-09-30,25.02,24.94,24.94,24.94,0
74,2020-10-01,24.64,24.64,24.27,24.27,900
75,2020-10-02,24.27,24.27,23.9,23.9,400
76,2020-10-05,23.9,23.9,23.9,23.9,100
77,2020-10-06,23.9,23.9,23.9,23.9,0
78,2020-10-07,23.9,23.9,23.9,23.9,0
79,2020-10-08,23.9,23.9,23.9,23.9,0
80,2020-10-09,23.9,23.9,23.9,23.9,0
81,2020-10-12,23.9,23.9,23.9,23.9,0
82,2020-10-13,23.9,23.9,23.9,23.9,0
83,2020-10-14,23.9,23.9,23.9,23.9,300
84,2020-10-15,23.9,23.9,23.9,23.9,0
85,2020-10-16,23.9,23.9,23.9,23.9,0
86,2020-10-19,23.9,23.9,23.9,23.9,1800
87,2020-10-20,24.72,24.72,24.72,24.72,100
88,2020-10-21,24.57,24.64,24.57,24.64,300
89,2020-10-22,24.64,24.72,24.64,24.72,400
90,2020-10-23,23.9,25.77,23.9,25.77,1200
91,2020-10-26,25.47,25.77,25.77,25.77,0
92,2020-10-27,25.47,25.77,25.77,25.77,0
93,2020-10-28,25.47,25.77,25.77,25.77,0
94,2020-10-29,25.47,25.77,25.77,25.77,0
95,2020-10-30,25.47,25.77,25.77,25.77,0
96,2020-11-02,25.47,25.77,25.77,25.77,0
97,2020-11-03,25.47,25.77,25.77,25.77,0
98,2020-11-04,25.77,25.77,25.77,25.77,1100
99,2020-11-05,25.39,25.39,25.39,25.39,500
100,2020-11-06,25.39,25.39,25.39,25.39,0
101,2020-11-09,25.39,25.39,25.39,25.39,0
102,2020-11-10,25.39,25.39,25.39,25.39,100
103,2020-11-11,25.77,25.77,25.77,25.77,200
104,2020-11-12,25.77,25.77,25.77,25.77,0
105,2020-11-13,25.77,25.77,25.77,25.77,0
106,2020-11-16,26.14,26.14,26.14,26.14,500
107,2020-11-17,25.99,26.14,25.99,26.14,1600
108,2020-11-18,26.06,26.14,26.14,26.14,0
109,2020-11-19,26.14,26.14,26.14,26.14,100
110,2020-11-20,26.14,26.14,26.14,26.14,0
111,2020-11-23,26.14,26.14,26.14,26.14,0
112,2020-11-24,26.14,26.14,26.14,26.14,200
113,2020-11-25,26.14,26.14,24.64,24.64,300
114,2020-11-26,25.62,24.64,24.64,24.64,0
115,2020-11-27,23.9,23.9,23.9,23.9,300
116,2020-11-30,23.9,23.9,23.9,23.9,0
117,2020-12-01,23.9,23.9,23.9,23.9,0
118,2020-12-02,25.99,25.99,25.39,25.39,700
119,2020-12-03,25.77,25.77,25.77,25.77,700
120,2020-12-04,26.06,26.14,25.99,26.14,2200
121,2020-12-07,26.14,28.75,26.14,28.75,2800
122,2020-12-08,29.87,32.34,29.87,32.34,7900
123,2020-12-09,29.87,30.62,29.87,30.62,2900
124,2020-12-10,32.86,32.86,30.62,30.62,200
125,2020-12-11,33.61,33.61,32.86,32.86,4600
126,2020-12-14,33.61,33.61,33.61,33.61,600
127,2020-12-15,33.61,33.61,33.61,33.61,0
128,2020-12-16,29.2,31.37,28.68,31.37,3400
129,2020-12-17,33.61,34.35,33.61,34.35,6800
130,2020-12-18,34.35,34.35,34.35,34.35,300
131,2020-12-21,35.85,35.85,35.85,35.85,100
132,2020-12-22,35.85,38.83,35.85,38.83,5000
133,2020-12-23,38.83,38.83,37.34,37.34,3300
134,2020-12-24,34.35,34.35,32.11,32.11,400
135,2020-12-25,37.34,37.34,35.85,35.85,1200
136,2020-12-28,33.68,35.85,33.61,33.61,3000
137,2020-12-29,32.11,39.21,32.11,39.21,1000
138,2020-12-30,35.1,35.92,33.61,35.85,4000
139,2020-12-31,33.61,37.34,33.61,37.19,300
140,2021-01-04,35.85,36.97,35.85,36.97,2100
141,2021-01-05,36.97,36.97,36.59,36.59,800
142,2021-01-06,36.97,36.97,36.97,36.97,100
143,2021-01-07,37.04,37.19,37.04,37.19,800
144,2021-01-08,37.12,37.12,36.22,36.22,200
145,2021-01-11,36.67,37.19,36.67,37.19,1500
146,2021-01-12,37.19,37.34,37.19,37.34,700
147,2021-01-13,36.97,36.97,36.97,36.97,100
148,2021-01-14,35.85,35.85,35.85,35.85,100
149,2021-01-15,37.19,38.83,37.19,38.09,13100
150,2021-01-18,38.09,38.09,37.34,37.71,1900
151,2021-01-19,37.71,37.71,37.71,37.71,0
152,2021-01-20,37.49,38.09,37.49,38.09,6700
153,2021-01-21,38.01,38.09,37.94,38.01,2700
154,2021-01-22,37.94,37.94,37.42,37.71,2000
155,2021-01-25,37.64,37.71,37.71,37.71,0
156,2021-01-26,36.59,36.59,36.59,36.59,500
157,2021-01-27,36.59,36.59,36.59,36.59,0
158,2021-01-28,36.59,36.59,36.59,36.59,100
159,2021-01-29,33.61,33.61,33.61,33.61,100
160,2021-02-01,36.59,37.34,36.59,37.34,500
161,2021-02-02,37.19,37.34,37.34,37.34,0
162,2021-02-03,37.19,37.34,37.34,37.34,0
163,2021-02-04,36.59,37.34,36.59,37.34,700
164,2021-02-05,37.27,37.34,37.34,37.34,0
165,2021-02-08,37.27,37.34,37.34,37.34,0
166,2021-02-09,37.27,37.34,37.34,37.34,0
167,2021-02-17,35.85,37.71,35.85,37.71,2300
168,2021-02-18,37.49,38.83,37.49,38.83,21200
169,2021-02-19,38.09,39.58,37.34,39.06,8600
170,2021-02-22,39.43,41.82,39.43,41.82,15200
171,2021-02-23,42.12,43.32,41.07,42.94,9500
172,2021-02-24,43.69,43.69,42.49,42.57,4300
173,2021-02-25,42.64,44.81,42.64,43.09,4200
174,2021-02-26,42.72,42.79,38.09,41.67,2500
175,2021-03-01,41.22,41.9,41.15,41.9,5700
176,2021-03-02,41.9,43.32,41.9,42.57,1800
177,2021-03-03,42.42,42.42,42.42,42.42,600
178,2021-03-04,41.67,41.67,41.07,41.22,1200
179,2021-03-05,41.3,41.22,41.22,41.22,0
180,2021-03-08,39.58,40.03,39.58,39.73,1300
181,2021-03-09,39.95,42.57,39.21,42.57,1100
182,2021-03-10,39.58,42.57,42.57,42.57,0
183,2021-03-11,42.57,43.32,41.82,41.82,5600
184,2021-03-12,44.66,44.81,44.66,44.81,5900
185,2021-03-15,45.18,47.05,45.18,47.05,7000
186,2021-03-16,53.47,53.47,53.02,53.47,400
187,2021-03-17,56.76,56.76,56.61,56.61,2200
188,2021-03-18,56.61,56.61,55.86,55.86,1300
189,2021-03-19,53.77,57.5,52.28,57.5,19600
190,2021-03-22,51.53,62.28,51.53,62.28,27000
191,2021-03-23,62.28,66.62,53.85,63.55,22000
