,time,open,high,low,close,volume
0,2020-01-08,9.57,9.57,9.57,9.57,0
1,2020-01-09,9.57,9.57,9.57,9.57,0
2,2020-01-10,9.57,9.57,9.57,9.57,0
3,2020-01-13,9.57,9.57,9.57,9.57,0
4,2020-01-14,9.57,9.57,9.57,9.57,0
5,2020-01-15,9.57,9.57,9.57,9.57,0
6,2020-01-16,9.57,9.57,9.57,9.57,0
7,2020-01-17,9.57,9.57,9.57,9.57,0
8,2020-01-20,9.57,9.57,9.57,9.57,0
9,2020-01-21,9.57,9.57,9.57,9.57,0
10,2020-01-22,9.57,9.57,9.57,9.57,0
11,2020-01-30,9.57,9.57,9.57,9.57,0
12,2020-01-31,9.57,9.57,9.57,9.57,0
13,2020-02-03,9.57,9.57,9.57,9.57,0
14,2020-02-04,9.57,9.57,9.57,9.57,0
15,2020-02-05,9.57,9.57,9.57,9.57,0
16,2020-02-06,9.57,9.57,9.57,9.57,0
17,2020-02-07,9.57,9.57,9.57,9.57,0
18,2020-02-10,9.57,9.57,9.57,9.57,0
19,2020-02-11,9.57,9.57,9.57,9.57,0
20,2020-02-12,9.57,9.57,9.57,9.57,0
21,2020-02-13,9.57,9.57,9.57,9.57,0
22,2020-02-14,9.57,9.57,9.57,9.57,0
23,2020-02-17,9.57,9.57,9.57,9.57,0
24,2020-02-18,9.57,9.57,9.57,9.57,0
25,2020-02-19,9.57,9.57,9.57,9.57,0
26,2020-02-20,9.57,9.57,9.57,9.57,0
27,2020-02-21,9.57,9.57,9.57,9.57,0
28,2020-02-24,9.57,9.57,9.57,9.57,0
29,2020-02-25,9.57,9.57,9.57,9.57,0
30,2020-02-26,9.57,9.57,9.57,9.57,0
31,2020-02-27,9.57,9.57,9.57,9.57,0
32,2020-02-28,9.57,9.57,9.57,9.57,0
33,2020-03-02,9.57,9.57,9.57,9.57,0
34,2020-03-03,9.57,9.57,9.57,9.57,0
35,2020-03-04,9.57,9.57,9.57,9.57,0
36,2020-03-05,9.57,9.57,9.57,9.57,0
37,2020-03-06,9.57,9.57,9.57,9.57,0
38,2020-03-09,9.57,9.57,9.57,9.57,0
39,2020-03-10,9.57,9.57,9.57,9.57,0
40,2020-03-11,9.57,9.57,9.57,9.57,0
41,2020-03-12,9.57,9.57,9.57,9.57,0
42,2020-03-13,9.57,9.57,9.57,9.57,0
43,2020-03-16,9.57,9.57,9.57,9.57,0
44,2020-03-17,9.57,9.57,9.57,9.57,0
45,2020-03-18,9.57,9.57,9.57,9.57,0
46,2020-03-19,9.57,9.57,9.57,9.57,0
47,2020-03-20,9.57,9.57,9.57,9.57,0
48,2020-03-23,9.57,9.57,9.57,9.57,0
49,2020-03-24,9.57,9.57,9.57,9.57,0
50,2020-03-25,9.57,9.57,9.57,9.57,0
51,2020-03-26,9.57,9.57,9.57,9.57,0
52,2020-03-27,9.57,9.57,9.57,9.57,0
53,2020-03-30,9.57,9.57,9.57,9.57,0
54,2020-03-31,9.57,9.57,9.57,9.57,0
55,2020-04-01,9.57,9.57,9.57,9.57,0
56,2020-04-03,9.57,9.57,9.57,9.57,0
57,2020-04-06,9.57,9.57,9.57,9.57,0
58,2020-04-07,9.57,9.57,9.57,9.57,0
59,2020-04-08,9.57,9.57,9.57,9.57,0
60,2020-04-09,9.57,9.57,9.57,9.57,0
61,2020-04-10,9.57,9.57,9.57,9.57,0
62,2020-04-13,9.57,9.57,9.57,9.57,0
63,2020-04-14,9.57,9.57,9.57,9.57,0
64,2020-04-15,9.57,9.57,9.57,9.57,0
65,2020-04-16,9.57,9.57,9.57,9.57,0
66,2020-04-17,9.57,9.57,9.57,9.57,0
67,2020-04-20,9.57,9.57,9.57,9.57,0
68,2020-04-21,9.57,9.57,9.57,9.57,0
69,2020-04-22,9.57,9.57,9.57,9.57,0
70,2020-04-23,9.57,9.57,9.57,9.57,0
