,time,open,high,low,close,volume
0,2021-01-14,15.8,15.8,15.8,15.8,600
1,2021-01-15,17.3,17.3,17.3,17.3,100
2,2021-01-18,19.0,19.0,19.0,19.0,100
3,2021-01-19,20.9,20.9,20.9,20.9,100
4,2021-01-20,22.9,22.9,22.9,22.9,53400
5,2021-01-21,25.1,25.1,20.8,20.8,37600
6,2021-01-22,20.8,20.8,19.1,19.1,2100
7,2021-01-25,19.0,19.0,18.0,19.0,31500
8,2021-01-26,18.0,18.0,17.2,17.2,8300
9,2021-01-27,16.8,16.8,15.8,15.8,2600
10,2021-01-28,15.8,15.8,14.7,14.7,1100
11,2021-01-29,14.7,14.7,14.6,14.7,1500
12,2021-02-01,14.6,14.7,14.5,14.5,5600
13,2021-02-02,14.5,14.7,14.5,14.7,3900
14,2021-02-03,14.8,14.9,14.8,14.9,600
15,2021-02-04,14.9,15.8,14.9,15.8,12200
16,2021-02-05,15.8,15.8,15.8,15.8,100
17,2021-02-08,14.7,15.5,14.7,15.5,13400
18,2021-02-09,15.5,15.6,15.5,15.6,2100
19,2021-02-17,14.5,14.7,14.5,14.7,800
20,2021-02-18,15.6,15.8,14.7,15.7,9100
21,2021-02-19,15.7,16.1,14.5,15.0,5100
22,2021-02-22,15.0,15.5,13.5,14.6,9100
23,2021-02-23,14.4,15.0,14.4,15.0,2300
24,2021-02-24,15.0,15.0,13.5,13.5,3400
25,2021-02-25,14.8,14.8,14.6,14.8,37500
26,2021-02-26,15.0,15.3,15.0,15.3,5000
27,2021-03-01,16.0,16.0,16.0,16.0,3200
28,2021-03-02,16.6,16.6,16.0,16.0,1000
29,2021-03-03,16.0,16.0,16.0,16.0,0
30,2021-03-04,14.8,15.8,14.4,15.8,20900
31,2021-03-05,15.8,15.8,14.9,14.9,4800
32,2021-03-08,15.8,16.3,15.8,16.0,6400
33,2021-03-09,15.1,16.4,15.0,16.4,1400
34,2021-03-10,16.3,18.0,16.3,18.0,9300
35,2021-03-11,19.8,19.8,16.2,16.5,110500
36,2021-03-12,16.4,16.5,16.4,16.5,4200
37,2021-03-15,18.1,18.1,16.3,17.8,18300
38,2021-03-16,19.5,19.5,17.8,19.0,5200
39,2021-03-17,19.0,20.5,19.0,19.0,49600
40,2021-03-18,19.0,20.2,19.0,19.1,9200
41,2021-03-19,19.1,19.1,19.0,19.0,700
42,2021-03-22,19.1,19.1,19.0,19.0,1200
43,2021-03-23,20.2,20.2,20.0,20.0,700
44,2021-03-24,18.2,18.2,18.1,18.1,2500
45,2021-03-25,19.0,19.5,16.6,19.2,2000
