,time,open,high,low,close,volume
0,2009-06-16,4.29,5.1,3.92,5.1,140300
1,2009-06-17,4.55,4.55,4.07,4.17,12100
2,2009-06-18,4.04,4.07,4.04,4.04,5600
3,2009-06-19,3.99,4.09,3.76,3.79,15000
4,2009-06-22,3.61,3.61,3.56,3.56,20600
5,2009-06-23,3.33,3.79,3.33,3.33,16300
6,2009-06-24,3.41,3.44,3.23,3.23,30900
7,2009-06-25,3.08,3.08,3.03,3.03,16700
8,2009-06-26,3.23,3.23,2.91,3.06,10200
9,2009-06-29,3.16,3.18,3.13,3.18,8700
10,2009-06-30,3.36,3.36,3.16,3.18,5000
11,2009-07-01,3.16,3.16,3.01,3.08,11900
12,2009-07-02,3.03,3.16,3.03,3.03,5800
13,2009-07-03,3.13,3.16,2.93,3.16,1300
14,2009-07-06,3.03,3.26,3.03,3.18,3000
15,2009-07-07,3.08,3.08,3.03,3.03,6600
16,2009-07-08,3.13,3.13,3.13,3.13,100
17,2009-07-09,3.03,3.03,3.03,3.03,1000
18,2009-07-10,2.91,2.91,2.91,2.91,1400
19,2009-07-13,3.03,3.11,3.03,3.11,1100
20,2009-07-14,3.11,3.11,3.11,3.11,100
21,2009-07-15,2.91,3.03,2.91,3.03,2200
22,2009-07-16,2.7,2.93,2.7,2.83,5300
23,2009-07-17,2.78,2.85,2.78,2.8,2100
24,2009-07-20,2.75,2.78,2.75,2.78,2400
25,2009-07-21,2.6,2.7,2.6,2.65,9500
26,2009-07-22,2.8,2.8,2.55,2.55,600
27,2009-07-23,2.53,2.78,2.53,2.78,1500
28,2009-07-24,2.83,2.83,2.83,2.83,800
29,2009-07-27,3.01,3.01,2.93,2.96,3000
30,2009-07-28,2.91,2.91,2.78,2.78,2400
31,2009-07-29,2.83,2.83,2.68,2.68,4500
32,2009-07-30,2.63,2.63,2.63,2.63,600
33,2009-07-31,2.78,2.8,2.65,2.8,1800
34,2009-08-03,2.6,2.73,2.6,2.68,1300
35,2009-08-04,2.73,2.75,2.73,2.75,200
36,2009-08-05,2.65,2.93,2.65,2.93,9900
37,2009-08-06,3.03,3.03,3.03,3.03,10500
38,2009-08-07,3.23,3.23,3.21,3.23,25000
39,2009-08-10,3.41,3.41,3.28,3.28,7400
40,2009-08-11,3.16,3.16,3.16,3.16,2300
41,2009-08-12,2.96,3.23,2.96,3.23,2400
42,2009-08-13,3.13,3.16,2.98,2.98,4600
43,2009-08-14,3.01,3.21,3.01,3.21,11800
44,2009-08-17,3.26,3.26,3.13,3.13,800
45,2009-08-18,3.16,3.16,2.98,2.98,7000
46,2009-08-19,3.18,3.18,3.18,3.18,100
47,2009-08-20,2.98,2.98,2.98,2.98,6700
48,2009-08-21,3.08,3.08,2.96,2.96,8600
49,2009-08-24,2.98,2.98,2.93,2.93,11400
50,2009-08-25,2.78,2.91,2.78,2.91,2100
51,2009-08-26,3.01,3.01,2.96,2.98,4000
52,2009-08-27,2.93,2.98,2.93,2.98,200
53,2009-08-28,3.03,3.03,2.98,2.98,5500
54,2009-08-31,3.16,3.16,3.16,3.16,1400
55,2009-09-01,3.13,3.13,3.01,3.01,2500
56,2009-09-03,2.88,3.01,2.88,3.01,2200
57,2009-09-04,2.96,2.96,2.96,2.96,1500
58,2009-09-07,3.01,3.01,3.01,3.01,100
59,2009-09-08,3.03,3.03,3.03,3.03,500
60,2009-09-09,3.03,3.03,2.93,2.93,4900
61,2009-09-10,3.01,3.03,2.93,3.01,7000
62,2009-09-11,2.96,2.98,2.96,2.98,400
63,2009-09-14,2.98,3.03,2.96,3.03,3700
64,2009-09-15,2.85,2.91,2.85,2.91,2100
65,2009-09-16,2.91,2.93,2.8,2.91,7500
66,2009-09-17,2.8,2.83,2.8,2.83,3400
67,2009-09-18,2.83,2.93,2.83,2.91,7000
68,2009-09-21,2.88,2.91,2.88,2.88,3300
69,2009-09-22,2.91,2.91,2.91,2.91,2000
70,2009-09-23,2.91,2.91,2.91,2.91,1600
71,2009-09-24,2.91,2.91,2.88,2.88,2500
72,2009-09-25,2.88,2.88,2.88,2.88,0
73,2009-09-28,2.78,2.91,2.78,2.91,1300
74,2009-09-29,2.91,2.91,2.91,2.91,5000
75,2009-09-30,2.78,2.91,2.78,2.91,1900
76,2009-10-01,2.88,2.93,2.88,2.93,8400
77,2009-10-02,3.11,3.11,2.96,2.98,7300
