,time,open,high,low,close,volume
0,2018-01-05,11.04,0.0,0.0,0.0,0
1,2018-01-08,11.04,11.04,11.04,11.04,0
2,2018-01-09,11.04,11.04,11.04,11.04,0
3,2018-01-10,11.04,11.04,11.04,11.04,0
4,2018-01-11,11.04,11.04,11.04,11.04,0
5,2018-01-12,15.45,15.45,15.45,15.45,1200
6,2018-01-15,15.45,15.45,15.45,15.45,0
7,2018-01-16,15.45,15.45,15.45,15.45,0
8,2018-01-17,15.45,15.45,15.45,15.45,0
9,2018-01-18,15.67,17.77,15.67,17.27,800
10,2018-01-19,19.08,19.08,19.08,19.08,210
11,2018-01-22,20.65,20.65,19.08,19.08,1400
12,2018-01-23,19.58,21.36,19.4,21.36,712
13,2018-01-24,19.79,19.79,19.79,19.79,0
14,2018-01-25,17.8,17.84,17.8,17.84,1000
15,2018-01-26,17.8,19.05,17.8,19.05,1400
16,2018-01-29,17.87,17.87,17.84,17.84,1500
17,2018-01-30,18.87,19.58,18.55,19.58,8600
18,2018-01-31,19.23,19.23,19.23,19.23,300
19,2018-02-01,19.23,19.23,19.23,19.23,63
20,2018-02-02,19.23,19.23,19.23,19.23,56
21,2018-02-05,18.51,18.87,18.51,18.87,2000
22,2018-02-06,18.51,18.51,18.34,18.34,600
23,2018-02-07,18.51,19.58,18.51,19.58,1400
24,2018-02-08,19.37,19.37,19.37,19.58,19
25,2018-02-09,19.37,19.37,19.37,19.37,0
26,2018-02-12,18.87,19.23,18.87,19.23,1900
27,2018-02-13,19.19,19.19,19.19,19.19,0
28,2018-02-21,19.19,19.19,19.19,19.19,0
29,2018-02-22,19.19,19.19,19.19,19.23,56
30,2018-02-23,19.19,19.19,19.19,19.19,0
31,2018-02-26,19.05,19.05,19.05,19.05,1500
32,2018-02-27,18.51,19.05,18.51,19.05,1100
33,2018-02-28,18.87,18.9,18.87,18.87,930
34,2018-03-01,19.05,19.05,19.05,19.05,246
35,2018-03-02,19.05,19.05,19.05,19.05,1343
36,2018-03-05,19.05,19.05,19.05,19.05,0
37,2018-03-06,18.51,18.87,18.51,18.87,4986
38,2018-03-07,18.58,18.58,18.58,18.58,0
39,2018-03-08,18.51,18.51,18.51,18.51,849
40,2018-03-09,18.16,18.26,18.16,18.26,1024
41,2018-03-12,18.23,18.23,18.23,18.23,0
42,2018-03-13,18.51,18.51,18.51,18.51,2324
