,time,open,high,low,close,volume
0,2010-01-18,21.32,21.32,18.6,19.55,318650
1,2010-01-19,19.55,19.6,18.6,18.6,59540
2,2010-01-20,18.82,18.82,17.69,17.69,127610
3,2010-01-21,16.92,17.69,16.83,16.83,62170
4,2010-01-22,16.83,16.83,16.01,16.01,77630
5,2010-01-25,16.01,16.78,15.88,16.56,32210
6,2010-01-26,17.01,17.37,17.01,17.37,69060
7,2010-01-27,17.37,17.46,16.78,17.01,34300
8,2010-01-28,17.33,17.33,16.65,17.24,29910
9,2010-01-29,17.19,17.24,16.74,17.19,27590
10,2010-02-01,17.19,17.42,16.83,17.19,44890
11,2010-02-02,17.19,17.24,16.83,17.01,31840
12,2010-02-03,16.78,17.01,16.6,16.65,50720
13,2010-02-04,16.6,17.06,16.6,16.78,43180
14,2010-02-05,16.38,16.74,16.1,16.1,60150
15,2010-02-08,16.87,16.87,15.88,16.87,122400
16,2010-02-09,17.19,17.19,16.87,16.92,40510
17,2010-02-10,17.37,17.37,17.19,17.19,14420
18,2010-02-11,17.19,17.19,16.42,17.06,37650
19,2010-02-12,16.33,16.56,16.24,16.28,86340
20,2010-02-22,15.88,16.33,15.88,15.97,13270
21,2010-02-23,15.38,15.51,15.24,15.38,24250
22,2010-02-24,15.38,15.38,15.06,15.38,4430
23,2010-02-25,15.74,15.74,15.11,15.38,79090
24,2010-02-26,15.38,15.38,15.29,15.38,54340
25,2010-03-01,15.38,15.38,15.2,15.24,125950
26,2010-03-02,15.97,15.97,15.92,15.97,103050
27,2010-03-03,15.97,16.74,15.97,16.69,117460
28,2010-03-04,17.24,17.24,16.78,17.01,205800
29,2010-03-05,16.87,17.42,16.83,17.42,156750
30,2010-03-08,17.69,17.69,17.24,17.24,66420
31,2010-03-09,16.83,17.46,16.83,17.37,146390
32,2010-03-10,17.84,17.84,16.86,17.14,37410
33,2010-03-11,17.14,17.23,16.81,16.86,103310
34,2010-03-12,17.14,17.14,16.72,16.86,76930
35,2010-03-15,16.86,17.7,16.86,17.42,92320
36,2010-03-16,16.67,17.42,16.67,16.67,44700
37,2010-03-17,16.67,16.77,16.4,16.53,29690
38,2010-03-18,16.53,16.77,16.4,16.53,129450
39,2010-03-19,16.49,16.53,16.49,16.49,40620
40,2010-03-22,16.49,16.77,16.49,16.49,40800
41,2010-03-23,16.49,16.53,16.07,16.26,29560
42,2010-03-24,16.26,16.26,15.88,16.26,99800
43,2010-03-25,15.84,15.98,15.7,15.7,22570
44,2010-03-26,15.7,15.79,15.14,15.74,67980
45,2010-03-29,15.74,16.07,15.37,15.79,122250
46,2010-03-30,15.84,16.53,15.84,16.53,289690
47,2010-03-31,16.53,17.14,16.3,16.3,56110
48,2010-04-01,16.12,16.53,16.12,16.4,34200
49,2010-04-02,16.4,16.4,15.74,16.26,78080
50,2010-04-05,16.72,16.72,15.84,16.02,22300
51,2010-04-06,16.26,16.26,15.93,15.93,91060
52,2010-04-07,16.02,16.12,15.93,16.07,54710
53,2010-04-08,16.12,16.44,15.98,16.12,47380
54,2010-04-09,16.3,16.91,16.3,16.91,270490
55,2010-04-12,17.14,17.14,16.4,16.4,21410
56,2010-04-13,16.26,16.53,16.26,16.26,37670
57,2010-04-14,16.63,16.63,16.3,16.53,48310
58,2010-04-15,16.53,16.63,16.35,16.53,118600
59,2010-04-16,16.67,16.72,16.3,16.67,95370
60,2010-04-19,16.67,16.72,16.53,16.67,119210
61,2010-04-20,16.49,16.67,16.49,16.49,45170
62,2010-04-21,16.4,17.0,16.4,16.86,225660
63,2010-04-22,17.05,17.47,16.91,17.0,210710
64,2010-04-26,17.42,17.78,17.06,17.37,178470
65,2010-04-27,17.52,17.52,16.91,16.91,66780
66,2010-04-28,16.91,16.91,16.8,16.91,156720
67,2010-04-29,17.01,17.73,17.01,17.73,424240
68,2010-05-04,18.6,18.6,18.6,18.6,41340
69,2010-05-05,18.44,19.52,17.73,18.91,500910
70,2010-05-06,18.85,19.06,18.6,18.7,201480
71,2010-05-07,18.44,18.44,17.78,17.93,204880
72,2010-05-10,17.57,17.93,17.32,17.37,121290
73,2010-05-11,17.42,17.47,17.11,17.42,247980
74,2010-05-12,17.16,17.16,16.55,16.55,227260
75,2010-05-13,16.39,16.8,16.39,16.39,70280
76,2010-05-14,16.39,16.91,16.39,16.45,60410
77,2010-05-17,16.45,16.45,15.88,16.24,57950
78,2010-05-18,16.04,16.39,15.88,16.04,59870
79,2010-05-19,15.27,15.88,15.27,15.27,101950
80,2010-05-20,14.6,15.98,14.6,15.98,128490
81,2010-05-21,15.22,16.34,15.22,15.22,83310
82,2010-05-24,15.78,15.78,14.91,15.78,24590
83,2010-05-25,15.78,16.14,15.73,15.98,113270
84,2010-05-26,16.34,16.34,15.98,16.24,97140
85,2010-05-27,15.98,16.45,15.88,16.34,4140
86,2010-05-28,16.65,16.65,16.39,16.65,63620
