,time,open,high,low,close,volume
0,2017-09-27,11.01,0.0,0.0,0.0,0
1,2017-09-28,11.01,11.01,11.01,11.01,0
2,2017-09-29,11.01,11.01,11.01,11.01,0
3,2017-10-02,11.01,11.01,11.01,11.01,0
4,2017-10-03,11.01,11.01,11.01,11.01,0
5,2017-10-04,11.01,11.01,11.01,11.01,0
6,2017-10-05,11.01,11.01,11.01,11.01,0
7,2017-10-06,11.01,11.01,11.01,11.01,0
8,2017-10-09,11.01,11.01,11.01,11.01,0
9,2017-10-10,11.01,11.01,11.01,11.01,0
10,2017-10-11,11.01,11.01,11.01,11.01,0
11,2017-10-12,11.01,11.01,11.01,11.01,0
12,2017-10-13,11.01,11.01,11.01,11.01,0
13,2017-10-16,11.01,11.01,11.01,11.01,0
14,2017-10-17,11.01,11.01,11.01,11.01,0
15,2017-10-18,11.01,11.01,11.01,11.01,0
16,2017-10-19,11.01,11.01,11.01,11.01,0
17,2017-10-20,11.01,11.01,11.01,11.01,0
18,2017-10-23,11.01,11.01,11.01,11.01,0
19,2017-10-24,11.01,11.01,11.01,11.01,0
20,2017-10-25,11.01,11.01,11.01,11.01,0
21,2017-10-26,11.01,11.01,11.01,11.01,0
22,2017-10-27,11.01,11.01,11.01,11.01,0
23,2017-10-30,11.01,11.01,11.01,11.01,0
24,2017-10-31,11.01,11.01,11.01,11.01,0
25,2017-11-01,11.01,11.01,11.01,11.01,0
26,2017-11-02,11.01,11.01,11.01,11.01,0
27,2017-11-03,11.01,11.01,11.01,11.01,0
28,2017-11-06,11.01,11.01,11.01,11.01,0
29,2017-11-07,11.01,11.01,11.01,11.01,0
30,2017-11-08,11.01,11.01,11.01,11.01,0
31,2017-11-09,11.01,11.01,11.01,11.01,0
32,2017-11-10,11.01,11.01,11.01,11.01,0
33,2017-11-13,11.01,11.01,11.01,11.01,0
34,2017-11-14,11.01,11.01,11.01,11.01,0
35,2017-11-15,11.01,11.01,11.01,11.01,0
36,2017-11-16,11.01,11.01,11.01,11.01,0
37,2017-11-17,11.01,11.01,11.01,11.01,0
38,2017-11-20,11.01,11.01,11.01,11.01,0
39,2017-11-21,11.01,11.01,11.01,11.01,0
40,2017-11-22,11.01,11.01,11.01,11.01,0
41,2017-11-23,11.01,11.01,11.01,11.01,0
42,2017-11-24,11.01,11.01,11.01,11.01,0
43,2017-11-27,11.01,11.01,11.01,11.01,0
44,2017-11-28,11.01,11.01,11.01,11.01,0
45,2017-11-29,11.01,11.01,11.01,11.01,0
46,2017-11-30,11.01,11.01,11.01,11.01,0
47,2017-12-01,11.01,11.01,11.01,11.01,0
48,2017-12-04,11.01,11.01,11.01,11.01,0
49,2017-12-05,15.37,15.37,15.37,15.37,100
50,2017-12-06,17.66,17.66,17.66,17.66,100
51,2017-12-07,20.29,17.66,20.29,20.29,100
52,2017-12-08,20.29,20.29,20.29,20.29,0
53,2017-12-11,20.29,20.29,20.29,20.29,0
54,2017-12-12,20.29,20.29,20.29,20.29,0
55,2017-12-13,20.29,20.29,20.29,20.29,0
56,2017-12-14,20.29,20.29,20.29,20.29,0
57,2017-12-15,20.29,20.29,20.29,20.29,0
58,2017-12-18,20.29,20.29,20.29,20.29,0
59,2017-12-19,20.29,20.29,20.29,20.29,0
60,2017-12-20,20.29,20.29,20.29,20.29,0
61,2017-12-21,20.29,20.29,20.29,20.29,0
62,2017-12-22,20.29,20.29,20.29,20.29,0
63,2017-12-25,20.29,20.29,20.29,20.29,0
64,2017-12-26,20.29,20.29,20.29,20.29,0
65,2017-12-27,20.29,20.29,20.29,20.29,0
66,2017-12-28,20.29,20.29,20.29,20.29,0
67,2017-12-29,20.29,20.29,20.29,20.29,0
68,2018-01-02,20.29,20.29,20.29,20.29,0
69,2018-01-03,20.29,20.29,20.29,20.29,0
70,2018-01-04,20.29,20.29,20.29,20.29,0
71,2018-01-05,20.29,20.29,20.29,20.29,0
72,2018-01-08,20.29,20.29,20.29,20.29,0
73,2018-01-09,20.29,20.29,20.29,20.29,0
74,2018-01-10,20.29,20.29,20.29,20.29,0
75,2018-01-11,20.29,20.29,20.29,20.29,0
76,2018-01-12,20.29,20.29,20.29,20.29,0
77,2018-01-15,20.29,20.29,20.29,20.29,0
78,2018-01-16,28.41,28.41,28.41,28.41,100
79,2018-01-17,32.67,32.67,32.67,32.67,200
80,2018-01-18,32.67,32.67,32.67,32.67,0
81,2018-01-19,32.67,32.67,32.67,32.67,0
82,2018-01-22,32.67,32.67,32.67,32.67,0
83,2018-01-23,32.67,32.67,32.67,32.67,100
84,2018-01-24,32.98,32.98,32.98,32.98,200
85,2018-01-25,32.98,32.98,32.98,32.98,0
86,2018-01-26,32.98,32.98,32.98,32.98,0
87,2018-01-29,33.48,33.48,33.48,33.48,100
88,2018-01-30,33.48,33.48,33.48,33.48,0
89,2018-01-31,36.02,36.02,36.02,36.02,100
90,2018-02-01,32.98,32.98,32.98,32.98,100
91,2018-02-02,32.72,32.72,32.72,32.72,200
92,2018-02-05,32.47,32.72,32.47,32.72,800
93,2018-02-06,32.62,32.62,32.62,32.62,0
94,2018-02-07,32.47,32.47,32.47,32.47,600
95,2018-02-08,32.47,32.47,32.47,32.47,0
96,2018-02-09,32.47,32.47,32.47,32.47,0
97,2018-02-12,32.47,32.47,32.47,32.47,0
98,2018-02-13,32.47,32.47,32.47,32.47,0
