,time,open,high,low,close,volume
0,2012-05-21,15.97,17.74,15.97,17.69,2502080
1,2012-05-22,18.56,18.56,18.34,18.56,1934550
2,2012-05-23,18.51,18.56,17.65,17.65,1055780
3,2012-05-24,16.83,17.26,16.79,16.79,1009380
4,2012-05-25,16.79,17.18,16.01,16.83,877260
5,2012-05-28,16.92,16.92,16.18,16.23,457400
6,2012-05-29,15.67,15.97,15.58,15.84,418300
7,2012-05-30,15.97,16.36,15.84,16.31,170280
8,2012-05-31,16.05,16.31,15.84,16.05,269030
9,2012-06-01,15.97,16.14,15.97,16.05,138370
10,2012-06-04,15.88,15.88,15.36,15.36,383250
11,2012-06-05,15.1,15.49,15.1,15.36,330550
12,2012-06-06,15.36,15.54,15.23,15.45,101300
13,2012-06-07,15.67,16.18,15.45,16.18,280210
14,2012-06-08,16.31,16.96,16.14,16.18,300060
15,2012-06-11,15.97,16.36,15.88,15.88,106110
16,2012-06-12,15.67,16.18,15.67,15.67,126760
17,2012-06-13,15.84,15.84,15.58,15.71,33550
18,2012-06-14,15.62,15.88,15.58,15.71,88860
19,2012-06-15,15.71,16.1,15.71,16.01,80460
20,2012-06-18,16.1,16.4,16.1,16.36,181580
21,2012-06-19,16.36,16.49,16.23,16.36,263540
22,2012-06-20,16.36,16.7,16.36,16.57,224150
23,2012-06-21,16.74,16.74,16.44,16.61,86970
24,2012-06-22,16.57,16.74,16.53,16.66,182790
25,2012-06-25,16.7,16.7,16.23,16.36,216300
26,2012-06-26,16.05,16.36,16.05,16.36,107410
27,2012-06-27,16.31,16.57,16.31,16.4,56490
28,2012-06-28,16.61,16.61,16.4,16.61,314740
29,2012-06-29,16.7,16.7,16.57,16.57,591130
30,2012-07-02,16.7,17.26,16.57,16.61,111900
31,2012-07-03,16.53,16.74,16.49,16.66,98880
32,2012-07-04,16.61,16.66,16.49,16.53,181160
33,2012-07-05,16.53,16.57,16.18,16.53,32450
34,2012-07-06,16.53,16.53,16.18,16.53,27580
35,2012-07-09,16.53,16.53,16.27,16.4,14910
36,2012-07-10,16.27,16.4,16.18,16.18,54900
37,2012-07-11,15.97,16.31,15.97,16.31,32940
38,2012-07-12,16.36,16.36,16.23,16.36,2830
39,2012-07-13,16.4,16.49,16.36,16.44,77460
40,2012-07-16,16.23,16.53,16.23,16.53,75920
41,2012-07-17,16.66,16.66,16.4,16.53,182340
42,2012-07-18,16.66,16.66,16.27,16.57,146560
43,2012-07-19,16.57,17.31,16.36,17.31,819250
44,2012-07-20,17.26,17.26,17.0,17.09,287610
45,2012-07-23,17.09,17.09,16.83,17.0,51430
46,2012-07-24,17.0,17.0,16.44,16.66,33440
47,2012-07-25,16.4,16.83,16.4,16.66,59190
48,2012-07-26,16.79,16.79,16.66,16.79,28250
49,2012-07-27,16.79,16.83,16.7,16.74,42110
50,2012-07-30,16.49,16.92,16.49,16.92,36800
51,2012-07-31,17.0,17.0,16.74,16.79,37450
52,2012-08-01,16.79,16.87,16.79,16.83,126160
53,2012-08-02,16.83,17.09,16.74,16.96,379390
54,2012-08-03,16.87,17.0,16.83,16.96,338830
55,2012-08-06,17.13,17.13,16.83,17.0,307250
56,2012-08-07,17.0,17.05,16.87,17.0,39770
57,2012-08-08,17.05,17.05,16.87,16.87,88470
58,2012-08-09,16.87,17.0,16.87,16.87,139970
59,2012-08-10,16.87,17.0,16.87,16.87,82930
60,2012-08-13,16.61,16.92,16.61,16.87,52670
61,2012-08-14,16.83,16.96,16.83,16.92,65220
62,2012-08-15,17.0,17.05,16.96,17.0,172630
63,2012-08-16,17.05,17.39,17.05,17.31,713090
64,2012-08-17,17.39,18.04,17.39,17.95,2424550
65,2012-08-20,18.13,18.13,17.95,18.08,285470
66,2012-08-21,18.04,18.04,17.22,17.22,778620
67,2012-08-22,16.61,17.69,16.61,17.48,425250
68,2012-08-23,17.26,17.26,16.61,16.61,608680
69,2012-08-24,15.88,17.39,15.88,17.05,471190
70,2012-08-27,17.0,17.0,16.23,16.23,338670
71,2012-08-28,16.05,16.7,16.05,16.53,144670
72,2012-08-29,17.18,17.35,17.18,17.35,1294020
73,2012-08-30,17.61,17.78,17.48,17.69,1204090
74,2012-08-31,17.91,18.09,17.83,18.05,1200100
75,2012-09-04,18.31,18.31,18.05,18.18,633240
76,2012-09-05,18.18,18.27,17.83,17.96,154700
77,2012-09-06,17.78,18.0,17.25,17.25,174400
78,2012-09-07,17.56,18.09,17.21,18.09,360690
79,2012-09-10,18.0,18.0,17.38,17.65,454770
80,2012-09-11,17.38,18.14,17.3,17.78,157910
81,2012-09-12,17.78,18.09,17.69,18.05,566030
82,2012-09-13,18.14,18.31,18.09,18.27,533240
83,2012-09-14,18.76,18.76,18.36,18.49,824280
84,2012-09-17,18.36,18.58,18.27,18.27,113130
85,2012-09-18,18.31,18.31,17.47,17.78,143650
86,2012-09-19,17.65,18.14,17.65,18.0,262800
