,time,open,high,low,close,volume
0,2015-10-26,7.6,7.6,6.48,7.6,18200
1,2015-10-27,7.0,7.0,7.0,7.0,3500
2,2015-10-28,6.62,6.62,5.99,6.06,31900
3,2015-10-29,6.06,6.62,6.02,6.37,20300
4,2015-10-30,6.16,6.65,6.16,6.48,19500
5,2015-11-02,6.51,6.62,6.09,6.41,8200
6,2015-11-03,6.41,6.65,6.34,6.65,56900
7,2015-11-04,6.69,7.36,6.65,7.04,70000
8,2015-11-05,7.53,7.92,7.53,7.92,20812
9,2015-11-06,8.58,8.97,8.06,8.34,75488
10,2015-11-09,8.48,8.48,7.21,8.2,135200
11,2015-11-10,8.51,8.51,7.07,7.36,133600
12,2015-11-11,6.76,7.5,6.72,7.36,65707
13,2015-11-12,7.36,7.88,7.32,7.71,84303
14,2015-11-13,7.71,7.95,7.57,7.92,148800
15,2015-11-16,7.74,7.95,7.21,7.6,214000
16,2015-11-17,7.67,7.81,7.53,7.64,30300
17,2015-11-18,7.53,7.67,7.0,7.32,178600
18,2015-11-19,7.46,7.46,7.04,7.28,94000
19,2015-11-20,7.0,7.25,6.65,7.11,126700
20,2015-11-23,7.11,7.36,7.0,7.32,66850
21,2015-11-24,7.0,7.53,7.0,7.36,140402
22,2015-11-25,7.28,7.53,7.21,7.5,109200
23,2015-11-26,7.43,7.71,7.43,7.53,77008
24,2015-11-27,7.57,7.57,7.46,7.5,59100
25,2015-11-30,7.43,7.46,7.28,7.32,96200
26,2015-12-01,7.46,7.53,7.28,7.32,29100
27,2015-12-02,7.28,7.32,7.11,7.14,103300
28,2015-12-03,7.18,7.21,7.14,7.18,45600
29,2015-12-04,7.14,7.18,7.04,7.11,58300
30,2015-12-07,7.07,7.07,6.93,6.93,57400
31,2015-12-08,6.97,7.04,6.83,7.0,114600
32,2015-12-09,6.93,7.21,6.86,7.14,133103
33,2015-12-10,7.11,7.21,7.04,7.07,72700
34,2015-12-11,7.0,7.11,7.0,7.11,84500
35,2015-12-14,7.04,7.11,7.04,7.07,79200
36,2015-12-15,7.0,7.11,6.93,7.11,59900
37,2015-12-16,7.11,7.36,7.04,7.14,97600
38,2015-12-17,7.14,7.25,7.11,7.25,469200
39,2015-12-18,7.18,7.18,6.65,7.11,143102
40,2015-12-21,6.93,6.97,6.48,6.97,340600
41,2015-12-22,6.65,6.76,6.41,6.58,377300
42,2015-12-23,6.34,6.44,5.6,6.23,569600
43,2015-12-24,5.88,6.93,5.6,6.86,1135600
44,2015-12-25,6.9,7.0,6.2,6.83,122574700
45,2015-12-28,7.07,7.14,6.72,7.14,1884100
46,2015-12-29,7.36,7.36,6.97,7.11,1055500
47,2015-12-30,7.0,7.53,6.76,7.53,5716150
48,2015-12-31,7.71,8.13,7.53,8.06,1996310
49,2016-01-04,8.23,8.23,7.53,7.85,4515450
50,2016-01-05,7.85,7.88,7.64,7.81,1693845
51,2016-01-06,7.78,8.41,7.78,8.37,1517316
52,2016-01-07,8.37,8.69,8.16,8.58,1717369
53,2016-01-08,8.51,8.58,8.34,8.51,1093280
54,2016-01-11,8.41,8.41,7.88,8.06,2196300
55,2016-01-12,8.06,8.27,7.85,8.16,817620
56,2016-01-13,8.06,8.27,8.06,8.2,1098024
57,2016-01-14,8.06,8.13,7.88,8.06,1583200
58,2016-01-15,8.06,8.09,7.99,8.06,534600
59,2016-01-18,7.88,7.92,7.64,7.88,1165082
60,2016-01-19,7.74,7.99,7.74,7.95,430000
61,2016-01-20,8.06,8.09,7.85,7.92,1278100
62,2016-01-21,7.95,8.23,7.88,8.23,814030
63,2016-01-22,8.27,8.62,8.27,8.58,1088160
64,2016-01-25,8.65,9.18,8.58,9.11,1299888
65,2016-01-26,8.76,9.25,8.76,8.93,946060
66,2016-01-27,9.04,9.18,8.83,8.97,852380
67,2016-01-28,8.97,8.97,8.62,8.69,728330
68,2016-01-29,8.65,8.65,8.44,8.55,986380
69,2016-02-01,8.58,8.58,8.3,8.34,740100
70,2016-02-02,8.27,8.41,8.13,8.3,1130300
71,2016-02-03,8.23,8.27,8.13,8.23,381100
72,2016-02-04,8.34,8.41,8.27,8.27,135400
73,2016-02-05,8.34,8.48,8.3,8.48,142900
74,2016-02-15,8.37,8.48,8.27,8.27,255708
75,2016-02-16,8.23,8.51,8.23,8.44,371000
76,2016-02-17,8.51,8.65,8.37,8.58,502800
77,2016-02-18,8.65,9.0,8.62,8.9,628848
78,2016-02-19,8.86,8.93,8.62,8.62,470100
79,2016-02-22,8.69,8.76,8.55,8.58,454800
80,2016-02-23,8.58,8.58,8.34,8.44,748210
81,2016-02-24,8.58,8.65,8.37,8.51,313800
82,2016-02-25,8.58,8.58,8.34,8.34,521700
83,2016-02-26,8.3,8.41,8.27,8.41,376900
84,2016-02-29,8.37,8.41,8.34,8.37,242300
85,2016-03-01,8.41,8.58,8.34,8.48,771600
86,2016-03-02,8.48,8.72,8.48,8.65,563500
87,2016-03-03,8.69,8.83,8.69,8.69,623700
88,2016-03-04,8.72,8.76,8.44,8.51,899600
89,2016-03-07,8.41,8.41,7.81,8.13,1282800
90,2016-03-08,8.13,8.3,8.13,8.16,534800
91,2016-03-09,8.09,8.3,8.09,8.27,395900
92,2016-03-10,8.23,8.41,8.2,8.41,537350
93,2016-03-11,8.37,8.37,8.3,8.3,337638
94,2016-03-14,8.3,8.37,8.23,8.37,379100
95,2016-03-15,8.3,8.48,8.27,8.41,208510
96,2016-03-16,8.41,8.44,8.3,8.34,227600
97,2016-03-17,8.37,8.55,8.34,8.51,537800
98,2016-03-18,8.55,8.62,8.41,8.48,261500
99,2016-03-21,8.51,8.55,8.48,8.48,272500
100,2016-03-22,8.51,8.76,8.51,8.65,1286900
101,2016-03-23,8.69,9.39,8.69,9.14,1660850
102,2016-03-24,9.46,9.56,9.14,9.28,1396650
103,2016-03-25,9.28,9.28,8.86,9.07,914230
104,2016-03-28,9.07,9.39,9.07,9.35,2003930
105,2016-03-29,9.63,9.63,9.35,9.42,2006390
106,2016-03-30,9.46,9.46,9.14,9.18,1137710
107,2016-03-31,9.25,9.25,8.9,8.93,1371400
108,2016-04-01,8.79,8.86,8.55,8.62,943700
109,2016-04-04,8.62,8.69,8.48,8.51,601100
110,2016-04-05,8.58,8.79,8.58,8.69,623200
111,2016-04-06,8.94,8.94,8.69,8.9,779200
112,2016-04-07,8.9,9.01,8.87,8.98,903820
113,2016-04-08,9.05,9.09,8.87,8.9,473500
114,2016-04-11,9.01,9.01,8.83,8.83,420500
115,2016-04-12,8.83,8.94,8.8,8.87,433400
116,2016-04-13,8.9,8.9,8.65,8.65,648000
117,2016-04-14,8.65,8.9,8.65,8.72,583568
118,2016-04-15,8.76,8.83,8.72,8.72,446700
119,2016-04-19,8.76,8.76,8.5,8.54,534600
120,2016-04-20,8.65,8.65,8.43,8.54,399800
121,2016-04-21,8.58,8.58,8.47,8.5,222220
122,2016-04-22,8.58,8.61,8.47,8.5,228700
123,2016-04-25,8.69,8.72,8.5,8.5,742700
124,2016-04-26,8.58,8.58,8.39,8.43,457410
125,2016-04-27,8.43,8.58,8.39,8.54,773710
126,2016-04-28,8.54,8.9,8.54,8.83,687610
127,2016-04-29,8.9,8.94,8.76,8.83,476710
128,2016-05-04,8.69,8.8,8.69,8.69,286270
129,2016-05-05,8.69,8.8,8.61,8.61,750300
130,2016-05-06,8.69,8.72,8.54,8.58,525000
131,2016-05-09,8.58,8.69,8.47,8.5,489330
132,2016-05-10,8.43,8.5,8.43,8.5,258800
133,2016-05-11,8.39,8.61,8.39,8.58,307660
134,2016-05-12,8.65,8.65,8.54,8.54,106540
135,2016-05-13,8.61,8.61,8.47,8.47,243600
136,2016-05-16,8.58,8.58,8.39,8.5,211400
137,2016-05-17,8.5,8.5,8.47,8.5,208610
138,2016-05-18,8.47,8.5,8.43,8.5,273900
139,2016-05-19,8.47,8.5,8.43,8.47,110000
140,2016-05-20,8.43,8.47,8.43,8.47,149500
141,2016-05-23,8.47,8.5,8.39,8.39,282970
142,2016-05-24,8.43,8.47,8.28,8.36,550900
143,2016-05-25,8.43,8.47,8.39,8.43,769600
144,2016-05-26,8.47,8.5,8.36,8.43,211100
145,2016-05-27,8.39,8.39,8.28,8.32,293600
146,2016-05-30,8.32,8.36,8.28,8.32,531050
147,2016-05-31,8.32,8.54,8.28,8.54,937000
148,2016-06-01,8.58,8.72,8.58,8.65,666000
149,2016-06-02,8.61,8.94,8.54,8.9,1271940
150,2016-06-03,8.94,9.12,8.94,8.98,1256700
151,2016-06-06,8.94,8.94,8.58,8.83,899500
152,2016-06-07,8.8,8.9,8.69,8.87,974500
153,2016-06-08,9.05,9.12,8.9,9.05,1736699
154,2016-06-09,9.05,9.12,8.9,8.94,1714600
155,2016-06-10,8.98,9.01,8.94,8.94,1159500
156,2016-06-13,8.98,8.98,8.76,8.76,907300
157,2016-06-14,8.76,9.09,8.76,8.98,1135600
158,2016-06-15,9.09,9.56,9.09,9.45,2481000
159,2016-06-16,9.49,9.74,9.38,9.42,2379794
160,2016-06-17,9.45,9.45,9.09,9.23,2596100
161,2016-06-20,9.27,9.27,9.05,9.2,1169432
162,2016-06-21,9.2,9.27,8.87,8.87,1866100
163,2016-06-22,8.9,9.05,8.9,8.98,1208350
164,2016-06-23,8.94,9.2,8.94,9.2,983800
165,2016-06-24,9.12,9.12,7.77,8.87,1793880
166,2016-06-27,8.8,8.8,8.54,8.8,652900
167,2016-06-28,8.69,8.83,8.69,8.76,532800
168,2016-06-29,8.76,8.94,8.76,8.9,743200
169,2016-06-30,8.9,9.05,8.9,8.94,949876
170,2016-07-01,8.98,9.05,8.87,8.94,586300
171,2016-07-04,8.94,9.01,8.9,8.98,685800
172,2016-07-05,8.94,8.94,8.8,8.8,849020
173,2016-07-06,8.8,8.83,8.72,8.76,405910
174,2016-07-07,8.8,9.09,8.72,9.01,1001100
